Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,558.65400,350.53600,208.11800,72.36000,119.59700,0.25500,191.70200,16.41600,39.07100,55.48700,6.27900,49.20800,,55.95400,,60.21000,16.41600,16.41600,56.57300,57.22100,1.06000,1.05000,1.21930,,0.01030,37.25350,2.93850,2.93850,9.93230,10.77770,0.06910,,4.31940,20.83640,1.05840,2.75180,0.69250,1.05840,98.21300,0,0
2024-06-30,565.12800,366.18900,198.93900,69.85600,128.81800,2.00400,196.66990,2.26900,45.34400,47.61300,2.62800,44.98500,,47.79000,,51.71900,2.26900,2.26900,59.53700,64.10200,0.87000,0.83000,1.34550,0.00010,0.01470,35.20250,0.40150,0.40150,8.42520,9.15170,0.06980,,4.87340,18.46760,0.90080,2.34050,0.59000,0.90070,87.16400,0,0
2024-03-31,564.56000,369.19700,195.36300,69.03900,126.38100,3.60000,191.82000,3.54300,48.54400,52.08700,4.53700,47.55000,,40.15500,,44.93900,3.54300,3.54300,61.78300,67.15300,0.73000,0.69000,1.27210,,0.09070,34.60450,0.62760,0.62760,9.22610,7.96000,0.06600,,4.45580,20.19850,0.75310,1.95770,0.46930,0.75310,89.88450,0.00000,
2023-12-31,569.83920,368.35990,201.47920,72.58000,126.84500,2.74200,196.68300,4.79630,43.13500,47.93100,2.31500,45.61600,,40.08900,,45.48500,4.79630,4.79630,65.43500,73.14900,0.69000,0.64000,1.31950,,0.08650,35.35720,0.84170,0.84170,8.41130,7.98210,0.06720,,4.35990,20.64270,0.75780,2.01360,0.47250,0.75780,86.90970,4.0408,2.9781
2023-09-30,567.06900,357.91400,209.15500,71.60800,119.65400,-5.84400,197.10600,12.04900,44.48700,56.53600,3.00100,53.53500,,65.08000,,123.90900,12.04900,12.04900,62.26600,67.66900,1.99000,1.86000,1.36610,,0.09020,36.88350,2.12480,2.12480,9.96990,21.85080,0.06710,,4.73010,19.02690,1.23110,3.29760,0.77030,1.23110,86.95520,0,0
2023-06-30,547.33400,349.56600,197.76800,75.54000,116.17100,3.38200,188.32900,9.43900,139.36300,148.80200,5.38200,143.42000,,147.30500,,152.53700,9.43900,9.43900,67.27400,76.87200,2.27000,2.02000,1.37030,,0.08860,36.13300,1.72450,1.72450,27.18670,27.86910,0.06500,,4.52360,19.89560,2.83360,7.87860,1.74930,2.83360,83.85970,0,0
2023-03-31,583.62800,379.00200,204.62600,75.77500,129.56800,3.24800,202.09500,2.53100,32.17700,34.70800,8.15800,26.55000,,19.94400,,25.42000,2.53100,2.53100,70.45200,80.84600,0.36000,0.35000,1.49830,0.06960,0.16160,35.06100,0.43370,0.43370,5.94690,4.35550,0.06410,,4.84790,18.56460,0.36840,0.97320,0.21900,0.34280,78.28630,0.00000,
2022-12-31,604.90910,392.57890,212.33020,73.62600,142.69800,-10.17700,226.50110,-14.17100,31.77900,17.60800,4.55500,13.05300,,-390.05200,,-380.06600,-14.17100,-14.17100,71.97000,82.27200,-5.28000,-4.51000,1.51210,0.06900,0.16140,35.10110,-2.34270,-2.34270,2.91090,-62.83030,0.06670,,5.12950,17.54550,-7.20800,-19.17890,-4.29970,-6.71050,77.71160,3.8469,3.0992
2022-09-30,586.72900,366.51400,220.21500,61.20700,141.00600,1.82500,200.38800,19.82700,524.37200,544.19900,7.88100,536.31800,,509.51800,,512.85700,19.82700,19.82700,72.06000,82.15800,7.12000,6.28000,1.52420,0.06500,0.15300,37.53270,3.37920,3.37920,92.75130,87.40950,0.06250,,5.18000,17.37450,8.79380,21.25320,5.42430,8.22260,81.78810,0,0
2022-06-30,596.09800,377.67100,218.42700,62.87600,122.09500,5.28600,179.68500,38.74210,32.00100,70.74300,22.94400,47.79900,,14.96200,,16.40100,38.74210,38.74210,71.89300,72.58600,0.23000,0.23000,1.60470,0.07120,0.16790,36.64280,6.49930,6.49930,11.86770,2.75140,0.06830,,5.22300,17.23140,0.28490,0.56130,0.17150,0.26460,71.30160,0,0
2022-03-31,623.78000,422.62400,201.15600,64.09800,136.46200,5.74100,194.81890,6.33710,-4.31300,2.02400,-0.80500,2.82900,,-32.86000,,-29.72700,6.33710,6.33710,72.88100,72.88100,-0.41000,-0.41000,1.95740,0.14030,0.16310,32.24790,1.01590,1.01590,0.32450,-4.76560,0.06940,,5.23320,17.19790,-0.60020,-1.15400,-0.36550,-0.51600,74.34770,0.00000,
2021-12-31,663.70910,440.18710,223.52200,29.30600,138.92000,5.27700,162.94910,60.57290,30.88100,91.45400,3.08100,88.37300,,68.08500,,70.99600,60.57290,60.57290,78.10100,78.10100,0.90000,0.90000,2.01850,0.14250,0.16610,33.67770,9.12640,9.12640,13.77920,10.69690,0.07280,,5.80310,15.50900,1.22400,2.33000,0.74650,1.04960,75.53390,2.6942,1.8289
2021-09-30,650.54500,439.76100,210.78400,62.72600,145.94900,4.75500,203.92000,6.86400,-22.02000,-15.15600,4.21500,-19.37100,,4.12500,,5.29100,6.86400,6.86400,78.36300,79.24100,0.07000,0.07000,2.08600,0.14990,0.17630,32.40110,1.05510,1.05510,-2.32970,0.81330,0.07020,,4.09500,21.97790,0.07310,0.13780,0.04450,0.06220,72.34340,0,0
2021-06-30,661.71400,458.27200,203.44200,100.74400,213.26500,9.48500,304.52400,-101.08200,15.08100,-86.00100,2.70000,-88.70100,,-112.67500,,-111.69300,-101.08200,-101.08200,77.99800,77.99800,-1.43000,-1.43000,2.09910,0.14760,0.17690,30.74470,-15.27580,-15.27580,-12.99670,-16.87940,0.07080,,4.20460,21.40520,-1.96390,-3.66530,-1.20590,-1.67410,71.76650,0,0
