Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,1679.80000,1029.90000,649.90000,361.50000,-1.90000,363.40000,286.50000,-40.30000,246.20000,41.00000,205.20000,,205.20000,223.10000,341.10000,286.50000,268.60000,269.70000,0.83000,0.83000,0.71380,0.38020,0.84170,38.68910,17.05560,17.05560,14.65650,13.28130,0.12720,0.82880,2.54170,35.40960,3.76440,-6.49490,1.55400,2.33340,20.31680,0.5996,0.3808
2024-05-31,1643.20000,1023.60000,619.60000,383.70000,-1.80000,385.50000,234.09990,-40.50000,193.60000,26.20000,167.40000,,167.40000,184.20000,291.19990,234.09990,268.60000,269.70000,0.69000,0.68000,0.69340,0.38320,0.83390,37.70690,14.24660,14.24660,11.78190,11.20980,0.12650,0.88380,2.74550,32.78060,3.12650,-5.16360,1.28890,1.92860,19.94120,0.6045,0.3514
2024-02-29,1602.70000,1003.40000,599.29990,361.60000,-4.20000,365.80000,233.50000,-39.20000,194.30000,49.60000,144.70000,,144.70000,166.00000,279.30000,233.50000,268.40000,269.60000,0.62000,0.62000,0.67930,0.38770,0.84780,37.39320,14.56920,14.56920,12.12330,10.35750,0.12430,0.88830,2.82410,31.86810,2.75230,-4.32840,1.12260,1.68520,19.59520,0.51340,0.28340
2023-11-30,1752.80000,1051.50000,701.29970,390.00010,-14.10000,404.10000,297.20000,-39.50000,257.70000,57.10000,200.60000,,200.60000,219.30000,346.10000,297.20010,268.40000,269.80000,0.82000,0.81000,0.64590,0.39650,0.86780,40.01030,16.95570,16.95570,14.70220,12.51140,0.13630,0.93340,2.98350,30.16600,3.94610,-5.67740,1.55960,2.38150,18.96120,2.1421,1.8571
2023-08-31,1684.70000,1061.90000,622.79990,371.70000,-6.10000,377.80000,244.99990,-45.60000,199.40000,42.70000,156.70000,,156.70000,170.10000,298.79990,244.99990,268.40000,270.10000,0.63000,0.63000,0.67090,0.40040,0.94220,36.96800,14.54260,14.54260,11.83590,10.09680,0.12970,0.86650,2.69770,33.36200,3.09070,-4.41820,1.20630,1.85330,18.90420,0.9828,0.7293
2023-05-31,1659.20000,1043.70000,615.50000,380.50000,-13.20000,393.70000,221.80000,-39.70000,182.10000,40.30000,141.80000,,141.80000,152.10000,270.60000,221.80000,268.40000,269.80000,0.57000,0.56000,0.84600,0.45380,0.98120,37.09620,13.36790,13.36790,10.97520,9.16710,0.12850,0.81780,2.97770,30.22420,2.86070,-3.88450,1.09850,1.56260,18.48210,1.0779,0.8662
2023-02-28,1565.50000,1002.60000,562.90000,336.10000,-27.80000,363.90000,199.00000,-39.50000,159.50000,34.40000,125.10000,,125.10000,139.10000,246.80000,199.00000,268.20000,269.80000,0.52000,0.52000,0.72610,0.42550,1.06510,35.95660,12.71160,12.71160,10.18840,8.88530,0.11860,0.74560,2.74170,32.82660,2.55950,-3.35960,0.94730,1.47050,18.22410,0.38320,0.15530
2022-11-30,1695.70000,1071.30000,624.39980,346.50000,-13.60000,360.10000,264.29990,-36.00000,228.30000,53.20000,175.09990,,175.09990,185.70000,316.70000,264.30000,268.20000,270.20000,0.69000,0.69000,0.69530,0.43660,1.09580,36.82260,15.58650,15.58650,13.46350,10.95120,0.12920,0.79940,2.95570,30.44940,3.72620,-4.48790,1.33410,2.09910,17.53430,1.4856,1.1332
2022-08-31,1595.60000,1028.90000,566.70000,328.10000,-3.40000,331.50000,235.20000,39.50000,274.70000,59.30000,215.40000,,215.40000,222.90000,285.20000,235.20000,268.30000,270.20000,0.83000,0.82000,0.76830,0.45880,1.16390,35.51640,14.74050,14.74050,17.21610,13.96970,0.12330,0.74590,2.82010,31.91400,4.67580,-5.38550,1.66450,2.53070,17.17640,0.3548,0.1131
2022-05-31,1536.80000,1013.80000,523.00010,349.20000,-16.60000,365.80000,157.20010,-27.40000,129.80000,21.70000,108.10000,,108.10000,118.50000,206.40010,157.20010,268.30000,270.50000,0.44000,0.44000,0.74200,0.45930,1.16100,34.03180,10.22910,10.22910,8.44610,7.71080,0.11860,0.75400,3.11660,28.87750,2.34230,-2.63350,0.83420,1.26650,17.20130,0.5046,0.2906
2022-02-28,1522.40000,962.00000,560.40000,333.30000,-20.20000,353.50000,206.90000,-26.90000,180.00000,34.40000,145.60000,,145.60000,154.90000,255.90000,206.90000,267.80000,270.50000,0.58000,0.57000,0.72770,0.46210,1.16420,36.81030,13.59040,13.59040,11.82340,10.17470,0.11760,0.77320,2.94640,30.54590,3.15550,-3.49760,1.12510,1.69720,17.21720,0.06620,-0.09540
2021-11-30,1730.30000,1027.40000,702.90000,398.90010,-27.80000,426.70000,276.20030,-28.00000,248.20000,57.20000,191.00000,,191.00000,197.40000,323.40030,276.20010,267.30000,269.90000,0.74000,0.73000,0.68110,0.47310,1.19370,40.62300,15.96260,15.96260,14.34430,11.40840,0.13410,0.86900,3.14890,28.58180,4.31590,-4.37790,1.48000,2.27410,16.55630,1.6878,1.3611
