Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.56700,,-0.56700,2.30380,1.73680,0.36470,1.37210,1.37210,0.00630,1.37840,-0.56700,-0.56700,6.97640,6.97640,0.20000,0.20000,24.53560,0.02000,,,,,,,,,1.85230,1.85230,1.72730,1.85230,10.61810,-0.0116,-0.0116
2024-06-30,,,,0.34500,,-0.34500,-8.42360,-8.76860,-1.84140,-6.92720,-6.92720,0.00000,-6.92720,-0.34500,-0.34500,6.97640,6.97640,-0.99000,-0.99000,21.20520,0.01630,,,,,,,,,-9.52800,-9.52800,-8.87490,-9.52800,10.42130,0.0001,0.0001
2024-03-31,,,,0.33010,,-0.33010,24.01940,23.68930,4.14280,19.54650,19.54650,,19.54650,-0.33010,-0.33010,2.62510,2.62510,7.45000,7.45000,15.62140,,,,,,,,,,30.41760,30.41760,26.74620,30.41760,24.48020,-0.00020,-0.00020
2023-12-31,1.13330,0.92720,0.20610,2.12910,-8.01850,8.22460,8.64680,16.87140,,16.74100,16.74100,-11.39370,5.34730,8.22460,8.22460,1.54170,1.54170,4.80000,4.80000,11.58670,0.03790,18.18910,725.71880,725.71880,1488.68800,471.83240,0.02320,1.13330,79.41350,37.44490,37.44490,34.21320,37.44490,17.03090,-1.913,0.2084
2023-09-30,1.50000,0.27090,1.22910,0.23480,0.23480,0.99430,-14.40640,-13.41210,,-13.41210,-13.41210,0.30140,-13.11070,0.99430,0.99430,1.41680,1.41680,-9.25000,-9.25000,19.54760,0.04260,81.94240,66.28910,66.28910,-894.13740,-874.04460,0.03620,0.25270,356.11590,-34.13610,-34.13610,-32.38980,-34.13610,14.96760,15.4328,-10.7637
2023-06-30,,,,0.13650,,-0.13650,,-0.13650,0.00000,-0.13650,-0.13650,-1.07770,-1.21420,-0.13650,-0.13650,1.05450,1.05450,-1.15000,-1.15000,8.68020,0.05850,,,,,,,,,-0.35100,-0.35120,-0.32170,-0.35100,36.85270,-0.1294,-0.1294
2023-03-31,,,,0.16630,,-0.16630,,-0.16630,,-0.16630,-0.16630,-0.77580,-0.94210,-0.16630,-0.16630,1.05450,1.05450,-0.90000,-0.90000,8.50100,0.03240,,,,,,,,,-0.42080,-0.42110,-0.38490,-0.42080,0.20260,-0.48530,-0.48530
2022-12-31,-3.59040,-0.76860,-2.82180,-2.14210,-2.14210,-0.67970,,-0.77460,-0.13470,-0.63990,-0.63990,1.50150,0.86160,-0.67970,-0.67970,1.20810,1.20810,-7.46000,-7.46000,9.65960,0.02930,78.59330,18.93070,18.93070,21.57380,-23.99720,-0.07720,-0.61840,-145.52510,-1.53430,-1.53430,-1.37540,-1.53430,39.57000,-31.081,-31.0831
2022-09-30,,,,6.31600,,-6.31600,0.02200,-6.29400,0.00000,-6.29400,-6.29400,-2.36310,-8.65710,-6.31600,-6.31600,192.76890,192.76890,-0.04000,-0.04000,11.04990,0.02890,,,,,,,,,-14.96790,-14.97810,-13.65470,-14.96790,39.92160,-0.246,-0.2439
2022-06-30,1.45150,0.09590,1.35550,1.82740,1.82750,-0.47190,0.02470,-0.44730,0.00490,-0.45210,-0.45210,-0.16800,-0.62010,-0.45820,-0.47190,155.82700,155.82700,0.00000,0.00000,4.57140,0.08020,93.38950,-32.51400,-32.51400,-30.81520,-42.72210,0.07700,1.18660,75.84950,-3.24430,-3.25190,-2.39720,-3.24430,13.94790,0.014,0.014
