Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,35.50600,13.34900,,-48.85500,8.29500,-40.56000,,-40.56000,-40.56000,-40.56000,-48.77900,-48.85500,58.33700,58.33700,-0.69000,-0.69000,24.46040,,,,,,,-6.46000,-6.46000,-6.20890,-6.46000,10.79900,-0.5089,-0.5089
2024-06-30,,,36.25900,13.76800,,-50.02700,7.99900,-42.02800,,-42.02800,-42.02800,-42.02800,-49.95000,-50.02700,55.05200,55.05200,-0.75000,-0.75000,28.87200,,,,,,,-6.40460,-6.40460,-6.16960,-6.40460,11.33920,-0.4648,-0.4648
2024-03-31,,,30.64600,12.34300,,-42.98900,5.64900,-37.34000,,-37.34000,-37.34000,-37.14800,-42.91300,-42.98900,43.01100,43.01100,-0.86000,-0.86000,20.32940,,,,,,,-8.77220,-8.77220,-8.30830,-8.77220,9.88400,-0.88920,-0.88920
2023-12-31,,,34.84800,10.63700,,-45.48500,5.80000,-39.68500,,-25.56300,-25.56300,-23.80300,-45.40800,-45.48500,41.55000,41.55000,-0.54000,-0.54000,17.06620,,,,,,,-5.63190,-5.63190,-5.27960,-5.63190,10.58030,-0.5138,-0.514
2023-09-30,,,33.82100,10.98200,-0.44000,-45.24300,6.06000,-39.18300,,-39.18300,-39.18300,-39.18300,-45.16300,-45.24300,42.73400,42.73400,-0.91000,-0.91000,20.33410,,,,,,,-8.35780,-8.35780,-7.92040,-8.35780,10.96370,-0.6653,-0.665
2023-06-30,,,27.39100,10.21400,,-37.60500,5.39100,-32.21400,,-32.21400,-32.21400,-32.21400,-37.52400,-37.60500,39.95200,39.95200,-0.82000,-0.82000,25.32200,,,,,,,-6.44830,-6.44830,-6.17150,-6.44830,11.69000,-0.7989,-0.8002
2023-03-31,,,52.09600,10.66000,,-62.75600,4.61500,-58.14100,,-58.14100,-58.14100,-57.96200,-62.68400,-62.75600,40.68200,40.68200,-1.42000,-1.42000,15.24710,,,,,,,-11.97180,-11.97180,-11.28970,-11.97180,12.34370,-1.25360,-1.25750
2022-12-31,,,21.32100,11.28700,,-32.60800,3.66200,-28.94600,-1.85800,-27.08800,-27.08800,-26.78200,-32.54900,-32.60800,45.16400,46.64000,-0.63000,-0.58000,21.08950,,,,,,,-5.06290,-5.06290,-4.82750,-5.06290,11.68290,-0.4865,-0.5033
2022-09-30,,,19.68000,10.08600,,-29.76600,2.35300,-27.41300,-2.52300,-24.89000,-24.89000,-24.80400,-29.75700,-29.76600,45.61100,45.61100,-0.54000,-0.54000,21.46530,,,,,,,-4.24650,-4.24650,-4.03250,-4.24650,12.81350,-1.2089,-1.2144
2022-06-30,,,26.41100,10.69500,276.78500,239.67900,0.45600,240.13500,66.07000,174.06500,174.06500,174.89800,239.69100,239.67900,44.87300,46.38100,3.90000,3.77000,10.04020,,,,,,,28.78930,28.78930,26.08700,28.78930,13.31880,-0.5273,-0.5273
2022-03-31,,,24.53600,8.12100,,-32.65700,0.19700,-32.46000,-19.56800,-12.89200,-12.89200,-12.09800,-32.64400,-32.65700,44.43200,44.43200,-0.27000,-0.27000,18.67720,,,,,,,-3.07340,-3.07340,-2.94700,-3.07340,9.39250,-0.49310,-0.49310
2021-12-31,,,20.87800,13.46900,,-34.34700,0.14100,-34.20600,,-34.20600,-34.20600,-32.51400,-34.33500,-34.34700,43.07700,43.07700,-0.76000,-0.76000,25.24810,,,,,,,-8.04140,-8.04140,-7.82410,-8.04140,9.60390,-0.3577,-0.3577
2021-09-30,,,12.68000,5.69500,,-18.37500,0.11600,-18.25900,0.00000,-18.25900,-18.25900,-17.35000,-18.36200,-18.37500,43.43900,43.43900,-0.40000,-0.40000,41.82090,,,,,,,-4.09880,-4.09880,-4.02710,-4.09880,10.20300,-0.2415,-0.2415
2021-06-30,,,11.77800,4.82600,,-16.60400,0.16500,-16.43900,0.00000,-16.43900,-16.43900,-15.63600,-16.59100,-16.60400,43.29500,43.29500,-0.36000,-0.36000,59.98030,,,,,,,-3.58510,-3.58510,-3.54020,-3.58510,10.53490,-0.373,-0.373
2021-03-31,18.94300,18.94300,12.41500,5.15600,,1.37200,0.04700,1.41900,,1.41900,1.41900,-0.07000,1.38700,1.37200,41.97700,41.97700,0.00000,0.00000,45.20850,100.00000,7.24280,7.24280,7.49090,-0.36950,0.03950,0.30210,0.30210,0.29580,0.30210,10.79370,-0.03610,-0.03610
2020-12-31,,,16.62900,12.54400,,-29.17300,0.06700,-29.10600,0.00000,-29.10600,-29.10600,-28.34600,-29.15800,-29.17300,19.88700,19.88700,-1.39000,-1.39000,14.82390,,,,,,,-14.53020,-14.53020,-13.55610,-14.53020,6.71500,-0.466,-0.4659
2020-09-30,,,9.91300,1.58600,,-11.49900,0.18500,-11.31400,,-11.31400,-11.31400,-9.85800,-11.48400,-11.49900,19.72200,19.72200,-0.50000,-0.50000,,,,,,,,,,,,,-0.4569,-0.4572
2020-06-30,,,12.49600,1.62600,,-14.12200,0.24700,-13.87500,,-13.87500,-13.87500,-8.62200,-14.10600,-14.12200,19.62000,19.62000,-0.44000,-0.44000,,,,,,,,,,,,,-0.3067,-0.3068
2020-03-31,,,4.17300,1.36800,,-5.54100,0.37800,-5.16300,,-5.16300,-5.16300,-4.97300,-5.52500,-5.54100,18.74700,18.74700,-0.27000,-0.27000,,,,,,,,,,,,,-0.26750,-0.26770
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
