Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,249.11400,249.11400,27.39900,-19.49400,202.22100,-32.88900,169.33200,11.46800,157.86400,157.86400,135.64300,202.22100,202.22100,219.41300,223.56400,0.62000,0.61000,15.74850,0.35230,0.54380,100.00000,81.17610,81.17610,67.97370,54.45020,0.03970,4.78760,4.99040,2.51580,3.10110,15.02750,1.2518,1.2516
2024-06-30,159.65300,159.65300,23.72300,-14.42800,121.50200,-34.53300,86.96900,11.69700,75.27200,75.27200,53.74600,121.50200,121.50200,219.16400,223.34400,0.25000,0.24000,11.01110,0.35650,0.55400,100.00000,76.10380,76.10380,54.47380,33.66430,0.02610,2.32870,2.42940,1.22980,1.49860,14.73160,-0.4408,-0.441
2024-03-31,44.29500,44.29500,27.81300,-2.32500,14.15700,-33.05900,-18.90200,-1.40400,-17.49800,-17.49800,-29.93700,14.15700,14.15700,218.93400,218.93400,-0.14000,-0.14000,14.17340,0.36700,0.57980,100.00000,31.96070,31.96070,-42.67300,-67.58550,0.00740,-0.55970,-0.58480,-0.29100,-0.35430,14.29650,0.24190,0.24170
2023-12-31,292.57300,292.57300,42.37800,-77.85900,172.33600,-27.84200,144.49400,4.53400,139.96000,139.96000,100.09500,172.33600,172.33600,218.86600,223.01000,0.46000,0.45000,9.53360,0.32360,0.47840,100.00000,58.90360,58.90360,49.38730,34.21200,0.05010,4.36310,4.55330,2.39760,2.95120,14.64990,-0.3153,-0.3164
2023-09-30,368.87300,368.87300,25.13400,-27.93400,315.80500,-19.20200,296.60300,-0.53100,297.13400,297.13400,272.54200,315.80500,315.80500,218.93400,222.88700,1.24000,1.22000,9.67790,0.33410,0.50180,100.00000,85.61350,85.61350,80.40790,73.88510,0.06670,9.78340,10.23480,5.37670,6.51440,13.88720,0.0877,0.088
2023-06-30,44.55100,44.55100,31.32400,-12.30800,0.91900,-12.22600,-11.30700,8.96900,-20.27600,-20.27600,-21.54000,0.91900,0.91900,218.95700,218.95700,-0.10000,-0.10000,27.36690,0.37740,0.60620,100.00000,2.06280,2.06280,-25.37990,-48.34910,0.00860,-0.74110,-0.77920,-0.39160,-0.46140,12.49590,-0.9315,-0.9419
2023-03-31,380.90500,380.90500,28.43300,-25.86600,326.60600,-18.11300,308.49300,7.11200,301.38100,301.38100,259.42500,326.60600,326.60600,218.61940,221.62820,1.19000,1.17000,6.30570,0.32230,0.47560,100.00000,85.74470,85.74470,80.98950,68.10750,0.08140,11.35850,11.96230,6.43800,7.69730,12.11820,-0.07260,-0.07580
2022-12-31,161.33600,161.33600,34.77500,-7.35100,119.21000,-18.74000,100.47000,0.75400,99.71600,99.71600,81.91400,119.21000,119.21000,218.75700,221.80200,0.38000,0.39000,14.51180,0.34410,0.52460,100.00000,73.88930,73.88930,62.27380,50.77230,0.03760,4.17730,4.42560,2.32530,2.73990,10.92070,-1.2117,-1.2128
2022-09-30,-12.70100,-12.70100,20.48900,-4.83000,-38.02000,-26.66300,-64.68300,-7.56200,-57.12100,-57.12100,-58.33600,-38.02000,-38.02000,218.70150,218.70150,-0.27000,-0.27000,,,,100.00000,299.34650,299.34650,509.27490,459.30240,,,,,,,-0.6529,-0.6535
2022-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2022-03-31,123.10200,123.10200,23.66100,-6.62600,92.81500,-16.35500,76.46000,3.42400,73.03600,73.03600,56.28000,92.81500,92.81500,219.05000,221.19600,0.26000,0.25000,,,,100.00000,75.39680,75.39680,62.11110,45.71820,,,,,,,-0.23680,-0.23700
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
