Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,27.20700,3.96100,23.24600,17.99000,7.73000,,25.87000,-2.62400,2.32000,-0.30400,1.00700,-1.31100,-1.31100,0.00000,-1.31100,-1.90200,-2.62400,23.67800,23.67800,-0.06000,-0.06000,7.60170,85.44130,-9.64460,-9.64460,-1.11740,-4.81860,0.08920,0.70430,127.78700,-0.49330,-0.63850,-0.43000,-0.49330,11.24860,0.0173,-0.0319
2024-06-30,28.43700,2.93300,25.50400,18.75800,6.63200,,25.53900,-0.03500,1.34800,1.31300,1.60400,-0.29100,-0.29100,,-0.29100,0.79200,-0.03500,23.62800,23.62800,-0.01000,-0.01000,8.29670,89.68600,-0.12310,-0.12310,4.61720,-1.02330,0.09470,0.79760,112.84420,-0.11030,-0.14330,-0.09690,-0.11030,11.14900,0.1024,0.0766
2024-03-31,22.07200,2.50300,19.56900,17.99100,6.38800,,24.52900,-4.96000,1.19700,-3.76300,1.68500,-5.44800,-5.44800,,-5.44800,-4.17300,-4.96000,23.50800,23.50800,-0.23000,-0.23000,7.69080,88.65980,-22.47190,-22.47190,-17.04880,-24.68290,0.07320,0.65620,137.14890,-2.07660,-2.70570,-1.80730,-2.07660,11.12500,-0.31270,-0.32810
2023-12-31,24.16200,2.25900,21.90300,18.14500,6.39600,,24.69000,-2.78700,1.84100,-0.94600,7.15200,-8.09800,-8.09800,11.86700,3.76900,-1.98200,-2.78700,23.48400,23.48400,0.16000,0.16000,7.78710,90.65060,-11.53460,-11.53470,-3.91520,15.59890,0.07950,0.79720,112.88920,-3.06350,-3.98790,-2.66310,-3.06350,11.27690,0.2025,1.4722
2023-09-30,24.07300,2.35700,21.71600,17.81400,6.47000,,24.43300,-2.71700,1.08400,-1.63300,1.11700,-2.75000,-2.75000,-2.20700,-4.95700,-1.64400,-2.71700,23.60500,23.60500,-0.21000,-0.21000,6.66750,90.20900,-11.28650,-11.28650,-6.78350,-20.59150,0.08130,0.77500,116.13300,-1.07130,-1.40920,-0.92910,-1.07130,10.89560,-0.052,-0.0894
2023-06-30,22.92200,3.52400,19.39800,18.05600,6.54300,,24.74100,-5.34300,0.99900,-4.34400,0.54600,-4.89000,-4.89000,-0.92800,-5.81800,-3.90400,-5.34300,23.47600,23.47600,-0.25000,-0.25000,6.70850,84.62610,-23.30950,-23.30950,-18.95120,-25.38170,0.07630,0.71920,125.14090,-1.89110,-2.79580,-1.62850,-1.89110,10.98530,-0.2026,-0.2506
2023-03-31,26.26200,3.50800,22.75400,18.67400,6.54600,,25.37400,-2.62000,1.33800,-1.28200,1.41700,-2.69900,-2.69900,-2.17300,-4.87200,-1.17800,-2.62000,23.33400,23.33400,-0.21000,-0.21000,5.15350,86.64230,-9.97640,-9.97640,-4.88160,-18.55150,0.08440,0.75020,119.96920,-1.03860,-1.50710,-0.86750,-1.03860,11.09800,-0.21750,-0.22200
2022-12-31,22.94700,-3.75900,26.70600,14.08100,6.61200,,20.64300,6.06300,1.76900,7.83200,-1.74100,9.57300,9.57300,-7.63300,1.94000,7.85900,6.06300,23.17200,23.17200,0.08000,0.08000,5.33760,116.38120,26.42180,26.42180,34.13080,8.45430,0.07440,0.76930,116.99570,3.69800,4.79410,3.10370,3.69800,11.15100,0.1468,0.1218
2022-09-30,30.05000,5.66100,24.38900,16.48800,6.12900,-3.55600,26.74800,-2.35900,-0.34700,-2.70600,17.92600,-20.63200,-20.63200,-1.67200,-22.30400,-0.35800,-2.35900,23.21100,23.21100,-0.96000,-0.96000,6.09970,81.16140,-7.85030,-7.85030,-9.00500,-74.22300,0.10190,1.12280,80.15540,-8.17770,-12.13850,-6.99830,-8.17770,10.88100,0.0782,0.0429
2022-06-30,33.19500,6.82500,26.37000,19.53800,6.35800,,26.64600,-0.27600,-0.27200,-0.54800,0.57500,-1.12300,-1.12300,,-1.12300,1.81500,-0.27600,23.17400,23.17400,-0.05000,-0.05000,5.49470,79.43970,-0.83150,-0.83150,-1.65090,-3.38300,0.10390,1.18710,75.81200,-0.41030,-0.60160,-0.35160,-0.41030,11.82970,-0.3514,-0.4028
2022-03-31,34.39100,6.40400,27.98700,20.21000,6.55900,,27.51900,0.46800,-0.84900,-0.38100,1.31500,-1.69600,-1.69600,,-1.69600,2.53800,0.46800,23.10300,23.10300,-0.07000,-0.07000,4.83740,81.37890,1.36080,1.36080,-1.10780,-4.93150,0.10260,1.46290,61.51960,-0.60990,-0.89330,-0.50620,-0.60990,11.98410,0.42520,0.38590
2021-12-31,25.18300,-0.52600,25.70900,15.27900,5.13200,,20.62100,5.08800,1.83500,6.92300,1.04400,5.87900,5.87900,,3.87800,7.45500,5.08800,22.81900,23.25100,0.18000,0.18000,5.33240,102.08870,20.20420,20.20410,27.49080,15.39930,0.07660,0.91740,98.09830,2.12440,3.13800,1.78880,2.12440,12.03970,0.4626,0.434
2021-09-30,32.79000,4.83000,27.96000,18.76000,6.65700,,26.26600,1.69400,-0.04700,1.64700,1.81400,-0.16700,-0.16700,,-0.16700,3.48000,1.69400,22.92500,22.92500,-0.01000,-0.01000,5.88110,85.26990,5.16620,5.16620,5.02290,-0.50930,0.10320,1.23360,72.95790,-0.06190,-0.09260,-0.05260,-0.06190,11.74370,0.2829,0.2716
2021-06-30,30.45700,3.69300,26.76400,17.45700,7.05200,,25.17600,1.58800,0.35600,1.94400,1.62900,0.31500,0.31500,,0.31500,3.24600,1.58800,22.82300,23.14000,0.01000,0.01000,5.50690,87.87470,5.21390,5.21390,6.38280,1.03420,0.09810,1.14080,78.88930,0.11890,0.18070,0.10140,0.11890,11.60670,-0.3096,-0.3171
2021-03-31,25.40200,2.38100,23.02100,17.59300,6.18200,,24.35100,-1.33000,0.03600,-1.29400,2.33600,-3.63000,-3.63000,,-3.63000,0.26400,-1.33000,22.54600,22.54600,-0.16000,-0.16000,4.83960,90.62670,-5.23580,-5.23580,-5.09410,-14.29020,0.08050,1.03130,87.26830,-1.38740,-1.81150,-1.15040,-1.38740,11.47030,0.67390,0.62700
2020-12-31,28.14500,2.49000,25.65500,16.31500,6.35800,,23.24800,2.40700,0.59500,3.00200,2.36700,0.63500,0.63500,,0.63500,4.02200,2.40700,22.10700,22.10700,0.02000,0.02000,5.94600,91.15300,8.55220,8.55220,10.66620,2.25620,0.09170,0.90140,99.84580,0.24340,0.31910,0.20690,0.24340,11.71960,0.3096,0.2914
2020-09-30,24.96000,2.50300,22.45700,15.60300,6.27700,,22.45500,0.00200,1.02000,1.02200,1.76100,-0.73900,-0.73900,,-0.73900,1.53500,0.00200,22.16300,22.16300,-0.03000,-0.03000,6.85940,89.97200,0.00800,0.00800,4.09460,-2.96070,0.08280,0.86130,104.49160,-0.28800,-0.38090,-0.24510,-0.28800,11.54010,-0.1969,-0.249
2020-06-30,23.60600,3.00500,20.60100,14.97900,6.55600,,22.11000,-1.50900,0.83800,-0.67100,0.41900,-1.09000,-1.09000,,-1.09000,0.04100,-1.50900,22.01700,22.01700,-0.05000,-0.05000,7.27630,87.27020,-6.39240,-6.39240,-2.84250,-4.61750,0.07970,1.19340,75.41690,-0.43190,-0.57620,-0.36790,-0.43190,11.45310,0.2814,0.2549
