Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,635.10000,74.10000,561.00000,97.50000,239.20000,342.50000,218.50000,25.30000,243.80000,36.90000,206.90000,206.90000,206.90000,237.10000,218.50000,110.50000,113.40000,1.87000,1.83000,1.13750,88.33260,34.40400,34.40400,38.38770,32.57760,0.11520,1.62060,55.53610,7.31460,22.29050,3.75320,7.31460,,2.2036,2.1611
2024-06-30,627.40000,72.40000,555.00000,97.10000,242.80000,345.70000,209.30000,23.70000,233.00000,35.60000,197.40000,197.40000,197.40000,228.00000,209.30000,111.10000,113.60000,1.78000,1.74000,1.22690,88.46030,33.35990,33.35990,37.13740,31.46320,0.11240,1.37380,65.51320,6.97900,17.83200,3.53670,6.97900,,1.8038,1.7466
2024-03-31,598.80000,65.10000,533.70000,99.20000,234.80000,339.80000,193.90000,22.60000,216.50000,32.60000,183.90000,183.90000,183.90000,214.70000,193.90000,112.30000,115.20000,1.64000,1.60000,1.16110,89.12830,32.38140,32.38140,36.15560,30.71140,0.10870,1.55010,58.06110,6.64670,17.82320,3.33960,6.64670,,3.13370,3.07730
2023-12-31,663.49990,75.70000,587.79990,100.00000,230.20000,335.99990,251.80000,18.40000,270.20000,21.00000,249.20000,249.20000,249.20000,274.10000,251.80000,116.91400,118.34800,2.17000,2.13000,1.17830,88.59080,37.95030,37.95030,40.72340,37.55840,0.11650,1.00880,89.21330,8.83370,23.23540,4.37540,8.83370,,1.9592,1.9205
2023-09-30,596.30000,64.10000,532.20000,90.00000,213.10000,306.10000,226.10000,17.70000,243.80000,38.80000,205.00000,205.00000,205.00000,235.90000,226.10000,116.00000,117.30000,1.77000,1.75000,1.08330,89.25040,37.91720,37.91720,40.88550,34.37870,0.11040,1.67970,53.58040,7.36300,20.03130,3.79500,7.36300,,1.9735,1.9204
2023-06-30,588.70000,63.50000,525.20000,87.40000,214.00000,303.80000,221.40000,21.30000,242.70000,40.70000,202.00000,202.00000,202.00000,229.60000,221.40000,118.00000,119.20000,1.71000,1.70000,1.16640,89.21350,37.60830,37.60830,41.22640,34.31290,0.10720,1.42400,63.20030,7.14690,13.14160,3.67850,7.14690,,1.6531,1.6223
2023-03-31,566.20000,65.30000,500.90000,91.50000,206.80000,301.10000,199.80000,19.10000,218.90000,34.80000,184.10000,184.10000,184.10000,210.00000,199.80000,119.80000,121.10000,1.54000,1.52000,1.19590,88.46700,35.28790,35.28790,38.66130,32.51500,0.10210,1.59270,56.50830,6.41130,11.65710,3.32060,6.41130,,3.18410,3.14950
2022-12-31,638.49990,80.90000,557.60000,90.80000,209.90000,303.60000,253.99990,15.30000,269.30000,-0.60000,269.90000,269.90000,269.90000,281.99990,254.00000,125.20600,126.33900,2.20000,2.18000,1.26780,87.32970,39.78070,39.78070,42.17700,42.27100,0.11150,0.99120,90.80350,9.21380,16.51980,4.71460,9.21380,24.25680,1.8949,1.8447
2022-09-30,577.60000,72.80000,504.80000,86.30000,194.30000,283.50000,221.30000,11.90000,233.20000,49.20000,184.00000,184.00000,184.00000,230.80000,221.30000,124.30000,125.00000,1.48000,1.47000,1.22770,87.39610,38.31370,38.31370,40.37400,31.85600,0.10560,1.88390,47.77360,6.31300,11.38680,3.36530,6.31300,,2.0255,1.99
2022-06-30,571.10000,71.90000,499.20000,86.30000,201.20000,290.40000,208.80000,9.70000,218.50000,44.90000,173.60000,173.60000,173.60000,217.70000,208.80000,126.50000,127.70000,1.37000,1.36000,1.24140,87.41030,36.56100,36.56100,38.25950,30.39750,0.10170,1.66020,54.21120,5.73980,10.07900,3.09280,5.73980,,1.7082,1.6552
2022-03-31,542.70000,66.90000,475.80000,86.50000,185.90000,275.60000,200.20000,7.10000,207.30000,37.90000,169.40000,169.40000,169.40000,208.50000,200.20000,128.30000,129.80000,1.32000,1.30000,1.28950,87.67270,36.88960,36.88960,38.19790,31.21430,0.09480,1.63810,54.94200,5.38460,9.20400,2.95850,5.38460,,3.06630,3.03000
2021-12-31,599.10010,76.20000,522.90010,85.50000,188.60000,277.00010,245.90000,9.90000,255.80000,-3.90000,259.70000,259.70000,259.70000,275.80000,245.90000,133.12200,134.11000,1.98000,1.97000,1.36550,87.28090,41.04490,41.04490,42.69740,43.34840,0.10150,1.00220,89.80470,7.97340,12.98570,4.40150,7.97340,25.23590,2.3143,2.2812
2021-09-30,534.00000,61.00000,473.00000,71.30000,175.00000,248.50000,224.50000,9.20000,233.70000,46.70000,187.00000,187.00000,187.00000,231.90000,224.50000,132.60000,133.40000,1.41000,1.40000,1.43360,88.57680,42.04120,42.04120,43.76410,35.01870,0.09420,1.64810,54.60670,5.66670,9.14470,3.29770,5.66670,,1.929,1.8962
2021-06-30,526.10000,57.50000,468.60000,67.50000,177.10000,246.30000,222.30000,10.40000,232.70000,46.70000,186.00000,186.00000,186.00000,229.90000,222.30000,133.70000,134.80000,1.39000,1.38000,1.49670,89.07050,42.25430,42.25430,44.23110,35.35450,0.09300,1.42810,63.02220,5.68700,8.32550,3.28650,5.68700,,2.0061,1.9811
2021-03-31,507.60000,54.90000,452.70000,68.40000,167.80000,237.90000,214.80000,12.60000,227.40000,44.50000,182.90000,182.90000,182.90000,221.60000,214.80000,136.00000,137.30000,1.35000,1.33000,1.51710,89.18440,42.31680,42.31680,44.79910,36.03230,0.08900,1.44950,62.09220,5.42840,7.84740,3.20740,5.42840,,2.72760,2.69990
2020-12-31,563.79990,64.60000,499.20000,66.90000,179.20000,247.79990,251.40000,14.20000,265.60000,-5.20000,270.79990,270.79990,270.80000,268.00000,251.40000,140.50000,142.00000,1.96000,1.93000,1.47600,88.54200,44.59030,44.59030,47.10890,48.03120,0.09660,1.04250,86.32850,7.81260,11.16470,4.63760,7.81260,25.26390,2.0882,2.0713
2020-09-30,509.00000,52.10000,456.90000,61.30000,162.60000,225.60000,231.30000,14.40000,245.70000,45.00000,200.70000,200.70000,200.70000,238.20000,231.30000,139.30000,141.10000,1.44000,1.42000,1.46480,89.76420,45.44200,45.44200,48.27110,39.43030,0.09240,1.68380,53.45190,5.98730,8.69090,3.64310,5.98730,,1.8004,1.7675
2020-06-30,505.60000,52.60000,453.00000,62.40000,168.10000,232.10000,220.90000,18.70000,239.60000,43.20000,196.40000,196.40000,196.40000,227.30000,220.90000,141.50000,142.60000,1.39000,1.38000,1.43980,89.59650,43.69070,43.69070,47.38920,38.84490,0.09050,1.53720,58.54630,5.76510,8.23140,3.51510,5.76510,,1.8184,1.79
2020-03-31,486.50000,50.60000,435.90000,62.20000,171.50000,235.30000,200.60000,19.30000,219.90000,41.20000,178.70000,178.70000,178.70000,207.20000,200.60000,144.20000,145.40000,1.24000,1.23000,1.53550,89.59920,41.23330,41.23330,45.20040,36.73180,0.08660,1.52650,58.95790,5.15620,7.31480,3.17930,5.15620,,2.46910,2.41130
2019-12-31,544.00010,60.10000,483.90010,62.60000,170.40000,234.40010,249.50000,19.90000,269.40000,-3.10000,272.50000,272.50000,272.50000,269.20000,249.50010,150.60000,152.10000,1.83000,1.82000,1.52800,88.95220,45.86400,45.86400,49.52210,50.09190,0.09440,1.09720,82.02570,7.63560,10.71110,4.72690,7.63560,24.52780,5.6397,5.5059
2019-09-30,490.90000,51.10000,439.80000,60.10000,164.50000,226.00000,213.80000,20.90000,234.70000,46.90000,187.80000,187.80000,187.80000,209.30000,213.80000,149.40000,150.80000,1.26000,1.25000,1.62990,89.59060,43.55270,43.55270,47.81010,38.25630,0.08700,1.67850,53.61980,5.24110,7.24630,3.32900,5.24110,,-2.3585,-2.2993
2019-06-30,488.10000,51.00000,437.10000,58.90000,164.30000,224.60000,212.50000,20.90000,233.40000,47.90000,185.50000,185.50000,185.50000,217.90000,212.50000,152.00000,153.70000,1.22000,1.21000,1.55380,89.55130,43.53620,43.53620,47.81810,38.00450,0.08490,1.52240,59.11900,5.06550,6.95190,3.22730,5.06550,,1.5494,1.5153
2019-03-31,471.80000,47.60000,424.20000,57.60000,159.20000,218.20000,206.00000,18.90000,224.90000,45.00000,179.90000,179.90000,179.90000,211.40000,206.00000,154.20000,155.90000,1.17000,1.15000,1.65340,89.91100,43.66260,43.66260,47.66850,38.13060,0.08110,1.47440,61.04110,4.80430,6.54410,3.09430,4.80430,,2.42980,2.36820
