Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,10.87400,8.87600,,-19.75000,1.37800,-18.37200,,-18.37200,-18.37200,-18.37200,-19.82300,-19.75000,89.02400,89.02400,-0.21000,-0.21000,6.07930,-25.25610,-25.25600,-14.76450,-25.25600,0.81420,-0.3533,-0.3541
2024-06-30,19.42200,9.21100,,-28.63300,1.95700,-26.67600,,-26.67600,-26.67600,-26.67600,-28.44200,-28.63300,88.64400,88.64400,-0.30000,-0.30000,3.56540,-31.75750,-31.75750,-17.04990,-31.75750,0.94540,-0.1884,-0.1888
2024-03-31,34.82400,10.89800,-27.34700,-73.06900,1.92300,-71.14600,,-71.14600,-71.14600,-71.14600,-72.95900,-73.06900,88.04200,88.04200,-0.81000,-0.81000,4.11000,-68.42090,-68.42080,-40.12480,-68.42080,1.17440,-0.36960,-0.36970
2023-12-31,53.80100,11.18200,,-64.98300,2.43200,-62.55100,,-62.55100,-62.55100,-62.55100,-64.36200,-64.98300,86.79800,86.79800,-0.72000,-0.72000,4.91800,-37.05260,-37.05260,-25.67670,-37.05260,1.92380,-0.2835,-0.2831
2023-09-30,36.74900,11.46100,,-48.21000,2.58400,-45.62600,,-45.62600,-45.62600,-45.62600,-47.79800,-48.21000,87.11500,87.11500,-0.52000,-0.52000,9.30830,-20.64120,-20.64120,-16.09410,-20.64120,2.52690,-0.3345,-0.3357
2023-06-30,27.28000,10.53700,,-37.81700,2.69700,-35.12000,,-35.12000,-35.12000,-35.12000,-38.00900,-37.81700,86.64600,86.64600,-0.41000,-0.41000,10.27460,-13.77370,-13.77370,-11.00260,-13.77370,2.93680,-0.3729,-0.3758
2023-03-31,33.07800,11.96800,,-45.04600,2.64200,-42.40400,,-42.40400,-42.40400,-42.40400,-44.99600,-45.04600,85.84500,85.84500,-0.49000,-0.49000,9.57870,-15.12010,-15.12010,-12.10130,-15.12010,3.23990,-0.35110,-0.35420
2022-12-31,35.38800,10.82800,,-46.21600,3.22700,-42.98900,,-42.98900,-42.98900,-42.98900,-46.45200,-46.21600,63.28400,63.28400,-0.03000,-0.03000,10.28170,-13.84810,-13.84810,-11.12490,-13.84810,3.63560,-0.4152,-0.4103
2022-09-30,18.43800,13.00700,,-31.44500,0.60800,-30.83700,,-30.83700,-30.83700,-30.83700,-29.23000,-31.44500,58.16900,58.16900,-0.53000,-0.53000,12.29530,-8.95960,-8.95960,-7.36730,-8.95960,4.04000,-0.2302,-0.2657
2022-06-30,34.44800,14.66900,,-49.11700,0.01400,-49.10300,,-49.10300,-49.10300,-49.10300,-46.69000,-49.11700,54.79800,54.79800,-0.90000,-0.90000,6.07800,-22.03820,-22.03820,-15.99920,-22.03820,4.06260,-0.5915,-0.6268
2022-03-31,176.80700,18.84400,,-195.65100,-1.37200,-197.02300,,-197.02300,-197.02300,-197.02300,-192.39800,-195.65100,54.68600,54.68600,-3.60000,-3.60000,6.87490,-75.81430,-75.81420,-56.97880,-75.81420,4.74560,-3.18710,-3.23440
2021-12-31,72.86800,23.21100,,-96.07900,1.71500,-94.36400,,-94.36400,-94.36400,-94.36400,-93.54300,-96.07900,53.83200,53.83200,-1.74000,-1.74000,11.21970,-21.18270,-21.18270,-17.64390,-21.18270,8.15560,-1.226,-1.514
2021-09-30,43.56000,19.05600,,-62.61600,-0.11300,-62.72900,,-62.72900,-62.72900,-62.72900,-61.41100,-62.61600,54.06900,54.06900,-1.16000,-1.16000,13.08250,-11.95860,-11.95860,-10.10000,-11.95860,9.66170,-0.8456,-1.0387
2021-06-30,40.98500,16.21000,,-57.19500,-0.01400,-57.20900,,-57.20900,-57.20900,-57.20900,-56.07400,-57.19500,53.66900,53.66900,-1.07000,-1.07000,16.94390,-10.01930,-10.01930,-8.73490,-10.01930,10.58640,-0.9197,-1.0386
2021-03-31,38.91500,16.67000,,-55.58500,0.02700,-55.55800,,-55.55800,-55.55800,-55.55800,-54.74800,-55.58500,53.18600,53.18600,-1.04000,-1.04000,27.48060,-9.01840,-9.01840,-8.12530,-9.01840,11.52430,-0.86980,-0.88700
2020-12-31,28.52200,15.82300,,-44.34500,0.06700,-44.27800,,-44.27800,-44.27800,-44.27800,-43.26300,-44.34500,49.49200,49.49200,-0.87000,-0.87000,29.81150,-6.76620,-6.76620,-6.15300,-6.76620,12.32820,-0.6776,-0.6888
2020-09-30,30.38000,12.05500,,-42.43500,0.34900,-42.08600,,-42.08600,-42.08600,-42.08600,-41.35700,-42.43500,48.95000,48.95000,-0.86000,-0.86000,22.42700,-10.17030,-10.17030,-9.55410,-10.17030,8.44700,-0.7294,-0.7295
2020-06-30,28.34600,12.05800,,-40.40400,1.11200,-39.29200,,-39.29200,-39.29200,-39.29200,-39.27500,-40.40400,48.81600,48.81600,-0.80000,-0.80000,23.40680,-8.79010,-8.79010,-8.28150,-8.79010,9.13870,-0.5126,-0.513
2020-03-31,18.28500,11.58800,,-29.87300,2.04900,-27.82400,,-27.82400,-27.82400,-27.82400,-29.25900,-29.87300,48.69100,48.69100,-0.57000,-0.57000,33.74660,-5.82040,-5.82040,-5.56060,-5.82040,9.80300,-0.38230,-0.38330
2019-12-31,16.58200,10.26800,,-26.85000,2.23500,-24.61500,,-24.61500,-24.61500,-24.61500,-27.04000,-26.85000,45.19100,45.19100,-0.51000,-0.51000,38.27200,-4.96550,-4.96550,-4.76210,-4.96550,10.18580,-0.4457,-0.4478
2019-09-30,16.06700,7.51700,,-23.58400,1.85200,-21.73200,,-21.73200,-21.73200,-21.73200,-23.95200,-23.58400,46.28000,46.28000,-0.47000,-0.47000,41.61270,-4.22450,-4.22450,-4.06090,-4.22450,10.57100,-0.3061,-0.3068
2019-06-30,14.11100,5.94600,,-20.05700,0.98500,-19.07200,,-19.07200,-19.07200,-19.07200,-20.21000,-20.05700,43.11500,43.11500,-0.44000,-0.44000,16.57980,-12.53500,-12.53500,-11.23300,-12.53500,3.52330,-0.3309,-0.3424
2019-03-31,15.09800,5.82900,,-20.92700,0.97400,-19.95300,,-19.95300,-19.95300,-19.95300,-21.37200,-20.92700,42.62000,42.62000,-0.47000,-0.47000,20.49310,-11.88460,-11.88460,-10.81410,-11.88460,3.89320,-0.31160,-0.31440
2018-12-31,11.03100,4.48200,,-15.51300,0.98500,-14.52800,,-14.52800,-14.52800,-14.52800,-16.13000,-15.51300,19.83300,19.83300,6.50000,6.50000,34.55270,-7.89590,-7.89590,-7.59600,-7.89590,4.36860,-1.1475,-1.367
2018-09-30,8.70600,3.26900,,-11.97500,0.82700,-11.14800,,-11.14800,-11.14800,-11.14800,-12.45600,-11.97500,32.60900,32.60900,-0.34000,-0.34000,24.41920,-5.68910,-5.68910,-5.41790,-5.68910,4.65310,6.9708,7.5741
2018-06-30,7.14900,2.37500,,-9.52400,0.14700,-9.37700,,-9.37700,-9.37700,-9.37700,-9.55500,-9.52400,2.24800,2.24800,-4.17000,-4.17000,13.39980,12.45750,-13.84120,-12.63320,-13.84120,26.77750,-3.1469,-3.8725
2018-03-31,6.40100,2.30800,,-8.70900,0.22400,-8.48500,,-8.48500,-8.48500,-8.48500,-8.64800,-8.70900,2.02400,2.02400,-4.19000,-4.19000,,,,,,,-4.61510,-4.62350
2017-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,9.1601,9.3128
2017-09-30,5.33300,0.90000,,-6.23300,-0.65300,-6.88600,-0.96600,-5.92000,-5.92000,-5.92000,-5.74700,-6.23300,1.64300,1.64300,-3.60000,-3.60000,,,,,,,-2.3754,-2.4651
2017-06-30,3.75800,0.84000,,-4.59800,-0.09400,-4.69200,,-4.69200,-4.69200,-4.69200,-4.59800,-4.59800,1.47700,1.47700,-3.18000,-3.18000,,,,,,,-6.7847,-6.8477
2016-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
