Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,391.20000,307.30000,83.90000,0.60000,5.00000,78.90000,0.10000,79.00000,20.60000,58.40000,58.40000,58.40000,,78.90000,74.87180,80.00000,0.78000,0.73000,,,,,,,,,,,,,,,,,
2024-06-30,422.10000,,422.10000,,,422.10000,,422.10000,,422.10000,59.30000,59.30000,422.10000,422.10000,69.35000,69.35000,0.81000,0.76000,1.09160,0.54030,4.82980,100.00000,100.00000,100.00000,100.00000,14.04880,0.02460,0.09560,941.53520,6.72110,8.96850,0.34500,3.09000,6.5249,6.4485
2023-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2022-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
