Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.17200,2.17200,25.54400,6.52800,-29.90000,4.72600,-25.17400,-25.17400,-25.17400,-25.17400,-32.12500,-29.90000,34.23670,34.23670,-0.74000,-0.74000,18.29980,100.00000,-1376.61100,-1376.61100,-1159.02400,-1159.02400,0.00610,0.80950,111.17400,-7.45020,-7.45020,-7.10630,-7.45020,11.50640,-0.6209,-0.6217
2024-06-30,1.86300,1.86300,18.07000,5.99700,-22.20400,4.59700,-17.60700,-17.60700,-17.60700,-17.60700,-22.51500,-22.20400,34.22700,34.22700,-0.51000,-0.51000,36.46300,100.00000,-1191.84100,-1191.84100,-945.08850,-945.08860,0.00500,1.11220,80.91790,-4.91520,-4.91520,-4.77210,-4.91520,12.20420,-0.2789,-0.279
2024-03-31,0.87400,0.87400,13.07800,5.64000,-17.84400,4.09600,-13.74800,-13.74800,-13.74800,-13.74800,-18.25500,-17.84400,25.66550,25.66550,-0.54000,-0.54000,42.51880,100.00000,-2041.64800,-2041.64800,-1572.99800,-1572.99800,0.00230,0.99770,90.20600,-3.68890,-3.68890,-3.59460,-3.68890,12.69850,-0.58210,-0.58340
2023-12-31,0.45700,0.45700,8.78100,4.63200,-12.95600,2.39300,-10.56300,-10.56300,-10.56300,-10.56300,-13.38000,-12.95600,5.15300,5.15300,16.16000,16.16000,18.42500,100.00000,-2835.01100,-2835.01100,-2311.37900,-2311.37900,0.00250,0.95610,94.13570,-6.25510,-6.25510,-5.88780,-6.25510,11.39630,-0.7525,-0.7484
2023-09-30,0.92400,0.92400,7.96000,8.72300,-15.75900,0.99600,-14.76300,-14.76300,-14.76300,-14.76300,-16.00200,-15.75900,3.90690,3.90690,-3.78000,-3.78000,14.63820,100.00000,-1705.51900,-1705.51900,-1597.72700,-1597.72700,0.00480,1.23040,73.14940,-8.27610,-8.27610,-7.67060,-8.27610,12.03810,10.7612,10.7757
2023-06-30,0.96900,0.96900,10.25300,2.49200,-11.77600,0.63600,-11.14000,-11.14000,-11.14000,-11.14000,-11.90000,-11.77600,0.87490,0.87490,-12.73000,-12.73000,19.49380,100.00000,-1215.27400,-1215.27400,-1149.63900,-1149.63900,0.01230,,,-14.93220,-14.93220,-14.16620,-14.93220,19.68050,-5.4049,-5.4289
2023-03-31,0.47600,0.47600,5.84700,2.31200,-7.68300,0.59400,-7.08900,-7.08900,-7.08900,-7.08900,-7.96000,-7.68300,0.87470,0.87470,-8.10000,-8.10000,13.94870,100.00000,-1614.07600,-1614.07600,-1489.28600,-1489.28600,0.00570,,,-9.15190,-9.15190,-8.49580,-9.15190,20.43470,-11.75710,-11.77310
2022-12-31,5.24400,5.24400,-5.98900,-9.23300,20.46600,-0.93700,19.52900,19.52900,19.52900,19.52900,20.11300,20.46600,0.87400,0.87400,-12.79000,-12.79000,9.97360,100.00000,390.27460,390.27460,372.40660,372.40660,0.06310,0.93010,96.76200,-44.01600,26.51380,23.49780,26.51380,84.17830,-10.1357,-10.1689
2022-09-30,1.17300,1.17300,7.21800,2.20900,-8.25400,0.47000,-7.78400,-7.78400,-7.78400,-7.78400,-9.34800,-8.25400,0.87430,0.87430,-8.90000,-8.90000,10.22340,100.00000,-703.66580,-703.66580,-663.59770,-663.59770,0.00710,,,-6.27620,-6.27620,-4.74280,-6.27620,32.76970,-13.1703,-13.2536
2022-06-30,,,11.60300,6.48000,-18.08300,0.81200,-17.27100,-17.27100,-17.27100,-17.27100,-17.60600,-18.08300,3.67600,3.67600,-4.64000,-4.64000,12.61920,,,,,,,,,-12.72940,-12.72940,-9.86230,-12.72940,36.88840,-4.5831,-4.6183
2022-03-31,,,16.54700,7.28700,-23.83400,0.88400,-22.95000,-22.95000,-22.95000,-22.95000,-23.32300,-23.83400,3.67490,3.67490,-6.24000,-6.24000,11.37010,,,,,,,,,-15.17980,-15.17980,-11.80650,-15.17980,41.14030,-5.37180,-5.37910
2021-12-31,,,13.11400,7.02600,-20.14000,0.84800,-19.29200,-19.29200,-19.29200,-19.29200,-19.60500,-20.14000,3.43430,3.43430,-4.96000,-4.96000,16.63380,,,,,,,,,-11.17260,-11.17260,-10.15720,-11.17260,46.98640,-5.3606,-5.3876
2021-09-30,,,10.79500,7.45000,-18.24500,0.81800,-17.42700,-17.42700,-17.42700,-17.42700,-17.71300,-18.24500,3.66150,3.66150,-4.80000,-4.80000,19.36290,,,,,,,,,-9.18720,-9.18720,-8.45000,-9.18720,51.63600,-3.1033,-3.4092
2021-06-30,,,11.12900,6.48100,-17.61000,0.68200,-16.92800,-16.92800,-16.92800,-16.92800,-17.13100,-17.61000,3.35660,3.35660,-5.12000,-5.12000,18.96470,,,,,,,,,-8.34340,-8.34340,-7.68130,-8.34340,55.48330,-3.3443,-3.3771
2021-03-31,,,11.72800,6.96900,-18.69700,1.20800,-17.48900,-17.48900,-17.48900,-17.48900,-18.22300,-18.69700,3.03540,3.03540,-5.76000,-5.76000,14.67480,,,,,,,,,-13.55120,-13.55120,-12.09310,-13.55120,42.48590,-5.52600,-5.52840
2020-12-31,,,12.25600,6.80900,-19.06500,0.89700,-18.16800,-18.16800,-18.16800,-18.16800,-18.57000,-19.06500,2.74500,2.74500,-5.60000,-5.60000,13.25700,,,,,,,,,-12.62490,-12.62490,-11.24130,-12.62490,47.44190,-6.6488,-6.7326
2020-09-30,,,11.78600,6.59500,-18.38100,0.70300,-17.67800,-17.67800,-17.67800,-17.67800,-17.88600,-18.38100,3.01600,3.01600,-5.92000,-5.92000,16.65320,,,,,,,,,-11.14870,-11.14870,-10.12250,-11.14870,52.53470,-2.1892,-2.1838
2020-06-30,,,12.61000,7.40200,-20.01200,0.93300,-19.07900,-19.07900,-19.07900,-19.07900,-19.51700,-20.01200,2.47570,2.47570,-7.68000,-7.68000,17.34760,,,,,,,,,-10.97040,-10.97040,-10.00330,-10.97040,57.68170,-7.715,-7.7292
2020-03-31,,,13.96300,7.28100,-21.24400,1.23300,-20.01100,-20.01100,-20.01100,-20.01100,-20.75100,-21.24400,2.46030,2.46030,-8.16000,-8.16000,10.48040,,,,,,,,,-15.95760,-15.95760,-13.85410,-15.95760,50.85330,-6.77040,-6.82360
2019-12-31,,,18.71400,5.92300,-24.63700,1.40000,-23.23700,-23.23700,-23.23700,-23.23700,-24.15200,-24.63700,2.31340,2.31340,-9.76000,-9.76000,10.61590,,,,,,,,,-16.45760,-16.45760,-14.38700,-16.45760,57.54030,-7.5905,-7.7151
2019-09-30,,,16.52400,6.12000,-22.64400,1.65400,-20.99000,-20.99000,-20.99000,-20.99000,-22.16100,-22.64400,2.42650,2.42650,-8.64000,-8.64000,17.15960,,,,,,,,,-12.99460,-12.99460,-11.84320,-12.99460,66.36530,-4.0139,-4.1747
2019-06-30,,,13.43300,5.90500,-19.33800,1.63000,-17.70800,-17.70800,-17.70800,-17.70800,-18.88600,-19.33800,2.29140,2.29140,-7.68000,-7.68000,18.41180,,,,,,,,,-9.86210,-9.86210,-9.06050,-9.86210,74.21390,-5.9287,-6.3671
2019-03-31,,,10.53700,5.81300,-16.35000,1.51600,-14.83400,-14.83400,-14.83400,-14.83400,-15.92700,-16.35000,2.08890,2.08890,-7.04000,-7.04000,17.05520,,,,,,,,,-11.06990,-11.06990,-10.04390,-11.06990,63.84520,-7.15020,-7.74910
2018-12-31,,,12.39000,5.54000,-17.93000,1.25100,-16.67900,-16.67900,-16.67900,-16.67900,-17.57100,-17.93000,1.14930,1.14930,80.32000,80.32000,13.94770,,,,,,,,,-11.45160,-11.45160,-10.60240,-11.45160,69.97050,-22.2545,-27.3146
2018-09-30,,,11.41800,5.28400,-16.70200,0.68700,-16.01500,-16.01500,-16.01500,-16.01500,-16.49300,-16.70200,2.06230,2.06230,-7.84000,-7.84000,13.65280,,,,,,,,,-10.02290,-10.02290,-9.26830,-10.02290,77.23230,53.9923,55.4265
2018-06-30,,,9.68300,4.34200,-14.02500,0.36500,-13.66000,-13.66000,-13.66000,-13.74800,-13.86500,-14.02500,0.27450,0.27450,-50.08000,-50.08000,23.13290,,,,,,,,,-7.93190,-7.93190,-7.56290,-7.93190,83.78100,-5.877,-7.8712
2018-03-31,,,7.84900,3.45700,-11.30600,0.14500,-11.16100,-11.16100,-11.16100,-11.16100,-11.15900,-11.30600,0.15410,0.15410,-72.48000,-72.48000,,,,,,,,,,,,,,,-62.30410,-63.34860
2017-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,111.6896,126.6706
2017-09-30,,,5.21000,1.80500,-7.01500,0.10200,-6.91300,-6.91300,-6.91300,-6.91900,-6.89700,-7.01500,0.12560,0.12560,-55.04000,-55.04000,,,,,,,,,,,,,,,-32.1869,-33.3095
2017-06-30,,,13.81600,1.91500,-15.73100,,-15.73100,-15.73100,-15.73100,-15.38700,-15.73100,-15.73100,0.10800,0.10800,-142.40000,-142.40000,,,,,,,,,,,,,,,-79.5027,-93.3611
2016-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
