Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,-0.15600,-0.15600,0.70010,0.54410,0.54410,0.54410,0.19380,-0.15600,-0.15600,2.87500,2.87500,0.07000,0.07000,0.01170,-0.52400,-5.64470,-5.64470,0.99670,-5.64470,-2.82860,-0.0464,-0.0464
2024-05-31,-0.19940,-0.19940,1.03360,0.83420,0.83420,0.83420,0.23560,-0.19940,-0.19940,2.87500,2.87500,0.08000,0.08000,0.00910,-0.50100,-9.02600,-9.02600,1.55560,-9.02600,-2.71240,-0.0774,-0.0774
2024-02-29,-0.24640,-0.24640,1.08010,0.83370,0.83370,0.83370,0.21980,-0.24640,-0.24640,2.87500,2.87500,0.08000,0.08000,0.00910,-0.46620,-9.64580,-9.64580,0.98600,-9.64580,-2.53650,-0.02810,-0.02810
2023-11-30,-0.49850,-0.49850,1.07110,0.57260,0.57260,0.57260,0.15640,-0.49850,-0.49850,2.87500,2.87500,0.05000,0.05000,0.04700,-0.45350,-7.23340,-7.23340,0.68880,-7.23340,-2.32330,-0.077,-0.077
2023-08-31,-0.24760,-0.24760,1.35950,1.11190,1.11190,1.11190,0.24770,-0.24760,-0.24760,2.87500,2.87500,0.09000,0.09000,0.02510,-0.40880,-15.66460,-15.66460,1.36200,-15.66460,-2.08310,-0.0844,-0.0844
2023-05-31,-0.43110,-0.43110,1.39290,0.96190,0.96190,0.96190,0.18550,-0.43110,-0.43110,2.87500,2.87500,0.06000,0.06000,0.01670,-0.35980,-14.72860,-14.72860,0.78210,-14.72860,-1.91630,-0.0593,-0.0593
2023-02-28,-0.16630,-0.16630,1.19340,1.02710,1.02710,1.02710,0.19810,-0.16630,-0.16630,2.87500,2.87500,0.07000,0.07000,0.20810,-0.23230,-20.75200,-20.75200,0.85140,-20.75200,-1.45230,-0.05910,-0.05910
2022-11-30,-0.06610,-0.06610,0.84870,0.78250,0.78250,0.78250,0.24300,-0.06610,-0.06610,2.87500,2.87500,0.06200,0.06200,19.52320,,-21.53790,-21.53790,0.66060,-21.53790,-1.06630,-0.0304,-0.0304
2022-08-31,-0.14460,-0.14460,0.38800,0.24350,0.24350,0.24350,0.04700,-0.14460,-0.14460,2.87500,2.87500,0.02000,0.02000,7.78370,,-6.82530,-6.82530,0.20680,-6.82530,-1.04680,-0.1268,-0.1268
2022-05-31,-0.15680,-0.15680,0.08960,-0.06720,-0.06720,-0.06720,-0.03020,-0.15680,-0.15680,14.90750,14.90750,-0.00200,-0.00200,18.00750,,2.01680,2.01680,-0.05720,2.01680,-0.97800,-0.0069,-0.0069
2022-02-28,-0.05300,-0.05300,0.00030,-0.05270,-0.05270,-0.05270,-0.05270,-0.05300,-0.05300,5.27200,5.27200,-0.01000,-0.01000,24.73130,,1.61450,1.61450,-0.04490,1.61450,-0.95830,-0.01530,-0.01530
2021-11-30,,,,0.00000,,0.00000,,,,,,,0.00000,0.95620,-21.80970,,,,,-0.00170,0,0
