Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,136.27900,11.19400,125.08500,87.26300,-11.97500,99.23800,25.84700,10.09000,35.93700,9.89300,26.04400,26.04400,26.04400,28.23600,25.84700,51.17700,51.62200,0.51000,0.50000,2.99540,91.78600,18.96620,18.96620,26.37020,19.11080,0.18320,0.80820,111.35700,6.34800,6.48400,3.50020,6.34800,8.08180,0.5733,0.5402
2024-06-30,140.53600,8.10200,132.43400,85.50500,-11.18500,96.69000,35.74400,3.93800,39.68200,10.45500,29.22700,29.22700,29.22700,38.23000,35.74400,51.11100,51.51700,0.57000,0.57000,2.96860,94.23490,25.43410,25.43410,28.23620,20.79680,0.19820,0.84730,106.22400,7.43290,7.59920,4.12130,7.43290,7.75090,0.9379,0.9157
2024-03-31,144.93300,7.72600,137.20700,95.96300,-10.53100,106.49400,30.71300,9.71000,40.42300,10.28100,30.14200,30.14200,30.14200,33.03700,30.71300,51.00600,51.41900,0.59000,0.59000,3.08700,94.66930,21.19120,21.19120,27.89080,20.79720,0.23030,0.88980,101.14780,8.05270,8.24220,4.78900,8.05270,7.38660,0.20290,0.17410
2023-12-31,122.90000,9.02800,113.87200,84.80000,-10.67800,95.47790,18.39400,11.69400,30.08800,9.15900,20.92900,20.92900,20.92900,20.77500,18.39400,51.15200,51.63500,0.41000,0.40000,2.34410,92.65420,14.96670,14.96670,24.48170,17.02930,0.19000,0.73430,122.55820,5.87750,6.02310,3.23590,5.87750,7.04100,1.3812,1.3437
2023-09-30,133.33600,8.37700,124.95900,80.02900,-10.99700,91.02600,33.93300,0.08400,34.01700,9.47900,24.53800,24.53800,24.53800,36.29400,33.93300,51.20300,51.64500,0.48000,0.48000,2.64790,93.71740,25.44920,25.44920,25.51220,18.40310,0.22130,0.73360,122.68150,6.93880,7.11190,4.07300,6.93880,6.97960,0.4305,0.3663
2023-06-30,140.22100,10.56800,129.65300,89.47300,-10.30500,99.77800,29.87500,6.37800,36.25300,10.50500,25.74800,25.74800,25.74800,32.06100,29.87500,51.25500,51.69200,0.50000,0.50000,2.76720,92.46330,21.30570,21.30570,25.85420,18.36240,0.23200,0.79750,112.85540,7.21070,7.38880,4.26090,7.21070,7.02230,0.7844,0.679
2023-03-31,140.30900,11.60400,128.70500,90.02400,-9.56100,99.58500,29.12000,6.41800,35.53800,6.41400,29.12400,29.12400,29.12400,31.10800,29.12000,51.13200,51.68200,0.57000,0.56000,2.91540,91.72970,20.75420,20.75420,25.32840,20.75700,0.24770,0.81070,111.01040,8.51940,8.73940,5.14170,8.51940,6.72480,-0.12970,-0.23940
2022-12-31,127.35500,14.76600,112.58900,81.21300,-9.34100,90.55400,22.03500,8.48400,30.51900,7.99500,22.52400,22.52400,22.52400,23.89000,22.03500,51.72700,52.28000,0.45000,0.44000,2.19560,88.40570,17.30210,17.30210,23.96370,17.68600,0.21710,0.74860,120.21720,7.02220,7.21590,3.83930,7.02220,6.33360,0.7707,0.7155
2022-09-30,127.17900,12.03600,115.14300,69.50800,-8.82200,78.33000,36.81300,-3.33700,33.47600,9.03400,24.44200,24.44200,24.44200,38.53600,36.81300,51.49200,52.00800,0.47000,0.47000,2.41100,90.53620,28.94580,28.94580,26.32200,19.21860,0.22750,0.76610,117.48210,7.64290,7.85430,4.37240,7.64290,6.29660,0.569,0.5068
2022-06-30,130.28100,12.06300,118.21800,64.18600,-8.75500,72.94100,45.27700,-9.84500,35.43200,9.67700,25.75500,25.75500,25.75500,47.08900,45.27700,51.89000,52.39400,0.50000,0.49000,2.68580,90.74080,34.75340,34.75340,27.19660,19.76880,0.22990,0.80530,111.75580,7.63120,7.83100,4.54470,7.63120,6.60240,0.5744,0.5106
