Date,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.14100,-3.14100,,4.79800,,9.77000,-12.91100,0.05200,-12.85900,-12.85900,-12.85900,-12.85900,-7.57600,-12.91100,65.46800,65.46800,-0.20000,-0.20000,1.07960,0.97290,35.91310,-614.08960,-614.08730,-14.99170,-16.63610,0.03040,-0.09740,-0.10480
2024-06-30,2.46200,-2.46200,,7.58300,,12.59400,-15.05600,-1.06600,-16.12200,-16.12200,-16.12200,-16.12200,-9.83100,-15.05600,52.52300,52.52300,-0.29000,-0.29000,0.70140,0.86420,6.36520,-150.58860,-150.58850,-18.01260,-20.44590,0.16910,-0.176,-0.2124
2024-03-31,1.15500,-1.15500,,2.99700,,3.05000,-4.20500,-21.70000,-25.90500,-25.90500,-25.90500,-25.90500,-3.71100,-4.20500,58.51300,58.51300,-0.44000,-0.44000,1.37540,0.71300,2.48480,-101.73180,-101.73190,-26.71640,-29.19300,0.40240,-0.0017,-0.0234
2023-12-31,1.43100,-1.43100,0.00600,7.39600,,7.45500,-8.88600,-1.73000,-10.61600,-10.61600,-10.61600,-10.61600,-7.34000,-8.88600,44.23700,44.23700,-0.24000,-0.24000,0.38930,0.54790,1.21190,-30.33840,-30.33840,-12.18280,-13.71610,0.79100,-0.1782,-0.2201
2023-09-30,1.58300,-1.58300,0.03900,6.03800,,6.13000,-7.71300,-1.65700,-9.37000,-9.37000,-9.37000,-9.37000,-6.16800,-7.71300,44.22100,44.22100,-0.21000,-0.21000,1.41680,0.47780,0.91510,-20.93200,-20.93200,-9.78690,-10.93010,1.01190,-0.15570,-0.19260
2023-06-30,1.72100,-1.72100,0.13900,6.77400,,6.96500,-8.68600,-1.56600,-10.25200,-10.25200,-10.25200,-10.25200,-7.14100,-8.68600,43.84200,43.84200,-0.24000,-0.24000,2.49670,0.41290,0.70330,-19.13900,-19.13900,-10.16070,-11.23670,1.21230,-0.1531,-0.3863
2023-03-31,1.26800,-1.26800,0.04500,6.00400,-0.90800,7.01000,-8.27800,-1.83700,-10.11500,-10.11500,-10.11500,-10.11500,-6.73200,-8.27800,44.10400,44.10400,-0.23000,-0.23000,3.31780,0.36450,0.57360,-16.01490,-16.01490,-9.06120,-10.17730,1.43060,-0.1773,-0.4902
2022-12-31,3.40400,-3.40400,0.03900,7.70100,,7.78200,-11.18600,-3.67700,-14.86300,-14.86300,-14.86300,-14.86300,-9.65300,-11.18600,43.77200,43.77200,-0.34000,-0.34000,4.63190,0.31700,0.46410,-20.85660,-20.85660,-12.63790,-14.24510,1.62370,-0.2087,-0.4712
2022-09-30,3.59500,-3.59500,0.03900,4.88600,,4.96200,-8.55700,13.16300,4.60600,4.60600,4.60600,4.60600,-7.92600,-8.55700,43.35000,48.51900,0.11000,0.11000,7.92650,0.38240,0.61920,6.69240,6.69240,3.78600,4.13310,1.58750,-0.16100,-0.26670
2022-06-30,3.08700,-3.08700,0.04500,10.18100,,10.26200,-13.34900,0.11300,-13.23600,-13.23600,-13.23600,-13.23600,-13.18800,-13.34900,40.80700,40.80700,-0.32000,-0.32000,4.41470,0.00240,0.00240,-21.12280,-21.12280,-18.67220,-21.07310,1.44700,-0.1429,-0.3123
2022-03-31,2.03900,-2.03900,0.08800,30.83200,,30.95600,-32.99500,0.02600,-32.96900,-32.96900,-32.96900,-32.96900,-32.95900,-32.99500,41.89500,41.89500,-0.79000,-0.79000,7.15410,0.00250,0.00250,-48.54200,-48.54200,-44.01550,-48.42080,1.59740,-0.2369,-0.2765
2021-12-31,2.99000,-2.99000,0.00000,7.83000,,7.85000,-10.84000,-0.19900,-11.03900,-11.03900,-11.03900,-11.03900,-10.82000,-10.84000,39.87800,39.87800,-0.28000,-0.28000,,,,,,,,,-0.197,-0.2174
2021-09-30,4.78600,-4.78600,,5.84100,,5.86100,-10.64700,1.17800,-9.46900,-9.46900,-9.46900,-9.46900,-10.62700,-10.64700,38.71200,38.71200,-0.24000,-0.24000,,,,,,,,,-0.12440,-0.17440
2021-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0.1716,0.4302
2021-03-31,2.04570,-2.04570,,1.82830,,1.83440,-3.88010,-0.04590,-3.92600,-3.92600,-3.92600,-3.92600,-3.88010,-3.88010,35.60000,35.60000,-0.11000,-0.11000,,,,,,,,,-0.1716,-0.4302
