Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.17200,4.17200,13.31800,7.07900,-0.14600,-19.76400,0.68300,-19.08100,-2.70800,-16.37300,-16.37300,-16.37300,-15.12300,-19.76400,102.39300,102.39300,-0.16000,-0.16000,4.62500,,100.00000,-473.72960,-473.72960,-457.35860,-392.44960,0.01260,1.19370,75.39550,-5.61240,-25.73160,-4.93830,-5.61240,2.42660,-0.0617,-0.0629
2024-06-30,7.61400,7.61400,13.93500,7.96500,2.52400,-16.30500,0.77600,-15.52900,-1.89800,-13.63100,-13.63100,-13.63100,-10.58100,-16.30500,101.45600,101.45600,-0.13000,-0.13000,4.75500,,100.00000,-214.14500,-214.14500,-203.95320,-179.02550,0.02260,1.10730,81.27660,-4.63350,-21.74350,-4.04170,-4.63350,2.48980,-0.1189,-0.1263
2024-03-31,3.80100,3.80100,14.55100,8.33700,-0.05400,-22.55300,0.97500,-21.57800,-2.61700,-18.96100,-18.96100,-18.96100,-18.22600,-22.55300,100.75500,100.75500,-0.19000,-0.19000,4.37880,,100.00000,-593.34380,-593.34380,-567.69270,-498.84240,0.01080,0.93970,95.77740,-6.29110,-29.01050,-5.37820,-6.29110,2.56750,-0.16900,-0.17820
2023-12-31,4.82200,4.82200,14.76600,7.86900,0.01400,-21.20600,1.17800,-20.02800,-5.97500,-14.05300,-14.05300,-14.05300,-17.06200,-21.20600,99.68300,99.68300,-0.14000,-0.14000,4.10540,,100.00000,-439.77600,-439.77600,-415.34630,-291.43510,0.01290,1.25440,71.74620,-4.46720,-18.70270,-3.74520,-4.46720,2.69200,-0.0913,-0.0923
2023-09-30,5.47700,5.47700,13.86700,8.51100,-0.01600,-20.31500,1.27300,-19.04200,-3.30400,-15.73800,-15.73800,-15.73800,-16.29900,-20.31500,99.90500,99.90500,-0.16000,-0.16000,4.26370,,100.00000,-370.91470,-370.91470,-347.67210,-287.34710,0.01400,0.89250,100.84540,-4.84920,-19.24030,-4.01780,-4.84920,2.79230,-0.0628,-0.0676
2023-06-30,6.94600,6.94600,14.13300,8.73800,-0.14000,-19.44500,1.28100,-18.16400,-3.43600,-14.72800,-14.72800,-14.72800,-15.47500,-19.44500,99.49300,99.49300,-0.15000,-0.15000,4.78280,,100.00000,-279.94530,-279.94530,-261.50300,-212.03570,0.01710,0.80660,111.57360,-4.41210,-16.75430,-3.63440,-4.41210,2.87390,-0.1016,-0.1099
2023-03-31,16.91900,16.91900,13.75900,8.19500,-0.04900,-8.45300,1.32400,-7.12900,-1.02900,-6.10000,-6.10000,-6.10000,-4.52700,-8.45300,99.15800,99.15800,-0.06000,-0.06000,5.58570,,100.00000,-49.96160,-49.96160,-42.13610,-36.05410,0.04100,9.30130,9.67610,-1.78990,-6.59690,-1.47690,-1.78990,2.94850,0.27920,0.27690
2022-12-31,35.34500,35.34500,12.91900,10.20600,0.10600,9.05000,,9.63700,2.81700,6.82000,6.82000,6.82000,13.70000,9.05000,85.31800,85.31800,0.09000,0.09000,4.80170,,100.00000,25.60480,25.60480,27.26550,19.29550,0.08390,1.16690,77.12830,1.99780,7.56500,1.61910,1.99780,2.96280,-0.085,-0.1392
2022-09-30,6.91000,6.91000,13.18900,5.58200,0.20800,-14.90900,,-14.90900,-2.31300,-12.59600,-12.59600,-12.59600,-10.40700,-14.90900,82.61200,82.61200,-0.15000,-0.15000,0.04130,-0.05410,100.00000,-215.75980,-215.75980,-215.75980,-182.28650,0.02910,,,90.82430,90.82430,-5.30110,90.82430,-2.41190,-0.0513,-0.0987
2022-06-30,7.19900,7.19900,11.48400,5.00300,-0.16500,-12.56600,,-12.56600,-2.29000,-10.27600,-10.27600,-10.27600,-8.07700,-12.56600,82.61200,82.61200,-0.12000,-0.12000,0.09920,-0.05230,100.00000,-174.55200,-174.55200,-174.55200,-142.74210,0.03040,,,71.67690,71.67690,-4.33970,71.67690,-2.49330,-0.0466,-0.0985
2022-03-31,9.62300,9.62300,10.77200,4.11200,0.44300,-8.22300,,-8.22300,-1.94100,-6.28200,-6.28200,-6.28200,-3.78500,-8.22300,82.61200,82.61200,-0.08000,-0.08000,0.20110,-0.04040,100.00000,-85.45150,-85.45150,-85.45150,-65.28110,0.04060,,,50.81160,50.81160,-2.65180,50.81160,-2.15010,0.14090,0.09310
2021-12-31,,,,,-1.02950,-70.17650,,-34.16950,,-26.86150,-26.86150,-26.86150,-70.17650,-35.42840,82.61200,82.61200,-0.32000,-0.32000,1.09550,,,,,,,,,,-11.46420,103.34110,-8.82250,-11.46420,,0.1103,0.0611
2021-09-30,,,,,-0.17060,-0.17060,,-0.17060,,-0.17060,-0.17060,-0.17060,-0.17060,-0.17060,5.39950,5.39950,-0.01000,-0.01000,12.94500,,,,,,,,,,2.47090,2.47090,-0.07200,2.47090,-1.20060,-0.179,-0.179
2021-06-30,,,,,-0.00220,-0.00220,,-0.00220,,-0.00220,-0.00220,-0.00220,-0.00220,-0.00220,5.00000,5.00000,0.00000,0.00000,,,,,,,,,,,,,,,,0,0
2021-03-31,,,,,-0.00780,-0.00780,,-0.00780,,-0.00780,-0.00780,-0.00780,-0.00780,-0.00780,5.00000,5.00000,0.00000,0.00000,,,,,,,,,,,,,,,,0.00000,
