Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.14300,1.70900,-0.99200,-2.92700,0.03200,-2.89500,-2.89500,-2.89500,-2.89500,-2.92700,-2.92700,12.19300,12.19300,-0.23700,-0.23700,0.29000,-0.14940,43.24770,43.24770,-105.88880,43.24770,-0.55120,0.0938,0.0938
2024-06-30,3.31400,2.24100,-0.25400,-7.44900,-0.10900,-7.55800,-7.55800,-7.55800,-7.55800,-7.44900,-7.44900,9.41800,9.41800,-0.80300,-0.80300,0.57820,-0.27010,204.10420,204.10480,-148.89680,204.10480,-0.30490,-0.3478,-0.3478
2024-03-31,2.27900,3.71000,,-5.98900,0.42300,-5.56600,-5.56600,-5.56600,-5.56600,-5.97600,-5.98900,6.72700,6.72700,-0.82700,-0.82700,0.43830,,156.65660,156.65640,-200.79360,156.65630,-0.44480,-0.60120,-0.60120
2023-12-31,2.50900,2.58100,,-5.09000,0.95200,-4.13800,-4.13800,-4.13800,-4.13800,-5.08900,-5.09000,4.89400,4.89400,-0.95400,-0.95400,0.94700,,1807.01600,1702.88000,-95.01720,1806.98700,-0.03460,-0.9806,-0.9806
2023-09-30,-0.31400,2.82100,,-2.50700,-0.36400,-2.87100,-2.87100,-2.87100,-2.87100,-2.50600,-2.50700,5.05800,5.05800,-0.56800,-0.56800,,,,,,,,-1.0711,-1.0711
2023-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,
2023-03-31,1.73100,2.86300,,-4.59400,5.59500,1.00100,1.00100,1.00100,1.00100,-4.59300,-4.59400,3.73700,3.73700,0.26800,0.26800,,,,,,,,-1.30590,-1.30590
2022-06-30,2.85110,2.96500,,-5.81620,0.13620,-5.68000,-5.68000,-5.68000,-5.68000,-5.81520,-5.81620,2.96750,2.96750,-1.92000,-1.92000,3.72780,,-68.22160,-68.22160,-49.95100,-68.22160,2.80570,-2.7061,-2.7061
2022-03-31,2.13960,3.10440,,-5.24400,0.06760,-5.17640,-5.17640,-5.17640,-5.17640,-5.24300,-5.24400,2.67920,2.67920,-1.92000,-1.92000,3.51830,,-37.15700,-37.21400,-26.60740,-37.15700,4.69470,-1.88480,-1.88480
2021-12-31,3.85090,2.02120,,-5.87210,0.08400,-5.78800,-5.78800,-5.78800,-5.78800,-5.87110,-5.87210,2.14610,2.14610,5.86000,5.86000,1.90780,,-104.20310,-104.63490,-49.69120,-104.20300,2.33400,-2.8228,-2.8228
2021-09-30,-0.43020,1.89360,,-1.46340,0.01200,-1.45140,-1.45140,-1.45140,-1.45140,-1.46240,-1.46340,2.32290,2.32290,-0.60000,-0.60000,4.37880,,-12.77300,-12.77300,-9.86080,-12.77300,4.77450,0.4263,0.4263
2021-06-30,2.18330,2.14670,,-4.33000,-0.01630,-4.34630,-4.34630,-4.34630,-4.34630,-4.32900,-4.33000,1.92370,1.92370,-2.26000,-2.26000,1.48200,,-273.70240,-278.17620,-89.99400,-273.70130,0.80100,-2.5292,-2.5292
2021-03-31,3.52940,2.01930,,-5.54870,-0.28980,-5.83850,-5.83850,-5.83850,-5.83850,-5.54760,-5.54870,1.92370,1.92370,-3.00000,-3.00000,2.00190,,-148.30510,-148.30550,-74.47310,-148.30550,2.04650,-3.85630,-3.85630
2020-12-31,4.66010,2.23540,,-6.89550,-0.61620,-6.80980,-6.80980,-6.80980,-6.80980,-6.89450,-6.89550,1.57950,1.57950,-12.60000,-12.60000,2.79240,,-72.56620,-72.77680,-46.62750,-72.56630,4.87840,-3.221,-3.221
2020-09-30,-1.59250,1.83940,,-0.24690,1.16030,0.91350,0.91350,0.91350,0.91350,-0.24590,-0.24690,1.69330,1.69330,0.60000,0.60000,1.54680,,18.80190,18.90570,6.67060,18.80190,2.86910,0.4917,0.4917
2020-06-30,3.02040,2.89120,,-5.91160,-1.52820,-7.43980,-7.43980,-7.43980,-7.43980,-5.90860,-5.91160,1.50130,1.50130,-5.00000,-5.00000,1.29810,,-222.82190,-224.60370,-51.47880,-222.82190,1.97180,-1.8505,-1.8505
2020-03-31,2.73220,2.19480,,-4.92700,1.18160,-3.74540,-3.74540,-3.74540,-3.74540,-4.92310,-4.92700,1.25820,1.25820,-3.00000,-3.00000,1.21900,,-206.28780,-209.46750,-37.57060,-206.28730,1.26400,-6.15160,-6.15160
2019-12-31,5.70140,2.12490,,-7.82630,0.20780,-7.61850,-7.61850,-7.61850,-7.61850,-22.69910,-7.82630,0.91550,0.91550,-14.88000,-14.88000,0.99570,,-100235.60000,-100264.30000,-117.57200,-100269.60000,0.00680,9578.5163,9578.5163
2019-09-30,1.76310,1.35430,,-3.11730,0.55200,-2.56540,-2.56540,-2.56540,-2.56540,11.76440,-3.11730,0.98560,0.98560,0.00000,0.00000,1.43300,,-78.92300,-79.63700,-24.04320,-78.92280,3.09430,-9586.9726,-9586.9726
2019-06-30,3.59330,2.43810,,-6.03140,1.91440,-4.11710,-4.11710,-4.11710,-4.11710,-6.02670,-6.03140,0.80350,0.80350,-5.12000,-5.12000,0.78030,,299.98830,293.34830,-79.92750,299.98830,-1.66280,-5.944,-5.944
