Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.32500,0.87000,-1.19500,0.06300,-1.13200,-1.13200,-1.13200,-1.13200,-1.19500,-1.19500,3.22800,3.22800,-0.35000,-0.35000,7.15350,,-17.79600,-26.19160,-15.86320,-17.79590,1.97080,-0.241,-0.241
2024-06-30,1.68500,0.82700,-2.51200,0.07900,-2.43300,-2.43300,-2.43300,-2.43300,-2.51200,-2.51200,3.22800,3.22800,-0.75000,-0.75000,6.56170,,-33.33340,-46.25480,-29.22170,-33.33330,2.26140,-0.6303,-0.6303
2024-03-31,1.50700,1.08200,-2.58900,0.10600,-2.48300,-2.48300,-2.48300,-2.48300,-2.58900,-2.58900,3.19700,3.19700,-0.78000,-0.78000,11.35650,,-26.03550,-33.11550,-23.98110,-26.03540,2.95470,-0.92020,-0.92020
2023-12-31,2.12400,1.11600,-3.24000,0.16700,-3.07300,-3.07300,-3.07300,-3.07300,-3.24000,-3.24000,2.96000,2.96000,-0.99000,-0.99000,8.50500,,-26.14870,-31.63800,-23.56050,-26.14870,3.68520,-0.8699,-0.8699
2023-09-30,1.58500,1.02900,-2.61400,0.16500,-2.44900,-2.44900,-2.44900,-2.44900,-2.61400,-2.61400,2.94900,2.94900,-0.83000,-0.83000,14.57980,,-16.79930,-19.53110,-15.80100,-16.79930,4.60990,-0.569,-0.569
2023-06-30,0.75200,1.03200,-1.78400,0.18500,-1.59900,-1.59900,-1.59900,-1.59900,-1.78400,-1.78400,2.85600,2.85600,-0.56000,-0.56000,24.21560,,-9.82910,-11.23760,-9.47440,-9.82910,5.69670,-0.5683,-0.5683
2023-03-31,1.23500,1.05700,-2.29200,0.12400,-2.16800,-2.16800,-2.16800,-2.16800,-2.29200,-2.29200,2.85600,2.85600,-0.76000,-0.76000,19.86180,,-12.29160,-13.89830,-11.73290,-12.29160,6.17640,-0.76540,-0.76540
2022-12-31,1.72600,1.75000,-3.47600,0.13700,-3.33900,-3.33900,-3.33900,-3.33900,-3.47600,-3.47600,2.83300,2.83300,-1.17000,-1.17000,18.35870,,-17.20870,-19.22940,-16.34840,-17.20870,6.79450,-0.8207,-0.8207
2022-09-30,1.07800,1.31600,-2.39400,0.06400,-2.33000,-2.33000,-2.33000,-2.33000,-2.39400,-2.39400,2.84900,2.84900,-0.82000,-0.82000,42.29790,,-10.63780,-11.72980,-10.39480,-10.63780,7.66910,-0.5859,-0.5859
2022-06-30,1.05600,1.41500,-2.47100,0.02200,-2.44900,-2.44900,-2.44900,-2.44900,-2.47100,-2.47100,2.83000,2.83000,-0.87000,-0.87000,42.28080,,-10.27350,-11.23450,-10.03480,-10.27350,8.44880,-0.6921,-0.6921
2022-03-31,0.46400,1.48200,-1.94600,-0.01900,-1.96500,-1.96500,-1.96500,-1.96500,-1.94600,-1.94600,2.82000,2.82000,-0.70000,-0.70000,28.10170,,-7.62220,-8.27680,-7.35840,-7.62220,9.13710,-0.72800,-0.72800
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.9486,0.9486
2021-11-30,1.27300,1.27900,-2.55200,0.00200,-2.55000,-2.55000,-2.55000,-2.54800,-2.55200,-2.55200,2.03040,2.03040,-1.19940,-1.19940,38.47500,,-9.01510,-9.71540,-8.79190,-9.01510,10.02530,2.0208,2.0208
2021-09-30,1.03400,1.21100,-2.24500,,-2.24500,-2.24500,-2.24500,-2.24500,-2.24500,-2.24500,1.63500,1.63500,-1.37000,-1.37000,,,,,,,,-2.9694,-2.9694
2021-08-31,,,,,,,,,,,,,,0.00000,,,,,,,,2.1451,2.1451
2021-06-30,0.97000,1.28400,-2.25400,0.00200,-2.25200,-2.25200,-2.25200,-2.25200,-2.25400,-2.25400,1.55890,1.55890,-1.49930,-1.49930,,,,,,,,0.8388,0.8388
2021-05-31,0.95120,1.30020,-2.25140,0.00160,-2.24980,-2.24980,-2.24980,-2.24980,-2.25140,-2.25140,1.54150,1.54150,-1.49930,-1.49930,24.29640,,-18.88070,-22.77950,-18.23210,-18.88070,7.71730,-1.6574,-1.6574
2021-03-31,0.30700,1.38900,-1.69600,0.00100,-1.69500,-1.69500,-1.69500,-1.69500,-1.69600,-1.69600,1.31320,1.31320,-1.34930,-1.34930,,,,,,,,-1.32650,-1.32650
2021-02-28,0.66340,1.20410,-1.86750,0.00160,-1.86590,-1.86590,-1.86590,-1.86590,-1.86740,-1.86750,1.13300,1.13300,-1.64920,-1.64920,19.36480,,-14.51430,-17.25090,-13.87850,-14.51430,8.67690,-2.48810,-2.48810
2020-11-30,0.59500,0.84100,-1.43600,-0.00100,-1.43700,-1.43700,-1.43700,-1.43500,-1.43600,-1.43600,0.68160,0.68160,-2.09900,-2.09900,15.44370,,-15.87190,-20.48670,-15.06390,-15.87190,8.98210,-1.9367,-1.9367
2020-08-31,,,,,,,,,,,,,,0.00000,,,,,,,,15.0283,15.0334
2020-05-31,0.25870,0.69270,-0.95140,0.00020,-0.95120,-0.95120,-0.95120,-0.95120,-0.95130,-0.95140,0.23120,0.23120,-4.04800,-4.04800,5.41100,,-29.49370,-80.22510,-27.22720,-29.49370,12.95050,-4.2886,-4.2886
2020-02-29,0.72130,0.64910,-1.37050,0.00040,-1.37010,-1.37010,-1.37010,-1.37010,-1.37030,-1.37050,0.22850,0.22850,-5.99700,-5.99700,4.75430,,-36.95000,-82.11050,-32.99860,-36.95000,16.22020,-10.73970,-10.74480
2019-11-30,0.66690,0.66940,-1.33640,0.03010,-1.30640,-1.30640,-1.30640,-1.30640,-1.33630,-1.33640,0.22420,0.22420,-5.84710,-5.84710,6.00100,,-26.32010,-44.67800,-23.54690,-26.32010,21.72020,-4.6903,-4.6903
2019-08-31,,,,,,,,,,,,,,0.00000,,,,,,,,12.6089,12.6139
2019-05-31,0.18420,0.75680,-0.94130,0.59640,-0.34490,-0.34490,-0.34490,-0.34490,-0.94100,-0.94130,0.13730,0.13730,-2.54870,-2.54870,1.13100,,-256.64970,-256.64940,-29.90530,-256.64950,0.95890,-3.6804,-3.6854
2019-02-28,0.49000,0.26790,-0.75790,0.33310,-0.42480,-0.42480,-0.42480,-0.42480,-0.75780,-0.75790,0.12790,0.12790,-3.29840,-5.99700,0.41130,,61.37030,61.37030,-87.71520,61.37030,-0.66190,-8.92850,-8.92850
2018-11-30,0.18400,0.37280,-0.55690,,-0.55690,-0.55690,-0.55690,-0.55690,-0.55680,-0.55690,0.11700,0.11700,-4.79760,-4.79760,0.25740,,117.20230,117.20230,-336.77610,117.20230,-0.50060,-3.4279,-3.4279
2018-08-31,,,,,,,,,,,,,,0.00000,,,,,,,,10.3188,10.3271
2018-05-31,0.23680,0.34090,-0.57790,,-0.57790,-0.57790,-0.57790,-0.57790,-0.57780,-0.57790,0.10620,0.10620,-5.39730,-5.39730,0.81320,,632.60930,632.60940,-144.11010,632.60940,-0.10720,-9.5005,-9.5077
2018-02-28,0.64750,0.15090,-0.79850,,-0.79850,-0.79850,-0.79850,-0.79850,-0.79830,-0.79850,0.77890,0.77890,-1.04950,-1.04950,3.46800,,-207.23990,-207.23980,-147.56370,-207.23990,0.46700,-0.81830,-0.81940
2017-11-30,0.03310,0.24390,-0.27710,,-0.27710,-0.27710,-0.27710,-0.27710,-0.27700,-0.27710,0.75680,0.75680,-0.29990,-0.29990,3.15150,,-94.23520,-94.23520,-64.38890,-94.23520,0.38830,-0.2245,-0.2256
2017-08-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.1002,0.1002
