,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-14,2024-09-30,--,$8.80
1,2024-08-14,2024-06-30,--,$7.77
2,2024-05-17,2024-03-31,--,$4.41
3,2024-04-15,2023-12-31,--,$2.28
4,2023-11-17,2023-09-30,--,$4.13
5,2023-08-14,2023-06-30,--,$3.82
6,2023-05-22,2023-03-31,--,$0.53
7,2023-04-14,2022-12-31,--,$4.99
8,2022-11-21,2022-09-30,--,$4.88
9,2022-08-18,2022-06-30,--,$4.02
10,2022-05-20,2022-03-31,--,$0.03
11,2022-04-21,2021-12-31,--,$3.28
12,2021-11-19,2021-09-30,--,$-0.58
13,2021-08-23,2021-06-30,--,$-1.20
14,2021-05-17,2021-03-31,--,$-0.73
15,2021-04-23,2020-12-31,--,$-1.19
16,2020-11-25,2020-09-30,--,$2.36
17,2020-08-19,2020-06-30,--,$-3.14
18,2020-06-29,2020-03-31,--,$-0.09
19,2019-11-07,2019-09-30,--,$0.91
20,2019-08-14,2019-06-30,--,$2.85
21,2019-05-20,2019-03-31,--,$-1.49
22,2019-04-16,2018-12-31,--,$2.62
23,2018-11-16,2018-09-30,--,$1.54
24,2018-08-20,2018-06-30,--,$-0.27
25,2018-05-18,2018-03-31,--,$1.14
26,2018-04-17,2017-12-31,--,$0.42
27,2017-11-17,2017-09-30,--,$-1.22
28,2017-08-18,2017-06-30,--,$0.12
29,2017-05-15,2017-03-31,--,$7.35
30,2017-04-18,2016-12-31,--,$-0.70
31,2016-11-14,2016-09-30,--,$1.62
32,2016-08-15,2016-06-30,--,$0.83
33,2016-05-16,2016-03-31,--,$-0.81
34,2016-04-08,2015-12-31,--,$-4.42
35,2015-11-16,2015-09-30,--,$-0.28
36,2015-08-04,2015-06-30,--,$-0.84
37,2015-05-14,2015-03-31,--,$0.00
38,2015-03-18,2014-12-31,--,$3.29
