Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,54.80500,19.91000,34.89500,25.22700,18.01200,,54.12310,-19.22810,-1.15500,-20.38300,0.03300,-20.41600,-20.41600,-20.41600,-16.64710,-19.22810,41.64200,41.64200,-0.54000,-0.49000,1.22460,0.58000,1.99800,63.67120,-35.08450,-35.08450,-37.19180,-37.25210,0.07800,0.87330,103.05540,-14.46950,12.96530,-2.90680,-6.07780,3.36550,0.1478,0.1128
2024-06-30,70.53900,20.10500,50.43400,31.18400,15.03900,,405.33900,-354.90500,-1.19100,-356.09600,-42.55300,-313.54300,-313.54300,-313.54300,4.83610,-354.90500,41.79500,41.79500,-7.50000,-7.50000,1.30730,0.55640,1.81830,71.49800,-503.13300,-503.13300,-504.82140,-444.49600,0.10470,0.96900,92.88350,-203.33530,223.54420,-46.52100,-90.19320,3.68860,0.3075,0.2892
2024-03-31,67.82500,20.88200,46.94300,31.84600,22.27800,,311.32600,-264.38300,-1.94600,-266.32900,11.64700,-277.97600,-277.97600,-277.97600,-9.58900,-264.38300,41.72400,41.72400,-6.66000,-6.66000,2.18220,0.37570,0.60180,69.21190,-389.80170,-389.80170,-392.67090,-409.84300,0.06870,1.01550,88.62260,-59.98620,146.32390,-28.16110,-37.44840,11.09220,0.0148,-0.0329
2023-12-31,138.33500,26.33500,112.00000,33.30600,18.86400,,53.42000,58.58000,-0.38200,58.19800,34.34100,23.85700,23.85700,23.85700,61.26600,58.58000,41.18600,49.25500,0.58000,0.53000,1.90330,0.27510,0.37940,80.96290,42.34650,42.34650,42.07030,17.24580,0.10940,2.35690,38.18540,3.26300,-13.35500,1.88610,2.36550,17.73000,-0.05720,-0.07610
2023-09-30,80.76400,23.02800,57.73600,35.14300,17.29800,,53.84000,3.89600,-3.55000,0.34600,11.89800,-11.55200,-11.55200,-11.55200,6.78300,3.89600,40.21500,40.21500,-0.29000,-0.29000,1.52420,0.28420,0.39710,71.48730,4.82390,4.82390,0.42840,-14.30340,0.06220,1.31820,68.27670,-1.66250,5.51820,-0.89030,-1.18990,17.19010,0.2796,0.2414
2023-06-30,61.66000,20.93800,40.72200,30.20200,17.29600,,49.22300,-8.50100,-4.94300,-13.44400,3.01100,-16.45500,-16.45500,-16.45500,-5.38300,-8.50100,40.32400,40.32400,-0.41000,-0.41000,1.30110,0.26600,0.39750,66.04280,-13.78690,-13.78690,-21.80340,-26.68670,0.04700,1.08210,83.17480,-2.34130,7.95930,-1.25400,-1.71850,17.42530,-0.2035,-0.2411
2023-03-31,68.39300,25.01400,43.37900,28.49400,27.39400,,63.99600,-20.61700,-1.76600,-22.38300,3.70600,-26.08900,-26.08900,-26.08900,-15.59200,-20.61700,40.21900,40.21900,-0.65000,-0.65000,1.39710,0.27170,0.39070,63.42610,-30.14490,-30.14490,-32.72700,-38.14570,0.05120,1.11300,80.86220,-3.67750,13.04930,-1.95360,-2.67820,17.60700,0.1633,0.1288
2022-12-31,83.65800,26.18300,57.47500,29.49400,23.41900,,59.45200,-1.97700,1.06900,-0.90800,1.25000,-2.15800,-2.15800,-2.15800,3.03100,-1.97700,39.96200,39.96200,-0.05000,-0.05000,1.46530,0.27080,0.38880,68.70230,-2.36320,-2.36320,-1.08540,-2.57960,0.06200,1.25920,71.47460,-0.29980,1.13680,-0.16010,-0.21860,17.98860,-0.05300,-0.07010
2022-09-30,58.14400,24.38300,33.76100,25.30800,19.32300,,263.09500,-229.33400,-3.45600,-232.79000,-2.66300,-230.12700,-230.12700,-230.12700,-10.52810,-229.33400,39.18700,39.18700,-5.88000,-5.86000,1.54740,0.26680,0.37920,58.06450,-394.42430,-394.42430,-400.36810,-395.78810,0.04410,1.29000,69.76770,-32.27810,122.70040,-17.45380,-23.66620,18.08140,-0.1262,-0.2047
2022-06-30,89.04100,24.25200,64.78900,26.04000,18.91300,,49.01200,15.77700,-4.05000,11.72700,110.99400,-99.26700,-99.26700,-99.26700,21.05600,15.77700,39.31300,39.31300,-2.53000,-2.53000,1.65270,0.21560,0.28480,72.76310,17.71880,17.71880,13.17030,-111.48460,0.05650,1.42020,63.37330,-10.44790,56.08620,-6.29530,-8.19500,24.16600,-0.1005,-0.2124
2022-03-31,86.28000,24.30600,61.97400,29.97600,22.10900,,55.69400,6.28000,-3.31100,2.96900,3.44500,-0.47600,-0.47600,-0.47600,12.64400,6.28000,39.18900,39.18900,-0.01000,-0.01000,1.69980,0.19940,0.25640,71.82890,7.27860,7.27860,3.44110,-0.55170,0.05070,1.79640,50.09980,-0.04510,0.57130,-0.02800,-0.03610,26.87150,0.0561,-0.0993
2021-12-31,94.42600,24.22700,70.19900,25.79200,13.40600,,47.26700,22.93200,-3.58900,19.34300,0.29900,19.04400,19.04400,19.04400,30.14200,22.93200,38.83900,44.37000,0.49000,0.47000,1.98720,0.20150,0.25830,74.34290,24.28570,24.28570,20.48480,20.16820,0.05580,2.50040,35.99490,1.81460,-19.77880,1.12520,1.44890,26.79900,0.11600,0.01660
2021-09-30,98.07600,24.12700,73.94900,28.70500,29.00200,,63.19100,10.75800,-3.25600,7.50200,-0.48900,7.99100,7.99100,7.99100,18.14300,10.75800,37.75200,39.28900,0.21000,0.21000,1.73640,0.20440,0.26290,75.39970,10.96910,10.96910,7.64920,8.14780,0.05750,2.15270,41.80840,0.77440,-6.55460,0.46850,0.61610,27.13860,0.5938,0.4922
2021-06-30,96.80100,23.83500,72.96600,30.37000,22.70700,,58.01700,14.94900,-3.08700,11.86200,6.06400,5.79800,5.79800,5.79800,22.27800,14.94900,37.82500,39.29600,0.15000,0.15000,1.60900,0.20620,0.26580,75.37730,15.44300,15.44300,12.25400,5.98960,0.05660,1.82160,49.40740,0.56740,-4.09270,0.33930,0.45040,27.01300,0.6102,0.5374
2021-03-31,98.66200,26.22400,72.43800,28.86400,22.51100,,55.09500,17.34300,0.03600,17.37900,6.21600,11.16300,11.16300,11.16300,24.66600,17.34300,37.74300,39.17700,0.30000,0.28000,1.57450,0.20930,0.27100,73.42040,17.57820,17.57820,17.61470,11.31440,0.05840,1.66970,53.90310,1.11250,-6.86540,0.66060,0.87960,26.56010,0.4401,0.3626
2020-12-31,93.64300,26.88800,66.75500,24.13100,21.44200,,49.21100,17.54400,-6.01800,11.52600,-9.41500,20.94100,20.94100,20.94100,25.16800,17.54400,37.18000,43.36300,0.56000,0.53000,1.37470,0.21130,0.27420,71.28670,18.73500,18.73500,12.30850,22.36260,0.05510,1.54970,58.07520,2.10860,-11.36260,1.23130,1.66310,26.35340,0.24930,0.19460
2020-09-30,91.48800,25.58400,65.90400,22.00100,21.49900,,49.40100,16.50300,-6.62500,9.87800,1.19200,8.68600,8.68600,8.68600,23.84000,16.50300,36.42800,36.42800,0.25000,0.26000,1.25910,0.21750,0.28450,72.03570,18.03850,18.03840,10.79700,9.49410,0.05420,1.79740,50.07210,0.90470,-4.06380,0.51470,0.70790,26.05910,0.7207,0.6391
2020-06-30,75.19700,27.60300,47.59400,22.04100,23.44100,,51.90300,-4.30900,-25.95400,-30.26300,-2.21100,-28.05200,-28.05200,-28.05200,3.42400,-4.30900,36.50900,36.50900,-0.77000,-0.77000,1.21160,0.22160,0.29130,63.29240,-5.73030,-5.73030,-40.24500,-37.30470,0.04510,1.20190,74.88250,-2.98840,12.03560,-1.68070,-2.32630,25.70350,0.5285,0.3595
2020-03-31,86.82300,28.73000,58.09300,21.34600,18.41800,,45.75900,12.33400,-6.22900,6.10500,-6.70700,12.81200,12.81200,12.81200,19.94600,12.33400,36.44100,37.39200,0.35000,0.34000,1.17790,0.20260,0.26420,66.90970,14.20590,14.20590,7.03150,14.75650,0.05250,0.94090,95.64840,1.36830,-5.42180,0.77490,1.09100,25.68380,-0.2824,-0.4534
2019-12-31,77.45900,25.93400,51.52500,23.51100,19.42600,,53.62200,-2.09700,-6.66300,-8.76000,3.00200,-11.76200,-11.76200,-11.76200,5.26200,-2.09700,35.99500,35.99500,-0.33000,-0.33000,1.13570,0.20510,0.26820,66.51910,-2.70720,-2.70720,-11.30920,-15.18480,0.04660,1.19300,75.44020,-1.26990,4.57020,-0.70770,-1.00940,25.44340,0.26270,0.16240
2019-09-30,82.95800,27.01700,55.94100,23.71700,24.48200,-0.16100,51.32700,4.61400,0.23200,4.84600,-90.94300,95.78900,95.78900,95.78900,11.93600,4.61400,36.39100,36.39100,2.64000,2.64000,0.71510,,,67.43290,5.56180,5.56180,5.84150,115.46690,0.05590,1.26100,71.37140,8.96790,-82.03780,6.45550,8.96790,,0.5334,0.4881
2019-06-30,77.56900,23.67500,53.89400,22.97500,14.46900,-0.36600,50.63300,3.26100,-0.15000,3.11100,1.34100,1.77000,1.77000,1.77000,10.20900,3.26100,36.39100,36.39100,0.05000,0.05000,,,,69.47880,4.20400,4.20400,4.01060,2.28180,,,,,,,,,0.7257,0.7148
2019-03-31,70.30400,24.44400,45.86000,22.56100,15.48800,-0.18200,45.69200,0.16800,0.26600,0.43400,-0.02000,0.45400,0.45400,0.45400,7.39600,0.16800,36.39100,36.39100,0.01000,0.01000,,,,65.23100,0.23900,0.23900,0.61730,0.64580,,,,,,,,,0.7021,0.6479
2018-12-31,72.48400,24.20700,48.27700,23.80800,15.16600,-0.23500,45.46800,2.80900,-0.01600,2.79300,0.53800,2.25500,2.25500,2.25500,10.15500,2.80900,36.39100,36.39100,0.06000,0.06000,,,,66.60370,3.87530,3.87530,3.85330,3.11100,,,,,,,,,0.45890,0.44520
2018-09-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2017-09-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
