Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,20.43300,20.43300,29.77700,8.46300,-17.80700,2.80100,-15.00600,,-15.00600,-15.00600,-15.00600,-18.17500,-17.80700,36.74300,36.74300,-0.41000,-0.41000,4.08620,100.00000,-87.14830,-87.14830,-73.44000,-73.44000,0.05430,1.45610,61.81030,-13.87440,-13.87440,-3.98860,-13.87440,2.93680,-0.5068,-0.5414
2019-06-30,46.08700,46.08700,28.57600,8.32200,9.18900,1.96400,11.15300,,11.15300,11.15300,11.15300,8.57500,9.18900,36.61100,37.94100,0.30000,0.29000,4.92830,100.00000,19.93840,19.93840,24.19990,24.19990,0.11860,4.57980,19.65130,9.41940,9.41940,2.87010,9.41940,3.22820,-1.2855,-1.3351
2019-03-31,5.19700,5.19700,24.83100,9.65900,-29.29300,2.12300,-27.17000,,-27.17000,-27.17000,-27.17000,-29.23100,-29.29300,33.35300,33.35300,-0.81000,-0.81000,6.21290,100.00000,-563.65200,-563.65200,-522.80160,-522.80160,0.01260,,,-26.98270,-26.98270,-6.60510,-26.98270,2.75300,3.75260,3.72320
2018-12-31,2.00800,2.00800,16.91300,8.25600,-23.16100,0.62900,-22.53200,,-22.53200,-22.53200,-22.53200,-23.18200,-23.16100,32.06600,32.06600,-0.69000,-0.69000,5.13000,100.00000,-1153.43600,-1153.43600,-1122.11200,-1122.11200,0.01130,,,-48.51220,-48.51220,-12.72790,-48.51230,1.43510,-0.7582,-0.7751
2018-09-30,2.09400,2.09400,16.63200,6.60900,-21.14700,0.85800,-20.28900,,-20.28900,-20.28900,-20.28900,-21.23600,-21.14700,32.19100,32.19100,-0.63000,-0.63000,6.07670,100.00000,-1009.88500,-1009.88500,-968.91110,-968.91110,0.01060,,,-30.93400,-30.93400,-10.29560,-30.93400,2.03000,-0.5537,-0.5793
2018-06-30,2.57500,2.57500,16.50700,11.76200,-25.69400,0.15300,-25.54100,,-25.54100,-25.54100,-25.54100,-25.77700,-25.69400,31.97700,31.97700,-0.80000,-0.80000,6.88250,100.00000,-997.82530,-997.82530,-991.88350,-991.88350,0.01200,,,-31.15820,-31.15820,-11.89820,-31.15820,2.55650,-0.714,-0.7552
2018-03-31,0.94200,0.94200,14.85300,7.18200,-21.09300,0.98700,-20.10600,-0.18000,-19.92600,-19.92600,-19.92600,-20.94600,-21.09300,31.76000,31.76000,-0.63000,-0.63000,7.13090,100.00000,-2239.17200,-2239.17200,-2134.39500,-2115.28700,0.00400,,,-20.27200,-20.27210,-8.47820,-20.27210,3.08230,1.53050,1.47990
2017-12-31,6.34600,6.34600,13.32700,5.36600,-12.34700,0.55000,-11.79700,,-11.82800,-11.82800,-11.82800,-12.13200,-12.34700,26.80400,26.80400,-0.37000,-0.37000,10.80640,100.00000,-194.56350,-194.56350,-185.89660,-186.38510,0.03440,,,-8.82350,-8.82350,-6.41160,-8.82350,4.24590,-0.511,-0.5136
2017-09-30,1.14800,1.14800,19.56100,4.94200,-23.35500,0.00900,-23.34600,,-23.34600,-23.34600,-23.34600,-22.89400,-23.35500,26.16500,26.16500,-0.89000,-0.89000,6.12150,100.00000,-2034.40800,-2034.40800,-2033.62400,-2033.62400,0.00810,,,-27.39950,-27.39950,-16.56740,-27.39950,3.24590,-0.5973,-0.6119
2017-06-30,1.17700,1.17700,15.30000,4.51600,-18.63900,-0.04200,-18.68100,0.19500,-18.87600,-18.87600,-18.87600,-18.15300,-18.63900,25.94600,25.94600,-0.73000,-0.73000,12.22760,100.00000,-1583.60200,-1583.60200,-1587.17100,-1603.73800,0.00740,,,-17.92750,-17.92750,-11.91560,-17.92750,4.04920,-0.6263,-0.6436
