Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,33.43200,33.43200,21.36800,7.95300,4.11100,1.68600,5.79700,0.06100,5.73600,5.73600,5.73600,3.32000,4.11100,85.09300,85.20500,0.07000,0.07000,1.04150,,100.00000,12.29660,12.29660,17.33970,17.15720,0.24060,9.97370,9.02370,-24.45840,-22.92480,4.12720,-24.45850,-0.29980,-0.2412,-0.2415
2024-06-30,25.11500,25.11500,25.17200,8.39500,-8.45200,1.96900,-6.48300,0.05100,-6.53400,-6.53400,-6.53400,-9.43100,-8.45200,84.88100,84.88100,-0.08000,-0.08000,1.00160,,100.00000,-33.65320,-33.65320,-25.81330,-26.01630,0.15770,9.05050,9.94430,20.92420,19.90130,-4.10380,20.92420,-0.39970,-0.222,-0.223
2024-03-31,41.46300,41.46300,22.05200,7.75400,11.65700,2.18300,13.84000,0.04900,13.79100,13.79100,13.79100,10.25800,11.65700,82.02900,82.63000,0.17000,0.17000,1.15710,,100.00000,28.11420,28.11420,33.37920,33.26100,0.22450,3.14660,28.60210,-43.53220,-41.38710,7.46720,-43.53220,-0.46490,-0.31520,-0.31660
2023-12-31,26.60700,26.60700,19.38600,7.82700,-0.60600,2.51200,1.90600,1.06900,0.83700,0.83700,0.83700,-2.34600,-0.60600,73.80800,73.80800,0.02000,0.02000,1.17330,,100.00000,-2.27760,-2.27760,7.16350,3.14580,0.13190,7.75260,11.60900,-1.76410,-1.70380,0.41480,-1.76410,-0.70490,-0.3385,-0.3428
2023-09-30,26.38400,26.38400,16.44800,6.81300,3.12300,2.69200,5.81500,2.82300,2.99200,2.99200,2.99200,1.67400,3.12300,80.73200,80.99200,0.04000,0.04000,1.37070,,100.00000,11.83670,11.83670,22.03990,11.34020,0.11930,10.90700,8.25160,-5.83940,-5.65030,1.35280,-5.83940,-0.76620,-0.1828,-0.1814
2023-06-30,24.72400,24.72400,20.67100,7.40100,-3.34800,2.26100,-1.08700,,-1.08700,-1.08700,-1.08700,-4.46300,-3.34800,66.53600,66.53600,-0.02000,-0.02000,1.32840,,100.00000,-13.54150,-13.54150,-4.39650,-4.39650,0.11820,12.99210,6.92730,1.27840,1.25260,-0.51960,1.27840,-1.27350,-0.379,-0.3868
2023-03-31,23.49900,23.49900,21.17500,7.97700,-5.65300,2.34200,-3.31100,,-3.31100,-3.31100,-3.31100,-6.59300,-5.65300,66.24900,66.24900,-0.05000,-0.05000,1.40340,,100.00000,-24.05630,-24.05630,-14.09000,-14.09000,0.10020,21.55870,4.17460,3.82170,3.74440,-1.41120,3.82170,-1.30600,0.14110,0.14040
2022-12-31,20.12300,20.12300,19.56400,10.06800,-9.50900,0.73300,-8.77600,,-8.77600,-8.77600,-8.77600,-8.90600,-9.50900,65.74000,65.74000,-0.13000,-0.13000,1.55370,-0.04760,100.00000,-47.25440,-47.25440,-43.61180,-43.61180,0.07710,0.55920,160.94720,10.23430,10.02110,-3.36390,10.23430,-1.29480,-0.0255,-0.0283
2022-09-30,11.14700,11.14700,30.36700,10.49000,-29.71000,0.64600,-29.06400,,-29.06400,-29.06400,-29.06400,-29.10100,-29.71000,65.91200,65.91200,-0.44000,-0.44000,2.04700,,100.00000,-266.52910,-266.52910,-260.73380,-260.73380,0.04920,6.51110,13.82260,-102.07210,-109.20570,-12.83220,-102.07210,0.43180,-0.507,-0.5132
2022-06-30,12.85300,12.85300,31.15900,11.74800,-30.05400,0.55800,-29.49600,,-29.49600,-29.49600,-29.49600,-29.46000,-30.05400,65.54300,65.54300,-0.45000,-0.45000,2.34080,,100.00000,-233.82870,-233.82870,-229.48730,-229.48730,0.04940,12.67550,7.10030,-60.55690,-63.01080,-11.34090,-60.55680,0.74070,-0.5209,-0.5272
2022-03-31,9.04000,9.04000,30.55900,10.54300,-32.06200,0.08100,-31.98100,,-31.98100,-31.98100,-31.98100,-31.47700,-32.06200,65.39400,65.39400,-0.49000,-0.49000,2.61220,,100.00000,-354.66820,-354.66820,-353.77210,-353.77210,0.03050,8.89760,10.11500,-46.89710,-48.26520,-10.77440,-46.89710,1.04280,-0.63180,-0.64300
2021-12-31,-12.53400,-12.53400,36.58000,9.45500,-58.56900,0.08000,-58.48900,,-58.48900,-58.48900,-58.48900,-57.90900,-58.56900,64.14700,64.14700,-0.90000,-0.90000,3.98490,,100.00000,467.28110,467.28110,466.64280,466.64280,-0.03690,-15.86580,-5.67260,12741.56000,2407.96100,-17.23250,12742.70000,-0.00700,-0.5085,-0.5127
2021-09-30,17.58700,17.58700,29.14300,11.08500,-22.64100,0.05700,-22.58400,,-22.58400,-22.58400,-22.58400,-21.95500,-22.64100,65.20800,65.20800,-0.35000,-0.35000,2.41550,,100.00000,-128.73710,-128.73710,-128.41300,-128.41300,0.04740,19.82750,4.53910,-20.22320,-20.59310,-6.08350,-20.22320,1.71150,-0.4534,-0.4575
2021-06-30,16.28800,16.28800,26.10000,9.39300,-19.20500,-0.03800,-19.24300,,-19.24300,-19.24300,-19.24300,-18.38800,-19.20500,65.05600,65.05600,-0.30000,-0.30000,2.90230,,100.00000,-117.90890,-117.90890,-118.14220,-118.14220,0.04050,17.49520,5.14430,-14.69460,-14.92750,-4.78160,-14.69460,2.00980,-0.4026,-0.4033
2021-03-31,15.97100,15.97100,22.37100,9.22700,-15.62700,0.07300,-15.55400,,-15.55400,-15.55400,-15.55400,-14.81200,-15.62700,60.96800,60.96800,-0.26000,-0.26000,4.07970,,100.00000,-97.84610,-97.84610,-97.38900,-97.38900,0.03680,21.12570,4.26020,-10.65180,-10.80570,-3.58260,-10.65180,2.24640,-0.49110,-0.50720
2020-12-31,16.37300,16.37300,22.00700,9.14500,-14.77900,0.07800,-14.70100,,-14.70100,-14.70100,-14.70100,-14.01200,-14.77900,46.14600,46.14600,-0.32000,-0.31000,3.21050,,100.00000,-90.26450,-90.26450,-89.78810,-89.78810,0.04570,20.51750,4.38650,-29.51830,-30.82810,-4.09880,-29.51830,1.03210,-0.3771,-0.3868
2020-09-30,17.78800,17.78800,24.04900,8.63400,-14.89500,0.18500,-14.71000,,-14.71000,-14.71000,-14.71000,-14.27000,-14.89500,46.19500,46.19500,-0.32000,-0.32000,3.33520,,100.00000,-83.73620,-83.73620,-82.69620,-82.69620,0.04740,1.30760,68.83070,-30.60500,-32.03960,-3.92080,-30.60500,1.03980,-0.5373,-0.5541
2020-06-30,16.60800,16.60800,24.06600,8.68000,-16.13800,0.45900,-15.67900,,-15.67900,-15.67900,-15.67900,-15.70300,-16.13800,46.05700,46.05700,-0.34000,-0.34000,3.71070,,100.00000,-97.17010,-97.17010,-94.40630,-94.40630,0.04130,1.25180,71.89490,-26.65180,-27.68180,-3.89560,-26.65180,1.27360,2.0856,2.0843
2020-03-31,49.59300,49.59300,42.81400,9.57200,-2.79300,1.08700,-1.70600,-13.91100,12.20500,12.20500,12.20500,-2.28300,-2.79300,45.72400,47.04500,0.27000,0.26000,3.77420,,100.00000,-5.63180,-5.63180,-3.44000,24.61030,0.11360,0.34660,259.64130,17.49390,18.07020,2.79510,17.49390,1.51930,-1.05720,-1.07950
2019-12-31,8.27900,8.27900,36.44100,9.21700,-37.37900,1.50300,-35.87600,-0.42100,-35.45500,-35.45500,-35.45500,-37.03600,-37.37900,45.33600,45.33600,-0.79000,-0.79000,3.54400,,100.00000,-451.49190,-451.49180,-433.33750,-428.25230,0.02430,636.84610,0.14130,-69.36590,-72.57640,-10.38880,-69.36590,1.12280,-0.6546,-0.6703
2019-09-30,10.71200,10.71200,27.96700,8.46300,-25.71800,2.01900,-23.69900,,-23.69900,-23.69900,-23.69900,-25.59700,-25.71800,45.41800,45.41800,-0.52000,-0.52000,4.39770,,100.00000,-240.08590,-240.08590,-221.23790,-221.23790,0.02880,1530.28600,0.05880,-28.86280,-29.69390,-6.36140,-28.86290,1.80750,-0.5101,-0.5238
2019-06-30,9.01300,9.01300,30.83500,9.41100,-31.23300,2.27300,-28.96000,,-28.96000,-28.96000,-28.96000,-31.26000,-31.23300,45.34000,45.34000,-0.64000,-0.64000,4.66080,,100.00000,-346.53280,-346.53280,-321.31370,-321.31370,0.02220,0.90090,99.89570,-28.53170,-29.20330,-7.14560,-28.53170,2.23550,-1.0689,-1.0761
2019-03-31,29.48500,29.48500,36.37600,9.67400,-16.56500,2.43500,-14.13000,-0.00600,-14.12400,-14.12400,-14.12400,-16.62500,-16.56500,45.12200,45.12200,-0.31000,-0.31000,4.21000,,100.00000,-56.18110,-56.18110,-47.92270,-47.90230,0.06630,670.11360,0.13430,-11.52310,-11.75040,-3.17740,-11.52310,2.71430,-0.86500,-0.90560
2018-12-31,11.47100,11.47100,28.30600,8.97500,-25.81000,2.48900,-23.32100,8.91200,-32.23300,-32.23300,-32.23300,-25.89800,-25.81000,41.66500,41.66500,-0.75000,-0.75000,4.54990,,100.00000,-225.00200,-225.00200,-203.30400,-280.99550,0.02510,118.25770,0.76100,-24.62730,-25.08870,-7.05150,-24.62730,2.90320,-0.7475,-0.7776
2018-09-30,12.50900,12.50900,27.54900,8.13700,-23.17700,2.24800,-20.92900,2.50200,-23.43100,-23.43100,-23.43100,-23.13800,-23.17700,43.91800,43.91800,-0.53000,-0.53000,5.47680,,100.00000,-185.28260,-185.28260,-167.31160,-187.31310,0.02590,223.37500,0.40290,-14.86160,-15.09560,-4.85390,-14.86160,3.50380,-0.0069,-0.0262
2018-06-30,21.33800,21.33800,25.55300,9.04200,-13.25700,1.60100,-11.65600,1.79100,-13.44700,-13.44700,-13.44700,-13.17600,-13.25700,38.96100,38.96100,-0.35000,-0.35000,4.40650,,100.00000,-62.12860,-62.12860,-54.62560,-63.01900,0.05660,0.84890,106.02350,-32.69150,-34.78900,-3.56740,-32.69150,1.05440,-0.6801,-0.7022
2018-03-31,14.18400,14.18400,22.45800,7.35600,-15.63000,1.23500,-14.39500,1.09800,-15.49300,-15.49300,-15.49300,-15.47900,-15.63000,38.64800,38.64800,-0.40000,-0.40000,5.26530,,100.00000,-110.19460,-110.19460,-101.48760,-109.22870,0.03770,175.11110,0.51400,-31.20630,-32.87290,-4.11540,-31.20630,1.27610,-0.37810,-0.39750
2017-12-31,27.07400,27.07400,20.70500,7.61600,-1.24700,1.34900,0.10200,-0.51900,0.62100,0.62100,0.62100,-0.84700,-1.24700,37.16700,37.16700,0.04000,0.04000,6.35520,,100.00000,-4.60590,-4.60590,0.37670,2.29370,0.06810,2.67030,33.70430,0.88850,0.92210,0.15620,0.88850,1.81650,0.5682,0.5621
2017-09-30,24.14400,24.14400,28.92000,6.24900,-11.02500,0.75900,-10.26600,-0.01900,-10.24700,-10.24700,-10.24700,-10.49300,-11.02500,36.94700,36.94700,-0.28000,-0.28000,5.28310,,100.00000,-45.66350,-45.66350,-42.51990,-42.44120,0.06240,0.59980,150.04100,-22.53130,-23.89190,-2.64750,-22.53130,1.22600,-0.1741,-0.1755
2017-06-30,8.75200,8.75200,28.07600,6.04900,-25.37300,0.18300,-25.19000,0.02600,-25.21600,-25.21600,-25.21600,-24.87000,-25.37300,36.78100,36.78100,-0.69000,-0.69000,5.61850,,100.00000,-289.91090,-289.91090,-287.81990,-288.11700,0.02490,47.30810,1.90240,-48.27230,-50.90230,-7.16660,-48.27230,1.41800,4.7122,4.7036
2017-03-31,11.65300,11.65300,14.57600,5.69100,-8.61400,0.35600,-8.25800,-0.00100,-8.25700,-8.25700,-8.25700,-8.01600,-8.61400,36.53900,36.53900,-0.23000,-0.23000,4.49570,,100.00000,-73.92090,-73.92090,-70.86590,-70.85730,0.06550,54.70890,1.64510,-11.19030,-11.61520,-4.64180,-11.19030,2.00950,-0.52230,-0.54820
2016-12-31,6.27200,6.27200,15.34800,5.15400,-14.23000,0.17100,-14.05900,-0.02600,-14.03300,-14.03300,-14.03300,-13.33400,-14.23000,36.23500,36.23500,-0.40000,-0.40000,5.26040,,100.00000,-226.88130,-226.88130,-224.15500,-223.74050,0.03150,2.71160,33.19040,-17.88120,-18.51810,-7.04720,-17.88120,2.15070,0.0531,0.0379
2016-09-30,3.45400,3.45400,13.33700,5.03300,-14.91600,0.25500,-14.66100,0.00100,-14.66200,-14.66200,-14.66200,-14.03400,-14.91600,36.32500,36.32500,-0.40000,-0.40000,7.74060,,100.00000,-431.84710,-431.84710,-424.46440,-424.49330,0.01790,14.39170,6.25360,-16.39640,-16.90670,-7.60160,-16.39640,2.45710,-0.392,-0.4157
2016-06-30,3.09400,3.09400,12.70500,4.64700,-14.25800,0.08500,-14.17300,0.00300,-14.17600,-14.17600,-14.17600,-13.34600,-14.25800,36.11300,36.11300,-0.39000,-0.39000,8.98160,,100.00000,-460.82740,-460.82740,-458.08010,-458.17710,0.01500,10.85610,8.29020,-14.00970,-14.39360,-6.85290,-14.00970,2.79620,0.4364,0.4258
2016-03-31,2.22300,2.22300,13.36500,5.04000,-16.18200,0.15600,-16.02600,0.00300,-16.02900,-16.02900,-16.02900,-15.47700,-16.18200,36.06300,36.06300,-0.44000,-0.44000,10.85390,,100.00000,-727.93520,-727.93520,-720.91760,-721.05260,0.01160,7.03480,12.79350,-14.22100,-14.56980,-8.35050,-14.22100,3.12320,-0.15360,-0.16270
2015-12-31,1.98800,1.98800,9.50300,4.00900,-11.52400,0.03900,-11.48500,0.00200,-11.48700,-11.48700,-12.04500,-10.82500,-11.52400,8.59500,8.59500,24.59000,24.59000,12.05630,,100.00000,-579.67820,-579.67820,-577.71620,-605.88540,0.01010,5.34410,16.84110,-9.11170,-9.31110,-5.82460,-9.11170,3.49870,15.3162,16.4884
2015-09-30,1.93900,1.93900,9.15700,4.05100,-11.26900,-0.59800,-11.86700,0.00300,-11.87000,-11.87000,-14.82800,-10.52400,-11.26900,1.04000,1.04000,-14.26000,-14.26000,8.23520,,100.00000,-581.17580,-581.17580,-612.01650,-764.72410,0.01550,4.77590,18.84480,11.19310,-23.58340,-9.51280,-22.38310,48.43010,-7.0373,-7.347
