Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,6.08700,-0.08600,-6.17300,1.12600,-5.04700,-0.21800,-4.82900,-4.82900,-4.82900,-5.85900,-6.17300,184.20510,184.20510,-0.03000,-0.03000,4.37070,,,-1.96890,-1.97680,-1.73330,-1.96890,1.32870,-0.04120,-0.05250
2024-06-30,,3.74470,-6.27560,-10.32410,167.42280,157.09870,,131.23920,131.23920,131.23920,-10.02230,-10.32410,176.93000,179.41900,0.74580,0.73850,3.29540,,,52.33800,52.54630,45.25120,52.33800,1.36340,-0.0106,-0.0215
2024-03-31,,4.45000,-3.07790,-7.81630,0.13790,-7.67840,,-7.67840,-7.67840,-7.67840,-7.52280,-7.81630,178.22310,178.22310,-0.04450,-0.04450,1.68780,,,-6.50270,-6.55910,-6.05430,-6.50270,0.64820,-0.031,-0.0569
2023-12-31,,4.54370,-2.87440,-7.70460,0.21590,-7.48870,,-7.48870,-7.48870,-7.48870,-7.42200,-7.70460,173.11000,173.11000,-0.04410,-0.04410,1.50570,,,-6.87180,-6.93670,-6.35970,-6.87180,0.62530,-0.0322,-0.1021
2023-09-30,,3.71230,-3.69150,-7.66760,0.41290,-7.25480,,-7.25480,-7.25480,-7.25480,-7.40310,-7.66760,172.78500,172.78500,-0.04470,-0.04470,2.61540,,,-6.26690,-6.32430,-5.69660,-6.26690,0.66970,-0.02780,-0.09990
2023-06-30,,14.74440,-5.58020,-20.42900,0.59160,-19.83750,,-19.83750,-19.83750,-19.83750,-20.31670,-20.42900,168.57800,168.57800,-0.12000,-0.12000,4.68330,,,-16.66930,-16.82040,-15.31260,-16.66930,0.68890,-0.0194,-0.145
2023-03-31,,1.14650,-4.78950,-5.99950,0.75070,-5.24880,,-5.24880,-5.24880,-5.24880,-5.93530,-5.99950,168.79000,168.79000,-0.02960,-0.02960,14.28300,,,-4.18000,-4.21600,-4.00290,-4.18000,0.72940,-0.0393,-0.0905
2022-12-31,,1.17820,-4.54060,-5.77110,0.69830,-5.07290,,-5.07290,-5.07290,-5.07290,-5.72730,-5.77110,166.55200,166.55200,-0.02950,-0.02950,24.87680,,,-4.00580,-4.04000,-3.89970,-4.00580,0.76040,-0.0211,-0.059
2022-09-30,,1.77010,0.37720,-1.61920,0.42510,-1.19410,,-1.19410,-1.19410,-1.19410,-1.39290,-1.61920,166.47230,166.47230,-0.00770,-0.00770,25.61640,,,-0.86830,-0.87540,-0.84370,-0.86830,0.82570,-0.03150,-0.05260
2022-06-30,,2.55530,-0.92800,-5.18980,0.17090,-5.01890,,-5.01890,-5.01890,-5.01890,-3.44250,-5.18980,155.45400,155.45400,-0.02760,-0.02760,19.44090,,,-3.59840,-3.62930,-3.45900,-3.59840,0.83820,-0.0222,-0.0359
2022-03-31,,2.89020,-4.88140,-10.91780,0.06790,-10.84990,,-10.84990,-10.84990,-10.84990,-7.80140,-10.91780,162.26500,162.26500,-0.06320,-0.06320,30.80420,,,-7.90410,-7.97520,-7.68630,-7.90410,0.83550,-0.018,-0.0229
2021-12-31,0.00800,0.89010,-2.89820,-6.81090,0.01140,-6.79950,,-6.79950,-6.79950,-6.79950,-3.79920,-6.81090,151.38930,151.38930,-0.04760,-0.04760,115.99070,,,-4.68190,-4.72310,-4.64040,-4.68190,0.90190,-0.0277,-0.0366
2021-09-30,,1.70720,-2.81910,-7.43480,,-7.43480,,-7.43480,-7.43480,-7.43480,-4.52630,-7.43480,143.39900,143.39900,-0.05560,-0.05560,11.78280,,,-13.78960,-14.13180,-13.33020,-13.78960,0.37290,-0.04130,-0.04560
2021-06-30,,0.86180,-2.01630,-5.56540,-0.02590,-5.59130,,-5.59130,-5.59130,-5.59130,-3.00800,-5.56540,121.47000,121.47000,-0.05020,-0.05020,11.78320,,,-10.01180,-10.25430,-9.66960,-10.01180,0.39560,-0.0166,-0.0275
2021-03-31,,3.81120,-1.24280,-7.70580,-0.03620,-7.74200,,-7.74200,-7.74200,-7.74200,-4.94940,-7.70580,131.27900,131.27900,-0.05530,-0.05530,20.48330,0.06060,0.06450,-13.82590,-14.17360,-12.71360,-12.98770,0.42140,-0.0023,-0.0399
2020-12-31,,0.82600,-1.00040,-4.39050,-0.03690,-4.42740,,-4.42740,-4.42740,-4.42740,-1.80100,-4.39050,113.84800,113.84800,-0.03840,-0.03840,6.08660,0.05860,0.06230,-7.82840,-8.02300,-6.85600,-7.36940,0.43810,-0.0294,-0.038
2020-09-30,,0.29770,-0.64530,-2.05680,-0.03660,-2.09340,,-2.09340,-2.09340,-2.09340,-0.94300,-2.05680,105.77000,105.77000,-0.02000,-0.02000,0.43570,0.10260,0.11440,-6.50510,-6.79610,-5.08460,-5.83740,0.29970,-0.00720,-0.01820
2020-06-30,,0.47270,-0.00730,-3.27860,-0.03630,-3.31430,,-3.31430,-3.31430,-3.31430,-3.27860,-3.27860,88.77700,88.77700,-0.03600,-0.03600,0.63170,0.09800,0.10870,-9.74890,-10.16870,-7.69570,-8.79320,0.32230,0.0291,-0.0933
2020-03-31,,1.44250,-0.97500,-2.41750,-0.06100,-2.47840,,-2.47840,-2.47840,-2.47840,-2.41750,-2.41750,88.69900,88.69900,-0.02800,-0.02800,1.04390,0.09410,0.10390,-6.70600,-6.97450,-5.37130,-6.07490,0.41650,-0.03,-0.0384
2019-12-31,,0.36670,-0.22150,-0.58820,-0.07690,-0.66510,,-0.66510,-0.66510,-0.66510,-0.58820,-0.58820,88.11000,88.11000,-0.00800,-0.00800,0.35920,0.11210,0.12630,-2.37370,-2.50300,-1.69440,-2.10750,0.31630,-0.0052,-0.0054
2019-09-30,,0.37250,-0.27320,-0.64570,,-0.64570,,-0.64570,-0.64570,-0.64570,-0.64570,-0.64570,81.46400,81.46400,-0.00800,-0.00800,0.60040,,,-2.25000,-2.36940,-1.92720,-2.25000,0.32760,-0.02000,-0.02110
2019-06-30,,,,,,,,,-0.37300,-0.37300,,,49.88700,49.88700,-0.01000,-0.01000,1.28130,,,-1.28680,-1.35420,-1.11250,-1.28680,,-0.0646,-0.1231
