Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.08040,0.08040,1.04670,0.49310,-1.45940,0.01480,-1.44460,-1.44460,-1.44460,-1.44460,-1.45870,-1.45940,1.11900,1.11900,-1.29000,-1.29000,2.96640,,100.00000,-1815.64400,-1815.64400,-1797.25900,-1797.25900,0.03720,2.58630,34.79860,-99.02120,-99.02110,-66.87810,-99.02110,1.33720,-0.2188,-0.2188
2024-06-30,0.13640,0.13640,0.66160,0.42710,-0.95220,0.01400,-0.93810,-0.93810,-0.93810,-0.93810,-0.95080,-0.95220,0.95080,0.95080,-0.96000,-0.96000,4.33220,,100.00000,-697.92720,-697.92720,-687.63410,-687.63410,0.06250,3.86140,23.30760,-55.06210,-55.06200,-42.95320,-55.06200,1.79210,-0.9035,-0.9035
2024-03-31,0.14590,0.14590,0.84260,0.52090,-1.21760,0.02580,-1.19180,-1.19180,-1.19180,-1.19180,-1.21760,-1.21760,0.91150,0.91150,-1.28000,-1.28000,5.45600,,100.00000,-834.69020,-834.69020,-816.97900,-816.97900,0.04650,2.11620,42.52850,-46.53180,-46.53180,-37.99010,-46.53180,2.91050,-1.52320,-1.52320
2023-12-31,0.12080,0.12080,0.45420,0.39620,-0.72960,0.04070,-0.68890,-0.68890,-0.68890,-0.68890,-0.72890,-0.72960,0.75040,0.75040,-0.64000,-0.64000,8.89900,,100.00000,-603.75850,-603.75850,-570.07010,-570.07010,0.03380,3.74290,24.04580,-21.90800,-21.90800,-19.25780,-21.90800,4.15380,-0.8289,-0.8281
2023-09-30,0.10410,0.10410,0.83330,0.62750,-1.35670,0.03320,-1.32360,-1.32360,-1.32360,-1.32360,-1.35670,-1.35670,0.71900,0.71900,-1.84000,-1.84000,4.86770,,100.00000,-1303.90600,-1303.90600,-1272.04000,-1272.04000,0.03660,1.95810,45.96400,-59.57380,-59.57380,-46.58910,-59.57380,3.06230,-0.9554,-0.9755
2023-06-30,0.10670,0.10670,1.05760,0.62420,-1.57520,0.03650,-1.53870,-1.53870,-1.53870,-1.53870,-1.57520,-1.57520,0.71800,0.71800,-2.16000,-2.16000,11.26820,,100.00000,-1476.62100,-1476.62100,-1442.39200,-1442.39200,0.03060,3.80390,23.66010,-49.23260,-49.23260,-44.09430,-49.23260,4.35280,-0.9124,-0.9124
2023-03-31,0.11800,0.11800,0.69370,0.50880,-1.08440,0.01660,-1.06780,-1.06780,-1.06780,-1.06780,-1.08440,-1.08440,0.71800,0.71800,-1.52000,-1.52000,6.24160,0.06550,100.00000,-918.63660,-918.63660,-904.56850,-904.56850,0.02560,1.40590,64.01660,-27.97980,-27.97980,-23.13910,-27.97980,5.31530,-1.50140,-1.50140
2022-12-31,0.15100,0.15100,0.47800,0.03200,-0.35900,-0.00470,-0.36400,-0.36400,-0.36400,-0.36400,-0.35900,-0.35900,0.50760,0.50760,-0.64000,-0.64000,4.92190,0.05880,100.00000,-237.74840,-237.74840,-241.05960,-241.05960,0.02540,1.32860,67.74140,-7.78510,-7.78510,-6.11750,-7.78510,6.51200,-0.4904,-0.4904
2022-09-30,,,0.65100,0.06170,-0.71260,-0.00120,-0.71380,-0.71380,-0.71380,-0.71380,-0.71260,-0.71260,0.51330,0.51330,-1.36000,-1.36000,,,,,,,,,,,,,,,,-0.4698,-0.4698
2022-06-30,,,0.74270,0.03850,-0.78110,-0.00090,-0.78200,-0.78200,-0.78200,-0.78200,-0.78110,-0.78110,0.48340,0.48340,-1.60000,-1.60000,,,,,,,,,,,,,,,,-1.1998,-1.1998
2022-03-31,0.03310,0.03310,0.67600,0.09390,-0.73670,-0.00130,-0.73800,-0.73800,-0.73800,-0.73800,-0.73670,-0.73670,0.48340,0.48340,-1.52000,-1.52000,,,100.00000,-2222.27800,-2222.27800,-2226.16100,-2226.16100,,,,,,,,,-1.44700,-1.44700
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
