Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,68.17500,24.61900,43.55600,8.95600,-2.61900,32.73400,10.82200,-21.89600,-11.07400,0.03900,-11.11300,-11.11300,0.20600,-9.69200,39.67300,10.82200,92.90300,101.58700,-0.10000,-0.10000,0.57310,1.34250,15.87390,15.87390,-16.24350,-14.21640,0.02270,-0.88920,-0.88920,-0.36970,-0.37960,13.45370,0.1381,0.0801
2024-06-30,67.47600,28.29200,39.18400,8.97500,-0.89000,30.18100,9.00300,-7.51100,1.49200,0.17600,1.31600,1.31600,1.41900,2.92200,34.12700,9.00300,92.66300,101.95200,0.03000,0.03000,0.57030,1.32720,13.34250,13.34250,2.21120,4.33040,0.02220,0.10350,0.10350,0.04330,0.04450,13.69370,0.1047,0.8377
2024-03-31,67.34000,29.26000,38.08000,11.08800,-0.51600,31.72100,6.35900,-12.56900,-6.21000,0.05900,-6.26900,-6.26900,1.80000,-3.90300,32.00900,6.35900,92.27500,100.96800,-0.04000,-0.04000,0.59290,1.45660,9.44310,9.44310,-9.22190,-5.79600,0.02100,-0.49280,-0.49280,-0.19510,-0.20060,13.77080,0.15560,0.20070
2023-12-31,86.58200,44.76100,41.82100,10.01500,-39.02100,77.61600,-35.79500,-16.17800,-51.97300,0.19900,-52.17200,-52.17200,46.42600,-5.05100,-2.66000,-35.79500,91.88300,100.81200,-0.05000,-0.05000,0.59160,1.44890,-41.34230,-41.34230,-60.02750,-5.83380,0.02670,-4.07740,-4.07740,-1.60970,-1.66500,13.87370,0.122,0.2325
2023-09-30,66.47300,28.45600,38.01700,14.60400,-2.70400,38.69800,-0.68100,-59.76000,-60.44100,0.29300,-60.73400,-60.73400,0.48400,-54.80700,31.52800,-0.68100,92.17700,100.92500,-0.60000,-0.60000,0.59700,1.48160,-1.02450,-1.02450,-90.92560,-82.45000,0.02000,-4.70410,-4.70410,-1.82390,-1.89560,14.00040,0.0881,0.0544
2023-06-30,64.20600,24.68000,39.52600,9.57200,-3.31900,34.72200,4.80400,-30.25900,-25.45500,0.00000,-25.45500,-25.45500,-4.68000,-27.43400,30.76900,4.80400,91.87300,100.85400,-0.30000,-0.30000,0.57460,1.35090,7.48220,7.48220,-39.64580,-42.72810,0.01700,-1.88830,-1.88830,-0.67470,-0.80330,14.64580,0.1213,0.0555
2023-03-31,62.59800,24.94800,37.65000,10.28100,-4.42300,36.49200,1.15800,-19.99000,-18.83200,0.00000,-18.83200,-18.83200,2.60200,-19.97300,28.07700,1.15800,91.22600,100.52600,-0.27000,-0.27000,0.56990,1.32500,1.84990,1.84990,-30.08400,-31.90680,0.01650,-1.37060,-1.37060,-0.49550,-0.58950,14.99640,0.12030,0.13090
2022-12-31,70.33100,35.29800,35.03300,12.21800,-2.12100,37.56100,-2.52800,-19.60800,-22.13600,,-22.13600,-24.77400,65.66800,31.87100,25.45500,-2.52800,91.04600,100.26500,0.35000,0.35000,0.57640,1.36060,-3.59440,-3.59440,-31.47400,45.31570,0.01790,-1.77040,-1.77040,-0.63190,-0.75000,15.35340,0.0677,0.2672
2022-09-30,63.13500,29.16600,33.96900,12.81800,-2.53800,37.71500,-3.74600,-18.84300,-22.58900,0.00000,-22.58900,-22.58900,-83.31300,-101.21800,22.79500,-3.74600,91.08700,100.37800,-1.10000,-1.10000,0.62460,1.66420,-5.93330,-5.93330,-35.77890,-160.32000,0.01480,-1.65840,-1.65840,-0.53070,-0.62250,14.95390,0.1396,-0.2064
2022-06-30,53.81300,25.82600,27.98700,11.52700,-5.24500,37.78700,-9.80000,40.44400,30.64400,,30.64400,33.28200,1.36800,26.37300,15.07600,-9.80000,91.02700,100.35200,0.25000,0.25000,0.60290,1.51820,-18.21120,-18.21120,56.94530,49.00860,0.01250,2.26840,2.26840,0.77200,0.90080,16.11160,0.1403,-0.0835
2022-03-31,46.16900,21.08900,25.08000,19.45100,-2.93200,41.22100,-16.14100,-9.31200,-25.45300,,-25.45300,-25.45300,20.92600,-9.09200,8.48500,-16.14100,90.95100,99.93400,-0.13000,-0.13000,0.60280,1.51790,-34.96070,-34.96070,-55.13010,-19.69290,0.01080,-1.76660,-1.76660,-0.59750,-0.70160,15.84060,0.31520,0.28570
2021-12-31,-43.31900,-12.34400,-30.97500,13.63400,-12.13700,8.65600,-39.63100,9.74600,-29.88500,,-29.88500,-29.88500,29.42900,-26.27200,-50.82900,-39.63100,90.83900,99.89300,-0.31000,-0.31000,0.62240,1.64830,91.48640,91.48640,68.98820,60.64780,-0.00960,-2.06190,-2.06190,-0.66010,-0.77860,15.93680,0.1499,0.4285
2021-09-30,82.18400,35.77900,46.40500,11.28800,-7.07200,47.31000,-0.90500,-26.54100,-27.44600,,-27.44600,-27.44600,1.65400,-28.31400,31.65300,-0.90500,90.94100,99.97500,-0.33000,-0.33000,0.61620,1.60570,-1.10120,-1.10120,-33.39580,-34.45200,0.01800,-1.85560,-1.85560,-0.60090,-0.71210,16.26300,0.1321,-0.4945
2021-06-30,79.68700,37.31700,42.37000,18.06600,-16.30500,62.86900,-20.49900,-59.21300,-79.71200,,-79.71200,-79.71200,5.68100,-72.07900,10.92500,-20.49900,90.77400,99.87300,-0.81000,-0.81000,0.60970,1.56210,-25.72440,-25.72440,-100.03140,-90.45270,0.01740,-5.27780,-5.27780,-1.73610,-2.05990,16.60670,0.0176,-0.333
2021-03-31,76.09300,34.69100,41.40200,13.98900,-0.41300,42.57500,-1.17300,-19.04900,-20.22200,,-20.22200,-20.22200,10.96200,7.62300,29.61300,-1.17300,90.69200,99.76000,0.06000,0.06000,0.63970,1.77540,-1.54150,-1.54150,-26.57540,10.01800,0.01470,-1.27220,-1.27220,-0.39190,-0.45840,17.51920,0.26220,-0.48250
2020-12-31,70.47800,35.07100,35.40700,11.91300,6.86100,32.40300,3.00410,23.71100,26.71500,,26.71500,26.71500,51.58300,65.63200,33.36900,3.00400,90.64800,100.26000,0.67000,0.67000,0.63760,1.75950,4.26240,4.26240,37.90550,93.12410,0.01370,1.67770,1.67770,0.51900,0.60800,17.55420,0.0885,-0.2661
2020-09-30,79.19700,37.01700,42.18000,26.36100,-40.45700,98.58700,-56.40700,-18.88900,-75.29600,,-75.29600,-75.29600,34.17800,-42.20800,-23.91900,-56.40700,90.67100,100.30700,-0.49000,-0.49000,0.65520,1.90000,-71.22370,-71.22370,-95.07430,-53.29500,0.01530,-4.94030,-4.94030,-1.45060,-1.70350,16.80170,0.0824,-0.9136
2020-06-30,74.19700,32.81700,41.38000,16.96600,-17.12300,61.52900,-20.14900,-21.55000,-41.69900,,-41.69900,-41.69900,8.76500,-34.88700,9.80900,-20.14900,90.62900,100.21300,-0.41000,-0.41000,0.65240,1.87670,-27.15610,-27.15610,-56.20040,-47.01940,0.01380,-2.61680,-2.61680,-0.77800,-0.90970,17.58880,0.2453,-0.8205
