Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,49.30100,3.34100,45.96000,42.29600,61.60100,103.89700,-57.93700,4.40700,-53.53000,-53.53000,-53.53000,-53.53000,-57.05900,-57.93700,74.26500,74.26500,-0.72000,-0.72000,6.16190,93.22330,-117.51690,-117.51690,-108.57790,-108.57790,0.08100,0.34000,1.49520,60.19110,-10.05110,-10.05110,-8.79160,-10.05110,7.16460,-0.3386,-0.3634
2024-06-30,59.73300,2.45300,57.28000,44.36200,57.83900,102.20100,-44.92100,5.00200,-39.91900,-39.91900,-39.91900,-39.91900,-44.07700,-44.92100,74.12100,74.12100,-0.54000,-0.54000,7.91420,95.89340,-75.20300,-75.20300,-66.82910,-66.82910,0.09680,0.31780,2.43770,36.92030,-7.17030,-7.17030,-6.46640,-7.17030,7.49740,-0.5587,-0.5718
2024-03-31,21.00600,1.20200,19.80400,53.62200,60.11300,113.73500,-93.93100,6.54600,-87.38500,-87.38500,-87.38500,-87.38500,-93.20200,-93.93100,73.76900,73.76900,-1.18000,-1.18000,6.84590,94.27780,-447.16270,-447.16270,-416.00020,-416.00020,0.03200,0.23040,1.35270,66.53380,-15.39990,-15.39990,-13.30400,-15.39990,7.66180,-1.07000,-1.07780
2023-12-31,,,,43.65200,59.83600,,-103.91000,4.14100,-94.32200,-94.32200,-94.32200,-94.32200,-103.37200,-98.46300,63.12400,63.12400,-1.45000,-1.45000,6.40800,,,,,,,,,,-15.06210,-15.06210,-12.99580,-15.06210,8.52150,-0.969,-0.931
2023-09-30,,,,37.45300,46.54600,,-83.99900,4.56200,-79.43700,-79.43700,-79.43700,-79.43700,-83.50500,-83.99900,62.52200,62.52200,-1.27000,-1.27000,8.59900,,,,,,,,,,-20.11580,-20.11580,-16.98630,-20.11580,6.31080,-0.8054,-0.8633
2023-06-30,,,,35.85800,46.99400,,-82.85200,4.92700,-77.92500,-77.92500,-77.92500,-77.92500,-82.47000,-82.85200,62.46400,62.46400,-1.25000,-1.25000,11.54620,,,,,,,,,,-17.26140,-17.26140,-15.06300,-17.26140,7.21570,-0.7633,-0.8126
2023-03-31,,,,33.52400,44.17500,,-77.69900,4.27900,-73.42000,-73.42000,-73.42000,-73.42000,-77.44600,-77.69900,62.32700,62.32700,-1.18000,-1.18000,14.24140,,,,,,,,,,-14.48340,-14.48340,-12.89890,-14.48340,8.10780,-0.99180,-1.03960
2022-12-31,,,,37.92800,40.52600,,-78.45400,4.27600,-74.17800,-74.17800,-74.17800,-74.17800,-78.19900,-78.45400,53.29100,53.29100,-1.17000,-1.17000,11.74870,,,,,,,,,,-13.28900,-13.28900,-11.76980,-13.28900,8.66450,-1.0022,-1.0339
2022-09-30,,,,36.06700,35.67300,,-71.74000,-0.64800,-72.38800,-72.38800,-72.38800,-72.38800,-71.52800,-71.74000,52.90100,52.90100,-1.37000,-1.37000,13.28010,,,,,,,,,,-11.82040,-11.82040,-10.62100,-11.82040,9.81680,-0.2411,-0.3006
2022-06-30,,,,38.02400,30.98700,,-69.01100,-0.03900,-69.05000,-69.05000,-69.05000,-69.05000,-68.82100,-69.01100,49.07200,49.07200,-1.41000,-1.41000,9.79550,,,,,,,,,,-21.19830,-21.19830,-18.87030,-21.19830,6.58900,-0.7935,-0.8448
