Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.05100,0.18700,-0.13600,1.07700,2.85000,,3.93400,-4.07000,0.38400,-3.68600,-3.68600,-3.68600,-3.68600,-4.05400,-4.07000,3.74100,3.74100,-0.99000,-0.99000,3.61360,,-266.66670,-7980.39200,-7980.39200,-7227.45100,-7227.45100,0.00910,0.24160,0.09730,924.70590,-97.02560,-97.07660,-65.99820,-97.02550,1.04200,0.0243,0.0249
2024-06-30,0.18200,0.11800,0.06400,0.87000,2.45700,,3.33400,-3.27000,1.65800,-1.61200,-1.61200,-1.61200,-1.61200,-3.25400,-3.27000,2.51800,2.51800,-0.64000,-0.64000,4.20080,,35.16480,-1796.70300,-1796.70300,-885.71440,-885.71440,0.02060,0.14370,0.27620,325.87910,-25.42990,-25.46600,-18.22290,-25.42990,1.98220,1.3332,1.3374
2024-03-31,0.13500,0.12300,0.01200,0.78800,2.63300,,3.42800,-3.41600,0.89200,-2.51600,-2.51600,-2.51600,-2.51600,-3.40000,-3.41600,0.81700,0.81700,-3.08000,-3.08000,3.50510,,8.88890,-2530.37000,-2530.37000,-1863.70400,-1863.70400,0.02340,0.32030,0.24020,374.66670,-126.68670,-127.78060,-43.70330,-126.68680,2.23650,-3.67320,-3.67930
2023-12-31,0.13400,0.09000,0.04400,0.65000,1.63200,,2.29000,-2.24600,1.20100,-1.04500,-1.04500,-1.04500,-1.04500,-2.22500,-2.24600,0.60800,0.60800,-1.73000,-1.73000,3.95850,,32.83580,-1676.11900,-1676.12000,-779.85110,-779.85110,0.01740,0.19690,0.21040,427.83590,-44.46790,-44.92690,-13.58560,-44.46810,3.28670,-4.5837,-4.5925
2023-09-30,0.14300,0.18700,-0.04400,0.72200,2.19600,,3.10900,-3.15300,-0.51000,-3.66300,-3.66300,-3.66300,-3.66300,-2.95200,-3.15300,0.66800,0.66800,-5.49000,-5.49000,5.97630,,-30.76920,-2204.89500,-2204.89500,-2561.53900,-2561.53900,0.01620,0.35890,0.25270,356.22380,-121.25080,-122.50840,-41.37110,-121.25130,4.39100,-2.0337,-2.0372
2023-06-30,0.25600,0.18400,0.07200,0.68400,2.56900,,3.29100,-3.21900,1.57100,-1.64800,-1.64800,-1.64800,-1.64800,-3.17100,-3.21900,0.56400,0.56400,-2.92000,-2.92000,6.73560,,28.12500,-1257.42200,-1257.42200,-643.74990,-643.74990,0.02380,0.32680,1.38380,65.03910,-36.04550,-36.56530,-15.32600,-36.04550,8.08600,-4.8582,-4.8599
2023-03-31,0.11100,0.12200,-0.01100,0.88600,2.87400,,3.79900,-3.81000,1.31600,-2.49400,-2.49400,-2.49400,-2.49400,-3.75900,-3.81000,0.56400,0.56400,-4.42000,-4.42000,7.38350,,-9.90990,-3432.43200,-3432.43200,-2246.84700,-2246.84700,0.00810,0.19770,0.66470,135.40540,-41.10770,-41.80360,-18.13160,-41.10760,10.71420,-5.65600,-5.68970
2022-12-31,0.28200,0.15000,0.13200,0.79400,1.96700,,2.80100,-2.66900,-2.21700,-4.88600,-4.88600,-4.88600,-4.88600,-2.62900,-2.66900,0.27000,0.27000,56.77000,56.77000,8.39890,,46.80850,-946.45440,-946.45440,-1732.62400,-1732.62400,0.01630,0.25470,0.82220,109.46810,-59.94350,-60.99110,-28.26400,-59.94360,14.45210,-18.823,-18.8272
2022-09-30,0.19600,0.10100,0.09500,0.75100,3.39300,,4.94800,-4.85300,3.82300,-1.03000,-1.03000,-1.03000,-1.03000,-4.02500,-4.85300,0.35600,0.35600,-2.90000,-2.90000,15.18080,,48.46940,-2476.02000,-2476.02000,-525.51020,-525.51020,0.01040,0.16580,0.90320,99.64290,-7.94690,-8.05760,-5.46160,-7.94690,22.97970,72.0332,72.0731
2022-06-30,0.11900,0.08800,0.03100,0.95300,2.46100,,3.46100,-3.43000,-0.38000,-3.81000,-3.81000,-3.81000,-3.81000,-3.35800,-3.43000,0.07860,0.07860,-48.50000,-48.50000,2.84970,,26.05040,-2882.35300,-2882.35300,-3201.68000,-3201.68000,0.01820,0.15250,0.60710,148.23530,-84.62910,-108.45430,-58.20350,-84.62910,53.65910,-44.4098,-44.539
2022-03-31,0.19000,0.12400,0.06600,1.76400,2.81900,,4.63000,-4.56400,0.21800,-4.34600,-4.34600,-4.34600,-4.34600,-4.49200,-4.56400,0.07580,0.07580,-57.50000,-57.50000,3.64980,,34.73680,-2402.10500,-2402.10500,-2287.36900,-2287.36900,0.01980,0.23850,0.77550,116.05260,-60.95370,-71.69250,-45.18610,-60.95370,93.93940,-61.80040,-61.74760
2021-12-31,0.25800,0.13000,0.12800,1.80800,2.37600,,4.23000,-4.10200,,-4.10200,-4.10200,-4.10200,-4.10200,-4.02700,-4.10200,0.04910,0.04910,-57.00000,-57.00000,4.74710,,49.61240,-1589.92200,-1589.92300,-1589.92200,-1589.92200,0.01830,0.27310,1.02790,87.55810,-36.44280,-40.37400,-29.08810,-36.44280,148.84950,-59.1887,-59.2347
2021-09-30,0.10900,0.08600,0.02300,1.48900,2.85900,,4.39600,-4.37300,-0.31400,-4.68700,-4.68700,-4.68700,-4.68700,-4.29800,-4.37300,0.04650,0.04650,-100.50000,-100.50000,2.36110,,21.10090,-4011.92600,-4011.92600,-4300.00000,-4300.00000,0.01380,0.15990,0.55050,163.48620,-93.05140,-120.36470,-59.48720,-93.05140,105.28850,-68.8897,-69.5326
2021-06-30,0.07100,0.06700,0.00400,1.37700,4.74400,,6.17000,-6.16600,0.18500,-5.98100,-5.98100,-5.98100,-5.98100,-6.08900,-6.16600,0.04630,0.04630,-129.00000,-129.00000,4.20450,,5.63380,-8684.50600,-8684.50600,-8423.94300,-8423.94300,0.00660,0.13210,0.32270,278.87320,-71.48330,-83.69720,-55.80850,-71.48320,180.47890,-72.8096,-72.7542
2021-03-31,0.08400,0.01500,0.06900,1.31600,2.19700,,3.57000,-3.50100,0.13900,-3.36200,-3.36200,-3.36200,-3.36200,-3.41600,-3.50100,0.04080,0.04080,-82.50000,-82.50000,5.07620,,82.14290,-4167.85700,-4167.85700,-4002.38100,-4002.38100,0.00570,0.03100,0.41380,217.50000,-28.25690,-31.56810,-22.92690,-28.25690,257.30970,-71.55810,-72.02350
2020-12-31,0.19000,0.20100,-0.01100,0.82700,2.08800,,2.99100,-3.00200,0.46700,-2.53500,-2.53500,-2.53500,-2.53500,-2.89700,-3.00200,0.02400,0.02400,-41.00000,-41.00000,1.93280,,-5.78950,-1579.99900,-1579.99900,-1334.21000,-1334.21000,0.02900,0.51670,0.82610,108.94740,-65.48690,-98.06570,-38.72000,-65.48690,130.42450,-119.0859,-120.991
2020-09-30,0.13100,0.02200,0.10900,1.32700,2.37000,,3.76900,-3.66000,0.18300,-3.47700,-3.47700,-3.47700,-3.47700,-3.56200,-3.66000,0.02580,0.02580,-135.00000,-135.00000,1.61250,,83.20610,-2793.89300,-2793.89300,-2654.19800,-2654.19800,0.02170,0.03850,0.60090,149.77100,-108.75820,-183.67670,-57.70000,-108.75820,123.23140,-70.2541,-70.9303
2020-06-30,0.13300,0.06400,0.06900,1.30800,2.39400,,3.79100,-3.72200,0.36100,-3.36100,-3.36100,-3.36100,-3.36100,-3.63100,-3.72200,0.02320,0.02320,-145.00000,-145.00000,3.32660,,51.87970,-2798.49600,-2798.49600,-2527.06800,-2527.06800,0.01530,0.11230,0.68560,131.27820,-52.54850,-66.58080,-38.61440,-52.54850,247.85140,-88.639,-85.9716
2020-03-31,0.20700,0.10100,0.10600,1.12000,2.86200,,4.10800,-4.00200,-0.75500,-4.75700,-4.75700,-4.75700,-4.75700,-3.63000,-4.00200,0.01770,0.01770,-269.00000,-269.00000,2.24490,,51.20770,-1933.33300,-1933.33300,-2298.06800,-2298.06800,0.02450,0.17000,0.88460,101.73910,-91.32260,-124.00940,-56.22270,-91.32270,239.38390,-211.92090,-212.09040
2019-12-31,0.15100,0.30900,-0.15800,1.59900,3.80400,,5.46700,-5.62500,0.29400,-5.33100,-5.33100,-5.33100,-5.33100,-5.52300,-5.62500,0.01510,0.01510,-334.81470,-142.50700,1.90450,,-104.63570,-3725.16400,-3725.16400,-3530.46200,-3530.46200,0.01460,0.51670,0.26310,342.11900,-91.36250,-132.90950,-51.52220,-91.36250,332.28930,-283.476,-284.388
