Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,18440.00000,13315.00000,5125.00000,-3131.00000,3131.00000,1994.00000,1994.00000,653.00000,1341.00000,1341.00000,,1275.00000,1994.00000,1994.00000,699.30000,703.70000,1.82000,1.81000,0.33650,0.62170,10.81350,10.81350,10.81350,6.91430,0.02620,4.30300,6.09300,0.19020,2.85500,44.92740,6.0516,6.0516
2024-06-30,17823.00000,13451.00000,4372.00000,-3170.00000,3170.00000,1202.00000,1202.00000,249.00000,953.00000,953.00000,,912.00000,1202.00000,1202.00000,710.50000,714.70000,1.28000,1.28000,0.35810,0.68690,6.74410,6.74410,6.74410,5.11700,0.02640,3.46040,5.12640,0.14100,2.22120,39.13260,4.9445,4.9445
2024-03-31,16057.00000,11817.00000,4240.00000,-3195.00000,3195.00000,1045.00000,1045.00000,170.00000,875.00000,875.00000,,800.00000,1045.00000,1045.00000,723.20000,728.40000,1.11000,1.10000,0.36510,0.68940,6.50810,6.50810,6.50810,4.98230,0.02370,3.03860,4.42840,0.12910,1.92910,40.23690,3.19600,3.19600
2023-12-31,19028.00000,14774.00000,4254.00000,-3313.00000,3313.00000,941.00000,941.00000,327.00000,614.00000,614.00000,,574.00000,941.00000,941.00000,757.70000,762.30000,0.76000,0.75000,0.34850,0.64340,4.94530,4.94530,4.94530,3.01660,0.02770,2.02960,2.92140,0.08930,1.32220,41.39590,6.697,6.697
2023-09-30,15866.00000,12145.00000,3721.00000,-3187.00000,3187.00000,534.00000,534.00000,39.00000,495.00000,495.00000,,422.00000,534.00000,534.00000,751.40000,755.50000,0.56000,0.56000,0.38380,0.75100,3.36570,3.36570,3.36570,2.65980,0.02430,1.91160,2.94890,0.07590,1.17800,34.78800,4.7225,4.7225
2023-06-30,16623.00000,13076.00000,3547.00000,-3117.00000,3117.00000,430.00000,430.00000,22.00000,408.00000,408.00000,,370.00000,430.00000,430.00000,765.90000,769.60000,0.48000,0.48000,0.33290,0.60910,2.58680,2.58680,2.58680,2.22580,0.02450,1.33810,1.92170,0.06020,0.89270,40.26890,3.9866,3.9866
2023-03-31,15388.00000,12083.00000,3305.00000,-3048.00000,3048.00000,257.00000,257.00000,172.00000,85.00000,85.00000,,14.00000,257.00000,257.00000,775.40000,781.20000,0.02000,0.02000,0.32100,0.57530,1.67010,1.67010,1.67010,0.09100,0.02280,0.26220,0.36890,0.01260,0.17800,42.15270,2.59340,2.59340
2022-12-31,15608.00000,10485.00000,5123.00000,-3097.00000,3097.00000,2026.00000,2026.00000,445.00000,1581.00000,1581.00000,,1549.00000,2026.00000,2026.00000,803.20000,808.90000,1.97000,1.96000,0.33770,0.62060,12.98050,12.98050,12.98050,9.92440,0.02350,5.24810,7.59070,0.23840,3.47560,38.66650,2.7086,2.7086
2022-09-30,22283.00000,17810.00000,4473.00000,-3058.00000,3058.00000,1415.00000,1415.00000,248.00000,1167.00000,1167.00000,,1098.00000,1415.00000,1415.00000,795.80000,800.70000,1.38000,1.37000,0.37580,0.73390,6.35010,6.35010,6.35010,4.92750,0.03430,4.60720,7.14850,0.17950,2.87590,32.17160,5.5189,5.5189
2022-06-30,15474.00000,11579.00000,3895.00000,-2907.00000,2907.00000,988.00000,988.00000,73.00000,915.00000,915.00000,,881.00000,988.00000,988.00000,809.70000,814.50000,1.09000,1.08000,0.27840,0.47560,6.38490,6.38490,6.38490,5.69340,0.02330,2.44870,3.24280,0.13800,1.76690,46.85040,5.4417,5.4417
2022-03-31,15405.00000,10559.00000,4846.00000,-2911.00000,2911.00000,1935.00000,1935.00000,296.00000,1639.00000,1639.00000,,1571.00000,1935.00000,1935.00000,823.80000,830.50000,1.91000,1.89000,0.21210,0.33340,12.56090,12.56090,12.56090,10.19800,0.02130,3.02190,3.66450,0.22630,2.38090,66.56430,2.45640,2.45640
