Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.59500,1.47100,-9.06600,-2.15400,-11.22000,-11.22000,-11.22000,-11.23800,-9.05700,-9.06600,62.27800,62.27800,-0.18000,-0.18000,1.13490,60.47330,-1.13050,11.84740,12.13220,-38.72710,-721.54330,-1.48430,-0.1369,-0.1369
2024-06-30,9.81300,1.47800,-11.29100,-1.08000,-12.37100,-12.37100,-12.37100,-12.43500,-11.28200,-11.29100,62.23300,62.23300,-0.20000,-0.20000,1.86680,8.28640,-1.13720,14.66280,15.05960,-44.73330,-109.73040,-1.31900,-0.1331,-0.1331
2024-03-31,8.05400,1.59400,-9.64800,-1.84100,-11.48900,-11.48900,-11.48900,-11.49700,-9.63900,-9.64800,61.97600,61.97600,-0.19000,-0.19000,2.01540,7.24820,-1.16000,15.67200,16.16210,-44.37620,-100.98440,-1.14380,-0.19530,-0.19530
2023-12-31,8.22800,1.33300,-9.56100,-0.43600,-9.99700,-9.99700,-9.99700,-10.06000,-9.55200,-9.56100,60.15900,60.15900,-0.16000,-0.16000,1.76770,6.23830,-1.19090,16.00440,16.59500,-35.45040,-86.93050,-0.97390,-0.0746,-0.0746
2023-09-30,7.73200,1.43400,-9.16600,-1.26200,-10.42800,-10.42800,-10.42800,-14.04100,-9.15800,-9.16600,59.70400,59.70400,-0.24000,-0.24000,2.05390,5.95500,-1.20180,19.63620,20.49810,-47.05140,-101.56820,-0.82250,-0.1272,-0.1272
2023-06-30,7.37100,1.63200,-9.00300,-0.11100,-9.11400,-9.11400,-9.11400,-9.17700,-9.01900,-9.00300,59.58200,59.58200,-0.15000,-0.15000,1.95600,6.53800,-1.18060,17.08020,17.82620,-45.38620,-98.72180,-0.85810,-0.1647,-0.1647
2023-03-31,8.79900,1.54300,-10.34200,-1.18500,-11.52700,-11.52700,-11.52700,-11.52700,-10.31000,-10.34200,59.48000,59.48000,-0.19000,-0.19000,1.69530,6.84590,-1.17110,25.68460,27.02950,-56.99380,-158.01230,-0.71580,-0.18150,-0.18150
2022-12-31,9.00700,1.62600,-10.63300,-0.00100,-10.63400,-10.63400,-10.63400,-10.69900,-10.62500,-10.63300,59.39100,59.39100,-0.18000,-0.18000,1.57950,5.21720,-1.23710,30.88850,33.03100,-49.96010,-139.29790,-0.54170,-0.1219,-0.1219
2022-09-30,6.59800,1.52400,-8.12200,-0.47500,-8.59700,-8.59700,-8.59700,-8.58100,-8.11500,-8.12200,59.39600,59.39600,-0.14000,-0.14000,1.78570,4.01870,-1.33130,34.99260,38.49120,-47.99040,-116.19140,-0.37580,-0.1405,-0.1405
2022-06-30,8.07400,1.58800,-9.66200,0.04900,-9.61300,-9.61300,-9.61300,-9.67700,-9.65500,-9.66200,59.38900,59.38900,-0.16000,-0.16000,2.36730,2.06600,-1.93810,55.06990,63.14790,-37.13590,-67.31320,-0.25630,-0.125,-0.125
2022-03-31,8.05800,1.87700,-9.93500,0.00300,-9.93200,-9.93200,-9.93200,-9.91600,-9.92500,-9.93500,59.35400,59.35400,-0.17000,-0.17000,3.51410,1.26830,-4.72710,117.63600,160.37470,-29.54630,-43.02920,-0.10430,-0.13550,-0.13550
2021-12-31,5.85600,1.56900,-7.42500,0.20500,-7.22000,-7.22000,-7.22000,-7.28700,-7.41400,-7.42500,58.52700,58.52700,-0.12000,-0.12000,4.62970,0.91740,11.10400,-1972.69200,-275.99380,-17.26160,-22.80190,0.04410,-0.1226,-0.1226
2021-09-30,6.61300,1.63100,-8.24400,-0.27600,-8.52000,-8.52000,-8.52000,-8.55700,-8.23400,-8.24400,59.29000,59.29000,-0.14000,-0.14000,4.57860,0.67600,2.08660,-121.73230,-92.11810,-22.39870,-29.84450,0.15590,-0.0808,-0.0808
2021-06-30,6.45000,1.74300,-8.19300,-0.25600,-8.44900,-8.44900,-8.44900,-8.51400,-8.18300,-8.19300,58.31200,58.31200,-0.15000,-0.15000,5.50610,0.36040,0.56340,-56.83440,-49.36320,-25.29260,-31.57440,0.28880,-0.1002,-0.1002
2021-03-31,4.89900,1.41800,-6.31700,-0.02100,-6.33800,-6.33800,-6.33800,-6.34000,-6.30700,-6.31700,57.13200,57.13200,-0.11000,-0.11000,4.88830,,,-39.65210,-34.75920,-27.68050,-34.75920,0.31890,-0.11170,-0.11170
2020-12-31,6.37100,1.46100,-7.83200,-0.02000,-7.85200,-7.85200,-7.85200,-7.91700,-7.82300,-7.83200,57.02900,57.02900,-0.14000,-0.14000,5.45750,,,-35.78360,-32.45570,-26.52700,-32.45570,0.42390,-0.095,-0.095
2020-09-30,4.78000,1.14600,-5.92600,-0.01700,-5.94300,-5.94300,-5.94300,-5.95500,-5.91600,-5.92600,57.04700,57.04700,-0.10000,-0.10000,13.61860,,,-20.28880,-18.84160,-17.45430,-18.84160,0.55260,-0.1439,-0.1439
