Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2227.70000,711.33000,1516.37000,-674.56400,1071.77700,444.59300,-495.32000,-50.72700,-9.89200,-40.83500,-40.83500,-42.97000,835.28200,444.59300,460.62600,460.62600,-0.09000,-0.09000,0.40720,1.01740,-59.28550,68.06890,19.95750,19.95750,-2.27710,-1.92890,0.07000,7.05200,12.76230,9.66330,0.17970,-0.12830,-0.16770,-0.91630,0.9445,0.1668
2024-06-30,2240.75500,719.46000,1521.29500,-670.54200,1019.71300,501.58190,-430.86700,70.71500,49.01300,21.70200,21.70200,15.36100,901.58190,501.58190,459.99500,459.99500,0.03000,0.03000,0.46050,1.01620,-63.55190,67.89210,22.38450,22.38450,3.15590,0.68550,0.07000,7.00470,12.84860,-5.47070,-0.09540,0.06780,0.08860,-0.86130,0.662,-0.0898
2024-03-31,2250.93500,743.88700,1507.04800,-674.25000,1113.89400,393.15390,-403.12600,-9.97200,2.92400,-12.89600,-12.89600,-21.19300,788.43790,393.15390,457.36900,457.36900,-0.05000,-0.05000,0.40520,1.01790,-57.59950,66.95210,17.46630,17.46630,-0.44300,-0.94150,0.07050,7.15280,12.58240,2.96390,0.05640,-0.04040,-0.05310,-0.94600,0.87380,0.13900
2023-12-31,2301.61200,745.30490,1556.30700,-671.60710,1254.04510,302.26210,-482.95910,-180.69700,-66.90500,-113.79200,-113.79200,-117.80600,717.38210,302.26260,454.72300,455.03400,-0.26000,-0.26000,0.36170,1.01790,-57.72080,67.61820,13.13260,13.13270,-7.85090,-5.11840,0.07210,6.43630,13.98310,26.19410,0.49570,-0.35650,-0.46860,-0.95270,1.0908,0.4416
2023-09-30,2317.20000,750.53800,1566.66200,-667.27800,1074.09700,492.56490,-389.71400,102.85100,27.33600,75.51500,75.51500,66.83900,902.90590,492.56490,454.73000,455.07600,0.15000,0.15000,0.25610,1.01360,-78.16560,67.61010,21.25690,21.25690,4.43860,2.88450,0.07190,6.95340,12.94330,-23.50000,-0.32690,0.23450,0.31890,-0.70670,1.0411,0.2669
2023-06-30,2324.27400,762.28000,1561.99400,-656.12800,1080.01100,481.98290,-347.11400,134.86900,48.72500,86.14400,86.14400,78.30000,908.32790,481.98290,454.68800,454.68800,0.17000,0.17000,0.24480,1.01710,-62.29980,67.20350,20.73690,20.73690,5.80260,3.36880,0.07240,6.98700,12.88110,-21.36860,-0.37000,0.26830,0.36500,-0.88650,0.9669,-0.0768
2023-03-31,2293.97800,771.71900,1522.25900,-651.24500,1097.12900,425.13000,-363.58800,61.54200,30.37200,31.17000,31.17000,25.86500,852.06100,425.13000,454.68600,455.59400,0.06000,0.06000,0.32030,1.02080,-49.71050,66.35890,18.53240,18.53240,2.68280,1.12750,0.07170,7.18280,12.52990,-6.19850,-0.13270,0.09740,0.12920,-1.10600,0.91500,-0.36450
2022-12-31,2369.19700,775.71310,1593.48400,-725.70900,1292.36590,301.11770,-350.25290,-49.13600,143.27700,-192.41300,-192.41300,-193.11300,763.45650,301.11690,453.24400,453.28200,-0.42000,-0.42000,0.63580,1.02100,-52.76270,67.25840,12.70970,12.70970,-2.07400,-8.15100,0.07040,6.47340,13.90310,38.18390,0.81570,-0.57160,-0.80140,-1.10470,1.0184,-0.1807
2022-09-30,2393.55200,782.12100,1611.43100,-694.39000,1144.16600,467.26500,-333.81700,133.44800,35.82700,97.62100,97.62100,84.95100,933.33110,467.26500,453.23900,453.39000,0.19000,0.19000,0.62990,1.01420,-77.71910,67.32380,19.52180,19.52180,5.57530,3.54920,0.07190,6.97110,12.91050,-28.79070,-0.41460,0.29330,0.40760,-0.74580,1.3867,0.2987
2022-06-30,2463.01400,819.01100,1644.00300,-673.46400,1122.26200,521.74100,-374.31100,147.43000,33.89000,113.54000,113.54000,106.17400,988.67400,521.74100,453.23000,453.23000,0.23000,0.23000,0.57970,1.02050,-55.56510,66.74760,21.18300,21.18300,5.98580,4.31070,0.07440,6.64060,13.55300,-23.92160,-0.47690,0.34280,0.48930,-1.04390,1.4923,0.4219
2022-03-31,2421.89700,828.79300,1593.10400,-641.90600,1080.63300,512.47080,-227.48400,284.98700,82.84600,202.14100,202.14100,196.55100,968.16190,512.47080,453.22900,453.22900,0.43000,0.43000,0.28190,1.02520,-42.19960,65.77920,21.15990,21.15990,11.76710,8.11560,0.07310,6.32180,14.23650,-32.26170,-0.83860,0.60990,0.81360,-1.37810,1.32430,0.45860
2021-12-31,2521.13800,836.48390,1684.65400,-619.63290,1085.86110,598.79310,-322.16090,276.63200,15.92200,260.71000,260.71000,251.66200,1080.85300,598.79260,458.31100,462.29500,0.56000,0.55000,0.28870,1.03520,-30.48190,66.82120,23.75090,23.75090,10.97250,9.98210,0.07590,6.19520,14.52740,-29.93560,-1.06430,0.78490,1.05300,-1.91550,1.4107,0.5949
2021-09-30,2574.88200,843.90900,1730.97300,-590.51900,1040.36200,690.61110,-314.63600,375.97500,105.22600,270.74900,270.74900,266.85300,1161.82800,690.61110,454.04900,457.16300,0.59000,0.58000,0.23020,1.04770,-23.63550,67.22530,26.82110,26.82110,14.60160,10.36370,0.07700,5.93280,15.17000,-23.90330,-1.08660,0.80980,1.14000,-2.49130,1.5726,0.88
2021-06-30,2516.00800,849.87200,1666.13600,-589.18000,1039.37100,626.76510,-364.01100,262.75400,61.82000,200.93400,200.93400,197.66000,1093.97000,626.76510,456.95500,463.63700,0.43000,0.43000,0.25860,1.05540,-20.00680,66.22140,24.91110,24.91110,10.44330,7.85610,0.07500,6.22540,14.45680,-14.89510,-0.79460,0.59920,0.82540,-2.95130,1.6137,0.9054
2021-03-31,2478.82100,851.86400,1626.95700,-580.43300,1018.49900,608.45810,-217.91200,390.54600,112.00700,278.53900,278.53900,274.13600,1066.35400,608.45810,469.23300,475.44800,0.58000,0.58000,0.26040,1.05770,-19.23470,65.63430,24.54630,24.54630,15.75530,11.05910,0.07470,6.58990,13.65730,-20.07380,-1.10390,0.83970,1.15850,-3.00360,1.57670,1.12910
2020-12-31,2535.42000,831.11880,1704.30100,-581.43490,1095.58320,608.71850,-241.74910,366.97000,30.70100,336.26900,336.26900,330.47200,1142.30300,608.71880,581.05700,583.68900,0.57140,0.57140,0.31520,1.04960,-22.21050,67.21970,24.00860,24.00860,14.47370,13.03420,0.07600,5.72870,15.71030,-27.94930,-1.33370,1.00750,1.38530,-2.52510,1.2729,0.7103
2020-09-30,2433.98600,783.93400,1650.05200,-558.09200,1100.75900,549.29320,-518.83600,30.45700,33.18600,-2.72900,-2.72900,-4.69500,1072.62000,549.29320,571.03100,571.03100,-0.01000,-0.01000,0.81910,0.97160,34.48360,67.79220,22.56760,22.56760,1.25130,-0.19290,0.07180,6.00980,14.97560,-0.36610,0.01160,-0.00810,-0.01040,1.32350,1.238,0.8561
2020-06-30,2474.97900,860.87500,1614.10400,-542.63700,1105.39700,508.70700,-338.40400,170.30300,58.82600,111.47700,111.47700,111.26400,1054.77400,508.70700,587.58700,589.46600,0.19000,0.19000,0.69150,0.95460,22.61910,65.21690,20.55400,20.55400,6.88100,4.49560,0.07110,6.38310,14.09970,9.62940,-0.48250,0.32020,0.43740,1.99670,1.6396,1.2255
2020-03-31,2450.25600,864.51400,1585.74200,-582.30900,1137.17200,448.57010,-433.07300,15.49700,17.03500,-1.53800,-1.53800,-0.85800,1020.08300,448.57010,621.41400,621.41400,-0.00140,-0.00140,0.49300,0.93850,15.37170,64.71740,18.30710,18.30710,0.63250,-0.03500,0.07340,5.54740,16.22390,-0.09670,0.00670,-0.00460,-0.00590,2.63760,0.95520,0.47390
2019-12-31,2474.54900,847.65310,1626.89600,-598.27400,1199.62090,427.27550,-435.19900,-7.92400,-9.25500,1.33100,1.33100,0.32900,1018.55100,427.27540,660.38400,662.54100,,0.00000,0.69820,0.91410,10.71410,65.74520,17.26680,17.26680,-0.32020,0.01330,0.07260,5.41340,16.62550,0.05840,-0.00600,0.00390,0.00500,3.60080,1.0161,0.5619
2019-09-30,2438.66200,820.89600,1617.76600,-568.23300,1146.25100,471.51510,-356.24800,115.26700,37.87100,77.39600,77.39600,77.23900,1065.67400,471.51510,643.79700,646.00600,0.12000,0.12000,0.43510,0.91960,11.51470,66.33830,19.33500,19.33500,4.72660,3.16730,0.07220,5.50850,16.33840,3.70450,-0.34030,0.22920,0.29790,3.08900,0.9053,0.2954
2019-06-30,2451.08100,818.99400,1632.08700,-569.45900,1149.54400,482.54310,-354.97300,127.57000,41.16000,86.41000,86.41000,86.36700,1078.97300,482.54310,668.03100,668.64800,0.13000,0.13000,0.29490,0.90070,9.33020,66.58640,19.68700,19.68700,5.20460,3.52360,0.07260,5.83150,15.43360,3.41030,-0.38420,0.25580,0.33870,3.86700,1.2091,0.7162
2019-03-31,2396.56700,812.98500,1583.58200,-564.43200,1141.10400,442.47790,-490.26200,-47.78400,-22.58600,-25.19800,-25.19800,-24.99900,1029.97200,442.47790,695.52800,695.52800,-0.04000,-0.04000,0.39460,0.88480,7.72540,66.07710,18.46300,18.46300,-1.99390,-1.04310,0.07140,5.91700,15.21040,-0.83680,0.11450,-0.07510,-0.09640,4.42940,0.72460,0.23590
2018-12-31,2454.94000,800.05500,1654.88500,-562.42400,1126.16100,528.72410,-383.24600,145.47800,-68.33000,213.80800,213.80800,213.08600,1108.37300,528.72420,730.08800,730.08800,0.29000,0.29000,0.44690,0.86020,6.19870,67.41040,21.53720,21.53720,5.92590,8.67990,0.07300,5.47490,16.43870,5.80960,-0.99240,0.63610,0.81190,5.19040,1.0204,0.566
