Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,3236.60000,2015.80000,1220.80000,133.10000,-589.70000,775.30000,445.50020,445.50000,96.80000,348.70000,348.70000,348.70000,,498.00020,180.98600,181.63800,1.93000,1.92000,,,,,,,,,,,,,,
2024-09-30,3217.00000,1613.70000,1603.30000,428.00000,-311.50000,788.70000,814.59990,814.60000,168.90000,645.70000,645.70000,645.70000,894.39980,863.79990,186.40100,186.88200,3.46000,3.46000,0.24060,0.31690,25.32170,26.85110,25.32170,20.07150,0.05020,5.89600,6.09190,1.00670,4.47720,59.35690,2.1487,1.9415
2024-06-30,3233.40000,1963.50000,1269.90000,423.80000,-300.70000,774.40000,495.50020,495.50000,106.00000,389.50000,389.50000,389.50000,564.20030,545.40030,189.89400,190.32900,2.05000,2.05000,0.24900,0.33160,15.32440,16.86770,15.32440,12.04610,0.05210,3.72210,3.85070,0.62780,2.79510,55.62870,1.8054,1.6577
2024-03-31,3200.30000,1932.00000,1268.30000,432.00000,-291.10000,772.60000,495.70000,495.70000,100.50000,395.20000,395.20000,395.20000,585.70000,545.20000,192.55000,193.26700,2.05000,2.04000,0.25130,0.33570,15.48920,17.03590,15.48920,12.34880,0.05120,3.86710,4.00410,0.63240,2.89510,53.37840,1.54350,1.39700
2023-12-31,3145.10000,1955.80000,1189.30000,417.99990,-293.40000,760.60000,428.70000,428.69990,98.10000,330.60000,330.60000,330.60000,505.80000,477.90070,196.66000,197.60200,1.70000,1.70000,0.26220,0.35540,13.63070,15.19510,13.63070,10.51160,0.04970,3.42540,3.55430,0.52260,2.52720,49.91110,1.728,1.4978
2023-09-30,3092.50000,2083.40000,1009.10000,427.00000,-271.80000,747.40000,261.70000,261.70000,59.70000,202.00000,202.00000,202.00000,338.40000,310.30000,196.08300,197.13200,1.03000,1.02000,0.26290,0.35680,8.46240,10.03400,8.46240,6.53190,0.05160,2.10020,2.17900,0.33690,1.54810,49.31930,2.0162,1.8483
2023-06-30,3112.20000,1883.20000,1229.00000,408.10000,-273.60000,730.60000,498.39990,498.40000,105.50000,392.90000,392.90000,392.90000,562.29990,547.29990,197.18000,198.13700,1.99000,1.98000,0.27050,0.37110,16.01440,17.58560,16.01440,12.62450,0.05030,4.24950,4.41650,0.63470,3.09980,47.06280,1.588,1.4497
2023-03-31,3036.10000,1872.60000,1163.50000,390.90000,-273.20000,712.20000,451.30000,451.30000,93.00000,358.30000,358.30000,358.30000,537.20010,499.40010,198.11100,199.52000,1.81000,1.80000,0.27050,0.37100,14.86450,16.44870,14.86450,11.80130,0.04860,3.87460,4.02630,0.57400,2.82660,46.85430,0.75480,0.60900
2022-12-31,3004.80000,1766.50000,1238.30000,403.50000,-414.10000,864.80100,373.49900,373.50000,84.30000,289.20000,289.20000,289.20000,409.19900,420.69850,200.64700,202.10900,1.44000,1.44000,0.28180,0.39270,12.43010,14.00090,12.43010,9.62460,0.04910,3.31080,3.44800,0.47290,2.37770,44.17080,1.7539,1.5993
2022-09-30,2959.10000,1633.60000,1325.50000,388.80000,-248.10000,683.90000,641.60010,641.60000,131.30000,510.30000,510.30000,510.30000,727.20010,688.60010,200.03500,201.65000,2.55000,2.53000,0.28370,0.39600,21.68230,23.27060,21.68230,17.24510,0.04860,5.89300,6.13700,0.83840,4.22130,43.48780,1.3897,1.258
2022-06-30,3039.60000,1936.60000,1103.00000,366.40000,-250.00000,663.80000,439.20020,439.20000,71.90000,367.30000,367.30000,367.30000,526.60020,486.60020,201.15200,202.43200,1.83000,1.81000,0.26190,0.35470,14.44930,16.00870,14.44930,12.08380,0.04820,3.78460,3.92520,0.58190,2.79360,48.46900,2.2749,2.1627
2022-03-31,2980.60000,2187.40000,793.20020,351.90000,-98.70000,497.50000,295.70020,295.70000,55.30000,240.40000,240.40000,240.40000,386.00020,342.60020,202.62900,203.50400,1.19000,1.18000,0.24480,0.32410,9.92080,11.49430,9.92080,8.06550,0.04480,2.26300,2.34030,0.36170,1.70910,52.62430,1.60100,1.49380
2021-12-31,2973.10000,2020.10000,952.99980,260.60000,-252.50000,563.69900,389.30030,389.30000,72.80000,316.50000,316.50000,316.50000,358.40030,439.90050,204.23300,204.84800,1.55000,1.55000,0.23170,0.30150,13.09410,14.79600,13.09410,10.64550,0.04240,2.77230,2.86060,0.45140,2.13010,56.37340,2.35,2.2133
2021-09-30,2969.70000,1883.60000,1086.10000,380.00000,-251.50000,676.20000,409.89990,409.90000,81.30000,328.60000,328.60000,328.60000,514.49990,454.59990,204.64600,205.14200,1.61000,1.60000,0.23640,0.30950,13.80270,15.30790,13.80270,11.06510,0.04210,2.95550,3.05220,0.46550,2.25690,54.39270,2.0742,1.9531
2021-06-30,2993.00000,1984.10000,1008.90000,383.40000,-317.60000,746.30000,262.59990,262.60000,79.70000,182.90000,182.90000,182.90000,399.99980,307.89980,204.50500,205.27400,0.89000,0.89000,0.23920,0.31440,8.77380,10.28730,8.77380,6.11090,0.04230,1.67070,1.72640,0.25830,1.27110,53.57230,3.2957,3.166
