Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,126.11100,49.99900,76.11200,81.80800,81.80800,-5.69600,0.43300,-5.26300,-5.26300,-5.26300,-5.26300,-1.22800,-5.69600,175.06390,175.06390,-0.03000,-0.03000,2.41590,0.24520,0.32480,60.35320,-4.51670,-4.51670,-4.17330,-4.17330,0.41820,0.56540,7.46170,12.06150,-4.25960,-4.55490,-1.74520,-3.21530,0.67640,0.0159,0.0055
2024-06-30,116.21200,42.94600,73.26600,83.85800,83.85800,-10.59200,0.55300,-10.03900,-10.03900,-10.03900,-10.03900,-6.65500,-10.59200,175.56150,175.56150,-0.06000,-0.06000,2.76620,0.23810,0.31260,63.04510,-9.11440,-9.11440,-8.63850,-8.63850,0.40390,0.53400,16.46530,5.46600,-7.83930,-8.55640,-3.48900,-5.97250,0.73820,0.01020,-0.00140
2024-03-31,121.48200,45.25200,76.23000,82.67800,82.67800,-6.44800,1.54600,-4.90200,-4.90200,-4.90200,-4.90200,-5.76500,-6.44800,177.26060,177.26060,-0.02000,-0.02000,2.93790,0.22270,0.28640,62.75000,-5.30780,-5.30780,-4.03520,-4.03520,0.40690,0.53760,15.78510,5.70160,-3.51690,-3.84590,-1.64170,-2.73380,0.77360,-0.0063,-0.0179
2023-12-31,125.07500,47.83100,77.24400,91.21300,91.21300,-13.96900,3.86100,-10.10800,-10.10800,-10.10800,-10.10800,-9.90700,-13.96900,175.54010,175.54010,-0.06000,-0.06000,2.64500,0.21620,0.27590,61.75820,-11.16850,-11.16850,-8.08160,-8.08160,0.39010,0.48570,19.36750,4.64700,-7.00260,-7.62520,-3.15250,-5.48830,0.81540,0.0852,0.0749
2023-09-30,123.03600,47.39400,75.64200,86.74100,86.74100,-11.09900,0.76200,-10.33700,-10.33700,-10.33700,-10.33700,-6.79000,-11.09900,176.97590,176.97590,-0.06000,-0.06000,3.33420,0.35090,0.54050,61.47960,-9.02090,-9.02090,-8.40160,-8.40160,0.33340,0.43330,9.93030,9.06320,-6.84810,-7.41850,-2.80150,-4.44520,0.85560,0.0158,0.0046
2023-06-30,120.59100,47.55500,73.03600,87.04000,87.04000,-14.00400,2.34100,-11.66300,-11.66300,-11.66300,-11.66300,-9.87800,-14.00400,177.68160,177.68160,-0.07000,-0.07000,3.55700,0.33450,0.50270,60.56510,-11.61280,-11.61280,-9.67150,-9.67150,0.32260,0.42280,23.51620,3.82720,-7.20210,-7.45930,-3.11970,-4.79280,0.90590,-0.06050,-0.07720
2023-03-31,126.01700,54.24700,71.77000,84.56800,84.56800,-12.79800,-1.40400,-14.20200,-14.20200,-14.20200,-14.20200,-13.45100,-12.79800,176.71750,176.71750,-0.08000,-0.08000,3.13600,0.32260,0.47630,56.95260,-10.15580,-10.15580,-11.26990,-11.26990,0.31470,0.43630,19.22750,4.68080,-8.32780,-8.53240,-3.54680,-5.64110,0.96000,0.1081,0.0935
2022-12-31,134.33400,54.14400,80.19000,101.93900,101.93900,-21.74900,0.47900,-21.27000,-21.27000,-21.27000,-21.27000,-17.82100,-21.74900,177.67200,177.67200,-0.12000,-0.12000,3.32430,0.30800,0.44510,59.69450,-16.19030,-16.19030,-15.83370,-15.83370,0.32980,0.37270,29.30500,3.07120,-11.68180,-11.93640,-5.22140,-8.08390,1.02500,0.0294,0.0032
2022-09-30,143.81400,63.47300,80.34100,89.48700,89.48700,-9.14600,-1.49300,-10.63900,-10.63900,-10.63900,-10.63900,-5.74100,-9.14600,176.46370,176.46370,-0.06000,-0.06000,3.20330,0.27660,0.38240,55.86450,-6.35960,-6.35960,-7.39780,-7.39780,0.32330,0.39510,8.29090,10.85530,-5.31670,-5.41100,-2.39160,-3.84600,1.12990,-0.0116,-0.0645
2022-06-30,131.15000,55.33600,75.81400,95.95200,95.95200,-20.13800,4.73000,-15.40800,-15.40800,-15.40800,-15.40800,-16.71500,-20.13800,175.49190,175.49190,-0.09000,-0.09000,3.55960,0.27030,0.37030,57.80710,-15.35490,-15.35490,-11.74840,-11.74840,0.29830,0.35020,16.13760,5.57700,-7.47400,-7.61050,-3.50500,-5.45410,1.17070,-0.09930,-0.12630
