Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,266.75800,142.77900,123.97900,49.29700,,49.29700,74.68200,128.13900,202.82100,53.50400,149.31700,149.31700,,149.31700,101.37700,74.68200,24.55100,24.56700,6.08000,6.08000,0.24900,0.55620,46.47620,27.99620,27.99620,76.03180,55.97470,0.11670,1.18810,75.75260,13.64800,20.91440,6.53280,13.64800,44.56280,8.0974,7.8167
2024-06-30,212.61100,109.19600,103.41500,61.37000,,61.37000,42.04500,-13.06800,28.97700,8.35900,20.61800,20.61800,,20.61800,68.99100,42.04500,24.54900,24.56000,0.84000,0.84000,0.20410,0.83240,48.64050,19.77560,19.77560,13.62910,9.69750,0.09170,0.97810,92.01830,2.16070,3.60730,0.88930,2.16070,38.86900,3.2255,0.9542
2024-03-31,187.82700,94.55900,93.26800,59.81800,9.28100,50.53700,42.73100,-12.83600,29.89500,7.04700,22.84800,22.84800,,22.84800,69.92000,42.73100,24.51300,24.56400,0.93000,0.93000,0.19910,0.84680,49.65630,22.75020,22.75020,15.91620,12.16440,0.08300,0.88620,101.55890,2.42290,4.09630,1.00940,2.42290,38.42630,2.41900,-0.76100
2023-12-31,221.58800,111.46600,110.12200,54.50700,0.05900,54.44800,55.67400,-11.98200,43.69200,11.67600,32.01600,32.01600,,32.01600,83.20900,55.67400,24.46900,24.52900,1.31000,1.30000,0.21910,0.81710,49.69670,25.12500,25.12500,19.71770,14.44840,0.09990,0.97460,92.34760,3.42860,5.86380,1.44390,3.42860,38.12060,-0.9612,-3.4076
2023-09-30,243.50600,131.97200,111.53400,48.50800,3.55900,44.94900,66.58500,-11.06700,55.51800,15.15200,40.36600,40.36600,,40.36600,93.47100,66.58500,24.48700,24.52500,1.65000,1.65000,0.22710,0.73260,45.80340,27.34430,27.34430,22.79940,16.57700,0.11400,1.08580,82.89000,4.42910,7.76090,1.88920,4.42910,37.21560,1.9333,0.8812
2023-06-30,203.03000,108.42000,94.61000,47.02600,,47.02600,47.58400,-9.96300,37.62100,9.66900,27.95200,27.95200,2.63000,30.58200,74.95400,47.58400,24.47900,24.51200,1.25000,1.25000,0.19410,0.76390,46.59900,23.43690,23.43690,18.52980,15.06280,0.09630,1.05920,84.96690,3.17430,5.70910,1.32530,3.17430,35.96360,1.4598,-0.1559
2023-03-31,163.71800,86.35100,77.36700,57.49800,,57.49800,19.86900,-7.23800,12.63100,1.11300,11.51800,11.51800,60.13900,71.65700,47.46100,19.86900,24.41600,24.54200,2.93000,2.92000,0.18160,0.76640,47.25630,12.13610,12.13610,7.71510,43.76860,0.07940,0.92490,97.30480,1.34000,2.46280,0.55870,1.34000,35.13190,1.45510,-1.49460
2022-12-31,182.90100,94.52600,88.37500,39.54600,,39.54600,48.82900,-4.14700,44.68200,9.71000,34.97200,34.97200,4.66900,39.64100,76.90400,48.82900,24.35300,24.51900,1.64000,1.61000,0.26400,0.51460,48.31850,26.69690,26.69700,24.42960,21.67350,0.10710,1.07630,83.62080,4.35000,5.28190,2.04770,4.35000,32.96480,2.4901,0.6719
2022-09-30,174.34300,97.50100,76.84200,36.95400,,36.95400,39.88800,-3.59100,36.29700,9.18200,27.11500,27.11500,3.45200,30.56700,67.80900,39.88800,24.37900,24.50400,1.25000,1.25000,0.28730,0.54260,44.07520,22.87900,22.87900,20.81930,17.53270,0.10390,0.91780,98.06140,3.50750,4.53310,1.61620,3.50750,31.70650,2.0923,1.3894
2022-06-30,153.36800,86.41200,66.95600,33.80900,,33.80900,33.14700,-2.60700,30.54000,6.99600,23.54400,23.54400,2.59300,26.13700,60.92300,33.14700,24.36000,24.50900,1.07000,1.07000,0.25610,0.58700,43.65710,21.61270,21.61270,19.91290,17.04200,0.09320,0.91660,98.19260,3.13070,4.09000,1.43090,3.13070,30.84890,1.2385,-0.1929
