Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.02290,0.00120,0.02170,3.82830,1.49050,5.31880,-5.29710,-0.00380,-5.30090,-5.30090,-5.30090,-5.30090,-4.71130,-5.29710,120.90170,120.90170,-0.04000,-0.04000,24.47720,94.60640,-23115.30000,-23115.30000,-23131.93000,-23131.93000,0.00060,0.85460,105.30900,-15.83710,-16.47460,-14.23590,-15.83710,0.27560,-0.0293,-0.0321
2024-06-30,0.01940,,0.01940,4.36230,1.89670,,-6.23960,0.21990,-6.01970,-6.01970,-6.01970,-6.01970,-5.63430,-6.23960,120.17960,120.17960,-0.05000,-0.05000,20.08490,100.00000,-32237.54000,-32237.54000,-31101.44000,-31101.44000,0.00050,2.39990,37.50190,-16.89880,-17.52800,-15.12530,-16.89880,0.29510,-0.0333,-0.04
2024-03-31,0.03040,0.00520,0.02520,4.62070,1.25550,5.87610,-5.85090,0.17100,-5.67990,-5.67990,-5.67990,-5.67990,-5.35320,-5.85090,118.95060,118.95060,-0.05000,-0.05000,17.80820,82.98650,-19235.53000,-19235.53000,-18673.48000,-18673.48000,0.00070,0.53590,167.94560,-15.26890,-15.81590,-13.60860,-15.26890,0.31050,-0.04010,-0.04660
2023-12-31,,,,3.89690,1.47950,,-5.37890,0.39870,-4.93970,-4.93970,-4.93970,-4.93970,-4.94650,-5.33840,115.46730,115.46730,-0.04000,-0.04000,12.66070,,,,,,,,,-13.55800,-14.04140,-11.82210,-13.55800,0.30840,-0.0209,-0.0338
2023-09-30,,,,4.04090,1.34530,,-5.38630,0.22170,-5.16460,-5.16460,-5.16460,-5.16460,-5.00970,-5.38630,116.49180,116.49180,-0.04000,-0.04000,36.03490,,,,,,,,,-14.58090,-15.08460,-13.20730,-14.58090,0.30360,-0.0241,-0.0312
2023-06-30,,,,4.16610,1.17460,,-5.34070,-0.11700,-5.45770,-5.45770,-5.45770,-5.45770,-4.97810,-5.34070,114.85760,114.85760,-0.05000,-0.05000,36.45360,,,,,,,,,-14.84050,-15.32770,-13.45860,-14.84050,0.31650,-0.0279,-0.0342
2023-03-31,,,,3.79970,1.36020,,-5.15990,-0.31610,-5.47600,-5.47600,-5.47600,-5.47600,-4.76470,-5.15990,113.27070,113.27070,-0.05000,-0.05000,32.35650,,,,,,,,,-18.35550,-19.06980,-17.77340,-18.35550,0.26150,-0.03310,-0.03530
2022-12-31,,,,3.81130,1.31710,,-5.12840,0.05970,-5.06870,-5.06870,-5.06870,-5.06870,-4.77160,-5.12840,111.81490,111.81490,-0.05000,-0.05000,16.85850,,,,,,,,,-18.39630,-19.11100,-17.32100,-18.39630,0.24410,-0.0249,-0.0262
2022-09-30,,,,3.58770,1.14460,,-4.73230,-0.07110,-4.80340,-4.80340,-4.80340,-4.80340,-4.40140,-4.73230,112.11170,112.11170,-0.04000,-0.04000,24.10690,,,,,,,,,-16.68180,-17.18120,-15.93220,-16.68180,0.25620,-0.0218,-0.0289
2022-06-30,,,,2.78120,0.98710,,-3.76840,-0.03420,-3.80260,-3.80260,-3.80260,-3.80260,-3.45150,-3.76840,111.59370,111.59370,-0.03000,-0.03000,35.37870,,,,,,,,,-13.60050,-14.02510,-13.10920,-13.60050,0.24990,-0.0245,-0.0262
