Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,6.36600,3.35800,-9.72400,-0.00100,-9.72500,-9.72500,-9.72500,-9.72500,-9.72400,-9.72400,43.15200,43.15200,-0.23000,-0.23000,0.29150,,,,,,,,,77.24390,77.24390,-187.77760,77.24380,-0.27490,-0.2063,-0.2063
2024-06-30,0.04100,0.04100,4.48000,2.23400,-6.67300,0.00300,-6.67000,-6.67000,-6.67000,-6.67000,-6.67300,-6.67300,36.52600,36.52600,-0.18000,-0.18000,0.26470,100.00000,-16275.61000,-16275.61000,-16268.29000,-16268.29000,0.00720,1.00000,90.00000,42.35190,42.35190,-117.63670,42.35190,-0.37200,-0.1515,-0.1515
2024-03-31,,,8.49700,2.45100,-10.94800,0.00300,-10.94500,-10.94500,-10.94500,-10.94500,-10.94800,-10.94800,32.93100,32.93100,-0.33000,-0.33000,0.53880,,,,,,,,,106.78040,106.78050,-91.39870,106.78050,-0.28720,-0.19660,-0.19660
2023-12-31,0.00600,0.00600,8.29900,1.87600,-10.16900,-8.95900,-19.12800,-19.12800,-19.12800,-19.12800,-10.16900,-10.16900,18.74200,18.74200,-0.94000,-0.94000,0.29190,100.00000,-169483.50000,-169483.50000,-318800.20000,-318800.20000,0.00110,,,146.60840,146.60840,-355.67130,146.60840,-0.47030,-0.5001,-0.5001
2023-09-30,0.03100,0.03100,5.49600,2.23600,-7.70100,1.97700,-5.72400,-5.72400,-5.72400,-5.72400,-7.70100,-7.70100,19.98800,19.98800,-0.29000,-0.29000,0.10430,100.00000,-24841.94000,-24841.94000,-18464.52000,-18464.52000,0.01400,1.00000,90.00000,30.05830,30.05830,-258.07030,30.05830,-0.85000,-0.3826,-0.3826
2023-06-30,0.03100,0.03100,13.94500,2.28100,-16.19500,-0.32600,-16.52100,-16.52100,-16.52100,-16.52100,-16.19500,-16.19500,15.70000,15.70000,-1.05000,-1.05000,0.26380,100.00000,-52241.94000,-52241.94000,-53293.55000,-53293.55000,0.00370,1.00000,90.00000,70.99710,70.99700,-198.14100,70.99700,-1.29720,-0.4623,-0.4623
2023-03-31,0.03500,0.03500,15.82600,2.29200,-18.08300,7.60900,-10.47400,-10.47400,-10.47400,-10.47400,-18.08300,-18.08300,11.74900,11.74900,-0.89000,-0.89000,0.21000,100.00000,-51665.71000,-51665.71000,-29925.71000,-29925.71000,0.00590,1.00000,90.00000,47.22490,47.22490,-177.64590,47.22490,-1.59550,-1.19420,-1.19420
2022-12-31,0.07400,0.07400,14.23600,2.48200,-16.64400,-4.37800,-21.02200,-21.02200,-21.02200,-21.02200,-16.64400,-16.64400,8.83600,8.83600,-2.29000,-2.29000,0.40550,100.00000,-22491.90000,-22491.89000,-28408.12000,-28408.12000,0.00560,1.01370,88.78380,107.89930,107.89920,-158.17910,107.89920,-1.89390,-1.7429,-1.7429
2022-09-30,0.04800,0.04800,8.86600,1.84600,-10.66400,0.05200,-10.61200,-10.61200,-10.61200,-10.61200,-10.66400,-10.66400,8.85700,8.85700,-1.20000,-1.20000,0.94180,100.00000,-22216.67000,-22216.67000,-22108.33000,-22108.33000,0.00220,1.00000,90.00000,794.90240,794.90690,-49.08420,794.90640,-0.14380,-1.2469,-1.2469
2022-06-30,0.01800,0.01800,12.05300,2.12900,-14.16400,0.02200,-14.14200,-14.14200,-14.14200,-14.14200,-14.16400,-14.16400,8.75100,8.75100,-1.62000,-1.62000,1.30310,100.00000,-78688.90000,-78688.90000,-78566.67000,-78566.67000,0.00060,1.00000,90.00000,-189.52050,-189.52020,-44.07940,-189.52020,0.81190,-1.2186,-1.2186
2022-03-31,0.05200,0.05200,14.67000,2.24300,-16.86100,0.01300,-16.84800,-16.84800,-16.84800,-16.84800,-16.86100,-16.86100,8.50500,8.50500,-1.98000,-1.98000,1.89100,100.00000,-32425.00000,-32425.00000,-32400.00000,-32400.00000,0.00120,1.00000,90.00000,-83.33990,-83.33990,-39.26720,-83.33990,2.22640,-2.30520,-2.30520
