Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.51600,0.51600,46.14200,18.76100,-64.38700,2.95700,-61.43000,,-61.43000,-61.43000,-61.43000,-63.67100,-64.38700,60.65800,60.65800,-1.01000,-1.01000,5.22320,100.00000,-12478.10000,-12478.10000,-11905.04000,-11905.04000,0.00170,-77.81170,-77.81170,-20.17350,-77.81170,1.32800,-0.6279,-0.6489
2024-06-30,1.25400,1.25400,41.96200,10.64900,-51.35700,3.45500,-47.90200,,-47.90200,-47.90200,-47.90200,-50.92400,-51.35700,60.43400,60.43400,-0.79000,-0.79000,7.06460,100.00000,-4095.45400,-4095.45400,-3819.93600,-3819.93600,0.00370,-39.14900,-39.14910,-14.23530,-39.14910,2.06550,-0.6147,-0.6341
2024-03-31,0.49700,0.49700,43.81500,10.53800,-53.85600,4.04000,-49.81600,,-49.81600,-49.81600,-49.81600,-53.94300,-53.85600,60.11400,60.11400,-0.83000,-0.83000,7.98190,100.00000,-10836.22000,-10836.22000,-10023.34000,-10023.34000,0.00130,-30.89310,-30.89310,-13.24430,-30.89310,2.73550,-0.70560,-0.74690
2023-12-31,0.65100,0.65100,54.19000,11.58000,-65.11900,4.66600,-60.45300,0.24200,-60.69500,-60.69500,-60.69500,-64.92700,-65.11900,52.31200,52.31200,-0.91000,-0.91000,8.18240,100.00000,-10002.92000,-10002.92000,-9286.17600,-9323.34900,0.00150,-29.86460,-29.86460,-14.33480,-29.86460,3.46340,-1.254,-1.3072
2023-09-30,0.50900,0.50900,54.76200,12.50700,-66.76000,5.01100,-61.74900,0.24000,-61.98900,-61.98900,-61.98900,-66.85300,-66.76000,59.58000,59.58000,-1.04000,-1.04000,9.27250,100.00000,-13115.91000,-13115.91000,-12131.43000,-12178.58000,0.00110,-24.41840,-24.41840,-13.06820,-24.41840,4.34810,-0.1136,-0.1232
2023-06-30,0.44800,0.44800,55.67300,12.98300,-68.20800,3.89400,-64.31400,0.10900,-64.42300,-64.42300,-64.42300,-68.34700,-68.20800,45.12300,45.12300,-1.43000,-1.43000,9.06930,100.00000,-15225.00000,-15225.00000,-14355.80000,-14380.13000,0.00090,-24.91150,-24.91160,-13.40310,-24.91160,4.90350,-1.1602,-1.2456
2023-03-31,0.52200,0.52200,50.89400,13.00200,-63.37400,4.15200,-59.22200,0.08700,-59.30900,-59.30900,-59.30900,-64.19700,-63.37400,44.46700,44.46700,-1.33000,-1.33000,8.81820,100.00000,-12140.61000,-12140.61000,-11345.21000,-11361.88000,0.00110,-24.77090,-24.77090,-12.81690,-24.77090,5.54390,-1.14690,-1.23540
2022-12-31,0.37200,0.37200,45.01700,11.61900,-56.26400,3.68800,-52.57600,,-52.57600,-52.57600,-52.57600,-56.35300,-56.26400,41.54400,41.54400,-1.14000,-1.14000,9.81140,100.00000,-15124.73000,-15124.73000,-14133.33000,-14133.33000,0.00070,-18.30240,-18.30240,-10.23880,-18.30240,6.66780,-0.8677,-0.9428
2022-09-30,0.33100,0.33100,48.17900,12.66400,-60.51200,2.47500,-58.03700,,-58.03700,-58.03700,-58.03700,-59.92300,-60.51200,44.03500,44.03500,-1.32000,-1.32000,10.78960,100.00000,-18281.57000,-18281.57000,-17533.84000,-17533.84000,0.00060,-17.68480,-17.68480,-10.72900,-17.68480,7.66710,-0.9221,-0.9834
2022-06-30,0.36600,0.36600,47.21800,12.37200,-59.22400,0.62900,-58.59500,,-58.59500,-58.59500,-58.59500,-57.75100,-59.22400,43.91900,43.91900,-1.33000,-1.33000,14.56950,100.00000,-16181.42000,-16181.42000,-16009.56000,-16009.56000,0.00060,-15.60820,-15.60820,-10.06450,-15.60820,8.80150,2.7981,2.7768
