Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,353.78000,353.78000,208.04600,409.58200,555.31600,-510.16800,45.14800,-78.43300,123.58100,123.58100,97.02400,538.12190,555.31600,491.36300,496.80100,0.20000,0.20000,0.57790,2.14920,156.96650,156.96650,12.76160,27.42500,0.00840,1.90300,1.59430,0.29230,0.67300,14.91420,1.5748,1.8802
2024-06-30,966.23300,966.23300,207.12300,-3.00100,756.10900,-465.94400,290.16500,51.64800,238.51700,238.51700,213.16100,732.19600,756.10900,486.72200,490.98100,0.44000,0.43000,0.60050,4.28730,78.25330,78.25330,30.03050,22.06100,0.02300,3.86990,3.21420,0.56760,1.28420,15.15240,0.2612,0.0873
2024-03-31,1042.30000,1042.30000,197.19400,-54.38000,790.72610,-409.82700,380.89900,93.41200,287.48700,287.48700,261.64000,769.50210,790.72610,483.33700,485.93200,0.54000,0.54000,0.60140,4.75030,75.86360,75.86360,36.54410,25.10220,0.02170,4.80260,3.96900,0.59970,1.58220,14.98180,-2.70520,-2.83670
2023-12-31,512.57870,512.57870,192.38100,37.85000,358.04770,-395.34900,-37.30100,29.85000,-67.15100,-67.15100,-87.52600,326.35670,358.04770,481.93490,483.71670,-0.17000,-0.18000,0.64510,2.51420,69.85220,69.85220,-7.27710,-17.07560,0.01290,-1.14910,-0.94570,-0.16910,-0.33560,14.69510,-2.1597,-2.3796
2023-09-30,986.17500,986.17500,190.69100,-144.18000,651.30400,-377.52800,273.77600,52.58500,221.19100,221.19100,193.94900,606.46600,651.30400,483.21400,484.35000,0.40000,0.40000,0.06990,3.51680,66.04350,66.04350,27.76140,19.66680,0.02840,3.67990,3.04340,0.63660,2.83060,15.04090,1.0458,1.0706
2023-06-30,931.75500,931.75500,181.91800,17.61300,767.45000,-324.23500,443.21500,56.53000,386.68500,386.68500,357.40100,750.32400,767.45000,483.09200,483.37700,0.74000,0.74000,0.07050,1.68970,82.36610,82.36610,47.56780,38.35780,0.02750,6.51270,5.37460,1.14210,4.99550,14.88590,-0.0378,-0.053
2023-03-31,715.52000,715.52000,167.47900,-170.68300,377.35800,-304.21500,73.14300,-16.80600,89.94900,89.94900,68.85400,364.59200,377.35800,478.16700,482.84700,0.14000,0.14000,0.07270,3.33950,52.73900,52.73900,10.22240,9.62290,0.02250,1.57880,1.29340,0.28270,1.19930,14.39810,2.58560,2.57600
2022-12-31,847.66210,847.66210,191.01000,-298.82400,357.82810,-270.04210,87.78600,-18.04700,105.83310,105.83310,81.75400,322.10110,357.82790,468.83670,481.63610,0.16000,0.18000,0.59580,1.99300,42.21350,42.21350,10.35630,9.64460,0.02450,1.83970,1.50970,0.30600,0.61030,14.79810,-2.1751,-2.2075
2022-09-30,707.36800,707.36800,214.62400,-98.38100,394.36300,-218.08900,176.27400,22.08400,154.19000,154.19000,124.45600,383.86400,394.36300,467.97500,476.79700,0.27000,0.26000,0.07160,3.64660,55.75080,55.75080,24.91970,17.59420,0.02000,2.65710,2.18350,0.43640,2.02720,14.90690,2.6474,2.5753
2022-06-30,1015.81600,1015.81600,225.27100,-533.69490,256.85000,-150.82900,106.02100,72.69000,33.33100,33.33100,-3.27800,237.21400,256.85000,466.80500,466.80500,-0.01000,-0.01000,0.07150,3.62340,25.28510,25.28510,10.43700,-0.32270,0.02940,0.57420,0.47190,0.09650,0.43820,15.12880,3.4417,3.1753
