Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,11.93500,11.93500,3.49400,2.05500,6.38600,-0.81100,5.57500,0.01400,5.56100,5.56100,5.56100,6.38700,6.38600,21.44700,22.40600,0.26000,0.25000,13.86240,,100.00000,53.50650,53.50650,46.71140,46.59410,0.22020,1.17800,76.40390,11.05960,11.05960,10.26190,11.05960,2.43970,-0.1258,-0.1258
2023-06-30,3.67400,3.67400,4.72300,4.34000,-5.38900,0.42800,-4.96100,,-4.96100,-4.96100,-4.96100,-5.38800,-5.38900,20.96000,20.96000,-0.24000,-0.24000,7.54400,,100.00000,-146.67940,-146.67940,-135.02990,-135.02990,0.08450,27.21480,3.30700,-13.15780,-13.15780,-11.41380,-13.15780,1.79660,0.0473,0.0473
2023-03-31,1.74900,1.74900,5.59500,2.28500,-6.13100,0.34000,-5.79100,,-5.79100,-5.79100,-5.79100,-6.13000,-6.13100,20.94000,20.94000,-0.28000,-0.28000,10.92900,,100.00000,-350.54320,-350.54320,-331.10350,-331.10350,0.03850,0.61710,145.83190,-14.03880,-14.03880,-12.75440,-14.03880,1.96920,-0.17410,-0.17410
2022-12-31,,,3.58600,2.05400,-5.64000,0.04600,34.25600,,33.94100,33.94100,33.94100,-5.63900,34.21000,19.93100,20.59700,1.72000,1.69000,17.79370,,,,,,,,,,73.40340,73.40340,69.27870,73.40340,2.21650,1.4013,1.4013
2022-09-30,,,2.83500,1.70300,-4.53800,0.00700,-4.53100,,-4.53100,-4.53100,-4.53100,-4.53700,-4.53800,20.49800,20.49800,-0.22000,-0.22000,5.41100,,,,,,,,,,-38.14940,-38.14940,-31.10240,-38.14940,0.57100,-0.1946,-0.1946
2022-06-30,,,3.16200,1.77600,-4.93800,0.01100,-4.92700,,-4.92700,-4.92700,-4.92700,-4.93700,-4.93800,19.50300,19.50300,-0.25000,-0.25000,5.41500,,,,,,,,,,-33.75810,-33.75810,-27.52670,-33.75810,0.72610,-0.185,-0.185
2022-03-31,,,4.77200,1.73600,-6.50800,-0.08700,-6.59500,,-6.59500,-6.59500,-6.59500,-6.50700,-6.50800,18.88800,18.88800,-0.35000,-0.35000,6.37290,0.01240,,,,,,,,,-38.18320,-38.18320,-32.19430,-38.18320,0.89890,-0.32670,-0.32670
2021-12-31,0.00000,0.00000,4.73600,1.41400,-6.15000,-0.16300,-6.31300,,-6.31300,-6.31300,-6.31300,-6.14900,-6.15000,14.85300,14.85300,0.52000,0.52000,6.76190,0.02420,,,,,,0.00000,,,-28.40880,-28.40880,-24.20910,-28.40880,1.17910,-0.4932,-0.4999
2021-09-30,0.48900,0.48900,3.12600,1.59500,-4.23200,0.00200,-4.23000,,-4.23000,-4.23000,-4.23000,-4.23100,-4.23200,16.92500,16.92500,-0.25000,-0.25000,8.79190,,100.00000,-865.43970,-865.43970,-865.03060,-865.03060,0.02110,,,-20.56790,-20.56790,-18.22960,-20.56790,1.18910,-0.0658,-0.0658
2021-06-30,0.10000,0.10000,3.82900,3.40800,-7.13700,0.00100,-7.13600,,-7.13600,-7.13600,-7.13600,-7.13600,-7.13700,13.60900,13.60900,-0.52000,-0.52000,9.35160,,100.00000,-7137.00000,-7137.00000,-7136.00000,-7136.00000,0.00400,2.00000,45.00000,-31.64100,-31.64100,-28.25920,-31.64100,1.33510,-0.2131,-0.2131
2021-03-31,,,3.48200,1.70400,-5.18600,-33.82800,-39.01400,,-39.01400,-39.01400,-39.01400,-5.18500,-5.18600,10.92400,10.92400,-3.57000,-3.57000,5.24370,,,,,,,,,,-397.45340,-397.45320,-321.73840,-397.45320,0.89810,-0.53200,-0.53200
2020-12-31,,,12.71200,1.31100,-14.02300,-4.65700,-18.68000,,-18.68000,-18.68000,-18.68000,-14.02200,-14.02300,4.66100,4.66100,-3.65000,-3.65000,5.54730,,,,,,,,,,138.70950,138.70940,-105.64420,138.70940,-1.23750,-0.8069,-1.1233
2020-09-30,,,1.38300,0.56500,-1.94800,0.70000,-1.24800,,-1.24800,-1.24800,-1.24800,-2.32400,-1.94800,3.74400,3.74400,-0.33000,-0.33000,2.87590,,,,,,,,,,-21.84090,-21.84090,-14.12770,-21.84090,5.09840,-0.282,-0.282
2020-06-30,,,0.71100,0.55100,-1.26200,-0.34200,-1.60400,,-1.60400,-1.60400,-1.60400,-0.88400,-1.26200,3.74400,3.74400,-0.43000,-0.43000,3.36810,,,,,,,,,,-22.90350,-22.90350,-15.65020,-22.90350,6.97020,-0.1631,-0.1631
2020-03-31,,,2.34400,0.39100,-2.73500,-0.35300,-3.08800,,-3.08800,-3.08800,-3.08800,-2.73000,-2.73500,3.54800,3.54800,-0.87000,-0.87000,5.69680,,,,,,,,,,-32.69320,-32.69320,-26.72920,-32.69320,9.40070,-0.20630,-0.20630
2019-12-31,,,-2.64900,-2.36470,5.01380,-4.41630,0.59750,,0.59750,0.59750,0.59750,5.07210,5.01380,2.84500,2.84500,4.71000,4.71000,0.18860,-0.74960,,,,,,,,,-7.90360,-7.90360,33.49270,-7.90360,-2.65080,7.2612,7.2662
2019-09-30,,,1.13140,1.14920,-2.28060,0.32140,-1.95920,,-1.95920,-1.95920,-1.95920,-2.30200,-2.28060,1.00480,1.00480,-1.96000,-1.96000,4.87660,,,,,,,,,,-16.66690,-16.66690,-13.07830,-16.66690,11.69970,-2.3667,-2.3667
