Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,7.55700,2.99400,,-10.55100,-0.00500,-10.55600,,-10.55600,-10.55600,-10.55600,-10.45400,-10.55100,25.80700,25.80700,-0.41000,-0.41000,1.68550,,,,,,,,,-92.13580,-92.13580,-31.19750,-92.13580,0.43130,-0.3234,-0.3216
2024-06-30,,,,5.83700,3.74500,,-9.58200,0.01200,-9.57000,,-9.57000,-9.57000,-9.57000,-9.42700,-9.58200,22.54600,22.54600,-0.42000,-0.42000,2.16690,0.10600,0.11850,,,,,,,-56.49690,-56.49680,-22.69440,-50.50930,0.69210,-0.2399,-0.2508
2024-03-31,,,,4.34000,3.63400,,-7.97400,0.07000,-7.90400,,-7.90400,-7.90400,-7.90400,-7.88600,-7.97400,22.23400,22.23400,-0.36000,-0.36000,3.13320,0.16710,0.20070,,,,,,,-38.30940,-38.30940,-17.81060,-31.90700,0.92870,-0.32320,-0.33080
2023-12-31,,,,4.18300,3.33100,,-7.51400,0.02600,-7.48800,,-7.48800,-7.48800,-7.48800,-7.42900,-7.51400,15.41600,15.41600,-0.34000,-0.34000,4.28890,0.18960,0.23400,,,,,,,-27.97370,-27.97370,-14.51080,-22.66890,1.21420,-0.2747,-0.2741
2023-09-30,,,,4.22100,2.37100,,-6.59200,-0.19400,-6.78600,,-6.78600,-6.78600,-6.78600,-6.50400,-6.59200,14.12200,14.12200,-0.48000,-0.48000,1.65600,1.16570,-7.03450,,,,,,,570.25820,570.25180,-28.29030,-94.49940,-0.08310,-0.4578,-0.4579
2023-06-30,,,,4.41600,3.05400,,-7.47000,-0.11100,-7.58100,,-7.58100,-7.58100,-7.58100,-7.38700,-7.47000,14.10200,14.10200,-0.54000,-0.54000,2.14580,0.59890,1.49320,,,,,,,-151.25670,-151.25700,-24.66010,-60.66740,0.39830,-0.4388,-0.447
2023-03-31,,,,4.67800,2.90300,,-7.58100,-0.05500,-7.63600,,-7.63600,-7.63600,-7.63600,-7.45600,-7.58100,13.76300,13.76300,-0.55000,-0.55000,3.28490,0.44900,0.81490,,,,,,,-69.63980,-69.63980,-20.45600,-38.37190,1.03820,-0.60330,-0.60660
2022-12-31,,,,5.79400,3.14000,,-8.93400,-0.16900,-9.10300,,-9.10300,-9.10300,-9.10300,-8.71700,-8.93400,11.54900,11.54900,-0.46000,-0.46000,4.52800,0.36410,0.57260,,,,,,,-50.26230,-50.26230,-19.75090,-31.96050,1.72170,-0.8869,-0.9205
2022-09-30,,,,5.97300,2.79800,,-8.77100,-0.17600,-8.94700,,-8.94700,-8.94700,-8.94700,-8.57000,-8.77100,13.63600,13.63600,-0.66000,-0.66000,2.50460,0.30660,0.44210,,,,,,,-33.41800,-33.41800,-14.16310,-23.17340,2.54570,-0.4624,-0.469
2022-06-30,,,,5.65100,3.12300,,-8.77400,-0.39400,-9.16800,,-9.16800,-9.16800,-9.16800,-8.66200,-8.77400,11.57300,11.57300,-0.79000,-0.79000,3.04630,0.27580,0.38080,,,,,,,-26.24530,-26.24530,-12.84920,-19.00770,3.38320,-0.3495,-0.3576
