Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,16.52000,3.99000,-20.51000,97.48100,76.97100,,76.97100,76.97100,54.42900,-19.48000,-20.51000,51.94600,55.47800,1.05000,-0.32000,6.52650,,,101.20040,101.20040,67.17900,101.20040,1.84680,-0.1192,-0.1192
2024-06-30,10.10600,4.39600,-14.50200,-30.40500,-44.90700,,-44.90700,-44.90700,-44.90700,-15.35600,-14.50200,42.27800,42.27800,-1.06000,-1.06000,14.47650,,,528.25510,528.25600,-37.27250,528.25550,-0.22080,-0.0991,-0.0991
2024-03-31,7.41000,3.45900,-10.86900,-12.76200,-23.63100,,-23.63100,-23.63100,-23.63100,-10.77400,-10.86900,29.98900,29.98900,-0.79000,-0.79000,11.29670,,,160.44950,160.44950,-29.23980,160.44950,-0.59360,-0.29150,-0.29150
2023-12-31,7.06700,3.27100,-10.33800,-19.76100,-30.09900,,-30.09900,-30.09900,-30.09900,-10.24400,-10.33800,24.62000,24.62000,-0.91000,-0.91000,14.41050,,,-417.57900,-417.57780,-33.79400,-417.57780,0.29770,-0.5914,-0.5914
2023-09-30,7.93100,3.26700,-11.19800,1.29200,-9.90600,,-9.90600,-9.90600,-9.90600,-11.00700,-11.19800,29.97400,29.97400,-0.33000,-0.33000,21.72850,,,-10.84580,-10.84580,-10.31130,-10.84580,3.87920,-0.2583,-0.2583
2023-06-30,7.20100,3.15300,-10.35400,-55.40600,-65.76000,,-65.76000,-65.76000,-65.76000,-10.35700,-10.35400,24.00700,24.00700,-2.74000,-2.74000,15.02490,,,-65.79360,-65.79360,-61.58170,-65.79360,4.33730,-0.0611,-0.0611
2023-03-31,8.11300,2.99700,-11.11000,0.33800,-10.77200,,-10.77200,-10.77200,-10.77200,-11.01800,-11.11000,14.28600,14.28600,-0.75000,-0.75000,8.92730,,,-14.40260,-14.40260,-13.08780,-14.40260,5.42880,-0.69470,-0.69470
2022-12-31,7.25000,2.79000,-58.68800,0.30400,-58.38400,,-58.38400,-58.38400,-58.38400,-9.94700,-58.68800,14.28500,14.28500,-4.09000,-4.09000,9.19200,,,-69.35370,-69.35370,-62.91850,-69.35370,6.11040,-0.6619,-0.6619
2022-09-30,7.45200,3.14600,-10.59800,0.12700,-10.47100,,-10.47100,-10.47100,-10.47100,-10.50500,-10.59800,14.26600,14.26600,-0.73000,-0.73000,10.75880,,,-7.42130,-11.32670,-7.00000,-7.42130,10.25610,-0.3204,-0.3204
2022-06-30,5.74300,3.54000,-9.28300,0.03600,-9.24700,,-9.24700,-9.24700,-9.24700,-9.18900,-9.28300,14.26600,14.26600,-0.65000,-0.65000,22.21860,,,-6.19030,-9.17990,-5.97710,-6.19030,10.85920,-0.4384,-0.4384
2022-03-31,6.63500,3.22400,-9.85900,-0.00500,-9.86400,,-9.86400,-9.86400,-9.86400,-9.76600,-9.85900,14.33100,14.33100,-0.69000,-0.69000,26.81710,,,-6.31020,-9.16130,-6.11240,-6.31020,11.36280,-0.56910,-0.56910
2021-12-31,6.18200,3.20300,-9.38500,0.00000,-9.38500,-0.57900,-8.80600,-8.80600,-8.80600,-9.32400,-9.38500,14.82000,14.82000,-0.60000,-0.60000,20.07410,,,-5.36970,-7.63440,-5.16340,-5.36970,11.46260,-0.6209,-0.6209
2021-09-30,7.65800,2.84800,-10.50600,0.00300,-10.50300,-0.68600,-9.81700,-9.81700,-9.81700,-10.46200,-10.50600,14.81600,14.81600,-0.66000,-0.66000,23.61790,,,-5.74940,-8.04010,-5.54100,-5.74940,11.93460,-0.4788,-0.4788
2021-06-30,4.24200,3.72900,-7.97100,-0.00100,-7.97200,-0.58800,-7.38400,-7.38400,-7.38400,-7.92700,-7.97100,14.81600,14.81600,-0.50000,-0.50000,38.31980,,,-4.13620,-5.68560,-4.00640,-4.13620,12.47790,-0.5029,-0.5029
