Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.11020,0.40240,-0.29220,11.34830,,11.34830,-11.64050,0.01040,-11.63010,-11.63010,-11.63010,-0.29920,-11.92930,-11.53150,-11.64050,55.93060,55.93060,-0.21000,-0.21000,1.90230,0.00760,-265.11030,-10561.83000,-10561.83000,-10552.38000,-10823.84000,0.01320,0.76850,0.21810,412.57200,-182.33310,-603.13060,-138.85940,-182.33310,0.10720,-0.0744,-0.0754
2024-06-30,0.71020,0.50450,0.20570,8.61860,,8.61860,-8.41290,0.13880,-8.27410,-8.27410,-8.27410,,-8.27410,-8.30840,-8.41290,51.73520,51.73520,-0.16000,-0.16000,1.76450,0.25020,28.96370,-1184.51600,-1184.51600,-1164.97200,-1164.97200,0.06640,0.68230,4.37620,20.56570,-127.89470,-382.68890,-77.36680,-127.89480,0.12440,-0.0992,-0.0997
2024-03-31,0.17070,2.38330,-2.21260,12.95660,,12.95650,-15.16910,-0.50560,-15.67470,-15.67470,-15.67470,,-15.67470,-15.06460,-15.16910,47.43550,47.43550,-0.33000,-0.33000,1.27890,0.29060,-1295.92200,-8884.74600,-8884.74600,-9180.86200,-9180.86200,0.01850,5.90270,33.13260,2.71640,-281.38620,-1349.74400,-170.10170,-281.38640,0.11320,-0.13470,-0.13470
2023-12-31,0.13270,0.17910,-0.04640,5.44760,,5.44760,-5.49400,-0.19100,-5.68500,-5.68500,-5.68500,0.00800,-5.67700,-5.39230,-5.49400,30.87780,30.87780,-0.17000,-0.17000,2.14400,0.17570,-35.00300,-4140.17900,-4140.18000,-4284.11000,-4278.05200,0.01040,0.22510,1.44620,62.23290,-64.47690,-132.02300,-44.73160,-64.47690,0.19320,-0.1733,-0.1665
2023-09-30,0.01190,0.04640,-0.03460,4.09060,,4.09060,-4.12520,-3.15240,-7.27760,-7.27760,-7.27760,-0.46070,-7.73830,-4.02110,-4.12520,29.83650,29.83650,-0.26000,-0.26000,1.91540,0.30540,-290.99100,-34732.41000,-34732.41000,-61274.78000,-65153.66000,0.00100,0.49580,3.94320,22.82390,-108.47330,-177.66640,-64.22500,-108.47320,0.18030,-0.0809,-0.0914
2023-06-30,0.02330,0.02760,-0.00430,1.74170,,1.74170,-1.74600,1.17950,-0.56650,-0.56650,-0.56650,0.20690,-0.35960,-1.74200,-1.74600,25.55180,25.55180,-0.01000,-0.01000,1.83510,0.36160,-18.32230,-7491.99300,-7491.99300,-2430.72700,-1542.97800,0.00210,0.08400,0.03290,2737.46800,-9.99350,-12.66880,-5.11290,-9.99350,0.20870,-0.047,-0.0455
2023-03-31,0.03480,0.02400,0.01080,1.24500,,1.24490,-1.23410,-0.05830,-1.29240,-1.29240,-1.29240,-0.01580,-1.30820,-1.22970,-1.23410,25.55180,25.55180,-0.05000,-0.05000,1.94170,0.35290,31.11130,-3547.57400,-3547.57400,-3715.10800,-3760.41700,0.00320,0.09010,0.04040,2226.77800,-22.25190,-28.13970,-11.84980,-22.25190,0.21790,-0.04580,-0.04580
2022-12-31,-3.68710,-2.84900,-0.83810,6.27490,-1.45000,7.72490,-8.56300,-0.12840,-8.69140,-8.69140,-8.69140,0.16130,-8.53010,-6.78850,-8.56300,22.10670,22.10670,-0.39000,-0.39000,1.49850,0.55860,22.73090,232.24430,232.24420,235.72670,231.35210,-0.42420,-18.84180,-2.48230,-36.25710,-237.10670,-237.10650,-100.00690,-237.10660,0.16410,-0.0581,-0.0117
2022-09-30,0.08550,0.07440,0.01110,1.97720,,1.97710,-1.96610,-0.54920,-2.51530,-2.51530,-2.51530,0.18290,-2.33240,-1.28970,-1.96610,21.53000,21.53000,-0.10000,-0.10000,2.83460,0.22680,12.98980,-2300.38800,-2300.38800,-2943.01300,-2729.03700,0.00710,0.18720,0.13160,684.10610,-29.39500,-36.29470,-20.81250,-29.39500,0.39500,-0.0646,-0.1107
2022-06-30,3.00060,2.49530,0.50520,1.39780,,1.39780,-0.89260,-0.54820,-1.44080,-1.44080,-1.44080,,-1.44080,-0.36880,-0.89260,21.94940,21.94940,-0.07000,-0.07000,3.47000,0.13510,16.83820,-29.74650,-29.74650,-48.01590,-48.01590,0.20860,6.43180,1.86460,48.26870,-13.46900,-15.91660,-10.01490,-13.46900,0.49280,-0.0517,-0.0522
