Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,24.49400,1.38600,23.10800,-7.60900,14.61800,8.49000,-4.79300,3.69700,3.69700,3.99700,3.99700,15.64500,8.49000,13.80700,13.84900,0.29000,0.29000,0.66920,2.02280,34.66160,34.66160,15.09350,16.31830,0.04190,2.20050,2.29870,0.68400,0.72800,13.11570,0.7123,0.5898
2024-06-30,24.73400,1.36900,23.36500,-6.97500,13.78100,9.58400,-4.58000,5.00400,5.00400,5.27600,5.27600,16.53700,9.58400,13.79800,13.83200,0.38000,0.38000,0.65550,1.90280,38.74830,38.74830,20.23130,21.33100,0.04220,2.76660,2.89080,0.89950,0.95310,13.77000,0.8762,0.7744
2024-03-31,25.14100,1.33800,23.80300,-7.53100,14.34000,9.46300,-4.54700,4.91600,4.91600,5.30000,5.30000,16.41900,9.46300,13.79200,13.82400,0.38000,0.38000,0.65080,1.86380,37.63970,37.63970,19.55370,21.08110,0.04220,2.69780,2.82210,0.88900,0.94200,14.21140,0.84910,0.63750
2023-12-31,24.32000,1.36600,22.95400,-7.54500,14.79900,8.15500,-4.81600,3.33900,3.33900,3.59300,3.59300,15.56400,8.15500,13.78600,13.81400,0.27000,0.26000,0.64140,1.78900,33.53210,33.53210,13.72950,14.77390,0.04080,1.78820,1.87310,0.60250,0.64120,14.53520,0.7582,0.5123
2023-09-30,24.22300,1.33200,22.89100,-7.85400,14.86600,8.02500,-4.46700,3.55800,3.55800,3.87200,3.87200,15.17800,8.02500,13.79000,13.82200,0.28000,0.28000,0.63180,1.71570,33.12970,33.12970,14.68850,15.98480,0.03980,1.84110,1.92970,0.63700,0.67800,15.21440,0.7337,-0.0564
2023-06-30,23.80600,1.32300,22.48300,-8.25000,15.09900,7.38400,-4.17600,3.20800,3.20800,3.47600,3.47600,14.36300,7.38400,13.78400,13.80900,0.25000,0.25000,0.61840,1.62090,31.01740,31.01740,13.47560,14.60140,0.03950,1.60450,1.66880,0.57650,0.61220,15.67320,0.8871,0.3549
2023-03-31,23.22600,1.30200,21.92400,-7.52100,14.13900,7.78500,-3.69700,4.08800,4.08800,4.45900,4.45900,14.52300,7.78500,13.77800,13.80300,0.32000,0.32000,0.61070,1.56870,33.51850,33.51850,17.60100,19.19830,0.03840,2.00700,2.09060,0.73790,0.78130,16.09460,0.72940,0.61790
2022-12-31,24.12800,1.31000,22.81800,-7.57700,14.08800,8.73000,-3.34700,5.38300,5.38300,5.63100,5.63100,15.37200,8.73000,13.77100,13.79500,0.41000,0.41000,0.59940,1.49640,36.18200,36.18200,22.31020,23.33800,0.03970,2.45790,2.56360,0.92690,0.98460,16.59790,0.8919,0.4714
2022-09-30,22.15100,1.29700,20.85400,-6.87500,13.53300,7.32100,-2.81900,4.50200,4.50200,4.84800,4.84800,14.10700,7.32100,13.77600,13.80100,0.35000,0.35000,0.59300,1.45680,33.05040,33.05040,20.32410,21.88620,0.03640,2.07510,2.16730,0.79570,0.84460,16.92700,0.6923,0.2972
2022-06-30,22.17100,1.26600,20.90500,-6.98600,13.66500,7.24000,-2.36700,4.87300,4.87300,5.21800,5.21800,14.05600,7.24000,13.76800,13.78900,0.38000,0.38000,0.58810,1.42780,32.65530,32.65530,21.97920,23.53530,0.03670,2.22380,2.32840,0.86420,0.91600,17.00210,0.9597,0.3892
2022-03-31,22.17500,1.22400,20.95100,-6.86700,13.57600,7.37500,-2.22200,5.15300,5.15300,5.40500,5.40500,14.20900,7.37500,13.76400,13.78500,0.39000,0.39000,0.58310,1.39870,33.25820,33.25820,23.23790,24.37430,0.03680,2.28080,2.39370,0.89720,0.95090,17.18950,0.84900,-0.38220
2021-12-31,21.41000,1.13400,20.27600,-5.95600,12.88300,7.39300,83.76700,91.16000,91.16000,91.61500,91.61500,14.44500,7.39300,13.75700,13.77900,6.66000,6.64000,0.58280,1.39710,34.53060,34.53060,425.78230,427.90750,0.03580,38.93090,40.65360,15.30950,16.24110,17.07120,0.8376,0.6497
2021-09-30,21.20500,1.12100,20.08400,-5.98000,12.79300,7.29100,-2.25000,5.04100,5.04100,5.34400,5.34400,14.22000,7.29100,13.76200,13.78300,0.39000,0.39000,0.68760,2.20140,34.38340,34.38340,23.77270,25.20160,0.04100,3.52020,3.77880,1.03230,1.09960,11.01360,0.7825,0.5427
2021-06-30,20.87600,1.08900,19.78700,-5.90300,12.85400,6.93300,-0.87900,6.05400,6.05400,6.62100,6.62100,14.04100,6.93300,13.75300,13.77600,0.48000,0.48000,0.67050,2.03460,33.21040,33.21040,28.99980,31.71590,0.04140,4.26160,4.58860,1.31360,1.40430,11.27220,1.0266,-0.0067
2021-03-31,20.69900,1.06200,19.63700,-5.60200,12.38900,7.24800,-2.13300,5.11500,5.11500,5.58600,5.58600,14.19400,7.24800,13.75000,13.77100,0.41000,0.41000,0.65860,1.92890,35.01620,35.01620,24.71130,26.98680,0.04170,3.52060,3.78320,1.12670,1.20200,11.52100,0.81690,0.29600
2020-12-31,19.83000,1.05900,18.77100,-5.71100,12.13200,6.63900,-1.97400,4.66500,4.66500,5.00000,5.00000,13.21500,6.63900,13.74300,13.76500,0.37000,0.36000,0.64980,1.85590,33.47960,33.47960,23.52500,25.21430,0.04010,3.14460,3.39530,1.01210,1.10110,11.54640,0.8316,0.0745
2020-09-30,19.69200,1.03900,18.65300,-5.61400,12.01300,6.64000,-1.96400,4.67600,4.67600,5.19300,5.19300,13.20000,6.64000,13.74800,13.77000,0.38000,0.38000,0.63820,1.76410,33.71930,33.71930,23.74570,26.37110,0.04010,3.19780,3.45630,1.05850,1.15690,11.79250,0.6939,0.2962
2020-06-30,19.28100,1.02700,18.25400,-5.57600,11.95700,6.29700,-2.01600,4.28100,4.28100,4.70000,4.70000,12.78900,6.29700,13.73900,13.76100,0.34000,0.34000,0.62840,1.69110,32.65910,32.65910,22.20320,24.37630,0.03960,2.82720,3.06600,0.96590,1.05060,12.07260,0.9495,0.7617
2020-03-31,19.20700,1.01600,18.19100,-5.38300,11.76300,6.42800,-2.30900,4.11900,4.11900,4.55400,4.55400,12.90600,6.42800,13.73600,13.75800,0.33000,0.33000,0.61850,1.62100,33.46700,33.46700,21.44530,23.71010,0.03930,2.64090,2.86970,0.93100,1.00760,12.53380,0.73680,0.33550
2019-12-31,18.85900,1.01100,17.84800,-5.46300,11.76900,6.07900,-0.70000,5.37900,5.37900,5.83800,5.83800,12.48100,6.07900,13.73200,13.75200,0.42000,0.42000,0.60100,1.50600,32.23400,32.23390,28.52220,30.95600,0.03860,3.21240,3.49200,1.19440,1.28190,13.20930,0.795,0.4163
2019-09-30,19.86600,1.01100,18.85500,-5.56600,11.99600,6.85900,-2.65900,4.20000,4.20000,4.65300,4.65300,13.38300,6.85900,13.73500,13.75700,0.34000,0.34000,0.59100,1.44510,34.52630,34.52630,21.14170,23.42190,0.04110,2.52020,2.74220,0.96160,1.03070,13.42040,0.7463,0.401
2019-06-30,19.32600,0.98200,18.34400,-5.33000,11.75600,6.58800,-2.78100,3.80700,3.80700,4.26100,4.26100,13.11000,6.58800,13.73000,13.74900,0.31000,0.31000,0.57310,1.34250,34.08880,34.08880,19.69890,22.04800,0.04000,2.26000,2.46610,0.88260,0.96480,13.70500,0.9313,0.893
