Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,current-ratio,roe,return-on-tangible-equity,roa,roi
2023-06-30,,,,,,,,,,,,,,
2021-12-31,0.08720,-0.08720,-0.00110,-0.08830,-0.08830,-0.08830,-0.08830,-0.08720,-0.08720,0.33810,9.48750,9.49060,-0.07040,9.49050
2021-09-30,1.15380,-1.15380,0.00650,-1.14710,-1.14710,-1.14710,-1.14710,-1.15380,-1.15380,0.33820,123.25130,123.21160,-0.91440,123.34410
2021-06-30,0.08620,-0.08620,-0.09740,-0.18360,-0.18360,-0.18360,-0.18360,-0.08620,-0.08620,3.39060,-3.24980,-129.29040,-0.14620,-128.84210
2021-03-31,0.19480,-0.19480,0.03390,-0.16100,-0.16100,-0.16100,-0.16100,-0.19480,-0.19480,3.25590,-3.22040,-3.22000,-0.12810,-3.22000
2020-12-31,0.08710,-0.08710,-0.00120,-0.08820,-0.08820,-0.08820,-0.08820,-0.08710,-0.08710,6.36070,-1.76390,-1.76400,-0.07010,-1.76400
