Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.28800,6.81200,-19.10000,2.65400,-16.44600,-16.44600,-16.44600,-16.44600,-18.21100,-19.10000,125.45300,125.45300,-0.13000,-0.13000,16.64800,,-7.36060,-7.36060,-6.33260,-7.36060,1.77950,-0.1043,-0.1099
2024-06-30,12.43600,8.35300,-20.78900,2.77900,-18.01000,-18.01000,-18.01000,-18.01000,-19.89400,-20.78900,125.31800,125.31800,-0.14000,-0.14000,19.69050,,-7.65470,-7.65470,-6.60320,-7.65470,1.87610,-0.1231,-0.1272
2024-03-31,12.93000,8.67700,-21.60700,2.87700,-18.73000,-18.73000,-18.73000,-18.73000,-20.76700,-21.60700,125.13500,125.13500,-0.15000,-0.15000,20.09270,,-7.50730,-7.50730,-6.48880,-7.50730,1.99170,-0.13000,-0.13520
2023-12-31,12.46600,7.53500,-20.00100,2.97700,-17.02400,-17.02400,-17.02400,-17.02400,-19.03000,-20.00100,124.91900,124.91900,-0.13000,-0.13000,19.38580,,-6.41560,-6.41560,-5.57130,-6.41560,2.12170,-0.1114,-0.1146
2023-09-30,11.99600,7.07900,-19.07500,3.19700,-15.87800,-15.87800,-15.87800,-15.87800,-18.22000,-19.07500,124.93400,124.93400,-0.13000,-0.13000,21.00160,,-5.72650,-5.72650,-4.98780,-5.72650,2.21920,-0.0934,-0.1004
2023-06-30,11.91200,7.10400,-19.01600,3.20800,-15.80800,-15.80800,-15.80800,-15.80800,-18.29800,-19.01600,124.60300,124.60300,-0.13000,-0.13000,21.12840,,-5.45720,-5.45720,-4.77920,-5.45720,2.31870,-0.1087,-0.1124
2023-03-31,10.87700,7.18300,-18.06000,3.09500,-14.96500,-14.96500,-14.96500,-14.96500,-17.55800,-18.06000,124.59000,124.59000,-0.12000,-0.12000,21.50130,,-4.92730,-4.92730,-4.32660,-4.92730,2.43230,-0.10050,-0.10610
2022-12-31,9.58700,6.71700,-16.30400,2.89500,-13.40900,-13.40900,-13.40900,-13.40900,-15.93300,-16.30400,124.59000,124.59000,-0.10000,-0.10000,27.56720,,-4.25790,-4.25790,-3.83060,-4.25790,2.52210,-0.0835,-0.0853
2022-09-30,9.57100,6.24900,-15.82000,1.75700,-14.06300,-14.06300,-14.06300,-14.06300,-15.15300,-15.82000,124.65100,124.65100,-0.11000,-0.11000,40.60060,,-4.32260,-4.32260,-3.91390,-4.32260,2.60850,-0.0764,-0.0842
2022-06-30,8.85600,6.61600,-15.47200,0.78300,-14.68900,-14.68900,-14.68900,-14.68900,-14.81600,-15.47200,124.49400,124.49400,-0.12000,-0.12000,49.75340,,-4.35150,-4.35150,-3.95180,-4.35150,2.71000,-0.1087,-0.1138
2022-03-31,9.65800,6.36400,-16.02200,0.25900,-15.76300,-15.76300,-15.76300,-15.76300,-15.19000,-16.02200,124.41900,124.41900,-0.13000,-0.13000,51.05600,,-4.50750,-4.50750,-4.09780,-4.50750,2.80990,-0.09910,-0.10300
2021-12-31,9.89300,6.92300,-16.81600,0.12700,-16.68900,-16.68900,-16.68900,-16.68900,-15.95400,-16.81600,84.46400,84.46400,-0.04000,-0.04000,60.08640,,-4.59020,-4.59020,-4.18850,-4.59020,2.92490,-0.2332,-0.2497
2021-09-30,8.24400,6.32400,-14.56800,0.06400,-14.50400,-14.50400,-14.50400,-14.50400,-13.85700,-14.56800,124.11500,124.11500,-0.12000,-0.12000,83.68310,,-3.83860,-3.83860,-3.76390,-3.83860,3.04310,0.0327,0.0407
2021-06-30,6.38000,4.31700,-10.69700,-0.01600,-10.71300,-10.71300,-10.71300,-10.71300,-9.98700,-10.69700,55.07000,55.07000,-0.19000,-0.19000,115.94800,,-2.74660,-2.74660,-2.72400,-2.74660,3.14310,-0.0746,-0.0784
2021-03-31,4.83500,3.58200,-8.41700,0.00800,-8.40900,-8.40900,-8.40900,-8.40900,-7.67500,-8.41700,33.00000,33.00000,-0.25000,-0.25000,0.52000,,-168.17980,-168.17900,-5.58740,-168.17980,0.93630,-0.18950,-0.20410
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.3093,0.3299
2020-09-30,3.31700,0.71000,-4.02700,0.04900,-3.97800,-3.97800,-3.97800,-3.97800,-3.34300,-4.02700,29.96400,29.96400,-0.13000,-0.13000,11.15030,,-79.56000,-79.56000,-2.63530,-79.56000,0.97520,-0.1,-0.108
2020-06-30,2.75100,0.64900,-3.40000,0.04500,-3.35500,-3.35500,-3.35500,-3.35500,-3.40000,-3.40000,28.18500,28.18500,-0.12000,-0.12000,,4.77380,-25257.85000,-25257.85000,-1587.59400,-25257.85000,0.00360,-0.2093,-0.2219
