Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,15383.00000,1044.00000,14339.00000,9183.00000,-935.00000,10118.00000,4221.00000,4221.00000,995.00000,3226.00000,3226.00000,,3028.00000,5491.00000,4221.00000,1588.00000,1609.00000,1.91000,1.88000,0.79880,0.74020,5.20050,93.21330,27.43940,27.43940,27.43940,19.68410,0.01220,0.16830,534.62920,3.39860,3.96720,0.25640,0.80080,64.92960,-10.761,-11.3316
2024-06-30,15019.00000,995.00000,14024.00000,8933.00000,-1017.00000,9950.00000,4074.00000,4074.00000,957.00000,3117.00000,3117.00000,,2942.00000,5345.00000,4074.00000,1594.00000,1611.00000,1.85000,1.82000,0.77630,0.73030,5.21730,93.37510,27.12560,27.12560,27.12560,19.58850,0.01240,0.16930,531.63460,3.35680,3.98980,0.25710,0.82720,62.75560,1.5757,1.0459
2024-03-31,15136.00000,921.00000,14215.00000,8969.00000,-851.00000,9820.00000,4395.00000,4395.00000,933.00000,3462.00000,3462.00000,,3266.00000,5370.00000,4395.00000,1601.00000,1616.00000,2.04000,2.02000,0.76640,0.73050,5.36910,93.91520,29.03670,29.03670,29.03670,21.57770,0.01230,0.18540,485.43270,3.78820,4.52530,0.28180,0.93180,61.56180,2.69800,2.19310
2023-12-31,12896.00000,865.00000,12031.00000,8512.00000,-1423.00000,9935.00000,2096.00000,2096.00000,555.00000,1541.00000,1541.00000,,1383.00000,3502.00000,2096.00000,1628.00000,1646.00000,0.88000,0.86000,0.74680,0.72510,5.05700,93.29250,16.25310,16.25310,16.25310,10.72430,0.01080,0.16100,559.04540,1.68910,2.02180,0.12910,0.42370,61.45830,-10.7674,-11.3291
2023-09-30,13273.00000,855.00000,12418.00000,8288.00000,-985.00000,9273.00000,3145.00000,3145.00000,710.00000,2435.00000,2435.00000,,2262.00000,4133.00000,3145.00000,1624.00000,1643.00000,1.39000,1.38000,0.75990,0.71170,4.96100,93.55840,23.69470,23.69470,23.69470,17.04210,0.01140,0.17350,518.68840,2.66390,3.19320,0.20830,0.70100,60.98830,2.223,1.6626
2023-06-30,13457.00000,875.00000,12582.00000,8662.00000,-1108.00000,9770.00000,2812.00000,2812.00000,591.00000,2221.00000,2221.00000,,2049.00000,3734.00000,2812.00000,1635.00000,1651.00000,1.25000,1.24000,0.77710,0.70980,4.66690,93.49780,20.89620,20.89620,20.89620,15.22630,0.01160,0.17710,508.04490,2.39820,2.87000,0.19070,0.63580,61.10750,-5.8977,-6.4163
2023-03-31,14517.00000,881.00000,13636.00000,8722.00000,-1154.00000,9876.00000,3760.00000,3760.00000,727.00000,3033.00000,3033.00000,,2836.00000,4700.00000,3760.00000,1645.00000,1663.00000,1.72000,1.70000,0.78810,0.71050,4.96000,93.93130,25.90070,25.90070,25.90070,19.53570,0.01210,0.19590,459.36150,3.25420,3.89710,0.25280,0.86130,61.03870,-5.93210,-6.36440
2022-12-31,12749.00000,851.00000,11898.00000,8139.00000,-965.00000,9104.00000,2794.00000,2794.00000,528.00000,2266.00000,2266.00000,,2113.00000,4001.00000,2794.00000,1691.00000,1713.00000,1.30000,1.27000,0.79400,0.70160,4.73040,93.32500,21.91550,21.91550,21.91550,16.57390,0.01080,0.16230,554.44350,2.45020,2.94430,0.19200,0.66790,60.41890,-8.2123,-8.6491
2022-09-30,12986.00000,847.00000,12139.00000,7887.00000,-864.00000,8751.00000,3388.00000,3388.00000,726.00000,2662.00000,2662.00000,,2494.00000,4316.00000,3388.00000,1674.00000,1697.00000,1.49000,1.47000,0.78590,0.68350,4.54500,93.47760,26.08960,26.08960,26.08960,19.20530,0.01120,0.14770,609.43710,2.85200,3.43590,0.22950,0.82540,60.26320,-4.3161,-4.8339
2022-06-30,13132.00000,878.00000,12254.00000,7814.00000,-1121.00000,8935.00000,3319.00000,3319.00000,783.00000,2536.00000,2536.00000,,2391.00000,4240.00000,3319.00000,1704.00000,1723.00000,1.40000,1.39000,0.80450,0.68780,4.51330,93.31400,25.27410,25.27410,25.27410,18.20740,0.01120,0.15870,567.18780,2.67190,3.25720,0.21610,0.77120,59.58040,8.6578,8.1871
2022-03-31,14801.00000,882.00000,13919.00000,8410.00000,-921.00000,9331.00000,4588.00000,4588.00000,873.00000,3715.00000,3715.00000,,3542.00000,5530.00000,4588.00000,1733.00000,1755.00000,2.04000,2.02000,0.79460,0.68830,4.70330,94.04090,30.99790,30.99790,30.99790,23.93080,0.01210,0.15610,576.47190,3.85670,4.70220,0.30400,1.11260,59.26310,0.13620,-0.23530
2021-12-31,14524.00000,811.00000,13713.00000,7833.00000,-996.00000,8829.00000,4884.00000,4884.00000,1168.00000,3716.00000,3716.00000,,3592.00000,6121.00000,4884.00000,1785.00000,1814.00000,2.05000,2.01000,0.77980,0.68620,4.46520,94.41610,33.62710,33.62710,33.62710,24.73150,0.01220,0.15130,594.98900,3.75930,4.56480,0.31280,1.09380,60.14920,0.1719,-0.1854
2021-09-30,14753.00000,825.00000,13928.00000,8015.00000,-1039.00000,9054.00000,4874.00000,4874.00000,1150.00000,3724.00000,3724.00000,,3584.00000,5909.00000,4874.00000,1781.00000,1812.00000,2.01000,1.98000,0.75120,0.68200,4.51010,94.40790,33.03740,33.03740,33.03740,24.29340,0.01240,0.15000,599.99790,3.74760,4.55410,0.31280,1.10540,59.54670,1.4482,1.0976
2021-06-30,14759.00000,795.00000,13964.00000,8494.00000,-904.00000,9398.00000,4566.00000,4566.00000,1054.00000,3512.00000,3512.00000,,3408.00000,5623.00000,4566.00000,1814.00000,1841.00000,1.88000,1.85000,0.74270,0.67450,4.36070,94.61350,30.93710,30.93710,30.93710,23.09100,0.01270,0.14620,615.41370,3.49760,4.25010,0.30230,1.05690,58.96410,2.3221,2.0464
2021-03-31,15719.00000,910.00000,14809.00000,8706.00000,-759.00000,9465.00000,5344.00000,5344.00000,1176.00000,4168.00000,4168.00000,,3982.00000,6231.00000,5344.00000,1795.00000,1818.00000,2.22000,2.19000,0.72920,0.66730,4.40530,94.21080,33.99710,33.99710,33.99710,25.33240,0.01360,0.13660,658.68500,4.17480,5.08880,0.35970,1.28880,57.56680,14.78490,14.49620
2020-12-31,13597.00000,776.00000,12821.00000,7443.00000,-948.00000,8391.00000,4430.00000,4430.00000,1018.00000,3412.00000,3412.00000,,3266.00000,5836.00000,4430.00000,1603.00000,1624.00000,1.87000,1.83000,0.73230,0.67790,4.35190,94.29290,32.58070,32.58070,32.58070,24.02000,0.01220,0.13910,646.93170,3.63370,3.94300,0.30580,1.06550,57.00020,-15.6378,-15.9491
2020-09-30,11721.00000,697.00000,11024.00000,6695.00000,-842.00000,7537.00000,3487.00000,3487.00000,736.00000,2751.00000,2751.00000,,2597.00000,4340.00000,3487.00000,1542.00000,1566.00000,1.68000,1.66000,0.75850,0.69370,4.58280,94.05340,29.75000,29.75000,29.75000,22.15680,0.01230,0.16160,556.97720,3.38380,3.41360,0.28780,0.93810,56.97490,-4.411,-4.4867
2020-06-30,13660.00000,716.00000,12944.00000,7587.00000,-1002.00000,8589.00000,4355.00000,4355.00000,1119.00000,3236.00000,3236.00000,,3047.00000,5041.00000,4355.00000,1541.00000,1557.00000,1.98000,1.96000,0.75380,0.70010,4.88840,94.75840,31.88140,31.88140,31.88140,22.30600,0.01400,0.21930,410.40260,4.07100,4.11070,0.33180,1.10270,55.83960,-10.6407,-10.9179
2020-03-31,9779.00000,740.00000,9039.00000,5792.00000,-1101.00000,6893.00000,2146.00000,2146.00000,366.00000,1780.00000,1780.00000,,1590.00000,2970.00000,2146.00000,1555.00000,1573.00000,1.02000,1.01000,0.79870,0.69080,4.67090,92.43280,21.94500,21.94500,21.94500,16.25930,0.01030,0.13140,684.95350,2.26150,2.27970,0.18780,0.63100,55.36530,15.15320,14.92820
2019-12-31,10976.00000,633.00000,10343.00000,6925.00000,-685.00000,7610.00000,2733.00000,2733.00000,428.00000,2305.00000,2305.00000,,2085.00000,3389.00000,2733.00000,1617.00000,1640.00000,1.33000,1.30000,0.74700,0.69960,4.87790,94.23290,24.89980,24.89980,24.89980,18.99600,0.01230,0.19720,456.28100,3.10740,3.13830,0.25740,0.83720,51.88100,-0.2822,-0.4983
