Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,15.16900,9.77000,-24.93900,3.05600,-21.88300,0.06200,-21.94500,-21.94500,-21.94500,-24.73300,-24.93900,77.82000,77.82000,-0.28000,-0.28000,32.99210,,-6.02110,-6.02110,-5.80200,-6.02110,4.29210,-0.1888,-0.1889
2024-06-30,18.35200,7.18500,-25.53700,2.86200,-22.67500,0.06100,-22.73600,-22.73600,-22.73600,-24.93700,-25.53700,74.46000,74.46000,-0.31000,-0.31000,21.01670,,-10.39690,-10.39690,-9.84750,-10.39690,3.10910,-0.2171,-0.2172
2024-03-31,18.58700,6.85900,-25.44600,3.17000,-22.27600,0.09700,-22.37300,-22.37300,-22.37300,-25.57000,-25.44600,74.39900,74.39900,-0.30000,-0.30000,27.85400,,-9.45130,-9.45130,-9.06650,-9.45130,3.66140,-0.30640,-0.30680
2023-12-31,17.45900,6.59900,-24.05800,3.08800,-20.97000,0.04900,-21.01900,-21.01900,-21.01900,-28.86700,-24.05800,71.25900,71.25900,-0.29000,-0.29000,22.39050,,-8.23090,-8.23090,-7.82780,-8.23090,3.95450,-0.2736,-0.2742
2023-09-30,14.83100,18.35300,-33.18400,3.47500,-29.70900,0.05800,-29.76700,-29.76700,-29.76700,-32.96200,-33.18400,71.53000,71.53000,-0.42000,-0.42000,22.37570,,-11.51860,-11.51860,-10.95640,-11.51860,4.18260,-0.2885,-0.2886
2023-06-30,14.15100,7.00800,-21.15900,3.33500,-17.82400,0.07200,-17.89600,-17.89600,-17.89600,-20.13600,-21.15900,71.36400,71.36400,-0.25000,-0.25000,20.24970,,-6.52780,-6.52780,-6.17750,-6.52780,4.48950,-0.1775,-0.1775
2023-03-31,17.05600,7.10100,-24.15700,2.68900,-21.46800,0.06000,-21.52800,-21.52800,-21.52800,-24.74100,-24.15700,69.77800,69.77800,-0.31000,-0.31000,24.74720,,-7.48320,-7.48320,-7.14540,-7.48320,5.07650,-0.20610,-0.20610
2022-12-31,10.65800,6.17000,-16.82800,1.32400,-15.50400,0.31800,-15.82200,-15.82200,-15.82200,-17.16100,-16.82800,36.03300,36.03300,-0.13000,-0.13000,33.67800,,-5.71310,-5.71310,-5.51240,-5.71310,5.15500,-0.3788,-0.3802
2022-09-30,12.16100,5.13100,-17.29200,0.48500,-16.80700,0.01300,-16.82000,-16.82000,-16.82000,-17.06600,-17.29200,38.51200,38.51200,-0.44000,-0.44000,25.46950,,-9.15650,-9.15650,-8.73380,-9.15650,4.88370,-0.0174,-0.0137
2022-06-30,8.66200,5.42200,-14.08400,0.16000,-13.92400,0.00600,-13.93000,-13.93000,-13.93000,-13.75500,-14.08400,25.30400,25.30400,-0.55000,-0.55000,23.59380,,-10.15190,-10.15190,-9.61620,-10.15190,5.40990,-0.4404,-0.4407
2022-03-31,8.13600,5.68900,-13.82500,0.07300,-13.75200,0.02100,-13.77300,-13.77300,-13.77300,-12.93400,-13.82500,25.26900,25.26900,-0.55000,-0.55000,24.99770,,-9.26130,-9.26130,-8.79110,-9.26130,5.88530,-0.52630,-0.53590
2021-12-31,9.46200,5.41600,-14.87800,0.06500,-13.81300,0.43500,-14.24800,-14.24800,-14.24800,-14.57000,-13.87800,22.70600,22.70600,-0.43000,-0.43000,24.47650,,-8.88820,-8.88820,-8.47740,-8.88820,6.34390,-0.6031,-0.6125
2021-09-30,7.15300,4.71500,-11.86800,0.05300,-11.81500,0.02000,-11.83500,-11.83500,-11.83500,-11.22600,-11.86800,25.14800,25.14800,-0.47000,-0.47000,25.93850,,-6.87460,-6.87460,-6.57900,-6.87460,6.81400,-0.32,-0.323
2021-06-30,5.96100,4.85700,-10.81800,0.09400,-10.72400,0.01400,-10.73800,-10.73800,-10.73800,-10.54600,-10.81800,25.11000,25.11000,-0.43000,-0.43000,32.11960,,-5.92170,-5.92170,-5.71150,-5.92170,7.21550,0.0253,0.0243
2021-03-31,8.73500,4.56100,-13.29600,-0.00200,-13.29800,0.03900,-13.33700,-13.33700,-13.33700,-13.12700,-13.29600,15.16000,15.16000,-0.88000,-0.88000,23.64120,,-7.01940,-7.01940,-6.69390,-7.01940,7.58730,-0.94430,-0.94590
2020-12-31,7.77000,0.99800,-8.76800,-0.45000,-9.21800,0.71100,-9.92900,-9.92900,-9.92900,-8.66200,-8.76800,0.32900,2.93000,,-3.65000,3.98180,0.18780,8.45450,-14.47550,-10.75850,-14.47550,202.93490,64.0713,65.6502
2020-09-30,5.40400,3.33300,-8.73700,-2.75200,-11.48900,0.10200,-11.59100,-11.59100,-11.43500,-8.63600,-8.73700,0.30200,0.30200,-37.82000,-37.82000,,,,,,,,-19.2655,-19.228
2020-06-30,7.61100,2.48600,-10.09700,0.25200,-9.84500,,-9.84500,-9.84500,-9.68800,-9.99800,-10.09700,0.29300,0.29300,-33.09000,-33.09000,,,,,,,,-21.2434,-21.0683
2020-03-31,7.24400,2.17900,-9.42300,0.21700,-9.20600,,-9.20600,-9.20600,-9.00100,-9.29800,-9.42300,0.21600,0.21600,-41.69000,-41.69000,,,,,,,,-33.73610,-35.72690
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
