Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,37.30600,37.30600,5.90660,,31.39940,-23.84420,7.55520,7.55520,7.55520,7.55520,31.83370,31.39940,32.61390,32.61390,0.23000,0.23000,1.62180,1.52120,100.00000,84.16710,84.16710,20.25190,20.25190,0.02640,1.71780,52.39290,1.39410,1.39410,0.53450,1.39410,16.61160,0.1177,0.1177
2024-06-30,36.54950,36.54950,5.79460,,30.75490,-25.44210,5.31280,5.31280,5.31280,5.31280,31.16420,30.75490,32.56930,32.56930,0.16000,0.16000,1.60310,1.49490,100.00000,84.14580,84.14580,14.53590,14.53590,0.02510,3.00350,29.96500,0.96810,0.96810,0.36420,0.96810,16.85110,0.2095,0.2095
2024-03-31,34.78490,34.78490,5.33840,0.05050,29.49710,-6.61690,22.88010,22.88010,22.88010,22.88010,29.78670,29.49710,31.59460,31.59460,0.72000,0.72000,1.65400,1.42370,100.00000,84.79840,84.79840,65.77600,65.77600,0.02460,3.18400,28.26600,4.09640,4.09640,1.61980,4.09640,17.15780,-7.52940,-7.52940
2023-12-31,29.82260,29.82260,2.92760,0.28150,27.17650,-5.22290,21.95360,21.95360,21.95360,21.95360,27.43520,27.17650,25.70060,25.70060,0.82000,0.82000,1.70010,1.38940,100.00000,91.12720,91.12720,73.61400,73.61400,0.02660,3.26360,27.57650,4.75230,4.75230,1.95700,4.75230,17.04440,0.1402,0.1402
2023-09-30,28.77370,28.77370,2.74400,0.27470,26.30440,7.54870,33.85310,33.85310,33.85310,33.85310,26.55720,26.30440,26.01680,26.01680,1.30000,1.30000,1.65910,1.41550,100.00000,91.41830,91.41830,117.65290,117.65290,0.02560,1.82280,49.37350,7.57580,7.57580,3.00970,7.57580,16.75770,-0.0868,-0.0868
2023-06-30,27.44190,27.44190,2.62260,0.25580,25.07500,-1.13430,23.94070,23.94070,23.94070,23.94070,25.32430,25.07500,25.45400,25.45400,0.94000,0.94000,1.65110,1.47090,100.00000,91.37500,91.37500,87.24140,87.24140,0.02540,3.19630,28.15740,5.61290,5.61290,2.21340,5.61290,16.54940,-0.4294,-0.4294
2023-03-31,26.18550,26.18550,2.50970,0.23900,23.91480,4.17350,28.08830,28.08830,28.08830,28.08830,24.15980,23.91480,24.59160,24.59160,1.14000,1.14000,1.61230,1.53090,100.00000,91.32840,91.32840,107.26670,107.26670,0.02470,2.48850,36.16570,6.97610,6.97610,2.64920,6.97610,16.12160,1.13640,1.13640
2022-12-31,23.77420,23.77420,2.76130,0.25260,21.26540,-20.22920,1.03630,1.03630,1.03630,1.03630,21.51450,21.26540,23.13070,23.13070,0.07000,0.07000,1.52370,1.76450,100.00000,89.44780,89.44780,4.35880,4.35870,0.02250,0.62960,142.93790,0.28510,0.28510,0.09800,0.28510,14.96450,-0.0594,-0.0594
2022-09-30,19.97360,19.97360,2.75540,0.25000,17.46820,-24.22390,-6.75570,-6.75570,-6.75570,-6.75570,17.71730,17.46820,23.21470,23.21470,-0.29000,-0.29000,1.57880,1.70380,100.00000,87.45670,87.45670,-33.82310,-33.82310,0.01960,2.08440,43.17840,-1.80680,-1.80680,-0.66240,-1.80680,15.99680,1.7564,1.7564
2022-06-30,16.49720,16.49720,2.79420,0.27470,13.97780,-79.30990,-65.33210,-65.33210,-65.33210,-65.33210,14.22420,13.97780,22.93240,22.93240,-2.85000,-2.85000,1.54330,1.73390,100.00000,84.72790,84.72790,-396.01850,-396.01850,0.01510,0.76650,117.41380,-16.95030,-16.95030,-5.96750,-16.95030,16.71290,-0.2471,-0.2471
