Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22.56500,7.68900,14.87600,3.42000,,4.04900,10.82700,4.65500,15.48200,15.48200,15.48200,15.48200,45.56800,10.82700,36.68900,36.68900,0.42000,0.42000,0.02960,0.74400,65.92510,47.98140,47.98140,68.61070,68.61070,0.02600,2.38460,37.74300,3.37760,3.37760,1.78200,3.37760,12.49350,1.7216,1.7216
2024-06-30,22.17800,7.67600,14.50200,-2.17400,,-1.54300,16.04500,-22.57100,-6.52600,-6.52600,-6.52600,-6.52600,35.61800,16.04500,36.68900,36.68900,-0.18000,-0.18000,0.02700,0.82820,65.38910,72.34650,72.34650,-29.42560,-29.42560,0.02430,2.57850,34.90350,-1.36700,-1.36700,-0.71380,-1.36700,13.01150,0.33580,0.33580
2024-03-31,23.64800,7.75000,15.89800,6.22300,,6.82000,9.07800,13.50600,22.58400,22.58400,22.58400,22.58400,-22.20600,9.07800,34.46700,34.46700,0.62000,0.62000,0.03210,0.80850,67.22770,38.38800,38.38800,95.50070,95.50070,0.02520,2.13930,42.06950,4.58360,4.58360,2.40750,4.58360,13.42940,0.1751,0.1751
2023-12-31,23.08100,7.79500,15.28600,2.55800,,3.14700,12.13900,-5.56000,6.57900,6.57900,6.57900,6.57900,59.26200,12.13900,34.35200,34.35200,0.19000,0.19000,0.02690,0.89900,66.22760,52.59300,52.59300,28.50400,28.50400,0.02520,2.64510,34.02540,1.43040,1.43040,0.71700,1.43040,13.01030,0.6519,0.6519
2023-09-30,20.27700,7.33500,12.94200,12.36800,,12.94200,,47.35600,47.35600,47.35600,47.35600,47.35600,-48.16000,,33.81700,33.81700,1.40000,1.40000,0.02370,0.86130,63.82600,,,233.54540,233.54540,0.02180,2.48920,36.15620,9.95570,9.95570,5.10110,9.95570,14.03310,-1.7711,-1.7711
2023-06-30,20.30000,6.90900,13.39100,2.87900,,3.42400,9.96700,-1.18100,8.78600,8.78600,8.78600,8.78600,11.32100,9.96700,33.59200,33.59200,0.26000,0.26000,0.10810,0.86190,65.96550,49.09850,49.09850,43.28080,43.28080,0.02400,3.09360,29.09260,2.01310,2.01310,1.03720,2.01310,12.99220,-1.08500,-1.08500
2023-03-31,19.85700,6.77000,13.08700,1.63500,,2.08700,11.00000,-6.34200,4.65800,4.65800,4.65800,4.65800,16.59300,11.00000,33.31200,33.31200,0.15000,0.15000,0.03130,0.66540,65.90620,55.39610,55.39610,23.45770,23.45770,0.02590,2.86250,31.44130,1.05930,1.05930,0.60840,1.05930,13.09070,0.2672,0.2672
2022-12-31,21.59400,6.61000,14.98400,4.72500,,5.17700,9.80700,5.97200,15.77900,15.77900,15.77900,15.77900,6.89000,9.80700,33.31600,33.31600,0.47000,0.47000,0.02720,0.63830,69.38970,45.41540,45.41540,73.07120,73.07120,0.02800,3.66060,24.58600,3.51280,3.51280,2.04510,3.51280,13.42990,-0.1181,-0.1181
2022-09-30,20.79500,7.02900,13.76600,1.58400,,2.03400,11.73200,-8.65700,3.07500,3.07500,3.07500,3.07500,22.82100,11.73200,33.21900,33.21900,0.09000,0.09000,0.02680,0.61790,66.19860,56.41740,56.41740,14.78720,14.78720,0.02780,3.96700,22.68720,0.69500,0.69500,0.41080,0.69500,13.31340,-1.5285,-1.5285
2022-06-30,19.29700,5.99600,13.30100,4.20600,,4.65400,8.64700,3.38800,12.03500,12.03500,12.03500,12.03500,8.87800,8.64700,33.20500,33.20500,0.36000,0.36000,0.17280,0.58610,68.92780,44.81010,44.81010,62.36720,62.36720,0.02600,2.80970,32.03190,2.69600,2.69600,1.62000,2.69600,13.44400,1.24420,1.24420
