Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,19.24600,6.07100,13.17500,4.60100,,4.24700,8.92800,7.76800,16.69600,16.69600,16.69600,16.69600,-10.59400,8.92800,33.20500,33.20500,0.50000,0.50000,0.08140,0.58620,68.45580,46.38890,46.38890,86.75040,86.75050,0.02600,2.03700,44.18160,3.74490,3.74490,2.25500,3.74490,13.42660,-0.0811,-0.0811
2021-12-31,16.74200,6.27900,10.46300,3.14900,,3.59600,6.86700,3.47900,10.34600,10.34600,10.34600,10.34600,27.41100,6.86700,33.20500,33.20500,0.31000,0.31000,0.11260,0.59250,62.49550,41.01660,41.01660,61.79670,61.79670,0.02270,3.66990,24.52400,2.34820,2.34820,1.40550,2.34820,13.26880,1.3726,1.3726
2021-09-30,18.53800,6.28500,12.25300,8.47600,-0.80200,9.73000,2.52300,25.61200,28.13500,28.13500,28.13500,28.13500,-24.53300,2.52300,33.20500,33.20500,0.85000,0.85000,0.02260,0.61180,66.09670,13.60990,13.60990,151.76930,151.76930,0.02490,4.14630,21.70620,6.38410,6.38410,3.77180,6.38410,13.27210,-0.6235,-0.6235
2021-06-30,18.02600,5.89300,12.13300,13.29600,,13.75200,-1.61900,48.75800,47.13900,47.13900,47.13900,47.13900,-48.68200,-1.61900,33.20500,33.20500,1.42000,1.42000,0.15850,0.40670,67.30830,-8.98150,-8.98150,261.50560,261.50560,0.02530,4.10990,21.89840,11.20920,11.20920,6.60960,11.20920,12.66490,0.43420,0.43420
2021-03-31,16.70800,6.18300,10.52500,5.62000,-2.12300,8.20200,2.32300,18.19100,20.51400,20.51400,20.51400,20.51400,-0.55700,2.32300,33.17700,33.17700,0.61880,0.61880,0.04110,0.39590,62.99380,13.90350,13.90350,122.77950,122.77950,0.02600,3.68590,24.41770,5.36500,5.36500,3.18670,5.36500,11.51530,0.0843,0.0843
2020-12-31,17.37200,5.60600,11.76600,4.25200,-2.29100,6.99400,4.77200,10.49900,15.27100,15.27100,15.27100,15.27100,5.30700,4.77200,33.20500,33.20500,0.46000,0.46000,0.08580,0.24160,67.72970,27.46950,27.46950,87.90580,87.90580,0.02790,2.82290,31.88230,4.14050,4.14050,2.45630,4.14050,11.10750,0.8079,0.8079
2020-09-30,11.84000,5.38000,6.46000,1.23000,-2.15800,3.85400,2.60600,4.02400,6.63000,6.63000,6.63000,6.63000,1.42700,2.60600,33.20500,33.20500,0.20000,0.20000,0.12940,0.33760,54.56080,22.01010,22.01010,55.99660,55.99660,0.01880,0.82380,109.25420,1.83900,1.83900,1.05530,1.83900,10.85760,-1.6334,-1.6334
2020-06-30,10.70700,5.58200,5.12500,0.00300,-2.10200,2.47900,2.64600,-2.60700,0.03900,0.03900,0.03900,0.03900,7.90200,2.64600,33.09200,33.09200,0.00120,0.00120,0.09260,0.17900,47.86590,24.71280,24.71280,0.36420,0.36420,0.01880,2.81470,31.97530,0.01080,0.01080,0.00680,0.01080,10.86790,-0.15500,-0.15500
2020-03-31,11.98200,5.47600,6.50600,-7.94200,-2.09000,-5.47900,11.98500,-49.58700,-37.60200,-37.60200,-37.60200,-37.60200,43.59300,11.98500,32.86600,32.86600,-1.15000,-1.15000,0.13050,0.14710,54.29810,100.02500,100.02500,-313.82060,-313.82070,0.02080,2.85290,31.54730,-10.18940,-10.18940,-6.52390,-10.18940,11.16620,-1.5561,-1.5561
2019-12-31,15.99600,5.51700,10.47900,3.50600,-2.08900,5.96800,4.51100,8.80700,13.31800,13.31800,13.31800,13.31800,51.61500,4.51100,32.82200,32.82200,0.41000,0.41000,0.50010,0.02270,65.51010,28.20080,28.20080,83.25830,83.25830,0.02740,3.12970,28.75660,3.24440,3.24440,2.28500,3.24440,12.50680,1.8993,1.8993
2019-09-30,16.63600,5.62700,11.00900,2.95700,-2.09000,5.42000,5.58900,5.41500,11.00400,11.00400,11.00400,11.00400,6.12200,5.58900,32.82200,32.82200,0.34000,0.34000,0.10750,0.12800,66.17580,33.59580,33.59580,66.14570,66.14570,0.02680,3.65710,24.60990,2.70480,2.70480,1.77550,2.70480,12.39500,1.0453,1.0453
2019-06-30,17.31000,5.74100,11.56900,2.16600,-2.09000,4.62900,6.94000,-0.89400,6.04600,6.04600,6.04600,6.04600,7.30800,6.94000,32.82200,32.82200,0.18000,0.18000,0.07340,0.19550,66.83420,40.09240,40.09240,34.92780,34.92780,0.02700,4.73210,19.01910,1.49840,1.49840,0.94180,1.49840,12.29380,-0.31420,-0.31420
2019-03-31,16.10300,5.51100,10.59200,3.90400,-4.34100,8.61800,1.97400,0.43400,2.40800,2.40800,2.40800,2.40800,-17.83700,1.97400,32.80800,32.80800,0.07000,0.07000,0.09160,0.14270,65.77660,12.25850,12.25860,14.95370,14.95370,0.02540,3.93430,22.87590,0.59150,0.59150,0.37920,0.59150,12.40360,0.0957,0.0957
2018-12-31,14.96500,5.56500,9.40000,4.20400,-2.08900,6.66600,2.73400,13.75700,16.49100,16.49100,16.49100,16.49100,3.10200,2.73400,32.82200,32.82200,0.50000,0.50000,0.12420,0.13420,62.81320,18.26930,18.26930,110.19710,110.19710,0.02420,2.80450,32.09090,4.00850,4.00850,2.66150,4.00850,12.53430,2.2969,2.2969
2018-09-30,13.09100,5.54000,7.55100,9.44400,-2.31700,12.25800,-4.70700,35.07100,30.36400,30.36400,30.36400,30.36400,-4.62100,-4.70700,32.82200,32.82200,0.93000,0.93000,0.05130,0.29930,57.68090,-35.95600,-35.95600,231.94560,231.94560,0.01940,3.27030,27.52040,7.52380,7.52380,4.49570,7.52380,12.29580,0.1347,0.1347
2018-06-30,15.50400,5.54700,9.95700,8.23900,,8.60600,1.35100,30.97600,32.32700,32.32700,32.32700,32.32700,1.62000,1.35100,32.76300,32.76300,0.99000,0.99000,0.06720,0.28440,64.22220,8.71390,8.71390,208.50750,208.50750,0.02430,3.18100,28.29330,8.51140,8.51140,5.05870,8.51140,11.57180,0.32610,0.32610
2018-03-31,15.41900,5.20300,10.21600,5.63100,-2.25200,8.25100,1.96500,19.88100,21.84600,21.84600,21.84600,21.84600,2.57100,1.96500,32.26900,32.26900,0.67000,0.67000,0.08150,0.31790,66.25590,12.74400,12.74400,141.68230,141.68240,0.02520,2.63300,34.18120,6.16770,6.16770,3.57600,6.16770,10.84710,-0.1452,-0.1452
2017-12-31,16.18400,4.82800,11.35600,2.80600,-2.25100,5.42300,5.93300,11.21100,17.14400,17.14400,17.14400,17.14400,6.55200,5.93300,32.52600,32.52600,0.53000,0.53000,0.11230,0.30220,70.16810,36.65970,36.65970,105.93180,105.93180,0.02790,1.83100,49.15410,5.08130,5.08130,2.95270,5.08130,10.37320,-0.9622,-0.9622
2017-09-30,13.13200,4.50000,8.63200,1.92100,-2.25100,4.53900,4.09300,9.46300,13.55600,13.55600,13.55600,13.55600,4.45600,4.09300,32.52600,32.52600,0.42000,0.42000,0.11230,0.18810,65.73260,31.16810,31.16810,103.22870,103.22870,0.02480,2.97240,30.27870,4.12600,4.12600,2.55910,4.12600,10.10110,-0.6509,-0.6509
2017-06-30,13.62000,4.70600,8.91400,2.24400,-2.25100,4.86200,4.05200,4.08900,8.14100,8.14100,8.14100,8.14100,4.41700,4.05200,31.47400,31.47400,0.26000,0.26000,0.25880,0.12170,65.44790,29.75040,29.75040,59.77240,59.77240,0.02720,3.17560,28.34140,2.53430,2.53430,1.62710,2.53430,9.87630,0.83700,0.83700
2017-03-31,12.36400,4.47600,7.88800,1.72900,-2.25200,4.34800,3.54000,5.83600,9.37600,9.37600,9.37600,9.37600,3.83200,3.54000,30.27100,30.27100,0.31000,0.31000,0.11170,0.24840,63.79810,28.63150,28.63150,75.83300,75.83310,0.02400,2.72160,33.06940,3.11410,3.11410,1.81990,3.11410,9.94620,-0.7045,-0.7045
2016-12-31,13.37400,4.51200,8.86200,2.24900,-2.25100,5.04600,3.81600,7.13900,10.95500,10.95500,10.95500,10.95500,-1.57200,3.81600,30.27100,30.27100,0.36000,0.36000,0.18070,0.16410,66.26290,28.53300,28.53300,81.91270,81.91270,0.02750,3.08580,29.16560,3.68380,3.68380,2.25410,3.68380,9.82400,0.8613,0.8613
2016-09-30,11.74400,4.68000,7.06400,1.23900,-2.11500,3.83500,3.22900,-3.33100,-0.10200,-0.10200,-0.10200,-0.10200,8.73100,3.22900,30.27100,30.27100,0.00000,0.00000,0.15250,0.23480,60.14990,27.49490,27.49490,-0.86850,-0.86850,0.02350,2.51960,35.71950,-0.03490,-0.03490,-0.02040,-0.03490,9.64960,0.1966,0.1966
2016-06-30,14.39300,4.68100,9.71200,1.90100,-2.06500,4.44700,5.26500,19.26900,24.53400,24.53400,24.53400,24.53400,6.65900,5.26500,30.27100,30.27100,0.81000,0.81000,0.11980,0.28430,67.47720,36.58030,36.58030,170.45790,170.45790,0.02840,3.67640,24.48070,8.23620,8.23620,4.83870,8.23620,9.84040,0.72360,0.72360
2016-03-31,12.44100,4.70900,7.73200,1.51300,-2.06500,4.05800,3.67400,18.94400,22.61800,22.61800,22.61800,22.61800,-13.54700,3.67400,30.26800,30.26800,0.75000,0.75000,0.09690,0.35870,62.14940,29.53140,29.53140,181.80210,181.80210,0.02470,2.80960,32.03280,8.10620,8.10620,4.49600,8.10620,9.21750,-0.0425,-0.0425
2015-12-31,12.06800,4.73800,7.33000,1.76500,-2.06600,4.31600,3.01400,-9.22700,-6.21300,-6.21300,-6.21300,-6.21300,12.26700,3.01400,30.27100,30.27100,-0.21000,-0.21000,0.10920,0.35980,60.73920,24.97510,24.97510,-51.48330,-51.48330,0.02460,2.63150,34.20120,-2.37070,-2.37070,-1.26460,-2.37070,8.65780,0.6583,0.6583
2015-09-30,13.74000,4.74800,8.99200,1.90800,-2.06500,4.45600,4.53600,-4.64600,-0.11000,-0.11000,-0.11000,-0.11000,8.41200,4.53600,30.27100,30.27100,0.00000,0.00000,0.09650,0.39640,65.44400,33.01310,33.01310,-0.80060,-0.80060,0.02700,3.09530,29.07640,-0.04020,-0.04020,-0.02160,-0.04020,9.05050,-0.2795,-0.2795
2015-06-30,12.70600,4.80900,7.89700,1.84700,-1.76700,4.07400,3.82300,4.73600,8.55900,8.55900,8.55900,8.55900,1.08600,3.82300,30.26000,30.26000,0.28000,0.28000,0.13120,0.33900,62.15170,30.08820,30.08820,67.36190,67.36190,0.02530,2.12870,42.28000,3.05950,3.05950,1.70570,3.05950,9.24170,-0.20140,-0.20140
2015-03-31,11.17300,4.19800,6.97500,1.54000,-1.41100,3.34000,3.63500,25.52300,29.15800,29.15800,29.15800,29.15800,9.49800,3.63500,26.66600,26.66600,1.08000,1.08000,0.09110,0.45310,62.42730,32.53380,32.53380,260.96840,260.96840,0.02310,1.75150,51.38370,10.66380,10.66380,6.03030,10.66380,9.18290,-1.5196,-1.5196
2014-12-31,11.56200,3.51100,8.05100,1.84300,-1.08500,3.33200,4.71900,2.87000,7.58900,7.58900,7.58900,7.58900,3.61500,4.71900,26.47600,26.47600,0.29000,0.29000,0.11700,0.44590,69.63330,40.81470,40.81470,65.63740,65.63740,0.02810,2.82000,31.91490,3.35390,3.35390,1.84180,3.35390,8.54630,-1.5023,-1.5023
2014-09-30,9.07100,3.41600,5.65500,1.50100,-0.71200,2.49500,3.16000,-0.46300,2.69700,2.69700,2.69700,2.69700,4.48600,3.16000,26.47600,26.47600,0.10000,0.10000,0.09840,0.41310,62.34150,34.83630,34.83630,29.73210,29.73210,0.02510,3.13880,28.67380,1.19990,1.19990,0.74670,1.19990,8.48970,-0.7362,-0.7362
2014-06-30,9.83700,3.27800,6.55900,1.51200,-0.71300,2.47900,4.08000,6.69000,10.77000,10.77000,10.77000,10.77000,-1.12600,4.08000,26.47600,26.47600,0.41000,0.41000,0.16760,0.30000,66.67680,41.47610,41.47610,109.48460,109.48460,0.02910,3.58620,25.09610,4.74780,4.74780,3.18240,4.74780,8.56780,0.09980,0.09980
2014-03-31,8.81100,3.10100,5.71000,1.26500,1.42500,0.10200,5.60800,-4.67100,0.93700,0.93700,0.93700,0.93700,-23.88700,5.60800,26.47600,26.47600,0.03000,0.03000,0.18690,0.30200,64.80530,63.64770,63.64770,10.63450,10.63440,0.02660,2.94390,30.57200,0.42430,0.42430,0.28330,0.42430,8.34100,-0.8409,-0.8409
2013-12-31,8.69600,3.17200,5.52400,1.62300,-0.71300,2.59800,2.92600,-13.61200,-10.68600,-10.68600,-10.68600,-10.68600,5.94300,2.92600,26.47600,26.47600,-0.40000,-0.40000,0.44540,0.22120,63.52350,33.64770,33.64770,-122.88410,-122.88410,0.02740,3.26060,27.60240,-4.75640,-4.75640,-3.36510,-4.75640,8.48560,-0.5588,-0.5588
2013-09-30,11.35900,2.99200,8.36700,2.02400,-0.71200,2.99200,5.37500,9.56400,14.93900,14.93900,14.93900,14.93900,20.86900,5.37500,26.47600,26.47600,0.57000,0.57000,0.85700,0.25410,73.65970,47.31930,47.31930,131.51690,131.51690,0.03270,4.50040,19.99820,6.18750,6.18750,4.30400,6.18750,9.11920,1.2803,1.2803
2013-06-30,7.39800,2.93600,4.46200,0.53000,,0.77400,3.68800,-10.20700,-6.51900,-6.51900,-6.51900,-6.51900,15.33800,3.68800,26.47600,26.47600,-0.25000,-0.25000,0.49400,0.34720,60.31360,49.85130,49.85130,-88.11840,-88.11840,0.02100,2.21030,40.71780,-2.82850,-2.82850,-1.84700,-2.82850,8.70490,-1.15010,-1.15010
2013-03-31,10.47500,5.56100,4.91400,1.76400,2.17900,-0.22100,5.13500,10.81500,15.95000,15.95000,15.95000,15.95000,-3.97400,5.13500,24.18900,24.18900,0.68000,0.68000,0.91130,0.39370,46.91170,49.02150,49.02150,152.26730,152.26730,0.02760,3.50800,25.65540,6.61930,6.61930,4.19950,6.61930,9.10120,0.3996,0.3996
2012-12-31,7.18400,1.66000,5.52400,0.86600,-0.71200,1.77200,3.75200,0.94700,4.69900,4.69900,4.69900,4.69900,3.29400,3.75200,26.14700,26.14700,0.18000,0.18000,0.90700,0.32570,76.89310,52.22720,52.22720,65.40920,65.40920,0.02080,0.58180,154.69380,2.05130,2.05130,1.35860,2.05130,8.65200,0.1486,0.1486
2012-09-30,6.97400,1.67400,5.30000,0.96400,-0.71300,1.88000,3.42000,-3.77300,-0.35300,-0.35300,-0.35300,-0.35300,8.67600,3.42000,22.08000,22.08000,-0.02000,-0.02000,0.76150,0.67810,75.99660,49.03930,49.03930,-5.06170,-5.06170,0.01870,0.73820,121.91430,-0.17900,-0.17900,-0.09450,-0.17900,8.93220,-1.9326,-1.9326
2012-06-30,5.90500,1.56800,4.33700,0.27800,-0.75400,1.23200,3.10500,-6.12200,-3.01700,-3.01700,-3.01700,-3.01700,9.02200,3.10500,22.08000,22.08000,-0.13000,-0.13000,1.07930,0.53510,73.44620,52.58260,52.58260,-51.09230,-51.09230,0.01690,2.32110,38.77390,-1.50180,-1.50180,-0.86110,-1.50180,9.09810,-0.25820,-0.25820
2012-03-31,5.77700,1.52900,4.24800,0.29200,-0.15900,0.58800,3.66000,-4.07100,-0.41100,-0.41100,-0.41100,-0.41100,10.86300,3.66000,22.08000,22.08000,-0.02000,-0.02000,1.24640,0.36680,73.53300,63.35470,63.35470,-7.11440,-7.11440,0.01780,2.08030,43.26290,-0.19830,-0.19830,-0.12630,-0.19830,9.38480,0.0093,0.0093
2011-12-31,5.16900,1.46100,3.70800,0.32000,,0.42600,3.28200,2.21300,5.49500,5.49500,5.49500,5.49500,1.23000,3.28200,22.08000,22.08000,0.25000,0.25000,0.85050,0.49760,71.73530,63.49390,63.49390,106.30680,106.30680,0.01620,2.77310,32.45500,2.59690,2.59690,1.72460,2.59690,9.58340,-0.1766,-0.1766
2011-09-30,5.03400,1.30300,3.73100,0.59200,,0.70000,3.03100,9.66400,12.69500,12.69500,12.69500,12.69500,-6.83000,3.03100,22.08000,22.08000,0.57000,0.57000,0.89670,0.40070,74.11600,60.21060,60.21060,252.18510,252.18510,0.01700,2.40860,37.36590,6.06200,6.06200,4.29810,6.06200,9.48460,-1.6445,-1.6445
2011-06-30,5.26200,1.36800,3.89400,0.36900,-0.03900,0.51600,3.37800,0.80900,4.18700,4.18700,4.18700,4.18700,8.53800,3.37800,22.08000,22.08000,0.19000,0.19000,1.85330,0.20000,74.00230,64.19610,64.19610,79.57050,79.57050,0.02170,2.18520,41.18590,2.09310,2.09310,1.72920,2.09310,9.05960,-0.39250,-0.39250
2011-03-31,3.77800,1.34800,2.43000,0.99200,,1.10000,1.33000,1.46500,2.79500,2.79500,2.79500,2.79500,0.57700,1.33000,22.08000,22.08000,0.12000,0.12000,2.12070,0.20120,64.31980,35.20380,35.20380,73.98090,73.98090,0.01570,2.36720,38.02010,1.40570,1.40570,1.15920,1.40570,9.00490,1.753,1.753
2010-12-31,10.73700,1.20300,9.53400,1.92400,0.00000,2.04000,7.49400,7.64100,15.13500,15.13500,15.13500,15.13500,6.58000,7.49400,22.08000,22.08000,0.69000,0.69000,1.55280,0.37950,88.79580,69.79600,69.79600,140.96120,140.96120,0.03860,0.26160,343.98160,7.61770,7.61770,5.44540,7.61770,8.99830,-1.4532,-1.4532
2010-09-30,4.30100,1.32800,2.97300,0.11500,,0.21800,2.75500,-9.61400,-6.85900,-6.85900,-6.85900,-6.85900,12.16100,2.75500,22.08000,22.08000,-0.31000,-0.31000,2.59280,0.13430,69.12350,64.05490,64.05490,-159.47450,-159.47450,0.02020,1.87650,47.96090,-3.68370,-3.68370,-3.21550,-3.68370,8.43280,0.6398,0.6398
2010-06-30,7.24800,1.32600,5.92200,1.15600,0.00000,1.32000,4.60200,0.76600,5.36800,5.36800,5.36800,5.36800,20.58300,4.60200,22.08000,22.08000,0.24000,0.24000,1.46750,0.46750,81.70530,63.49340,63.49340,74.06180,74.06180,0.02490,0.39820,226.04300,2.74290,2.74290,1.84520,2.74290,8.86350,2.09830,2.09830
2010-03-31,4.75200,1.12900,3.62300,0.98800,0.07100,1.34700,2.27600,18.35300,20.62900,20.62900,20.62900,20.62900,-15.09700,2.27600,22.08000,22.08000,0.94000,0.94000,0.86520,0.53280,76.24160,47.89560,47.89560,434.11190,434.11190,0.01600,2.19090,41.07950,10.68980,10.68980,6.94200,10.68980,8.73990,0.0656,0.0656
2009-12-31,5.92100,1.38500,4.53600,0.63700,-0.07100,1.14400,3.39200,-7.81200,-4.42000,-4.42000,-4.42000,-4.42000,10.04300,3.39200,22.08000,22.08000,-0.20000,-0.20000,0.87650,0.58220,76.60870,57.28760,57.28760,-74.64960,-74.64960,0.02130,2.76810,32.51310,-2.52570,-2.52570,-1.58830,-2.52570,7.92580,0.6123,0.6123
2009-09-30,4.94300,1.46600,3.47700,,,0.43800,3.03900,-21.12900,-18.09000,-18.09000,-18.09000,-18.09000,23.74300,3.03900,22.08000,22.08000,-0.82000,-0.82000,0.79260,0.61130,70.34190,61.48090,61.48090,-365.97210,-365.97210,0.01680,2.30550,39.03700,-9.93710,-9.93710,-6.14570,-9.93710,8.24480,0.2438,0.2438
2009-06-30,5.16900,1.80600,3.36300,,,0.31400,3.04900,-12.23900,-9.19000,-9.19000,-9.19000,-9.19000,-19.61800,3.04900,22.08000,22.08000,-0.42000,-0.42000,0.77360,0.55160,65.06090,58.98630,58.98630,-177.79070,-177.79070,0.01640,2.18290,41.23040,-4.52870,-4.52870,-2.91020,-4.52870,9.19070,3.57430,3.57430
2009-03-31,5.95600,2.00500,3.95100,,,0.97600,2.97500,-6.95600,-3.98100,-3.98100,-3.98100,-3.98100,9.14200,2.97500,21.54600,21.54600,-0.17000,-0.17000,0.10220,0.51330,66.33640,49.94960,49.94960,-66.84010,-66.84020,0.01820,1.41610,63.55610,-1.85330,-1.85330,-1.21800,-1.85330,9.72840,0.6317,0.6317
