Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,134.85600,,134.85600,30.15400,-0.32400,,93.12000,-0.38900,92.73100,92.73100,92.73100,85.36500,104.64900,93.12000,210.68700,210.68700,0.41000,0.41000,5.61490,,,100.00000,69.05140,69.05140,68.76300,63.30090,0.11120,1.97970,45.46120,10.68550,7.93730,7.64590,7.93730,5.54520,0.4426,0.4529
2024-06-30,109.62400,,109.62400,29.45700,-0.32100,,68.49000,-0.16800,68.32200,68.32200,68.32200,60.95600,80.11400,68.49000,210.70300,210.70300,0.29000,0.29000,4.23170,,,100.00000,62.47720,62.47720,62.32390,55.60460,0.09010,1.48490,60.60950,7.94450,5.88750,5.61440,5.88750,5.50810,0.4763,0.4706
2024-03-31,105.49300,,105.49300,29.56300,-0.31700,,63.97400,-0.04700,63.92700,63.92700,63.92700,56.56000,75.88100,63.97400,210.65400,210.65400,0.27000,0.27000,5.33840,,,100.00000,60.64290,60.64290,60.59830,53.61490,0.08570,1.45650,61.79100,7.30320,5.43690,5.19020,5.43690,5.58160,0.49590,0.49110
2023-12-31,190.84100,,190.84100,31.19800,-0.29300,,147.60200,0.04500,147.64700,147.64700,147.64700,141.62100,159.61400,147.60200,209.97000,225.10500,0.67000,0.66000,7.47510,,,100.00000,77.34290,77.34290,77.36650,74.20890,0.15060,2.32020,38.79030,16.07990,12.12860,11.65430,12.12860,5.79710,0.4719,0.4683
2023-09-30,109.79700,,109.79700,35.21500,-0.18100,,62.03400,0.03300,62.06700,62.06700,62.06700,56.81700,74.66300,62.03400,209.98200,209.98200,0.27000,0.27000,4.94160,,,100.00000,56.49880,56.49880,56.52890,51.74730,0.08900,1.25160,71.90770,7.09320,5.28960,5.02980,5.28960,5.58790,0.5558,0.5491
2023-06-30,117.00000,,117.00000,27.56800,-0.25000,,78.76100,-0.36900,78.39200,78.39200,78.39200,73.14200,89.44000,78.76100,209.96700,209.96700,0.35000,0.35000,10.25890,,,100.00000,67.31710,67.31710,67.00170,62.51450,0.09360,1.61680,55.66460,8.56860,6.46140,6.26960,6.46140,5.77820,0.6781,0.6743
2023-03-31,174.57800,,174.57800,27.98700,-0.24500,,135.19900,-0.75600,134.44300,134.44300,134.44300,129.19300,146.60100,135.19900,209.94100,224.91000,0.62000,0.60000,14.37540,,,100.00000,77.44330,77.44330,77.01030,74.00300,0.13730,1.85350,48.55560,14.30450,10.85770,10.57220,10.85770,5.89740,0.60980,0.60110
2022-12-31,230.37900,,230.37900,32.37500,-0.24500,,184.97300,-1.75400,183.21900,183.21900,183.21900,177.96900,198.67200,184.97300,209.38200,224.44600,0.86000,0.84000,5.64130,0.00820,0.00830,100.00000,80.29070,80.29080,79.52940,77.25050,0.18120,1.69770,53.01150,20.10190,15.14440,14.41440,15.02030,5.77730,0.6966,0.6942
2022-09-30,216.42900,,216.42900,33.80600,-0.20900,,170.20600,-1.73100,168.47500,168.47500,168.47500,163.22500,182.76100,170.20600,209.40200,224.37100,0.78000,0.75000,2.25030,0.05080,0.05350,100.00000,78.64290,78.64290,77.84310,75.41730,0.17030,1.37080,65.65590,20.46520,15.02110,13.25820,14.25840,5.35610,0.4832,0.4814
2022-06-30,180.37200,,180.37200,35.22400,-0.18800,,133.06700,-1.27900,131.78800,131.78800,131.78800,126.53800,145.30700,133.06700,209.39700,224.36600,0.60000,0.59000,1.24580,0.07620,0.08250,100.00000,73.77360,73.77360,73.06460,70.15390,0.14170,1.28320,70.13960,17.70570,12.63930,10.35510,11.67620,4.97940,0.3192,0.3191
