Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2369.00000,1948.00000,421.00000,-173.00000,192.00000,229.00000,229.00000,48.00000,181.00000,181.00000,,181.00000,269.00000,248.00000,83.90000,83.90000,2.16000,2.16000,0.23860,0.31330,9.66650,10.46860,9.66650,7.64040,0.07270,3.84450,4.11080,0.55540,2.92740,56.09900,5.4708,5.1251
2024-06-30,1900.00000,1443.00000,457.00000,-167.00000,186.00000,271.00000,271.00000,62.00000,209.00000,209.00000,,209.00000,309.00000,290.00000,83.90000,83.90000,2.49000,2.49000,0.25170,0.33650,14.26320,15.26320,14.26320,11.00000,0.06350,4.76730,5.12380,0.69870,3.56720,52.25460,-1.0504,-1.1452
2024-03-31,1906.00000,1415.00000,491.00000,-168.00000,187.00000,304.00000,304.00000,62.00000,242.00000,242.00000,,242.00000,343.00000,323.00000,83.70000,83.80000,2.89000,2.89000,0.25810,0.34790,15.94960,16.94650,15.94960,12.69680,0.06350,5.70750,6.14990,0.80660,4.23450,50.56230,1.27690,0.82340
2023-12-31,2083.00000,1549.00000,534.00000,-180.00000,199.00000,335.00000,335.00000,72.00000,263.00000,263.00000,,263.00000,372.00000,354.00000,84.70000,84.80000,3.12000,3.13000,0.25730,0.34640,16.08260,16.99470,16.08260,12.62600,0.06990,6.17660,6.65320,0.88290,4.58750,50.91110,8.8982,8.5332
2023-09-30,2164.00000,1736.00000,428.00000,-190.00000,209.00000,219.00000,219.00000,42.00000,177.00000,177.00000,,177.00000,259.00000,238.00000,84.60000,84.70000,2.10000,2.09000,0.27020,0.37030,10.12020,10.99820,10.12020,8.17930,0.07020,4.44610,4.81500,0.57420,3.24470,47.31630,8.2531,8.1683
2023-06-30,1840.00000,1390.00000,450.00000,-176.00000,195.00000,255.00000,255.00000,55.00000,200.00000,200.00000,,200.00000,293.00000,274.00000,85.10000,85.20000,2.35000,2.34000,0.26960,0.36910,13.85870,14.89130,13.85870,10.86960,0.06330,5.00880,5.33760,0.68850,3.65830,47.05450,1.3608,1.1375
2023-03-31,1740.00000,1293.00000,447.00000,-164.00000,183.00000,264.00000,264.00000,52.00000,212.00000,212.00000,,212.00000,303.00000,283.00000,85.20000,85.40000,2.49000,2.49000,0.27270,0.37500,15.17240,16.26440,15.17240,12.18390,0.06110,5.37930,5.73750,0.74440,3.91220,46.27110,4.71900,4.57850
2022-12-31,1929.00000,1413.00000,516.00000,-150.00000,170.00000,346.00000,346.00000,70.00000,276.00000,276.00000,,276.00000,388.00000,366.00000,85.10000,85.30000,3.24000,3.24000,0.26960,0.36920,17.93680,18.97360,17.93680,14.30790,0.06690,6.81150,7.25170,0.95730,4.97480,47.55650,1.3039,1.1392
2022-09-30,1984.00000,1621.00000,363.00000,-134.00000,153.00000,210.00000,210.00000,45.00000,165.00000,165.00000,,165.00000,254.00000,229.00000,85.20000,85.40000,1.93000,1.93000,0.28050,0.38990,10.58470,11.54230,10.58470,8.31650,0.06720,4.19630,4.47640,0.55870,3.01920,46.18220,6.1873,6.1058
2022-06-30,1539.00000,1206.00000,333.00000,-104.00000,127.00000,206.00000,206.00000,39.00000,167.00000,167.00000,,167.00000,256.00000,229.00000,85.10000,85.30000,1.97000,1.96000,0.27490,0.37910,13.38530,14.87980,13.38530,10.85120,0.05480,4.10620,4.37060,0.59460,2.97740,47.76050,0.122,-0.0066
2022-03-31,1588.00000,1107.00000,481.00000,-97.00000,120.00000,361.00000,361.00000,71.00000,290.00000,290.00000,,290.00000,410.00000,384.00000,85.00000,85.20000,3.41000,3.40000,0.28390,0.39650,22.73300,24.18140,22.73300,18.26200,0.05520,5.99790,6.31950,1.00830,4.29500,56.81350,5.90380,5.63380
2021-12-31,1758.00000,1182.00000,576.00000,-108.00000,131.00000,445.00000,445.00000,90.00000,355.00000,355.00000,,355.00000,495.00000,468.00000,85.10000,85.60000,4.21000,4.20000,0.28150,0.39190,25.31290,26.62120,25.31290,20.19340,0.06080,7.08300,7.44860,1.22710,5.08890,59.01960,3.298,3.4398
2021-09-30,1754.00000,1371.00000,383.00000,-92.00000,116.00000,267.00000,267.00000,48.00000,219.00000,219.00000,,219.00000,318.00000,291.00000,84.80000,85.20000,2.57000,2.56000,0.57180,1.33550,15.22240,16.59070,15.22240,12.48580,0.05860,4.17940,4.32460,0.73140,1.78950,61.79610,5.3936,5.357
2021-06-30,1531.00000,1104.00000,427.00000,-116.00000,139.00000,288.00000,288.00000,48.00000,240.00000,240.00000,762.00000,1002.00000,345.00000,311.00000,85.00000,85.60000,11.78000,11.70000,0.55520,1.24830,18.81120,20.31350,18.81120,65.44740,0.05320,4.28490,4.42400,0.83390,1.90580,66.11660,4.0916,3.9496
2021-03-31,1509.00000,1047.00000,462.00000,-103.00000,127.00000,335.00000,335.00000,68.00000,267.00000,267.00000,152.00000,419.00000,458.00000,359.00000,85.90000,86.60000,4.88000,4.84000,0.22700,0.29360,22.20010,23.79060,22.20010,27.76670,0.02030,3.99400,4.10200,0.35990,3.08740,78.53070,7.24020,7.09010
2020-12-31,1713.00000,1220.00000,493.00000,-125.00000,149.00000,344.00000,344.00000,77.00000,267.00000,267.00000,427.00000,692.00000,419.00000,368.00000,88.70000,89.20000,7.75000,7.71000,0.22430,0.28910,20.08170,21.48280,20.08170,40.39700,0.02320,3.93280,4.03750,0.36220,3.05070,78.62640,5.3093,5.0768
2020-09-30,1556.00000,1369.00000,187.00000,-123.00000,147.00000,40.00000,40.00000,-48.00000,88.00000,88.00000,76.00000,164.00000,233.00000,64.00000,88.20000,88.50000,1.86000,1.86000,0.24950,0.33250,2.57070,4.11310,2.57070,10.53990,0.02130,1.38800,1.43490,0.12040,1.04170,72.65060,7.086,6.8797
2020-06-30,1445.00000,1180.00000,265.00000,-102.00000,125.00000,140.00000,140.00000,37.00000,103.00000,103.00000,64.00000,177.00000,129.00000,163.00000,89.70000,90.00000,1.98000,1.97000,0.23790,0.31210,9.68860,11.28030,9.68860,12.24910,0.02040,1.68140,1.74020,0.14530,1.28140,69.09620,6.1863,6.0971
2020-03-31,1055.00000,1127.00000,-72.00000,-96.00000,113.00000,-185.00000,-185.00000,-41.00000,-144.00000,-144.00000,-160.00000,-301.00000,-55.00000,-168.00000,90.30000,90.30000,-3.34000,-3.34000,0.22590,0.29190,-17.53560,-15.92420,-17.53560,-28.53080,0.01560,-2.85320,-2.97520,-0.21290,-2.20860,56.18580,5.89150,5.80290
