Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,431.30600,2.68400,428.62200,32.02800,32.02800,396.59400,-451.82500,-55.23100,0.61300,-55.84400,-55.84400,,-56.38400,391.63100,396.59400,173.63700,173.63700,-0.32000,-0.32000,0.81700,4.46490,91.95190,91.95190,-12.80550,-13.07290,0.02010,-1.44660,-1.44660,-0.26040,-0.26470,22.31600,0.5038,0.5038
2024-06-30,466.15200,0.96300,465.18900,32.38600,32.38600,432.80300,-491.78800,-58.98500,1.21700,-60.20200,-60.20200,,-61.05700,426.48000,432.80300,173.96700,173.96700,-0.35000,-0.35000,0.82110,4.58840,92.84590,92.84590,-12.65360,-13.09810,0.02060,-1.50330,-1.50330,-0.26590,-0.26900,23.06540,0.5761,0.5761
2024-03-31,486.12200,,486.12200,32.65500,,453.46700,-575.63500,-122.16800,1.00200,-123.17000,-123.17000,,-123.83800,447.58400,453.46700,174.04200,174.04200,-0.71000,-0.71000,0.81900,4.52470,93.28260,93.28260,-25.13110,-25.47470,0.02090,-2.95760,-2.95760,-0.52940,-0.53530,23.99200,0.54360,0.54360
2023-12-31,505.00300,,505.00300,39.59700,,465.40600,-466.42310,-1.01700,0.69900,-1.71600,-1.71600,,-2.37700,458.95500,465.40590,172.67200,172.67200,-0.01000,0.01000,0.81470,4.39570,92.15910,92.15900,-0.20140,-0.47070,0.02100,-0.03910,-0.03910,-0.00710,-0.00720,25.33060,0.6435,0.6435
2023-09-30,519.34200,,519.34200,40.88300,,478.45900,-446.33100,32.12800,1.56800,30.56000,30.56000,,29.52400,474.83800,478.45900,172.64800,172.64800,0.17000,0.17000,0.81090,4.28880,92.12790,92.12790,6.18630,5.68490,0.02160,0.68010,0.68010,0.12710,0.12860,26.08020,0.7111,0.7111
2023-06-30,521.89200,,521.89200,45.83700,,476.05500,-372.35600,103.69900,1.20200,102.49700,102.49700,,101.65100,468.90700,476.05500,172.61500,180.88600,0.59000,0.58000,0.81410,4.38060,91.21720,91.21720,19.86980,19.47740,0.02100,2.24470,2.24470,0.41230,0.41720,26.49990,0.6966,0.6966
2023-03-31,491.38400,,491.38400,43.91500,,447.46900,-327.02000,120.44900,1.89300,118.55600,118.55600,,117.75700,440.52500,447.46900,172.59800,180.86900,0.68000,0.67000,0.81830,4.50410,91.06300,91.06300,24.51220,23.96440,0.01940,2.59950,2.59950,0.46700,0.47230,26.47200,0.60610,0.60610
2022-12-31,462.27800,,462.27800,48.32200,,413.95600,-460.00700,-46.05100,0.93900,-46.99000,-46.99000,,-47.54100,406.05800,413.95600,170.63100,170.63100,-0.28000,-0.25000,0.81770,4.48550,89.54700,89.54700,-9.96180,-10.28410,0.01820,-1.03410,-1.03410,-0.18530,-0.18850,26.46660,0.8869,0.8869
2022-09-30,358.55700,,358.55700,38.84300,,319.71400,-214.62300,105.09100,1.17200,103.91900,103.91900,,103.24600,312.56500,319.71400,170.97200,185.31600,0.60000,0.59000,0.80950,4.24970,89.16690,89.16690,29.30940,28.79490,0.01450,2.21860,2.21860,0.41910,0.42260,27.40790,0.4463,0.4463
2022-06-30,283.68700,,283.68700,39.47400,,244.21300,-149.60200,94.61100,0.74600,93.86500,93.86500,,93.25000,235.57500,244.21300,170.66600,185.01000,0.55000,0.54000,0.81510,4.40730,86.08540,86.08540,33.35050,32.87070,0.01110,2.01300,2.01300,0.36890,0.37230,27.38180,0.4793,0.4793
2022-03-31,234.43200,,234.43200,35.84600,,198.58600,-98.17700,100.40900,0.14600,100.26300,100.26300,,99.68700,190.54300,198.58600,169.25400,175.60300,0.59000,0.58000,0.80440,4.11340,84.70940,84.70940,42.83080,42.52280,0.00970,2.14700,2.14700,0.41660,0.41990,27.42400,0.51310,0.51310
2021-12-31,270.74900,,270.74900,39.43400,,231.31500,-106.37700,124.93800,0.07700,124.86100,124.86100,,123.93900,217.01300,231.31500,151.52200,151.52200,0.78000,0.78000,0.79450,3.86540,85.43520,85.43520,46.14530,45.77630,0.01190,2.70340,2.70340,0.55000,0.55560,27.46290,0.8152,0.8152
2021-09-30,200.11400,,200.11400,30.18300,,169.93100,-85.45700,84.47400,0.07000,84.40400,84.40400,,83.75700,165.72700,169.93100,149.21500,149.21500,0.56000,0.56000,0.79220,3.81120,84.91710,84.91710,42.21290,41.85460,0.00970,1.97640,1.97640,0.40760,0.41080,27.19820,0.5867,0.5867
2021-06-30,196.30300,,196.30300,32.21400,,164.08900,-31.44600,132.64300,0.17500,132.46800,132.46800,,131.59500,159.74200,164.08900,147.34300,147.34300,0.89000,0.89000,0.77700,3.48400,83.58970,83.58970,67.57060,67.03670,0.01100,3.34770,3.34770,0.74000,0.74660,26.91510,0.5587,0.5587
2021-03-31,187.52400,,187.52400,29.80400,,157.72000,-77.07900,80.64100,0.10100,80.54000,80.54000,,79.90200,152.67000,157.72000,147.33700,147.33700,0.54000,0.54000,0.77290,3.40250,84.10660,84.10660,43.00300,42.60900,0.01080,2.06300,2.06300,0.46410,0.46860,26.55290,0.56370,0.56370
2020-12-31,188.85200,,188.85200,30.71000,,158.14200,-73.58800,84.55400,0.13100,84.42300,84.42300,,83.61600,154.09500,158.14200,141.79600,141.79600,0.62000,0.62000,0.76700,3.29190,83.73860,83.73860,44.77260,44.27590,0.01110,2.16230,2.16230,0.49780,0.50380,26.59920,0.5901,0.5901
2020-09-30,193.93900,,193.93900,30.22700,,163.71200,-72.92300,90.78900,0.02000,90.76900,90.76900,,89.86000,157.94400,163.71200,146.48500,146.48500,0.61000,0.61000,0.76630,3.27900,84.41420,84.41420,46.81320,46.33420,0.01150,2.32510,2.32510,0.53780,0.54340,26.70340,0.5133,0.5133
2020-06-30,191.98200,,191.98200,31.78200,,160.20000,-141.67200,18.52800,0.02300,18.50500,18.50500,,17.54400,155.74400,160.20000,138.29900,138.29900,0.13000,0.13000,0.77720,3.48840,83.44530,83.44530,9.65090,9.13840,0.01090,0.47500,0.47500,0.10480,0.10580,26.64750,0.7645,0.7645
2020-03-31,204.87500,,204.87500,31.06800,,173.80700,-226.94100,-53.13400,0.14900,-53.28300,-53.28300,,-53.35000,168.63700,173.80700,135.61900,135.61900,-0.39000,-0.39000,0.77860,3.51730,84.83560,84.83560,-25.93480,-26.04030,0.01220,-1.45010,-1.45010,-0.31800,-0.32100,27.14660,0.50600,0.50600
2019-12-31,220.67800,,220.67800,30.06200,,190.61600,-110.96700,79.64900,0.06800,79.58100,79.58100,,78.93100,182.16500,190.61600,130.08500,130.08500,0.58000,0.58000,0.76890,3.32690,86.37740,86.37740,36.09290,35.76750,0.01330,2.10270,2.10270,0.48080,0.48600,28.03380,0.6381,0.6381
2019-09-30,213.87300,,213.87300,27.24300,,186.63000,-111.95700,74.67300,-0.72100,75.39400,75.39400,,74.89700,182.62900,186.63000,134.53700,134.53700,0.56000,0.56000,0.74830,2.97340,87.26210,87.26210,34.91460,35.01940,0.01420,2.00480,2.00480,0.49990,0.50460,28.00390,0.4563,0.4563
2019-06-30,223.36900,,223.36900,30.88100,,192.48800,-116.89100,75.59700,0.04600,75.55100,75.55100,,75.17400,185.30000,192.48800,126.47500,126.47500,0.59000,0.59000,0.73820,2.81950,86.17490,86.17490,33.84400,33.65460,0.01530,2.00060,2.00060,0.51870,0.52380,28.12180,0.6189,0.6189
2019-03-31,224.75900,,224.75900,29.10300,,195.65600,-118.68800,76.96800,0.10100,76.86700,76.86700,,76.56500,189.56500,195.65600,124.33300,124.33300,0.62000,0.62000,0.76460,3.24850,87.05150,87.05150,34.24470,34.06540,0.01520,2.22700,2.22700,0.51950,0.52420,27.46620,0.62390,0.62390
2018-12-31,206.09800,,206.09800,28.21700,,177.88100,-103.94800,73.93300,0.03600,73.89700,73.89700,,73.64300,174.03400,177.88100,113.85700,113.85700,0.61000,0.61000,0.76470,3.24910,86.30890,86.30890,35.87270,35.73200,0.01420,2.18980,2.18980,0.51080,0.51540,27.33890,0.6303,0.6303
2018-09-30,203.10700,,203.10700,26.81100,,176.29600,-97.95500,78.34100,0.04800,78.29300,78.29300,,78.16500,171.86400,176.29600,116.20300,116.20300,0.67000,0.67000,0.73100,2.71710,86.79960,86.79960,38.57130,38.48460,0.01640,2.36680,2.36680,0.63040,0.63670,27.64290,0.679,0.679
