Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,12.65300,4.24900,-16.90200,2.28300,-14.61900,-14.61900,-14.61900,-14.61900,-17.42900,-16.90200,32.14330,32.14330,-0.45000,-0.45000,38.41400,,,,,,,-8.56500,-8.56500,-8.36450,-8.56500,5.30150,-0.6061,-0.6061
2024-06-30,,,6.31300,4.27600,-10.58900,2.47100,-8.11800,-8.11800,-8.11800,-8.11800,-11.06600,-10.58900,31.91390,31.91390,-0.25000,-0.25000,29.11160,,,,,,,-4.42900,-4.42900,-4.29480,-4.42900,5.74350,-0.1573,-0.1573
2024-03-31,,,5.26200,3.50600,-8.76800,2.13700,-6.63100,-6.63100,-6.63100,-6.62900,-8.96100,-8.76800,29.03940,29.03940,-0.23000,-0.23000,43.12440,,,,,,,-3.48970,-3.48970,-3.40880,-3.48970,5.95430,-0.21380,-0.21380
2023-12-31,,,5.65600,3.81000,-9.46600,1.31300,-8.15300,-8.15300,-8.15300,-8.15100,-9.46400,-9.46600,10.46030,10.46030,69.07000,69.07000,17.09340,,,,,,,-8.95290,-8.95290,-8.42960,-8.95290,3.97750,-1.3551,-1.3551
2023-09-30,2.00000,2.00000,4.95800,4.49400,-7.45200,1.09900,-6.35300,-6.35300,-6.35300,-6.35300,-7.45200,-7.45200,18.19470,18.19470,-0.35000,-0.35000,20.36360,100.00000,-372.60000,-372.60000,-317.65000,-317.65000,0.01940,-6.49090,-6.49090,-6.17250,-6.49090,4.27500,66.6433,66.6433
2023-06-30,,,4.67600,2.38100,-7.05700,0.27200,-6.78500,-6.78500,-6.78500,-6.78500,-7.06100,-7.05700,0.18950,0.18950,-35.80000,-35.80000,4.03900,,,,,,,3.41960,3.41960,-31.56110,3.41960,-944.82860,-29.2966,-29.2966
2023-03-31,,,4.48700,2.27800,-6.76500,0.18000,-6.58500,-6.58500,-6.58500,-6.58700,-6.80000,-6.76500,0.18510,0.18510,-35.58000,-35.58000,,,,,,,,,,,,,-38.26360,-38.26360
2022-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,92.0501,92.0501
2022-09-30,,,6.83800,0.84800,-7.68600,0.21900,-7.46700,-7.46700,-7.46700,-7.46700,-7.77400,-7.68600,0.18510,0.18510,-40.34000,-40.34000,,,,,,,,,,,,,-33.682,-33.682
2022-06-30,,,6.37100,0.86700,-7.23800,0.13600,-7.10200,-7.10200,-7.10200,-7.10200,-7.23800,-7.23800,0.18510,0.18510,-38.37000,-38.37000,,,,,,,,,,,,,-58.3681,-58.3681
