Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,0.56200,10.70700,-23.63100,0.61000,-23.02100,,-23.02100,-23.02100,-23.02100,-22.73000,-23.63100,6.50700,6.50700,-3.54000,-3.54000,12.89620,0.31790,0.46600,,,,,,-13.05550,-13.05550,-8.44620,-8.90540,27.02410,-3.0923,-3.0923
2024-06-30,,,2.92100,10.70600,-14.13500,-0.78200,-14.91700,,-14.91700,-14.91700,-14.91700,-13.16000,-14.13500,6.50400,6.50400,-2.29000,-2.29000,15.05740,0.29580,0.42010,,,,,,-7.64900,-7.64900,-5.06840,-5.38630,29.98450,-1.6316,-1.6316
2024-03-31,,,7.25600,12.42400,-23.95500,-0.34700,-24.30200,,-24.30200,-24.30200,-24.30200,-22.96200,-23.95500,6.50400,6.50400,-3.74000,-3.74000,14.18650,0.28410,0.39680,,,,,,-11.80700,-11.80700,-7.93400,-8.45280,31.64620,-2.21280,-2.21280
2023-12-31,,,1.98300,10.87200,-13.02000,0.09500,-12.92500,,-12.92500,-12.92500,-12.92500,-11.98400,-13.02000,6.50400,6.50400,-1.99000,-1.99000,15.22480,0.26500,0.36060,,,,,,-5.72340,-5.72340,-3.96920,-4.20660,34.72160,-2.0574,-2.0663
2023-09-30,,,8.49200,11.94100,-66.71600,-0.71600,-67.43200,,-67.43200,-67.43200,-67.43200,-65.76300,-66.71600,6.50400,6.50400,-10.37000,-10.37000,14.52660,0.25750,0.34690,,,,,,-28.81410,-28.81410,-19.81710,-21.39330,35.98180,-2.218,-3.0111
2023-06-30,,,8.45900,11.51800,-20.98700,2.32500,-18.66200,,-18.66200,-18.66200,-18.66200,-19.99600,-20.98700,6.50400,6.50400,-2.87000,-2.87000,12.00340,0.21560,0.27490,,,,,,-6.29380,-6.29380,-4.57050,-4.93660,45.59010,-3.0074,-4.0805
2023-03-31,,,20.67000,13.22200,-58.44600,1.37800,-57.06800,,-57.06800,-57.06800,-57.06800,-56.67000,-58.44600,6.50400,6.50400,-8.77000,-8.77000,8.99700,0.19850,0.24770,,,,,,-18.34080,-18.34080,-13.35950,-14.70000,47.84080,-5.32930,-6.63120
2022-12-31,,,20.72200,12.91000,-56.79900,2.35000,-54.44900,-0.60500,-53.84400,-53.84400,-53.84400,-38.87400,-56.79900,6.47600,6.47600,-8.26000,-8.26000,8.21580,0.16600,0.19900,,,,,,-14.80840,-14.80840,-11.16800,-12.35080,55.90480,-5.737,-7.7599
2022-09-30,,,39.66000,16.98900,-56.64900,0.05400,-56.59500,-0.37100,-56.22400,-56.22400,-56.22400,-54.71000,-56.64900,6.48400,6.48400,-8.60000,-8.60000,7.45010,0.13300,0.15340,,,,,,-13.69350,-14.24250,-10.55370,-11.87260,63.28710,-6.2662,-10.1353
2022-06-30,,,41.50000,17.22400,-58.72400,-0.87700,-59.60100,-0.60900,-58.99200,-58.99200,-58.99200,-57.67400,-58.72400,6.46840,6.46840,-9.20000,-9.20000,8.50870,0.09680,0.10720,,,,,,-12.87100,-13.33130,-10.37610,-11.62480,70.75750,-7.2899,-11.3255
2022-03-31,,,39.17400,15.11200,-54.28600,-0.31900,-54.60500,-0.48800,-54.11700,-54.11700,-54.11700,-53.38700,-54.28600,6.45600,6.45600,-8.40000,-8.40000,10.62350,,,,,,,,-10.64120,-10.98300,-9.57930,-10.64120,78.71330,-8.52720,-11.66150
2021-12-31,,,42.57700,11.17500,-53.75200,-0.53800,-54.29000,1.06000,-55.35000,-55.35000,-55.35000,-52.85900,-53.75200,5.29970,5.29970,-4.40000,-4.40000,11.21960,,,,,,,,-9.96940,-10.26190,-9.07400,-9.96940,86.05870,-10.7247,-15.5238
2021-09-30,,,29.06400,13.96000,-43.02400,-0.63900,-43.66300,-0.65800,-43.00500,-43.00500,-43.00500,-42.26000,-43.02400,6.43970,6.43970,-6.60000,-6.60000,16.30220,,,,,,,,-7.15060,-7.34380,-6.64280,-7.15060,93.34690,-4.5616,-7.9372
