Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.18490,-0.10290,-0.28780,0.57660,0.28890,0.14340,0.14550,0.14550,0.14550,-0.28780,-0.28780,1.57980,1.57980,0.04000,0.04000,0.15530,-0.14020,-2.83500,-2.83500,0.56930,-2.83500,-3.24780,-0.0134,-0.0134
2024-06-30,0.23020,-0.18290,-0.41310,0.32390,-0.08920,0.23180,-0.32110,-0.32110,-0.32110,-0.41310,-0.41310,1.57980,1.57980,-0.08000,-0.08000,0.23520,-0.11060,6.37220,6.37220,-1.27590,6.37220,-3.18890,-0.7845,-0.7845
2024-03-31,0.37760,-0.08430,-0.46190,0.34630,-0.11560,0.05290,-0.16850,-0.16850,-0.16850,-0.46190,-0.46190,1.57980,1.57980,-0.04000,-0.04000,0.28280,-0.07610,3.51340,3.51340,-0.64940,3.51340,-3.03460,-0.03800,-0.03800
2023-12-31,0.49030,-0.29340,-0.78370,1.52440,0.74080,0.08920,0.65150,0.65150,0.65150,-0.78370,-0.78370,1.57980,1.57980,0.08000,0.08000,0.07230,-0.03640,-12.82830,-12.82830,0.96240,-12.82830,-3.21460,0,0
2023-09-30,0.24070,,-0.24070,0.32850,0.08780,0.16080,-0.07290,-0.07290,-0.07290,-0.24070,-0.24070,1.57980,1.57980,-0.01000,-0.01000,0.21930,-0.03390,1.43230,1.43230,-0.10900,1.43230,-3.22310,0,0
2023-06-30,0.21130,-0.04050,-0.25180,1.57520,1.32340,0.13210,1.19130,1.19130,1.19130,-0.25180,-0.25180,1.57980,1.57980,0.15000,0.15000,0.28030,-0.02090,-27.02360,-27.02350,1.80410,-27.02360,-2.79020,-0.2298,-0.2298
2023-03-31,0.53020,-0.07970,-0.60990,1.28870,0.67870,0.15180,0.52700,0.52700,0.52700,-0.60990,-0.60990,1.57980,1.57980,0.07000,0.07000,0.36810,,-10.32540,-10.32540,0.80130,-10.32540,-3.23030,-0.15020,-0.15020
2022-12-31,0.88880,,-1.04450,,-2.25810,,-2.34440,-2.34440,-2.34440,-1.04450,-1.04450,1.52250,1.52250,-0.66000,-0.66000,1.17150,,45.27480,45.26100,-3.57870,45.27480,-3.27730,-0.7012,-0.7012
2022-09-30,0.00290,,-0.00290,,-0.00290,,-0.00290,-0.00290,-0.00290,-0.00290,-0.00290,1.50000,1.50000,0.00000,0.00000,0.12590,-7.68450,15.40660,15.40660,-0.56560,15.40660,-0.01100,0,0
2022-06-30,,,,,,,,,,,,1.50000,1.50000,,0.00000,,,,,,,,0,0
2022-03-31,0.04100,,-0.04100,,-0.04100,,-0.04100,-0.04100,-0.04100,-0.04100,-0.04100,1.50000,1.50000,-0.03000,-0.03000,,,,,,,,0.00000,
