Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.77200,6.90400,-20.67600,1.41800,-19.25800,-19.25800,-19.25800,-19.25800,-20.84500,-20.67600,40.57800,40.57800,-0.47000,-0.47000,3.72180,,-21.74770,-21.74770,-14.67020,-21.74770,2.23240,0.1063,0.1063
2024-06-30,15.54000,6.93800,-22.47800,1.25100,-21.22700,-21.22700,-21.22700,-21.22700,-22.88800,-22.47800,40.56500,40.56500,-0.52000,-0.52000,8.38830,,-24.89330,-24.89330,-19.57060,-24.89330,2.26850,-0.3727,-0.3728
2024-03-31,14.32600,7.08900,-21.41500,1.47500,-19.94000,-19.94000,-19.94000,-19.94000,-21.72800,-21.41500,39.86400,39.86400,-0.50000,-0.50000,12.38440,,-19.21340,-19.21340,-15.94210,-19.21340,2.76130,-0.54890,-0.54890
2023-12-31,16.78200,7.07500,-23.85700,1.68300,-22.17400,-22.17400,-22.17400,-22.17400,-23.45300,-23.85700,38.71200,38.71200,-0.57000,-0.57000,10.45430,,-19.07410,-19.07410,-15.74210,-19.07410,3.23960,-0.4042,-0.4046
2023-09-30,15.41500,6.90600,-22.32100,1.82600,-20.49500,-20.49500,-20.49500,-20.49500,-22.98300,-22.32100,38.80900,38.80900,-0.53000,-0.53000,13.78890,,-15.08810,-15.08810,-12.87730,-15.08810,3.78660,-0.4423,-0.4434
2023-06-30,14.90300,7.01000,-21.91300,1.73900,-20.17400,-20.17400,-20.17400,-20.17400,-22.55800,-21.91300,38.65700,38.65700,-0.52000,-0.52000,19.06690,,-13.11400,-13.11400,-11.50110,-13.11400,4.28970,-0.3955,-0.3987
2023-03-31,13.83400,6.94100,-20.77500,0.98000,-19.79500,-19.79500,-19.79500,-19.79500,-20.95400,-20.77500,38.54600,38.54600,-0.51000,-0.51000,23.30080,,-11.55310,-11.55310,-10.29060,-11.55310,4.80400,-0.57560,-0.58830
2022-12-31,12.19100,6.68200,-18.87300,0.41700,-18.45600,-18.45600,-18.45600,-18.45600,-18.85200,-18.87300,31.68500,31.68500,-0.45000,-0.45000,17.48630,,-9.76090,-9.76090,-9.20990,-9.76090,5.30830,-0.6129,-0.6225
2022-09-30,12.79100,4.84600,-17.63700,0.13700,-17.50000,-17.50000,-17.50000,-17.50000,-17.61600,-17.63700,33.30300,33.30300,-0.53000,-0.53000,22.18800,,-8.49880,-8.49880,-8.12030,-8.49880,5.78940,-0.3016,-0.3128
2022-06-30,12.09700,4.94500,-17.04200,0.02700,-17.01500,-17.01500,-17.01500,-17.01500,-17.02400,-17.04200,28.15000,28.15000,-0.60000,-0.60000,21.35190,0.00000,-11.29620,-11.29620,-10.77390,-11.29600,5.32850,-0.461,-0.464
2022-03-31,10.36500,4.96700,-15.33200,-0.00200,-15.33400,-15.33400,-15.33400,-15.33400,-15.31400,-15.33200,26.66000,26.66000,-0.58000,-0.58000,25.82590,0.00010,-9.22750,-9.22750,-8.87320,-9.22680,5.87890,-0.68060,-0.68590
2021-12-31,9.11900,3.85800,-12.97700,-0.00800,-12.98500,-12.98500,-12.98500,-12.98500,-12.96200,-12.97700,1.56700,1.56700,-8.28000,-8.28000,9.86570,-0.00030,18.69880,18.69880,-12.67560,18.70500,-40.25680,-10.8241,-10.8393
2021-09-30,7.81000,2.92800,-10.73800,-0.00200,-10.74000,-10.74000,-10.74000,-10.74000,-10.72600,-10.73800,1.54000,1.54000,-6.98000,-6.98000,,,,,,,,-7.0922,-7.1611
2021-06-30,8.64800,2.12800,-10.77600,-0.59100,-11.36700,-11.36700,-11.36700,-11.36700,-10.77600,-10.77600,1.51900,1.51900,-7.48000,-7.48000,,,,,,,,-4.016,-4.0621
2021-03-31,6.75300,1.16500,-7.91800,-0.27300,-8.19100,-8.19100,-8.19100,-8.19100,-7.91800,-7.91800,1.49900,1.49900,-5.46000,-5.46000,,,,,,,,-3.17750,-3.17750
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
