Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.03600,6.19600,-23.23200,2.23300,-20.99900,0.04300,-21.04200,-21.04200,-21.04200,-22.91900,-23.23200,49.66350,49.66350,-0.42000,-0.42000,12.46980,-12.04690,-12.04690,-10.24740,-12.04690,3.50890,-0.3056,-0.3124
2024-06-30,16.87900,5.88300,-22.76200,2.42500,-20.33700,,-20.33700,-20.33700,-20.33700,-22.44900,-22.76200,49.54800,49.54800,-0.41000,-0.41000,18.54340,-10.62240,-10.62240,-9.31680,-10.62240,3.86130,-0.3245,-0.3352
2024-03-31,17.05200,5.26100,-22.31300,2.65300,-19.66000,0.04600,-19.70600,-19.70600,-19.70600,-22.00700,-22.31300,49.45200,49.45200,-0.40000,-0.40000,21.96510,-9.43850,-9.43850,-8.38460,-9.43850,4.21750,-0.49450,-0.49620
2023-12-31,20.27900,4.50400,-24.78300,2.78900,-21.99400,,-22.13100,-22.13100,-22.13100,-24.45900,-24.78300,39.62000,39.62000,-0.51000,-0.51000,18.75810,-9.79910,-9.79910,-8.67630,-9.79910,4.57640,-0.3948,-0.4024
2023-09-30,15.42800,5.06000,-20.48800,1.97600,-18.51200,,-18.51200,-18.51200,-18.51200,-20.14500,-20.48800,38.18520,38.18520,-0.48000,-0.48000,14.12590,-12.20160,-12.20160,-10.29780,-12.20160,3.96990,-0.3963,-0.3986
2023-06-30,15.12000,5.15600,-20.27600,1.97700,-18.29900,,-18.29900,-18.29900,-18.29900,-19.97600,-20.27600,37.85600,37.85600,-0.48000,-0.48000,18.68590,-10.99460,-10.99460,-9.49420,-10.99460,4.36990,-0.386,-0.3912
2023-03-31,14.40500,5.03900,-19.44400,1.97800,-17.46600,,-17.46600,-17.46600,-17.46600,-19.11600,-19.44400,37.78400,37.78400,-0.46000,-0.46000,22.09460,-9.68940,-9.68940,-8.47790,-9.68940,4.76870,-0.43440,-0.43720
2022-12-31,13.15900,4.45400,-17.61300,1.05400,-16.55900,,-16.55900,-16.55900,-16.55900,-17.29000,-17.61300,29.93720,29.93720,-0.52000,-0.52000,18.81060,-8.46650,-8.46650,-7.39460,-8.46650,5.17800,-0.5741,-0.5854
2022-09-30,11.29300,4.76200,-16.05500,0.15400,-15.90100,,-15.90100,-15.90100,-15.90100,-15.75300,-16.05500,29.27400,29.27400,-0.54000,-0.54000,11.63270,-13.82050,-13.82050,-11.10820,-13.82050,3.92900,-0.3668,-0.369
2022-06-30,9.51000,4.30600,-13.81600,0.34800,-13.46800,,-13.46800,-13.46800,-13.46800,-13.52000,-13.81600,29.25100,29.25100,-0.46000,-0.46000,21.96650,-10.43300,-10.43300,-9.97470,-10.43300,4.41080,-0.3627,-0.3652
2022-03-31,8.27600,4.53500,-12.81100,-0.02400,-12.83500,,-12.83500,-12.83500,-12.83500,-12.55500,-12.81100,29.21400,29.21400,-0.44000,-0.44000,27.89970,-9.09730,-9.09730,-8.76580,-9.09730,4.82890,-0.52030,-0.54080
2021-12-31,7.97900,3.64800,-11.62700,-0.00700,-11.63400,,-11.63400,-11.63400,-12.94900,-11.39700,-11.62700,5.16000,5.16000,68.53000,68.53000,20.89790,-7.63810,-7.63810,-7.26990,-7.63810,5.21410,39.8052,42.3548
2021-09-30,6.36500,2.53000,-8.89500,0.05700,-8.83800,,-8.83800,-8.83800,-12.50600,-8.67900,-8.89500,0.44100,0.44100,-28.33000,-28.33000,14.31280,6.74580,6.74580,-9.74380,6.74580,-295.93400,-19.492,-20.7778
2021-06-30,6.63200,2.16900,-8.80100,-0.05100,-8.85200,,-8.85200,-8.85200,-12.48000,-8.60100,-8.80100,0.43750,0.43750,-28.53000,-28.53000,,,,,,,-13.7517,-15.2498
2021-03-31,4.18500,1.74200,-5.92700,,-5.92700,,-5.92700,-5.92700,-8.25800,-5.74200,-5.92700,0.40000,0.40000,-20.62000,-20.62000,,,,,,,-12.84250,-13.02000
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,54.5844,56.2805
2020-09-30,2.85000,0.78100,-3.63100,,-3.63100,,-3.63100,-3.63100,-5.57900,-3.63100,-3.63100,0.37670,0.37670,-14.81000,-14.81000,,,,,,,-54.5844,-56.2805
