Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,411.83400,74.09300,337.74100,37.05900,185.74300,222.80200,114.93900,-21.01400,93.92500,24.55700,69.36800,69.36800,69.36800,139.13500,114.93900,51.18000,53.49500,1.36000,1.30000,0.37630,0.73330,3.21090,82.00900,27.90910,27.90910,22.80650,16.84370,0.01800,1.85520,-1.72850,0.30330,0.49470,72.94820,-7.1562,-7.2391
2024-06-30,406.12700,63.19000,342.93700,35.69000,156.80500,192.49500,150.44200,-16.58800,133.85400,35.59600,98.25800,98.25800,98.25800,175.57000,150.44200,50.95500,53.20400,1.93000,1.85000,0.36570,0.73360,3.22450,84.44080,37.04310,37.04310,32.95870,24.19390,0.01880,2.68380,-2.30550,0.45540,0.71500,71.76270,-20.5083,-20.6059
2024-03-31,305.66000,46.67200,258.98800,35.96700,159.30900,195.27600,63.71200,-19.82900,43.88300,4.57500,39.30800,39.30800,39.30800,88.66900,63.71200,50.54700,53.10000,0.78000,0.74000,0.38810,0.69980,2.88310,84.73080,20.84410,20.84410,14.35680,12.86000,0.01540,1.10090,-1.00460,0.19850,0.33050,70.13400,-16.91040,-17.00040
2023-12-31,361.93900,55.78600,306.15300,32.87000,149.00200,181.87190,124.28110,-178.51100,-54.23000,-17.38800,-36.84200,-36.84200,-36.84200,148.37310,124.28100,49.97800,52.73300,-0.75000,-0.71000,0.37090,0.65540,2.43170,84.58690,34.33760,34.33760,-14.98320,-10.17910,0.01920,-1.04110,1.03470,-0.19550,-0.35870,70.51960,8.2847,8.1417
2023-09-30,400.30800,42.13100,358.17700,39.00000,173.48300,212.48300,145.69400,-18.89700,126.79700,33.92700,92.87000,92.87000,92.87000,168.64400,145.69400,49.90200,52.56100,1.86000,1.77000,0.38990,0.65200,2.62200,89.47540,36.39550,36.39550,31.67490,23.19960,0.02110,2.59930,-2.64480,0.49010,0.90450,71.56340,-18.4557,-18.6184
2023-06-30,336.54700,46.29800,290.24900,35.24400,160.44800,195.69200,94.55700,-21.64000,72.91700,14.66700,58.25000,58.25000,58.25000,116.49700,94.55700,49.87400,52.26400,1.17000,1.11000,0.53480,0.63570,2.45570,86.24320,28.09620,28.09620,21.66620,17.30810,0.01870,1.67440,-1.92130,0.32390,0.61000,69.77340,41.362,41.1834
2023-03-31,302.86200,39.71800,263.14400,36.03800,172.18300,208.22100,54.92300,-16.77600,38.14700,7.76900,30.37800,30.37800,30.37800,77.39100,54.92300,50.15400,53.35200,0.61000,0.57000,0.52530,0.70020,3.05150,86.88580,18.13470,18.13470,12.59550,10.03030,0.01510,0.88000,-1.19070,0.15110,0.26380,68.91010,-61.19530,-61.39700
2022-12-31,340.44590,62.42600,278.01990,34.89600,153.59410,188.49020,89.52970,-21.80100,67.72900,30.11200,37.61700,37.61700,37.61700,108.80270,89.52980,53.06500,55.95000,0.88000,0.82000,0.53170,0.59360,2.02060,81.66350,26.29780,26.29780,19.89420,11.04930,0.02020,1.08370,-1.51520,0.22360,0.44040,69.43760,6.9771,6.7503
2022-09-30,476.29000,48.75500,427.53500,35.64700,181.62400,217.27100,210.26400,-24.79200,185.47200,50.33800,135.13400,135.13400,135.13400,228.16600,210.26400,52.17000,54.96800,2.59000,2.46000,0.70350,0.61810,2.13380,89.76360,44.14620,44.14620,38.94100,28.37220,0.02910,3.88080,-6.20000,0.82590,1.48200,68.26160,-7.3949,-7.8162
2022-06-30,511.51500,47.98200,463.53300,34.62100,231.99200,266.61300,196.92000,-19.39400,177.52600,48.36300,129.16300,129.16300,129.16300,213.27900,196.92000,54.16700,56.64200,2.38000,2.28000,0.63490,0.57710,1.88290,90.61960,38.49740,38.49740,34.70590,25.25110,0.03580,3.73150,-7.35640,0.90500,1.57790,65.38440,33.374,32.9807
