Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,8.59300,2.78000,5.81300,1.96200,1.53900,-1.86500,5.36600,0.44700,0.77600,1.22300,0.77300,0.45000,0.45000,0.45000,0.44700,0.44700,59.98050,60.01800,0.00000,0.00000,10.32940,,0.00110,67.64810,5.20190,5.20190,14.23250,5.23680,0.05660,0.22310,0.31760,0.31880,0.29640,0.31760,2.36190,0,0
2024-06-30,16.92700,5.63200,11.29500,1.82300,1.47900,-0.03600,3.33800,7.95700,0.68000,8.63700,1.70900,6.92800,6.92800,6.92800,7.95700,7.95700,59.95800,60.00750,0.12000,0.12000,7.94410,,0.00150,66.72770,47.00770,47.00770,51.02500,40.92870,0.11330,1.01000,5.08700,5.10640,4.63750,5.08700,2.27060,0,0
2024-03-31,3.36100,2.11400,1.24700,5.06100,0.97400,0.75400,5.28100,-4.03400,0.55900,-3.47500,-1.42500,-2.05000,-2.05000,-2.05000,-4.03400,-4.03400,59.94400,59.94400,-0.04000,-0.04000,43.08340,0.00040,0.00160,37.10210,-120.02380,-120.02380,-103.39180,-60.99380,0.02540,0.49620,-1.57900,-1.58550,-1.55000,-1.57830,2.16580,0.00000,
2023-12-31,4.93700,2.07500,2.86200,1.99800,1.26900,,3.26700,-0.40500,1.51000,1.10500,0.12400,0.98100,0.98100,0.98100,-0.40500,-0.40500,59.69400,59.69400,0.00400,0.00400,28.31610,0.00080,0.00200,57.97040,-8.20340,-8.20340,22.38200,19.87040,0.03580,0.35270,0.73290,0.73560,0.71130,0.73230,2.23320,-0.0111,-0.1218
2023-09-30,0.93800,2.06300,-1.12500,1.55800,1.14700,,2.70500,-3.83000,0.72900,-3.10100,-0.48500,-2.61600,-2.61600,-2.61600,-3.83000,-3.83000,59.93800,59.93800,-0.04400,-0.04400,60.23130,0.00120,0.00200,-119.93600,-408.31550,-408.31550,-330.59700,-278.89130,0.00720,0.26920,-2.02710,-2.02710,-1.99740,-2.02460,2.15310,0,0
2023-06-30,1.91700,4.23600,-2.31900,1.23800,1.14900,,2.38700,-4.70600,0.78100,-3.92500,-1.09600,-2.82900,-2.82900,-2.82900,-4.70600,-4.70600,59.93800,59.93900,-0.04000,-0.04000,66.47970,0.00120,0.00220,-120.97030,-245.48780,-245.48780,-204.74700,-147.57430,0.01430,0.43710,-2.13610,-2.13610,-2.10580,-2.13360,2.20960,0,0
2023-03-31,3.78900,1.92800,1.86100,1.16400,0.90600,,2.07000,-0.20900,1.12100,0.91200,0.22400,0.68800,0.68800,0.68800,-0.20900,-0.20900,58.96050,58.96050,0.02000,0.02000,63.39640,0.00020,0.00110,49.11590,-5.51600,-5.51600,24.06970,18.15780,0.02640,0.15800,0.48620,0.48620,0.47930,0.48610,2.36100,0.00000,
2022-12-31,4.88100,,4.88100,,,,,4.88100,,4.88100,,4.88100,1.83600,1.83600,4.88100,4.88100,58.82400,58.82400,0.04000,0.04000,43.35950,0.00030,0.00140,100.00000,100.00000,100.00000,100.00000,37.61520,0.03530,,1.35640,1.35640,1.32860,1.35600,,0.8052,0.7953
