Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,5.88200,2.08400,3.79800,130.35000,94.78200,-4.69300,229.82500,-226.02700,-40.20900,-266.23600,-267.38900,-267.38900,-265.05000,-224.66000,-226.02700,186.07590,186.07590,-1.43000,-1.43000,4.66770,6.52960,-1.18080,64.56970,-3842.68700,-3842.68700,-4526.28000,-4506.11800,0.00640,1.24570,72.25090,18.34250,18.04630,-29.08500,-101.42670,-7.67060,-1.0723,-1.0726
2024-09-30,2.73200,0.59800,2.13400,120.44400,68.81900,-4.62100,193.88400,-191.75000,27.49600,-164.25400,-164.25400,-164.25400,-162.04000,-190.21200,-191.75000,188.51040,188.51040,-0.86000,-0.86000,3.19340,3.43670,-1.41040,78.11130,-7018.66700,-7018.66700,-6012.22500,-5931.18600,0.00410,5.71550,15.74670,13.47410,13.20840,-24.70070,-32.83250,-6.45040,-0.9541,-0.9548
2024-06-30,2.16800,0.59800,1.57000,114.69500,59.52300,-2.89100,177.10900,-175.53900,99.99500,-75.54400,-75.54400,-75.54400,-73.45600,-173.96500,-175.53900,187.58670,187.58670,-0.39000,-0.39000,4.58630,2.70180,-1.58760,72.41700,-8096.81800,-8096.81800,-3484.50200,-3388.19200,0.00270,3.28480,27.39850,6.98270,6.82430,-9.50990,-11.88310,-5.75360,0.4564,0.4563
2024-03-31,211.12000,0.59800,210.52200,140.97200,65.80700,-3.40000,210.17900,0.34300,-36.50300,-36.16000,-36.16000,-36.16000,-35.21600,1.93900,0.34300,178.70530,178.70530,-0.20000,-0.20000,5.53750,2.52880,-1.65410,99.71670,0.16250,0.16250,-17.12770,-16.68060,0.24860,0.89650,100.39060,3.48570,3.40140,-4.25750,-5.32900,-5.54390,-1.22850,-1.23240
2023-12-31,1.74500,0.59800,1.14700,130.22600,47.58300,-0.75400,178.56300,-177.41600,7.08800,-170.32800,-170.32800,-170.32800,-168.14800,-175.83100,-177.41600,162.79150,162.79150,-0.97000,-0.97000,3.32020,4.50000,-1.28570,65.73070,-10167.11000,-10167.11000,-9760.91200,-9635.98700,0.00320,0.99660,90.30940,12.68250,12.43880,-31.17390,-44.38910,-7.67070,-0.7746,-0.7773
2023-09-30,4.09100,0.59800,3.49300,125.13600,35.77700,-0.27200,161.18500,-157.69200,-21.79600,-179.48800,-179.48800,-179.48800,-176.99900,-156.05300,-157.69200,163.30860,163.30860,-1.08000,-1.08000,5.54070,3.27240,-1.44010,85.38260,-3854.60800,-3854.60800,-4387.38700,-4326.54600,0.00620,0.79130,113.73750,15.01820,14.68740,-27.40240,-34.12690,-6.86340,-0.862,-0.8646
2023-06-30,1.64100,0.59900,1.04200,107.48800,36.12200,-3.53100,147.14100,-146.09900,-14.60400,-160.70300,-160.70300,-160.70300,-157.89900,-144.46200,-146.09900,160.53540,160.53540,-0.98000,-0.98000,3.93100,4.65880,-1.27330,63.49790,-8903.04700,-8903.04700,-9792.99200,-9622.12100,0.00330,0.19050,472.43150,11.90420,11.66640,-31.90700,-43.55500,-8.36310,-0.6596,-0.6623
2023-03-31,1.82600,0.65100,1.17500,92.86100,31.10800,-3.36900,127.33800,-126.16300,-16.56900,-142.73200,-142.73200,-142.73200,-140.15600,-124.53000,-126.16300,152.64560,152.64560,-0.92000,-0.92000,5.72180,3.42740,-1.41200,64.34830,-6909.25600,-6909.25600,-7816.64900,-7675.57500,0.00290,0.16970,530.38880,11.76290,11.49650,-22.81230,-28.55310,-7.56320,-0.94550,-0.94550
2022-12-31,1.87000,0.64700,1.22300,90.90200,31.86200,-7.69100,130.45500,-129.23190,-11.33800,-140.57000,-140.57000,-140.57000,-137.59100,-127.57190,-129.23190,147.47310,147.47310,-0.91000,-0.91000,4.52000,3.67800,-1.37340,65.40100,-6910.78900,-6910.78700,-7517.09900,-7357.79600,0.00300,0.10950,821.98270,11.30590,11.05070,-22.56210,-30.27700,-8.25450,-0.6392,-0.6447
2022-09-30,0.33800,0.73900,-0.40100,92.51100,31.18800,-5.01600,128.71500,-129.11600,-11.07700,-140.19300,-140.19300,-140.19300,-137.33900,-127.47100,-129.11600,147.93780,147.93780,-0.93000,-0.93000,5.38800,2.97650,-1.50600,-118.63910,-38200.00000,-38200.00000,-41477.22000,-40632.84000,0.00050,0.01380,6545.23600,12.42860,12.11390,-19.23770,-24.56480,-7.55180,-0.9026,-0.9076
2022-06-30,73.74600,0.70000,73.04600,108.40000,36.42600,-8.39600,153.22200,-80.17600,77.61700,-2.55900,-2.55900,-2.55900,-9.85600,-78.59400,-80.17600,146.68480,146.68480,-0.07000,-0.07000,5.46390,2.49120,-1.67060,99.05080,-108.71910,-108.71910,-3.47000,-13.36480,0.08550,3.23150,27.85090,0.25250,0.24530,-0.29680,-0.37650,-6.83680,-0.2016,-0.2179
2022-03-31,1.69400,1.34800,0.34600,107.64900,43.71300,-22.66200,174.02400,-173.67800,-27.65200,-201.33000,-201.33000,-201.33000,-196.39700,-171.79400,-173.67800,145.88220,145.88220,-1.35000,-1.35000,6.92260,2.56070,-1.64070,20.42500,-10252.54000,-10252.54000,-11884.89000,-11593.68000,0.00210,0.15420,583.51240,19.33960,18.78960,-24.75930,-30.18320,-7.04880,-1.10110,-1.10700
2021-12-31,12.88600,1.55100,11.33500,122.20000,54.74900,,176.94900,-165.61400,13.33200,-152.28200,-152.28200,-152.28200,-147.17700,-164.08800,-165.61400,144.35660,144.35660,-1.00000,-1.00000,6.58080,2.03610,-1.96520,87.96370,-1285.22400,-1285.22400,-1181.76300,-1142.14600,0.01270,0.65250,137.93340,17.56420,16.69880,-15.03590,-18.19810,-5.88420,-0.9671,-0.9859
2021-09-30,2.34400,1.45400,0.89000,104.30500,46.08400,,150.38900,-149.49900,-11.51700,-161.01600,-161.01600,-161.01600,-155.93500,-149.23400,-149.49900,146.66280,146.66280,-1.06000,-1.06000,6.67600,2.16080,-1.86140,37.96930,-6377.94400,-6377.94400,-6869.28300,-6652.51700,0.00300,0.28680,313.77130,21.79310,20.51040,-20.60280,-25.29820,-5.02310,-0.8299,-0.874
2021-06-30,54.02400,0.10900,53.91500,101.96000,45.97000,,147.93000,-94.01500,-8.05900,-102.07400,-102.07400,-102.07400,-96.34800,-90.52900,-94.01500,146.75430,146.75430,-0.66000,-0.66000,6.89770,1.49920,-3.00320,99.79820,-174.02450,-174.02450,-188.94200,-178.34300,0.05000,1.18640,75.86300,22.31170,22.31170,-9.43830,-11.13830,-3.05780,-0.5647,-0.5795
2021-03-31,0.46200,,0.46200,122.55900,45.40700,,,-167.50400,-3.57800,-171.08200,-171.08200,-171.08200,-163.07900,-166.93800,-167.50400,138.62770,138.62770,-1.18000,-1.18000,9.97700,1.40070,-3.50530,100.00000,-36256.27000,-36256.27000,-37030.73000,-35298.48000,0.00040,1.00000,90.00000,43.93870,43.93870,-15.64810,-17.60400,-2.61120,-1.08760,-1.10170
2020-12-31,0.12200,,0.12200,90.17400,37.43700,,,-127.48900,-7.53600,-135.02500,-135.02500,-135.02500,-119.98100,-127.05400,-127.48900,117.99550,117.99550,-1.01000,-1.01000,6.72070,0.81750,4.49210,100.00000,-104499.40000,-104499.40000,-110676.50000,-98345.29000,0.00020,,,-127.07520,-127.07520,-19.19090,-23.19570,0.86490,-0.8195,-0.8391
2020-09-30,8.12700,,8.12700,92.05000,36.01600,,,-119.93900,-10.22800,-130.16700,-130.16700,-130.16700,-115.85900,-120.95400,-119.93900,118.16810,118.16810,-0.98000,-0.98000,9.84560,0.68620,2.18660,100.00000,-1475.80900,-1475.80900,-1601.66100,-1425.60600,0.01030,1.01590,88.59360,-60.31470,-60.31470,-16.52510,-18.92770,1.76110,-1.1,-1.1043
2020-06-30,,,,86.59800,37.96900,,,-124.56700,-11.64700,-136.21400,-136.21400,-136.21400,-121.03400,-123.07200,-124.56700,117.01210,117.01210,-1.03000,-1.03000,9.30410,0.58900,1.43290,,,,,,,,,-41.83400,-41.83400,-15.04750,-17.19520,2.66340,-0.7556,-0.7575
2020-03-31,,,,68.22500,34.26200,,,-102.48700,-1.59500,-104.08200,-104.08200,-104.08200,-91.85000,-101.94600,-102.48700,117.80340,117.80340,-0.78000,-0.78000,14.24900,0.50680,1.02740,,,,,,,,,-23.17990,-23.17990,-10.51550,-11.43310,3.69990,-0.71240,-0.75040
2019-12-31,13.81900,,13.81900,57.48500,34.97200,,,-78.63800,-5.51300,-84.15100,-84.15100,-84.15100,-73.45800,-78.63800,-78.63800,105.09910,105.09910,-0.60000,-0.60000,9.41660,0.16230,0.19380,100.00000,-569.05690,-569.05690,-608.95130,-531.57240,0.02190,4.85730,18.52880,-17.76340,-17.76340,-13.32180,-14.88020,3.83100,-0.8976,-0.9151
2019-09-30,26.74100,2.50000,24.24100,55.27800,23.49500,,78.77300,-54.53200,-6.13200,-60.66400,-60.66400,-60.66400,-59.98000,-54.53200,-54.53200,117.07120,117.07120,-0.51000,-0.51000,14.00360,0.12570,0.14380,90.65110,-203.92660,-203.92660,-226.85770,-224.29980,0.04170,,,-11.62820,-11.62820,-9.47090,-10.16640,4.44530,-0.1439,-0.146
2019-06-30,,,,52.33100,16.98700,,,-69.31800,-5.01600,-74.33400,-74.33400,-74.33400,-65.96400,-69.31800,-69.31800,92.89330,92.89330,-0.71000,-0.71000,,,,,,,,,,,,,,,,,-0.7308,-0.7316
2019-03-31,,,,44.85300,18.89900,,,-63.75200,-5.68400,-69.43600,-69.43600,-69.43600,-61.18500,-63.75200,-63.75200,92.33010,92.33010,-0.66000,-0.66000,,,,,,,,,,,,,,,,,-0.64050,-0.64520
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,1.4804,1.5039
2018-09-30,,,,31.14800,10.30800,,,-41.45600,-0.62200,-42.07800,-42.07800,-42.07800,-31.40100,-41.45600,-41.45600,60.95060,60.95060,-0.52000,-0.52000,,,,,,,,,,,,,,,,,-1.4804,-1.5039
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
