Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,10.45300,2.92700,7.52600,5.73200,-6.88200,12.61400,-5.08800,-0.17300,-5.26100,-0.01900,-5.24200,-5.24200,22.90100,17.21200,-4.68900,-5.08800,1.14300,1.14300,15.06000,15.06000,0.00440,0.03280,-48.67500,-48.67500,-50.33010,164.66090,0.09010,-8.61680,-6.30050,-4.52060,-6.27270,65.82280,0.0083,4.2405
2024-06-30,7.87400,2.09400,5.78000,5.34600,-6.48700,11.83300,-6.05300,-0.09600,-6.14900,-0.07400,-6.07500,-6.07500,0.15000,-6.22900,-7.33900,-6.05300,1.14070,1.14070,-5.50000,-5.50000,0.00720,0.05050,-76.87330,-76.87330,-78.09250,-79.10850,0.08000,-15.95700,-10.05200,-6.17350,-9.97980,52.97870,-1.7495,-0.6042
2024-03-31,8.64300,0.36600,8.27700,4.43000,-9.77900,14.20900,-5.93200,1.79500,-4.13700,0.11600,-4.25300,-4.25300,-0.19200,-4.35900,-4.19200,-5.93200,0.66980,0.66980,-6.75000,-6.75000,0.07460,0.14960,-68.63360,-68.63360,-47.86530,-50.43390,0.07840,-9.61370,-6.47110,-3.85660,-5.90920,58.69440,-1.53790,-1.57070
2023-12-31,12.85300,,12.85300,0.01100,,,18.22700,,18.40000,,17.78100,17.78100,,14.64200,18.22700,18.22700,0.39970,0.39970,37.26000,37.26000,0.12860,0.20960,141.81120,141.81120,143.15730,113.91890,0.20680,48.04770,48.04770,28.61300,41.86920,41.11890,-2.2905,-1.9555
2023-09-30,4.08600,,4.08600,2.86500,-5.26800,,-4.04700,-0.11300,-4.16000,-0.30600,-3.85400,-3.85400,0.52900,-3.32100,-3.71900,-4.04700,0.41500,0.41500,-8.01000,-8.01000,,,-99.04550,-99.04550,-101.81110,-81.27750,0.06950,-18.98340,-9.03270,-6.55130,-9.03270,103.52050,-1.5939,-1.6172
2023-06-30,3.33600,,3.33600,3.72000,-5.82200,,-6.20600,-0.09200,-6.29800,-0.01400,-6.28400,-6.28400,0.89300,-5.27300,-6.12800,-6.20600,0.38820,0.38820,-13.50000,-13.50000,,,-186.03120,-186.03120,-188.78900,-158.06350,0.06870,-42.91760,-16.98060,-12.93910,-16.98060,89.78800,-5.2605,-5.3732
2023-03-31,6.56700,,6.56700,3.06500,-7.63100,,-4.12900,0.03200,-4.09700,-0.29900,-3.79800,-3.79800,-0.19100,-3.98900,-3.86300,-4.12900,0.37690,0.37690,-10.50000,-10.50000,,,-62.87500,-62.87500,-62.38770,-60.74310,0.13130,-23.09940,-9.78690,-7.59540,-9.78690,102.78370,-1.40100,-1.60000
2022-12-31,4.90700,1.68600,3.22100,3.08700,,3.08700,0.13400,,0.13400,,0.13400,0.13400,,-0.31400,0.13400,0.13400,0.32120,0.32120,9.75000,9.75000,,,2.73080,2.73080,2.73080,-6.39900,0.09920,0.89750,0.35930,0.27080,0.35930,99.08340,-23.7596,-23.8056
2022-09-30,15.77100,2.40600,13.36500,3.11000,,3.11000,10.25500,,10.25500,,10.25500,10.25500,,9.80800,10.25500,10.25500,0.37340,0.37340,26.25000,26.25000,,,65.02440,65.02440,65.02440,62.19010,0.32240,66.90810,27.20740,20.96150,27.20740,100.30870,-6.8144,-6.8103
2022-06-30,-0.73500,1.86800,-2.60300,2.87500,,2.87500,-5.47800,,-5.47800,,-5.47800,-5.47800,,-5.92500,-5.47800,-5.47800,0.27100,0.27100,-21.75000,-21.75000,,,745.30610,745.30610,745.30610,806.12250,-0.01970,-102.43090,-19.76690,-14.69700,-19.76690,74.67400,0.0332,-0.1732
2022-03-31,0.15200,1.52400,-1.37200,2.45100,,2.45100,-3.82300,,-3.82300,,-3.82300,-3.82300,,-4.27000,-3.82300,-3.82300,0.25910,0.25910,-16.50000,-16.50000,,,-2515.13200,-2515.13200,-2515.13200,-2809.21100,0.00430,-51.40510,-12.82800,-10.72550,-12.82800,114.13140,-3.77430,-3.77820
2021-12-31,2.43600,2.44500,-0.00900,3.25900,,3.25900,-3.26800,,-3.26800,,-3.26800,-3.26800,,-3.80600,-3.26800,-3.26800,0.20850,0.20850,-17.25000,-17.25000,,,-134.15430,-134.15430,-134.15440,-156.23980,0.05970,-28.06600,-9.60920,-8.00410,-9.60920,130.86420,-17.4576,-17.4751
2021-09-30,-0.13300,1.05800,-1.19100,3.20200,,3.20200,-4.39300,,-4.39300,,-4.39300,-4.39300,0.00000,-5.41000,-4.39300,-4.39300,0.20130,0.20130,-27.00000,-27.00000,,,3303.00800,3303.00800,3303.00800,4067.66900,-0.00300,-28.52040,-11.63150,-10.01820,-11.63150,186.93330,-22.4177,-22.4374
2021-06-30,3.20200,0.72900,2.47300,2.03300,,2.03300,0.44000,,0.44000,,0.44000,0.44000,0.00000,-0.67400,0.44000,0.44000,0.20040,0.20040,-3.25000,-3.25000,,,13.74140,13.74140,13.74140,-21.04940,0.07500,2.64660,1.12850,1.03060,1.12850,194.56090,-11.1805,-11.1904
