Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,39.19900,6.93800,32.26100,1.28700,8.56600,23.69500,-13.02200,10.67300,10.67300,10.67300,10.66900,31.64400,23.69500,43.90000,43.90000,0.24000,0.24000,0.86630,0.81290,4.49380,82.30060,60.44800,60.44800,27.22770,27.21750,0.04400,30.67220,2.93430,6.66400,6.66400,1.19880,1.24680,3.64830,0.3766,0.3776
2024-06-30,31.20200,5.95600,25.24600,1.26100,7.73000,17.51600,-10.65300,6.86300,6.86300,6.86300,6.86300,24.56700,17.51600,43.90000,43.91700,0.16000,0.16000,0.77670,0.81700,4.61350,80.91150,56.13740,56.13740,21.99540,21.99540,0.03480,30.17600,2.98250,4.36450,4.36450,0.76490,0.79870,3.58190,0.4017,-3.2267
2024-03-31,23.58100,5.26200,18.31900,1.47200,6.90200,11.41700,-8.92500,2.49200,2.49200,2.49200,2.49200,17.35200,11.41700,43.90000,43.90000,0.06000,0.06000,1.03650,0.78340,3.76130,77.68540,48.41610,48.41610,10.56780,10.56780,0.03150,18.20930,4.94250,1.60700,1.60700,0.33290,0.34810,3.53230,0.25450,-3.24920
2023-12-31,18.32100,3.81900,14.50200,1.07700,4.65700,9.84500,-5.23900,4.60600,4.60600,4.60600,4.60600,13.79100,9.84500,38.64400,38.64400,0.12070,0.12070,1.29670,0.73130,2.85010,79.15510,53.73620,53.73620,25.14060,25.14060,0.03060,22.59060,3.98400,2.98690,2.98690,0.76870,0.80260,3.51260,0.2149,-1.0547
2023-09-30,10.24100,3.13800,7.10300,0.95500,4.13600,2.96700,-4.92100,-1.95400,-1.95400,-1.95400,-1.95400,6.47400,2.96700,40.78300,40.78300,-0.05000,-0.05000,,,,69.35850,28.97180,28.97180,-19.08020,-19.08020,,,,,,,,,0.04,-2.9843
2023-06-30,6.73200,1.92700,4.80500,1.28300,3.24800,1.55700,-2.67200,-1.11500,-1.11500,-1.11500,-1.11500,4.08800,1.55700,40.12400,40.12400,-0.03000,-0.03000,,,,71.37550,23.12830,23.12830,-16.56270,-16.56270,,,,,,,,,-0.1673,-2.4936
2023-03-31,1.44200,0.26200,1.18000,0.53100,0.92300,0.25700,-0.28000,-0.02300,-0.02300,-0.02300,-0.02300,0.76900,0.25700,32.15300,32.15300,-0.00070,-0.00070,,,,81.83080,17.82250,17.82250,-1.59500,-1.59500,,,,,,,,,0.07990,-3.98860
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
