Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.86600,,,-0.89600,0.81700,-0.07900,-0.07100,-0.00800,-0.31600,-0.31600,-0.85000,-0.89600,23.12600,23.12600,-0.01000,-0.01000,69.54420,,,,,,,,,-0.69330,-0.71260,-0.67830,-0.69330,1.97230,-0.0013,-0.0013
2024-06-30,0.10000,0.02800,0.07200,0.66600,,0.69600,-0.62400,0.50600,-0.11800,-0.13700,0.01900,-0.65800,-0.65800,-0.57800,-0.62400,23.29700,23.29700,-0.03000,-0.03000,103.83740,72.00000,-623.99990,-623.99990,-118.00000,-658.00000,0.00210,,,-1.39490,-1.43330,-1.36900,-1.39490,2.03420,-0.003,-0.003
2024-03-31,,,,0.88800,,,-0.91800,0.47900,-0.43900,-0.14700,-0.29200,-0.92000,-0.92000,-0.87200,-0.91800,23.54000,23.54000,-0.04000,-0.04000,80.02200,,,,,,,,,-1.89950,-1.95180,-1.85420,-1.89950,2.05640,-0.02530,-0.02530
2023-12-31,1.78100,0.64200,1.13900,1.16000,,1.19000,-0.05100,0.81200,0.76100,-0.09700,0.85800,0.45200,0.45200,-0.00300,-0.05100,23.79100,23.79100,0.02000,0.02000,55.49580,63.95280,-2.86360,-2.86360,42.72880,25.37900,0.03410,,,0.89170,0.91560,0.86460,0.89170,2.15220,0.0455,0.0455
2023-09-30,,,,0.78800,,,-0.85900,0.53700,-0.32200,-0.04400,-0.27800,-0.81000,-0.81000,-0.77300,-0.85900,23.80400,23.80400,-0.03000,-0.03000,69.10310,,,,,,,,,-1.60640,-1.65080,-1.55900,-1.60640,2.13130,-0.0084,-0.0084
2023-06-30,0.28300,0.08100,0.20200,0.66900,,0.75100,-0.54900,0.37000,-0.17900,-0.09400,-0.08500,-0.47600,-0.47600,-0.45100,-0.54900,23.80400,23.80400,-0.02000,-0.02000,62.09720,71.37810,-193.99300,-193.99300,-63.25090,-168.19790,0.00520,,,-0.90380,-0.92900,-0.87510,-0.90380,2.21180,-0.011,-0.011
2023-03-31,0.53700,0.15100,0.38600,1.07900,,1.16200,-0.77600,0.67400,-0.10200,-0.15300,0.05100,-0.62300,-0.62300,-0.67700,-0.77600,23.86700,23.86700,-0.03000,-0.03000,38.22790,71.88080,-144.50650,-144.50650,-18.99440,-116.01490,0.00970,,,-1.17410,-1.20850,-1.12500,-1.17410,2.22840,-0.01220,-0.01220
2022-12-31,,,,1.25100,,,-1.33400,0.65100,-0.68300,0.45900,-1.14200,-1.70800,-1.70800,-1.23500,-1.33400,23.82600,23.82600,-0.08000,-0.08000,30.50720,,,,,,,,,-3.09930,-3.19150,-2.94640,-3.09930,2.30930,-0.013,-0.013
2022-09-30,,,,0.75600,-0.08200,,-0.83800,4.05100,3.21300,0.70200,2.51100,2.22600,2.22600,-0.73900,-0.83800,23.76500,24.06600,0.09000,0.09000,60.79680,,,,,,,,,3.90570,4.02390,3.77970,3.90570,2.40210,-0.022,-0.022
2022-06-30,,,,0.75800,-0.07600,,-0.83400,-0.44500,-1.27900,-0.10200,-1.17700,-1.53200,-1.53200,-0.74800,-0.83400,23.85400,23.85400,-0.06000,-0.06000,48.80150,,,,,,,,,-2.73620,-2.82480,-2.67870,-2.73620,2.35340,-0.1619,-0.1619
2022-03-31,,,,0.82200,-0.07500,,-0.89700,-0.43400,-1.33100,-0.45200,-0.87900,-1.31200,-1.31200,-0.82200,-0.89700,23.90900,23.90900,-0.05000,-0.05000,14.12270,,,,,,,,,-2.27790,-2.35280,-2.12610,-2.27790,2.41160,-0.03130,-0.03130
2021-12-31,0.33700,0.11700,0.22000,0.96700,,1.04100,-0.82100,0.00600,-0.81500,-0.21100,-0.60400,-0.97600,-0.97600,-0.74700,-0.82100,24.13700,24.53100,-0.05000,-0.04000,14.55040,65.28200,-243.62040,-243.62060,-241.83970,-289.61430,0.00520,,,-1.62240,-1.66060,-1.50570,-1.62240,2.52850,-0.0111,-0.0111
2021-09-30,17.00000,6.61000,10.39000,1.27900,,1.35300,9.03700,0.02700,9.06400,2.28900,6.77500,6.58900,6.58900,9.11100,9.03700,23.93400,24.32000,0.28000,0.27000,16.83710,61.11760,53.15880,53.15880,53.31770,38.75880,0.25630,,,10.61950,10.87260,9.93200,10.61950,2.57450,0.3332,0.3332
2021-06-30,,,,0.82800,,,-0.90100,0.11700,-0.78400,-0.23200,-0.55200,-0.78300,-0.78300,-0.82800,-0.90100,23.83900,23.83900,-0.03000,-0.03000,24.22730,,,,,,,,,-1.38320,-1.42080,-1.31490,-1.38320,2.35010,0.5287,0.5287
2021-03-31,18.69200,5.42000,13.27200,0.92700,,1.00100,12.27100,0.00400,12.27500,2.61400,9.66100,9.45100,9.45100,12.34500,12.27100,24.10800,24.61600,0.39000,0.38000,7.71860,71.00360,65.64840,65.64840,65.66980,50.56170,0.28310,1.00000,90.00000,16.44600,16.89040,14.31620,16.44600,2.38280,-0.05590,-0.05590
2020-12-31,0.03700,0.00800,0.02900,2.42100,,2.49700,-2.46800,0.18200,-2.28600,,-1.33200,-1.47500,-1.47500,-2.39200,-2.46800,24.01100,24.01100,-0.06000,-0.06000,22.14120,78.37850,-6670.31200,-6670.31000,-6178.41700,-3986.51000,0.00070,,,-3.00030,-3.09980,-2.88120,-3.00030,2.03940,-0.0253,-0.0253
2020-09-30,4.15000,1.59300,2.55700,0.82500,,0.89700,1.66000,0.17300,1.83300,,1.83300,1.68700,1.68700,1.73200,1.66000,24.01200,24.52200,0.07000,0.07000,132.33140,61.61450,40.00000,40.00000,44.16870,40.65060,0.08140,,,3.33100,3.44340,3.30860,3.33100,2.10730,0.091,0.091
2020-06-30,0.05500,0.02000,0.03500,0.66800,,0.74000,-0.70500,0.32600,-0.37900,,-0.37900,-0.58400,-0.58400,-0.62400,-0.70500,23.94600,23.94600,-0.02000,-0.02000,138.19690,63.63640,-1281.81800,-1281.81800,-689.09090,-1061.81800,0.00110,0.42970,209.45460,-1.16190,-1.20290,-1.15440,-1.16190,2.09890,-0.0226,-0.0226
2020-03-31,0.16100,0.03200,0.12900,0.95700,,1.02900,-0.90000,-0.14400,-1.04400,,-1.04400,-1.33700,-1.33700,-0.79600,-0.90000,24.03000,24.03000,-0.06000,-0.06000,96.83510,80.12420,-559.00620,-559.00620,-648.44720,-830.43480,0.00310,1.11810,80.49690,-2.63790,-2.73250,-2.61380,-2.63790,2.11360,-0.06400,-0.06400
2019-12-31,1.31200,0.42300,0.88900,1.54500,,1.61800,-0.72900,0.30900,-0.42000,0.25400,-0.67400,-0.93300,-0.93300,-0.60500,-0.72900,23.97900,23.97900,-0.03000,-0.03000,31.07580,67.75910,-55.56400,-55.56400,-32.01220,-71.11280,0.02380,3.82510,23.52900,-1.74370,-1.80510,-1.69400,-1.74370,2.22610,0.0323,0.0323
2019-09-30,0.52000,0.13800,0.38200,0.88700,,0.95800,-0.57600,0.23100,-0.34500,-0.13000,-0.21500,-0.41100,-0.41100,-0.49600,-0.57600,24.13800,24.13800,-0.02000,-0.02000,76.08780,73.46150,-110.76920,-110.76920,-66.34620,-79.03850,0.00940,1.05480,85.32690,-0.75120,-0.77720,-0.74260,-0.75120,2.26660,-0.0014,-0.0014
2019-06-30,0.59900,0.17500,0.42400,0.85300,,0.94000,-0.51600,0.32300,-0.19300,-0.03800,-0.15500,-0.20800,-0.20800,-0.36200,-0.51600,23.91800,23.91800,-0.01000,-0.01000,52.52590,70.78460,-86.14360,-86.14360,-32.22040,-34.72450,0.01040,0.93450,96.31050,-0.36890,-0.38170,-0.36260,-0.36890,2.34060,0.0035,0.0035
2019-03-31,0.60600,0.14600,0.46000,0.93900,,0.99300,-0.53300,0.32400,-0.20900,-0.06500,-0.14400,-0.24000,-0.24000,-0.47900,-0.53300,23.74600,23.74600,-0.01000,-0.01000,49.11970,75.90760,-87.95380,-87.95380,-34.48850,-39.60400,0.01040,0.78290,114.95050,-0.42100,-0.43600,-0.41310,-0.42100,2.39680,-0.05960,-0.05960
2018-12-31,0.37400,0.08400,0.29000,1.09000,,1.17100,-0.88100,0.25700,-0.62400,-0.04700,-0.57700,-0.57700,-0.57700,-0.80000,-0.88100,23.76380,25.35500,-0.03000,-0.03000,26.95150,77.54000,-235.56080,-235.56050,-166.84480,-154.27780,0.00620,0.84230,106.84480,-0.99130,-1.02640,-0.95740,-0.99130,2.45220,0.0266,0.0266
