Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1224.66800,16.23900,1208.42900,856.55900,-135.21200,991.77100,216.65800,216.65800,58.15300,158.50500,158.50500,,149.18500,278.50490,216.65800,103.96600,110.99400,1.43000,1.34000,0.82150,0.19360,0.37850,98.67400,17.69120,17.69120,17.69120,12.18170,0.03150,0.82860,108.61470,3.25330,3.91770,0.40710,2.30000,54.31450,1.8103,1.7611
2024-06-30,1217.93200,48.18100,1169.75100,826.95400,-115.90300,942.85700,226.89400,226.89400,61.60000,165.29400,165.29400,,155.97300,291.69700,226.89400,104.15000,110.28500,1.50000,1.41000,0.83900,0.24700,0.44560,96.04400,18.62950,18.62950,18.62950,12.80640,0.03220,0.96210,93.54080,3.50700,4.25080,0.43720,2.30560,52.65620,1.8942,1.9219
2024-03-31,1163.03800,15.76700,1147.27100,815.77400,-112.80600,928.58000,218.69090,218.69100,55.11600,163.57500,163.57500,,154.25500,279.48290,218.69090,104.27500,109.98500,1.48000,1.40000,0.83990,0.23300,0.43320,98.64430,18.80340,18.80340,18.80340,13.26310,0.03040,0.75820,118.69650,3.56450,4.35230,0.42760,2.37880,51.37840,-5.54370,-5.63130
2023-12-31,1146.37900,-15.47800,1161.85700,840.80820,-115.05400,955.86240,205.99450,205.99500,43.51100,162.48400,162.48400,,153.16400,273.41150,205.99470,106.66100,113.45300,1.48000,1.38000,0.84470,0.23130,0.39490,101.35010,17.96920,17.96920,17.96920,13.36070,0.03040,0.91300,98.57870,3.52500,4.30660,0.43070,2.35900,52.38800,2.421,2.3076
2023-09-30,1045.05100,14.41300,1030.63800,743.89800,-177.31100,921.20890,109.42910,109.42900,41.26800,68.16100,68.16100,,58.84000,165.61910,109.42910,106.06800,113.19500,0.55000,0.52000,0.83130,0.23210,0.41250,98.62080,10.47120,10.47120,10.47120,5.63030,0.02760,0.83690,107.53670,1.49550,1.83420,0.18000,0.99840,50.83970,2.0356,1.9258
2023-06-30,1050.72100,44.96900,1005.75200,714.38300,-109.98400,824.36700,181.38490,181.38500,47.03300,134.35200,134.35200,,125.03200,238.41200,181.38490,107.94400,113.86400,1.16000,1.10000,0.82580,0.21850,0.40410,95.72020,17.26290,17.26290,17.26290,11.89960,0.02820,0.87610,102.72940,2.88430,3.50460,0.36020,1.96520,50.93940,3.2817,3.1804
2023-03-31,1106.79300,14.44000,1092.35300,779.46600,-103.00400,882.47000,209.88290,209.88300,52.34400,157.53900,157.53900,,148.21900,265.80890,209.88290,108.75400,115.39000,1.36000,1.28000,0.83480,0.23150,0.42390,98.69530,18.96320,18.96320,18.96320,13.39180,0.02870,0.78130,115.18890,3.39350,4.12950,0.40820,2.27270,50.17700,-3.33710,-3.47070
2022-12-31,1121.64700,13.18300,1108.46400,773.91090,-100.85600,874.76720,233.69670,233.69700,57.07600,176.62100,176.62100,,167.30100,288.43970,233.69690,108.84800,117.54000,1.55000,1.43000,0.82400,0.20650,0.34560,98.82470,20.83510,20.83520,20.83520,14.91570,0.03020,0.83550,107.71920,3.80360,4.56230,0.47480,2.63020,50.57970,7.2893,6.9722
2022-09-30,1045.13900,13.57600,1031.56300,732.92500,-92.86900,825.79400,205.76900,205.76900,54.60000,151.16900,151.16900,,141.84900,258.59410,205.76900,108.76700,117.21800,1.30000,1.21000,0.82180,0.21500,0.39590,98.70100,19.68820,19.68820,19.68820,13.57230,0.02780,0.58930,152.72350,3.32800,4.00680,0.40190,2.27000,49.21020,4.5919,4.4362
2022-06-30,1108.12600,15.10600,1093.02000,774.60500,-99.87400,874.47900,218.54100,218.54100,57.72500,160.81600,160.81600,,151.49500,271.85300,218.54100,109.08300,117.40000,1.39000,1.29000,0.81110,0.22920,0.45590,98.63680,19.72170,19.72170,19.72170,13.67130,0.03040,0.64360,139.84850,3.62220,4.36930,0.44090,2.41870,48.27100,3.6848,3.5641
2022-03-31,1116.52700,15.88700,1100.64000,793.17300,-80.35800,873.53100,227.10900,227.10900,53.56000,173.54900,173.54900,,164.22900,280.60700,227.10900,109.20500,118.14000,1.50000,1.39000,0.82710,0.25520,0.52890,98.57710,20.34070,20.34070,20.34070,14.70890,0.03180,0.55750,161.44930,3.97200,4.81490,0.49460,2.55730,47.40260,-5.71900,-5.82590
2021-12-31,1304.22500,15.25700,1288.96800,874.95300,-95.35300,970.30570,318.66220,318.66210,57.27200,261.39010,261.39010,,252.07000,370.62520,318.66220,107.53600,118.53000,2.35000,2.12000,0.81010,0.23640,0.45980,98.83020,24.43310,24.43310,24.43310,19.32720,0.03830,0.75510,119.18340,6.00900,7.30160,0.76770,3.96410,48.18190,2.5403,3.6662
2021-09-30,1144.93800,14.74400,1130.19400,784.97710,-88.71500,873.69200,256.50200,256.50200,64.12600,192.37600,192.37600,,182.68700,305.40590,256.50200,107.37900,118.47500,1.70000,1.54000,0.77170,0.22870,0.44700,98.71220,22.40310,22.40310,22.40310,15.95610,0.03710,0.71100,126.57720,4.68490,5.52600,0.62420,3.09690,45.95420,8.4934,7.2495
2021-06-30,1153.13600,13.97700,1139.15900,804.33300,-70.80100,875.13400,264.02500,264.02500,65.94800,198.07700,198.07700,,189.78800,312.01790,264.02500,107.83700,118.60200,1.76000,1.60000,0.76780,0.25950,0.53870,98.78790,22.89630,22.89630,22.89630,16.45840,0.03880,0.57120,157.56560,4.98460,6.20160,0.66590,3.25300,42.99610,0.7369,0.6145
2021-03-31,1134.78900,15.70300,1119.08600,811.77100,-79.42300,891.19400,227.89200,227.89200,54.87700,173.01500,173.01500,,164.72600,274.52600,227.89200,107.74600,117.87500,1.53000,1.40000,0.74990,0.24230,0.46900,98.61620,20.08230,20.08230,20.08230,14.51600,0.04030,0.64290,139.98460,4.57240,5.76760,0.61480,3.03550,41.04810,-4.41300,-4.50840
2020-12-31,1059.91000,12.68700,1047.22300,735.51590,-77.00600,812.52220,234.70070,234.70090,46.23200,188.46900,188.46900,,180.79200,283.51380,234.70100,106.17400,114.57300,1.72000,1.56000,0.75500,0.24340,0.42500,98.80300,22.14350,22.14350,22.14350,17.05730,0.03980,0.71330,126.17980,5.08860,6.46380,0.70840,3.36420,41.09360,2.7749,2.7545
2020-09-30,883.30000,13.25400,870.04600,642.35900,-69.29400,711.65300,158.39290,158.39300,37.86600,120.52700,120.52700,,110.63000,203.00790,158.39290,105.94100,113.77500,1.04000,0.97000,0.76910,0.29100,0.55930,98.49950,17.93200,17.93200,17.93200,12.52460,0.03460,0.58910,152.76910,3.44790,4.45870,0.47170,2.12010,39.16460,3.6636,3.5721
2020-06-30,895.81700,15.17700,880.64000,656.48400,-81.19600,737.68000,142.96000,142.96000,35.07300,107.88700,107.88700,,103.04400,186.38800,142.96000,105.79100,111.58100,0.97000,0.92000,0.77370,0.34160,0.67280,98.30580,15.95860,15.95860,15.95860,11.50280,0.03500,0.55390,162.48330,3.22140,4.22500,0.42100,1.82890,37.76250,8.1154,12.8221
2020-03-31,913.03400,14.84200,898.19200,684.37600,-98.71000,783.08600,115.10600,115.10600,28.51700,86.58900,86.58900,,81.74500,163.45500,115.10600,106.92900,114.92900,0.76000,0.71000,0.74130,0.36570,0.76930,98.37440,12.60700,12.60700,12.60700,8.95310,0.03530,0.42000,214.30640,2.73990,4.06300,0.33440,1.58260,33.76850,-0.04950,-5.28460
2019-12-31,944.25100,11.50500,932.74600,671.15290,-99.00000,770.15290,162.59310,162.59300,31.92500,130.66800,130.66800,,125.84700,210.39610,162.59310,107.99700,117.87800,1.15670,1.08000,0.74060,0.31900,0.64890,98.78160,17.21930,17.21930,17.21930,13.32770,0.03840,0.47700,188.68060,3.88920,5.64700,0.53100,2.42500,35.80560,5.0338,4.6865
2019-09-30,821.57200,10.54200,811.03000,581.62600,-78.65000,660.27610,150.75400,150.75400,40.63200,110.12200,110.12200,,104.57000,198.71800,150.75400,106.79550,117.21600,0.98000,0.89330,0.74370,0.34710,0.78630,98.71690,18.34950,18.34950,18.34950,12.72800,0.03400,0.39710,226.61680,3.39070,4.82320,0.45580,2.02080,34.43630,2.901,2.766
2019-06-30,800.78700,11.00800,789.77900,562.98500,-78.81200,641.79710,147.98190,147.98200,38.22500,109.75700,109.75700,,103.79700,191.67490,147.98190,108.77850,118.61850,0.95330,0.87330,0.74230,0.38770,0.90750,98.62540,18.47960,18.47960,18.47960,12.96190,0.03290,0.37890,237.51080,3.45650,4.75270,0.45090,1.92830,33.28770,0.4706,0.2267
2019-03-31,770.42000,10.95600,759.46400,552.67300,-68.98200,621.65500,137.80900,137.80900,38.37000,99.43900,99.43900,,96.86300,182.01500,137.80900,107.55000,118.81500,0.90000,0.81330,0.72180,0.38960,0.92350,98.57790,17.88750,17.88750,17.88750,12.57280,0.03190,0.39050,230.45420,3.18390,4.41310,0.41120,1.76790,32.22520,-3.08750,-3.70080
2018-12-31,793.44920,11.16900,782.28020,542.31900,-84.03000,626.34890,155.93120,155.93100,41.86900,114.06200,114.06200,,111.71800,197.32420,155.93120,107.67900,121.98200,1.04330,0.91670,0.75150,0.42170,1.02560,98.59240,19.65230,19.65230,19.65230,14.08010,0.03240,0.46210,194.76310,3.74270,5.58240,0.46520,2.06270,30.10830,4.7344,4.1747
2018-09-30,738.34200,11.33800,727.00400,509.68900,-76.78500,586.47400,140.53000,140.53000,36.67200,103.85800,103.85800,,101.51500,179.03500,140.53000,107.87850,122.22600,0.94000,0.83330,0.72230,0.46810,1.16840,98.46440,19.03320,19.03320,19.03320,13.74910,0.03110,0.34950,257.53720,3.44860,5.14930,0.43710,1.74720,28.87080,1.3678,1.3192
2018-06-30,742.73200,10.09500,732.63700,532.40500,-81.88500,614.29000,118.34700,118.34700,31.06000,87.28700,87.28700,,84.94300,155.39400,118.34700,107.53800,121.94850,0.78670,0.69330,0.69710,0.46810,1.19990,98.64080,15.93400,15.93400,15.93400,11.43660,0.03290,0.35150,256.03050,3.11250,4.70790,0.38610,1.57140,27.63040,1.2698,1.2062
2018-03-31,750.35800,9.36500,740.99300,548.98710,-72.45200,621.43910,119.55390,119.55400,30.79300,88.76100,88.76100,,86.41700,153.74290,119.55390,107.99850,122.68350,0.80000,0.70670,0.70190,0.46850,1.21040,98.75190,15.93290,15.93290,15.93290,11.51680,0.03460,0.37800,238.10940,3.20720,4.89230,0.40870,1.61690,27.04770,-3.03100,-3.06830
2017-12-31,804.08500,10.94500,793.14000,705.90700,-88.05300,793.96000,-0.82000,-0.82000,1.16800,-1.98800,-1.98800,,-4.33200,34.53200,-0.82010,102.84300,121.55250,-0.04670,-0.04000,0.69320,0.44740,1.08190,98.63880,-0.10200,-0.10200,-0.10200,-0.53870,0.03760,0.43620,206.30690,-0.07330,-0.11150,-0.00930,-0.03840,26.92040,-1.7852,-1.843
2017-09-30,721.16900,11.23200,709.93700,540.48700,-61.31100,601.79800,108.13900,108.13900,41.60300,66.53600,66.53600,,64.19300,149.63100,108.13900,102.78300,121.32150,0.62670,0.52670,0.67330,0.39160,0.89920,98.44250,14.99500,14.99500,14.99500,8.90120,0.03520,0.44350,202.91350,2.39130,3.59310,0.32480,1.38040,28.57380,2.8983,2.8637
2017-06-30,725.64700,11.23200,714.41500,545.96000,-85.25700,631.21700,83.19790,83.19800,30.38700,52.81100,52.81100,,50.46700,118.97090,83.19790,102.83400,120.03150,0.49330,0.42000,0.68800,0.41310,0.95190,98.45210,11.46540,11.46540,11.46540,6.95480,0.03710,0.42110,213.74660,1.95940,3.00010,0.27040,1.08930,27.78000,2.3079,2.2344
2017-03-31,675.53100,10.72300,664.80800,522.77600,-63.01300,585.78900,79.01900,79.01900,13.50700,65.51200,65.51200,,63.16800,118.46300,79.01900,102.57900,121.04250,0.61330,0.52000,0.68520,0.42720,1.01730,98.41270,11.69730,11.69730,11.69730,9.35090,0.03530,0.35760,251.68280,2.49290,3.88370,0.34240,1.35100,27.06360,2.17260,2.10640
2016-12-31,661.39100,9.66100,651.73000,507.89000,-88.94600,596.83610,54.89390,54.89400,28.01400,26.88000,26.88000,,24.53700,115.38690,54.89400,100.30650,116.34450,0.24670,0.20000,0.70860,0.42320,0.98890,98.53930,8.29980,8.29980,8.29980,3.70990,0.03460,0.27100,332.12110,1.03850,1.61950,0.14050,0.56620,27.39460,-2.2504,-2.3096
2016-09-30,641.98600,10.77700,631.20900,527.87100,-75.35600,603.22700,27.98200,27.98200,10.16800,17.81400,17.81400,,16.25100,64.72900,27.98200,99.72300,116.31600,0.16000,0.14000,0.71680,0.40850,0.93810,98.32130,4.35870,4.35870,4.35870,2.53140,0.03730,0.32230,279.25310,0.70090,1.10650,0.10350,0.39140,27.09810,2.247,2.188
