Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.20330,5.20530,1.99790,0.11040,1.20940,1.31970,0.67820,-0.08960,0.58860,0.01160,0.57700,0.57700,,0.57700,0.67970,0.67820,2.31300,2.31300,0.25000,0.25000,1.63640,,0.82700,27.73660,9.41540,9.41540,8.17100,8.00990,0.55680,0.87030,25.29990,3.55730,11.31820,11.38310,4.46000,11.31820,2.20400,-0.8993,-0.8993
2024-06-30,4.59850,3.51080,1.08770,0.08760,1.39740,1.48500,-0.39730,-0.04490,-0.44220,,-0.44220,-0.44220,,-0.44220,-0.39570,-0.39730,2.31300,2.31300,-0.19000,-0.19000,2.05460,,0.49180,23.65340,-8.64010,-8.64010,-9.61630,-9.61630,0.53070,0.68750,7.56480,11.89720,-9.78150,-9.84730,-5.10310,-9.78150,1.95450,-0.51800,-0.51800
2024-03-31,4.83150,3.54170,1.28970,0.15360,1.57740,1.73100,-0.44130,-0.03540,-0.47670,,-0.47670,-0.47670,,-0.47670,-0.28720,-0.44130,2.31300,2.31300,-0.20000,-0.20000,2.34110,,0.15490,26.69430,-9.13290,-9.13290,-9.86600,-9.86600,0.56540,0.74530,4.36250,20.63020,-9.60440,-9.66540,-5.57850,-9.60440,2.14570,0.1635,0.1635
2023-12-31,4.65500,3.15310,1.50190,0.07730,1.31090,1.38810,0.11370,-0.01160,0.10220,,0.10220,0.10220,,0.10220,0.12010,0.11370,2.31300,2.31300,0.04000,0.04000,2.54240,,0.20610,32.26450,2.44340,2.44340,2.19500,2.19500,0.52280,0.64610,7.14040,12.60430,1.87830,1.88960,1.14750,1.87830,2.35180,-0.1835,-0.1835
2023-09-30,3.71750,2.40930,1.30820,0.13140,1.33440,1.46570,-0.15760,-0.03350,-0.19110,-0.00470,-0.18640,-0.18640,,-0.18640,-0.15780,-0.15760,2.31300,2.31300,-0.08000,-0.08000,2.44600,0.01710,0.18830,35.19020,-4.23910,-4.23910,-5.14050,-5.01490,0.41330,0.48490,3.30780,27.20820,-3.49270,-3.51480,-2.07250,-3.43290,2.30760,0.2041,0.2041
2023-06-30,6.69880,4.99060,1.70820,0.06500,1.42290,1.48790,0.22030,-0.05050,0.16980,0.00470,0.16510,0.16510,,0.16510,0.22360,0.22030,2.31300,2.31300,0.07000,0.07000,2.95880,,0.24810,25.50020,3.28860,3.28860,2.53480,2.46510,0.79900,1.73380,5.52790,16.28110,2.98930,3.00820,1.96950,2.98930,2.38820,0.07710,0.07710
2023-03-31,5.92780,4.25910,1.66860,0.10850,1.22410,1.33260,0.33600,-0.03690,0.29910,,0.28460,0.28460,,0.28460,0.48860,0.33600,2.31300,2.31300,0.12000,0.12000,2.80430,,0.27230,28.14960,5.66860,5.66860,5.04590,4.80170,0.70570,1.04810,8.22640,10.94040,5.31150,5.34720,3.38860,5.31150,2.31680,0.4949,0.4949
2022-12-31,5.75870,4.06040,1.69820,0.10170,1.17850,1.28020,0.41810,-0.07680,0.34130,,0.34130,0.34130,,0.34130,0.42290,0.41810,2.31300,2.31300,0.15000,0.15000,2.20400,,0.52280,29.49020,7.25980,7.25980,5.92690,5.92690,0.61640,0.91500,7.04350,12.77780,6.72640,6.77570,3.65360,6.72640,2.19380,0.3139,0.3139
2022-09-30,5.85710,4.29550,1.56160,0.10320,1.18920,1.29250,0.26910,-0.06850,0.20060,,0.20060,0.20060,,0.20060,0.27410,0.26910,2.31300,2.31300,0.09000,0.09000,1.69810,,0.70940,26.66170,4.59490,4.59490,3.42490,3.42490,0.51000,0.83070,5.58870,16.10390,4.23850,4.27280,1.74660,4.23850,2.04620,0.0793,0.0793
2022-06-30,4.63530,3.21410,1.42120,0.08930,1.38260,1.47180,-0.05060,-0.05550,-0.10610,,-0.10610,-0.10610,,-0.10610,-0.04550,-0.05060,2.31300,2.31300,-0.05000,-0.05000,1.65500,0.05930,0.86130,30.66080,-1.09250,-1.09250,-2.28980,-2.28980,0.40520,0.47590,9.26360,9.71550,-2.34180,-2.36220,-0.92780,-2.20290,1.95950,-0.24310,-0.24310
2022-03-31,4.29060,2.80940,1.48110,0.14270,1.46440,1.60710,-0.12600,-0.10990,-0.23580,,-0.23580,-0.23580,,-0.23580,0.04590,-0.12600,2.31300,2.31300,-0.11000,-0.11000,1.68000,,0.69820,34.52020,-2.93550,-2.93560,-5.49670,-5.49670,0.37240,0.45100,3.30750,27.21070,-5.08450,-5.12900,-2.04700,-5.08450,2.00540,0.1089,0.1089
2021-12-31,5.31900,3.60240,1.71660,0.09740,1.56970,1.66710,0.04950,-0.01420,0.03540,,0.03540,0.03540,,0.03540,0.05030,0.04950,2.31300,2.31300,0.02000,0.02000,1.92190,,0.70550,32.27330,0.93080,0.93080,0.66460,0.66460,0.52910,0.70310,6.00880,14.97810,0.72530,0.73150,0.35160,0.72530,2.10730,0.1187,0.1187
