Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,20.51000,8.50400,-29.01400,4.48000,-24.53400,-24.53400,-24.53400,-24.53400,-29.01400,-29.01400,57.82050,57.82050,-0.42000,-0.42000,22.37750,,,,,,,,,-9.95980,-9.95980,-6.78410,-9.95980,4.36490,-0.469,-0.4692
2024-06-30,,,20.70900,8.09400,-28.80300,4.63100,-24.17200,-24.17200,-24.17200,-24.17200,-28.80300,-28.80300,56.48600,56.48600,-0.43000,-0.43000,21.86520,,,,,,,,,-9.60150,-9.60150,-6.56870,-9.60150,4.58390,-0.2702,-0.2756
2024-03-31,,,15.72600,8.42400,-24.15000,4.22200,-19.92800,-19.92800,-19.92800,-19.92800,-24.15000,-24.15000,52.29480,52.29480,-0.38000,-0.38000,33.82600,,,,,,,,,-7.31540,-7.31540,-5.26070,-7.31540,4.96170,-0.36510,-0.36510
2023-12-31,,,11.66700,7.33300,-34.19900,2.78900,-31.41000,-31.41000,-31.41000,-31.41000,-34.19900,-34.19900,30.12330,30.12330,-0.94000,-0.94000,21.72660,,,,,,,,,-21.25290,-21.25290,-12.33380,-21.25280,3.60160,-0.9096,-0.9101
2023-09-30,,,13.33800,6.89800,-20.23600,2.50900,-17.72700,-17.72700,-17.72700,-17.72700,-20.23600,-20.23600,28.04020,28.04020,-0.63000,-0.63000,20.40780,,,,,,,,,-19.88340,-19.88340,-9.14420,-19.88340,3.17930,-0.508,-0.5081
2023-06-30,,,9.08900,6.01300,-15.10200,2.53600,-12.56600,-12.56600,-12.56600,-12.56600,-15.10200,-15.10200,28.02230,28.02230,-0.45000,-0.45000,30.98120,,,,,,,,,-11.95870,-11.95870,-6.06900,-11.95870,3.74930,-0.3803,-0.3804
2023-03-31,,,8.03300,5.46000,-13.49300,2.30500,-11.18800,-11.18800,-11.18800,-11.18800,-13.49300,-13.49300,27.94450,27.94450,-0.40000,-0.40000,32.28610,,,,,,,,,-9.64180,-9.64180,-5.12650,-9.64180,4.14610,-0.47430,-0.47440
2022-12-31,,,9.59100,4.69900,-14.29000,1.02600,-13.26400,-13.26400,-13.26400,-13.26400,-14.29000,-14.29000,14.62060,14.62060,-0.64000,-0.64000,25.13140,,,,,,,,,-10.62670,-10.62670,-5.75110,-10.62670,4.53860,-0.5857,-0.5875
2022-09-30,,,7.69800,4.68800,-12.38600,0.38900,-11.99700,-11.99700,-11.99700,-11.99700,-12.38600,-12.38600,13.74240,13.74240,-0.87000,-0.87000,18.39540,,,,,,,,,-72.82390,-72.82380,-10.01280,-72.82380,1.04610,-0.6541,-0.6583
2022-06-30,,,6.61700,4.83200,-11.44900,0.19900,-11.25000,-11.25000,-11.25000,-11.25000,-11.44900,-11.44900,13.01700,13.01700,-0.86000,-0.86000,19.87010,,,,,,,,,-372.39310,-372.39370,-10.68450,-372.39320,0.23210,-0.7729,-0.7731
2022-03-31,,,10.35800,5.02000,-15.37800,0.05500,-15.32300,-15.32300,-15.32300,-15.32300,-15.37800,-15.37800,13.01700,13.01700,-1.18000,-1.18000,22.99600,,,,,,,,,-115.31450,-115.31460,-13.36470,-115.31460,1.02080,-0.96480,-0.96480
2021-12-31,,,5.69300,3.80900,-9.50700,0.01600,-9.49100,-9.49100,-9.49100,-9.49100,-9.50700,-9.50700,8.92520,8.92520,26.96000,26.96000,24.42340,,,,,,,,,-36.62640,-36.62650,-7.44310,-36.62650,1.99070,-1.5182,-1.519
